0	Index      	 *	Score 	Summary	Detail	
1	32253 63432	 * 	208.80	ACR|4VULN|1AART|1DMG|3DUR|1CDMG	17ERES|267DUR|3RCR|4AART|567aVULN|67BPWR|8CDMG|9DMG
2	26216 25211	 * 	196.72	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	12CGEN|3RCR|46VULN|56DMG|6BPWR|7AART|8CDMG|9ZMB|aDUR
3	32253 63431	   	194.70	ACR|3VULN|1AART|1DMG|3DUR|1CDMG	17ERES|267DUR|3RCR|4AART|567VULN|67BPWR|8CDMG|9DMG|aLIT
4	32253 63433	   	194.70	ACR|3VULN|1AART|1DMG|3DUR|1CDMG	17ERES|267DUR|3RCR|4AART|567VULN|67BPWR|8CDMG|9DMG|aRPLT
5	26216 25221	 * 	194.44	ACR|3VULN|2DMG|1AART|1CDMG	12CGEN|3RCR|469VULN|56DMG|6BPWR|7AART|8CDMG|aRCVC
6	26216 25223	   	194.44	ACR|3VULN|2DMG|1AART|1CDMG	12CGEN|3RCR|469VULN|56DMG|6BPWR|7AART|8CDMG|aLIT
7	26216 25222	   	194.34	ACR|3VULN|2DMG|1AART|1CDMG	12CGEN|3RCR|469VULN|56DMG|6BPWR|7AART|8CDMG|aMBVNT
8	32253 63135	 * 	192.50	ACR|3VULN|2AART|1DMG|3DUR	17ERES|267DUR|3RCR|49AART|567VULN|67BPWR|8LIT|aDMG
9	32253 64313	   	191.95	ACR|3VULN|1AART|1DMG|3DUR|1ZMB	1ERES|268DUR|3RCR|4AART|567VULN|6BPWR|9DMG|aZMB
10	32253 61232	   	191.23	ACR|4VULN|1AART|1DMG|2DUR	1ERES|26DUR|3RCR|4AART|569aVULN|6BPWR|7LWND|8DMG
11	32253 65232	   	191.23	ACR|4VULN|1AART|1DMG|2DUR	1ERES|26DUR|3RCR|4AART|569aVULN|6BPWR|7LHND|8DMG
12	26216 25213	   	189.79	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	12CGEN|3RCR|46VULN|56DMG|6BPWR|7AART|8CDMG|9ZMB|aLWND
13	26216 25212	   	189.69	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	12CGEN|3RCR|46VULN|56DMG|6BPWR|7AART|8CDMG|9ZMB|aERES
14	32253 63214	 * 	187.92	ACR|5VULN|1AART|3DUR	17ERES|267DUR|3RCR|4AART|5679aVULN|67BPWR|8LWND
15	32253 64333	 * 	186.43	ACR|4VULN|2AART|3DUR	1ERES|268DUR|3RCR|4aAART|5679VULN|6BPWR
16	32253 63132	   	186.08	ACR|3VULN|2AART|3DUR|1CDMG	17ERES|267DUR|3RCR|49AART|567VULN|67BPWR|8LIT|aCDMG
17	26216 23411	 * 	183.90	ACR|2VULN|2DMG|1AART|2CDMG	12CGEN|3RCR|46VULN|56DMG|6BPWR|7LWND|8aCDMG|9AART
18	13551 23171	 * 	183.87	DCR|3VULN|2DMG|2ZMB|1CDMG	1DMSP|2aZMB|35aVULN|4LHND|6RCR|7MBVNT|8CDMG|9aDMG|aBPWR
19	26216 25312	 * 	183.52	ACR|2VULN|2DMG|2AART|1ASPD	12CGEN|3RCR|46VULN|56DMG|6BPWR|78AART|9ASPD|aBELT
20	26216 25313	   	183.52	ACR|2VULN|2DMG|2AART|1ASPD	12aCGEN|3RCR|46VULN|56DMG|6BPWR|78AART|9ASPD
21	26216 25311	   	183.42	ACR|2VULN|2DMG|2AART|1ASPD	12CGEN|3RCR|46VULN|56DMG|6BPWR|78AART|9ASPD|aDUST
22	26216 22631	   	183.31	ACR|3VULN|2DMG|1CDMG|1ASPD|1DUR	12CGEN|3RCR|468VULN|56DMG|6BPWR|7DUR|9CDMG|aASPD
23	26234 12533	   	183.29	ACR|3VULN|2AART|1DMG|1DUR	12CGEN|3RCR|45AART|678VULN|9DUR|aDMG
24	26234 12523	 * 	183.21	ACR|5VULN|2AART	12CGEN|3RCR|45AART|6789aVULN
25	13111 43344	 * 	182.98	DCR|3VULN|2DMG|2FLTHEA|2ZMB	1DMSP|27ZMB|3DUST|457VULN|67DMG|7BPWR|8aFLTHEA|9RCR
26	14251 23171	   	182.56	DCR|3VULN|2DMG|2ASPD|1CDMG	1DMSP|25aVULN|3aASPD|4LHND|6RCR|7MBVNT|8CDMG|9aDMG|aBPWR
27	32253 61632	   	182.17	ACR|4VULN|1AART|2DUR|1ZMB	1ERES|26DUR|3RCR|4AART|569aVULN|6BPWR|7LWND|8ZMB
28	32253 66332	   	182.07	ACR|4VULN|1AART|2DUR|1ZMB	1ERES|26DUR|3RCR|4AART|569aVULN|6BPWR|7ZMB|8DUST
29	45231 11632	 * 	181.25	DCR|3VULN|3ZMB|1AART|2ASPD	19aMLV|23ASPD|49aZMB|5AART|69aVULN|7LEGI|8RCR|9aBPWR
30	32253 63115	   	181.05	ACR|3VULN|1AART|1DMG|3DUR	17ERES|267DUR|3RCR|4AART|567VULN|67BPWR|8LIT|9DMSP|aDMG
31	32253 63123	   	181.05	ACR|3VULN|1AART|1DMG|3DUR	17ERES|267DUR|3RCR|4AART|567VULN|67BPWR|8LIT|9LWND|aDMG
32	32253 63153	   	181.05	ACR|3VULN|1AART|1DMG|3DUR	17ERES|267DUR|3RCR|4AART|567VULN|67BPWR|8LIT|9LHND|aDMG
33	32253 63221	   	181.05	ACR|3VULN|1AART|1DMG|3DUR	17ERES|267DUR|3RCR|4AART|567VULN|67BPWR|8LWND|9DMG|aRMIN
34	32253 63223	   	181.05	ACR|3VULN|1AART|1DMG|3DUR	17ERES|267DUR|3RCR|4AART|567VULN|67BPWR|8LWND|9DMG|aFEWX
35	32253 63224	   	181.05	ACR|3VULN|1AART|1DMG|3DUR	17ERES|267DUR|3RCR|4AART|567VULN|67BPWR|8LWND|9DMG|aRPLT
36	32253 63225	   	181.05	ACR|3VULN|1AART|1DMG|3DUR	17ERES|267DUR|3RCR|4AART|567VULN|67BPWR|8LWND|9DMG|aCGEN
37	32253 63521	   	181.05	ACR|3VULN|1AART|1DMG|3DUR	17ERES|267DUR|3RCR|4AART|567VULN|67BPWR|8LHND|9DMG|aRMIN
38	32253 63523	   	181.05	ACR|3VULN|1AART|1DMG|3DUR	17ERES|267DUR|3RCR|4AART|567VULN|67BPWR|8LHND|9DMG|aFEWX
39	32253 63631	   	181.05	ACR|3VULN|1AART|1DMG|3DUR	17ERES|267DUR|3RCR|4AART|567VULN|67BPWR|8RPLT|9DMG|aBEXP
40	32253 63632	   	181.05	ACR|3VULN|1AART|1DMG|3DUR	17ERES|267DUR|3RCR|4AART|567VULN|67BPWR|8RPLT|9DMG|aRCVC
41	32253 63633	   	181.05	ACR|3VULN|1AART|1DMG|3DUR	17ERES|267DUR|3RCR|4AART|567VULN|67BPWR|8RPLT|9DMG|aCGEN
42	32253 63222	   	180.95	ACR|3VULN|1AART|1DMG|3DUR	17ERES|267DUR|3RCR|4AART|567VULN|67BPWR|8LWND|9DMG|aTLV
43	32253 63226	   	180.95	ACR|3VULN|1AART|1DMG|3DUR	17aERES|267DUR|3RCR|4AART|567VULN|67BPWR|8LWND|9DMG
44	32253 63522	   	180.95	ACR|3VULN|1AART|1DMG|3DUR	17ERES|267DUR|3RCR|4AART|567VULN|67BPWR|8LHND|9DMG|aTLV
45	32253 64311	   	180.95	ACR|3VULN|1AART|1DMG|3DUR	1ERES|268DUR|3RCR|4AART|567VULN|6BPWR|9DMG|aCGEN
46	32253 64312	   	180.95	ACR|3VULN|1AART|1DMG|3DUR	1ERES|268DUR|3RCR|4AART|567VULN|6BPWR|9DMG|aFEWX
47	32252 23532	   	180.70	ACR|3VULN|1AART|1DMG|3DUR|1SELL	18ERES|268DUR|3RCR|4AART|5SELL|78aVULN|8BPWR|9DMG
48	51212 26314	 * 	179.10	DCR|2VULN|1AART|2CDMG|2DUR|1ZMB|1ASPD	18LIT|28DUR|3ASPD|4AART|59VULN|6RCR|78CDMG|8BPWR|aZMB
49	32253 61213	   	179.07	ACR|2VULN|2DMG|1AART|2DUR	1ERES|26DUR|3RCR|4AART|56VULN|6BPWR|7LWND|8aDMG|9FEWX
50	32253 65213	   	179.07	ACR|2VULN|2DMG|1AART|2DUR	1ERES|26DUR|3RCR|4AART|56VULN|6BPWR|7LHND|8aDMG|9FEWX
51	26211 45211	   	179.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12CGEN|3RCR|45VULN|6DMG|7AART|8CDMG|9ZMB|aDUR
52	26216 25121	   	179.01	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	12CGEN|3RCR|46VULN|56DMG|6BPWR|7AART|8DUR|9BELT|aASPD
53	31253 63116	   	179.00	ACR|4VULN|1AART|1DMG	1ERES|26LWND|3RCR|4AART|5678VULN|6BPWR|9MLV|aDMG
54	31253 63126	   	179.00	ACR|4VULN|1AART|1DMG	1ERES|26LWND|3RCR|4AART|5678VULN|6BPWR|9CGEN|aDMG
55	31253 63163	   	179.00	ACR|4VULN|1AART|1DMG	1ERES|26LWND|3RCR|4AART|5678VULN|6BPWR|9RCVC|aDMG
56	31253 65232	   	179.00	ACR|4VULN|1AART|1DMG	1ERES|26LWND|3RCR|4AART|569aVULN|6BPWR|7LHND|8DMG
57	26216 21432	   	178.99	ACR|3VULN|2DMG|1AART	129CGEN|3RCR|467VULN|56DMG|6BPWR|8RCVC|aAART
