0	Index      	 *	Score 	Summary	Detail	
1	13524 43231	 * 	192.99	ACR|4VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2FEWX|3DUR|489aVULN|5RCR|6DMG|7AART
2	33121 14153	 * 	188.52	DCR|3VULN|2DMG|1AART|1CDMG	1aCGEN|2aTLV|368VULN|4AART|5CDMG|7aDMG|9RCR|aBPWR
3	13524 43221	 * 	185.20	ACR|3VULN|1AART|1DMG|2CDMG|1DUR	19CDMG|2FEWX|3DUR|48aVULN|5RCR|6DMG|7AART
4	12343 21222	   	184.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1CDMG|2RPLT|34VULN|5MGNLIT|6aDMG|7AART|8RCR|9ZMB
5	11651 32316	   	182.10	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2VENICY|37DMG|4AART|5aVULN|6DUR|8RCR|9MLV
6	11651 32321	   	182.10	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2VENICY|37DMG|4AART|5aVULN|6DUR|8RCR|9CGEN
7	33121 34514	   	181.37	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1CGEN|2TLV|39VULN|4AART|5CDMG|6ZMB|78DMG|aRCR
8	13524 43212	   	181.18	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1CDMG|2FEWX|3DUR|48VULN|5RCR|6DMG|7AART|9ASPD|aZMB
9	12343 21254	   	180.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2RPLT|34VULN|5MGNLIT|6aDMG|7AART|8RCR|9DUR
10	64332 23214	 * 	180.28	DCR|3VULN|1AART|1DMG|2ASPD|1CDMG	1BEXP|25ASPD|349VULN|6DMG|7AART|8CDMG|aRCR
11	11651 32335	 * 	180.17	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	1CDMG|2VENICY|37aDMG|4AART|5VULN|6DUR|8RCR|9LWND
12	12342 63232	 * 	179.98	DCR|3VULN|1AART|1DMG|2CDMG|1ASPD	18CDMG|2RPLT|346VULN|5ASPD|7AART|9DMG|aRCR
13	11651 32423	   	179.70	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1CDMG|2VENICY|37DMG|4AART|5aVULN|6DUR|8LIT|9RCR
14	33121 14653	 * 	179.18	DCR|2VULN|2DMG|1AART|2CDMG	1aCGEN|2aTLV|36VULN|4AART|58CDMG|7aDMG|9RCR|aBPWR
15	13524 43232	   	178.89	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2FEWX|3DUR|489VULN|5RCR|6DMG|7AART|aLHND
16	13524 43233	   	178.89	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2FEWX|3DUR|489VULN|5RCR|6DMG|7AART|aLWND
17	12343 21225	 * 	178.33	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	1CDMG|2RPLT|34VULN|5MGNLIT|6DMG|7aAART|8RCR|9ZMB
18	14612 42331	   	178.19	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2TLV|3DUR|4CGEN|5RCR|6DMG|79aVULN|8AART
19	15124 53144	   	178.13	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2LEGI|3MBVNT|458VULN|6DMG|7ZMB|9RCR|aAART
20	61332 41114	 * 	178.11	DCR|4VULN|1AART|1CDMG|1ZMB|1ASPD	1BEXP|2ZMB|3479VULN|5ASPD|6CDMG|8AART|aRCR
21	33121 14155	   	177.77	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CGEN|2TLV|368VULN|4AART|5CDMG|7DMG|9RCR|aASPD
22	63161 13521	   	175.63	DCR|3VULN|1AART|1DMG|1CDMG	12BEXP|36aVULN|4AART|5CDMG|7RCR|8DMG|9MBVNT
23	63112 23264	   	175.60	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	12BEXP|34VULN|5ASPD|69DMG|7AART|8CDMG|aRCR
24	31122 12226	   	175.46	DCR|2VULN|2DMG|1AART|1CDMG	124aCGEN|2aBPWR|3aDMG|5CDMG|6LIT|7RCR|8AART|9aVULN
25	33121 14114	   	175.37	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CGEN|2TLV|368VULN|4AART|5CDMG|7DMG|9ASPD|aRCR
26	11512 13451	   	175.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2VENICY|34aVULN|5DMG|6ERES|7DUR|8AART|9RCR
27	31133 46214	   	175.18	DCR|2VULN|2DMG|1AART|2CDMG	128CGEN|28BPWR|38DMG|4LWND|59VULN|68CDMG|7AART|aRCR
28	11661 33413	 * 	174.14	ACR|2DMG|1AART|1VULN|2CDMG|2DUR	19CDMG|249VENICY|34DMG|49BPWR|5RCR|6TLV|79DUR|8AART|aVULN
29	15122 44244	   	174.07	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2LEGI|3MBVNT|467VULN|5ASPD|8DMG|9RCR|aAART
30	15124 34244	   	174.07	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2LEGI|3MBVNT|457VULN|6ASPD|8DMG|9RCR|aAART
31	15173 44244	   	174.07	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2LEGI|3MBVNT|4ASPD|567VULN|8DMG|9RCR|aAART
32	12615 13322	   	174.06	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2RPLT|36DMG|48VULN|5RMIN|7RCR|9FEWX|aAART
33	12616 13322	   	174.06	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2RPLT|36DMG|48VULN|5CGEN|7RCR|9FEWX|aAART
34	12615 13362	   	173.96	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2RPLT|36DMG|48VULN|5RMIN|7RCR|9DUST|aAART
35	12616 13362	   	173.96	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2RPLT|36DMG|48VULN|5CGEN|7RCR|9DUST|aAART
36	12343 11222	   	173.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2RPLT|34VULN|5MGNLIT|6ASPD|7AART|8RCR|9ZMB|aDMG
37	11661 15111	 * 	173.68	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|24VENICY|34DMG|4BPWR|5RCR|6ERES|7AART|8aVULN|9LWND
38	11661 15131	   	173.68	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|24VENICY|34DMG|4BPWR|5RCR|6ERES|7AART|8aVULN|9FEWX
39	63112 23214	   	173.67	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	12BEXP|349VULN|5ASPD|6DMG|7AART|8CDMG|aRCR
40	11661 15121	   	173.58	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|24VENICY|34DMG|4BPWR|5RCR|6ERES|7AART|8aVULN|9DUST
41	12343 21242	   	173.46	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2RPLT|34VULN|5MGNLIT|6aDMG|7AART|8RCR|9RMIN
42	12615 13314	 * 	173.45	DCR|3DMG|2VULN|1CDMG|1DUR	1CDMG|2RPLT|369DMG|48VULN|5RMIN|7RCR|aDUR
