0	Index      	 *	Score 	Summary	Detail	
1	23233 34436	 * 	208.51	DCR|5VULN|3DMG|3ASPD	16789VULN|2RCVC|3DMSP|479ASPD|579DMG|79BPWR|aRCR
2	24212 31525	 * 	196.97	DCR|3VULN|2DMG|1AART|2CDMG|1ASPD	179VULN|25CDMG|36DMG|4ASPD|8AART|aRCR
3	34212 31525	   	196.97	DCR|3VULN|2DMG|1AART|2CDMG|1ASPD	16DMG|25CDMG|379VULN|4ASPD|8AART|aRCR
4	34131 23531	 * 	196.42	ACR|4VULN|1AART|1DMG|2CDMG|1SELL	1DMG|26CDMG|3RCR|467aVULN|5SELL|6BPWR|8AART|9LHND
5	34131 23553	 * 	196.42	ACR|4VULN|1AART|1DMG|2CDMG|1SELL	1DMG|26CDMG|3RCR|467aVULN|5SELL|6BPWR|8AART|9RMIN
6	34131 23541	 * 	196.32	ACR|4VULN|1AART|1DMG|2CDMG|1SELL	1DMG|26CDMG|3RCR|467aVULN|5SELL|6BPWR|8AART|9DUST
7	24137 61214	   	196.31	DCR|2VULN|2DMG|1AART|2CDMG|2DUR	1aVULN|2aCDMG|3MBVNT|4LIT|57DMG|6RCR|8AART|9aDUR|aBPWR
8	34131 21412	 * 	195.27	ACR|3VULN|1AART|1DMG|2CDMG|1FLTHEA|1SELL	1DMG|26CDMG|3RCR|468VULN|5SELL|6BPWR|7DLOT|9AART|aFLTHEA
9	34131 23512	 * 	193.77	ACR|3VULN|2AART|1DMG|2CDMG|1SELL	1DMG|26CDMG|3RCR|467VULN|5SELL|6BPWR|89AART|aMLV
10	34131 23513	 * 	193.77	ACR|3VULN|2AART|1DMG|2CDMG|1SELL	1DMG|26CDMG|3RCR|467VULN|5SELL|6BPWR|89AART|aBEXP
11	34131 23514	 * 	193.77	ACR|3VULN|2AART|1DMG|2CDMG|1SELL	1DMG|26CDMG|3RCR|467VULN|5SELL|6BPWR|89AART|aRCVC
12	34131 23516	 * 	193.77	ACR|3VULN|2AART|1DMG|2CDMG|1SELL	1DMG|26CDMG|3RCR|467VULN|5SELL|6BPWR|89AART|aRMIN
13	34131 23511	 * 	193.67	ACR|3VULN|2AART|1DMG|2CDMG|1SELL	1DMG|26CDMG|3RCR|467VULN|5SELL|6BPWR|89AART|aNUKE
14	34131 23515	 * 	193.67	ACR|3VULN|2AART|1DMG|2CDMG|1SELL	1DMG|26CDMG|3RCR|467VULN|5SELL|6BPWR|89AART|aDUST
15	34131 33531	 * 	193.49	ACR|3VULN|2DMG|1AART|1CDMG|1SELL	16DMG|2CDMG|3RCR|47aVULN|5SELL|8AART|9LHND
16	34131 33553	 * 	193.49	ACR|3VULN|2DMG|1AART|1CDMG|1SELL	16DMG|2CDMG|3RCR|47aVULN|5SELL|8AART|9RMIN
17	24233 21525	 * 	193.48	DCR|4VULN|1AART|1DMG|2CDMG|1ASPD	1479VULN|25CDMG|3DMG|6ASPD|8AART|aRCR
18	34233 21525	   	193.48	DCR|4VULN|1AART|1DMG|2CDMG|1ASPD	1DMG|25CDMG|3479VULN|6ASPD|8AART|aRCR
19	34131 33541	 * 	193.39	ACR|3VULN|2DMG|1AART|1CDMG|1SELL	16DMG|2CDMG|3RCR|47aVULN|5SELL|8AART|9DUST
20	23213 16542	 * 	193.32	DCR|3DMG|2VULN|1AART|1CDMG	17VULN|2RCVC|3DMSP|45aDMG|6RCR|8AART|9CDMG
21	31112 41616	   	193.32	DCR|3DMG|2VULN|1AART|2ASPD	19aDMG|2aASPD|3TLV|47LWND|5aVULN|6RCR|8AART|aBPWR
22	31332 42516	   	193.32	DCR|3DMG|2VULN|1AART|2ASPD	19aDMG|2aASPD|37BEXP|4ERES|5aVULN|6RCR|8AART|aBPWR
23	24132 61643	   	193.27	DCR|3VULN|2DMG|2CDMG|1ZMB|1ASPD	189VULN|29CDMG|3MBVNT|4LIT|5ZMB|6RCR|79DMG|9BPWR|aASPD
24	24132 61644	   	193.27	DCR|3VULN|2DMG|2CDMG|1ZMB|1DUR	189VULN|29CDMG|3MBVNT|4LIT|5ZMB|6RCR|79DMG|9BPWR|aDUR
25	12332 55136	 * 	192.43	ACR|2VULN|2DMG|2AART|2ASPD	1aDUST|2RCR|3aASPD|4CGEN|56DMG|78AART|9aVULN|aBPWR
