0	Index      	 *	Score 	Summary	Detail	
1	14132 63325	 * 	197.69	DCR|2AART|2DMG|2CDMG|1VULN|3DUR	189DUR|23AART|4LWND|58DMG|6RCR|78CDMG|8BPWR|aVULN
2	14132 63315	   	193.87	DCR|2AART|2DMG|1VULN|2CDMG|2DUR	18DUR|23AART|4LWND|58DMG|6RCR|78CDMG|8BPWR|9MLV|aVULN
3	14132 63341	   	193.87	DCR|2AART|2DMG|2CDMG|1VULN|2DUR	18DUR|23AART|4LWND|58DMG|6RCR|78CDMG|8BPWR|9LHND|aVULN
4	14132 63331	   	193.77	DCR|2AART|2DMG|2CDMG|1VULN|2DUR	18DUR|23AART|4LWND|58DMG|6RCR|78CDMG|8BPWR|9DUST|aVULN
5	14112 63241	   	192.97	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB|1DUR	1DUR|23AART|4VULN|59DMG|6RCR|7CDMG|8ERES|aZMB
6	13116 63363	   	191.38	DCR|2DMG|1AART|1VULN|2CDMG|3DUR|1ASPD	128DUR|3FEWX|48DMG|5AART|6RCR|78CDMG|8BPWR|9VULN|aASPD
7	24532 12252	 * 	190.19	ACR|2VULN|2DMG|1AART|2ASPD|1ZMB	1CANHEL|2RCR|39ASPD|4LSRREG|5ZMB|69DMG|7BEXP|89VULN|9BPWR|aAART
8	14112 63431	 * 	189.00	DCR|2AART|2VULN|1DMG|1CDMG|1DUR|1ASPD	1DUR|23AART|4aVULN|5DMG|6RCR|7CDMG|8ASPD|9MLV
9	14112 63243	   	188.90	DCR|2AART|2DMG|1VULN|1CDMG|1DUR|1ASPD	1DUR|23AART|4VULN|59DMG|6RCR|7CDMG|8ERES|aASPD
10	14112 63631	 * 	188.28	DCR|2AART|2VULN|1DMG|2CDMG|1DUR	1DUR|23AART|4aVULN|5DMG|6RCR|78CDMG|9DUST
11	14116 31622	   	187.36	DCR|2AART|2VULN|1DMG|1CDMG|2DUR	15DUR|23AART|47VULN|6RCR|8DMSP|9DMG|aCDMG
12	14112 63242	   	187.26	DCR|2AART|2DMG|1VULN|1CDMG|2DUR	1aDUR|23AART|4VULN|59DMG|6RCR|7CDMG|8ERES
13	14132 63311	   	184.81	DCR|2AART|2DMG|2CDMG|2DUR|1ZMB	18DUR|23AART|4LWND|58DMG|6RCR|78CDMG|8BPWR|9MLV|aZMB
14	14132 63342	   	184.81	DCR|2AART|2DMG|2CDMG|2DUR|1ZMB	18DUR|23AART|4LWND|58DMG|6RCR|78CDMG|8BPWR|9LHND|aZMB
15	14132 63332	   	184.71	DCR|2AART|2DMG|2CDMG|2DUR|1ZMB	18DUR|23AART|4LWND|58DMG|6RCR|78CDMG|8BPWR|9DUST|aZMB
16	13116 63353	   	184.44	DCR|2DMG|1AART|1VULN|2CDMG|3DUR	128DUR|3FEWX|48DMG|5AART|6RCR|78CDMG|8BPWR|9RCVC|aVULN
17	13116 63361	   	184.44	DCR|2DMG|1AART|1VULN|2CDMG|3DUR	128DUR|3FEWX|48DMG|5AART|6RCR|78CDMG|8BPWR|9VULN|aRMIN
