0	Index      	 *	Score 	Summary	Detail	
1	13163 24521	 * 	202.87	ACR|3VULN|3DMG|1AART|2DUR	18aVULN|24DUR|348FEWX|48BPWR|5RCR|678DMG|9AART
2	13623 22521	 * 	196.93	ACR|4VULN|2DMG|1AART|1DUR	138aVULN|2DUR|4LWND|5RCR|69DMG|7AART
3	13643 22521	   	196.93	ACR|4VULN|2DMG|1AART|1DUR	138aVULN|2DUR|4LHND|5RCR|69DMG|7AART
4	13612 11253	 * 	192.01	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	13VULN|2DUR|4ZMB|5FEWX|6AART|7CDMG|8RCR|9aDMG
5	13616 11253	   	192.01	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	13VULN|2DUR|4ZMB|5BEXP|6AART|7CDMG|8RCR|9aDMG
6	13623 22524	   	189.76	ACR|3VULN|2DMG|1AART|1DUR|1ASPD	138VULN|2DUR|4LWND|5RCR|69DMG|7AART|aASPD
7	13523 22521	   	188.12	ACR|3VULN|2DMG|1AART|2DUR	18aVULN|23DUR|4LWND|5RCR|69DMG|7AART
8	13543 22521	   	188.12	ACR|3VULN|2DMG|1AART|2DUR	18aVULN|23DUR|4LHND|5RCR|69DMG|7AART
9	13623 22321	   	188.12	ACR|3VULN|2DMG|1AART|2DUR	13aVULN|28DUR|4LWND|5RCR|69DMG|7AART
10	13643 22321	   	188.12	ACR|3VULN|2DMG|1AART|2DUR	13aVULN|28DUR|4LHND|5RCR|69DMG|7AART
11	63623 22521	   	188.12	ACR|3VULN|2DMG|1AART|2DUR	1LHND|24DUR|38aVULN|5RCR|69DMG|7AART
12	13623 24523	 * 	187.68	ACR|4VULN|3DMG|1DUR	138aVULN|2DUR|48LWND|5RCR|678DMG|8BPWR|9LEGI
13	13163 24523	   	187.22	ACR|3DMG|2VULN|1AART|2DUR	18VULN|24DUR|348FEWX|48BPWR|5RCR|678DMG|9AART|aLSRICY
14	13163 24522	   	187.12	ACR|3DMG|2VULN|1AART|2DUR	18VULN|24DUR|348FEWX|48BPWR|5RCR|678DMG|9AART|aDUST
