0	Index      	 *	Score 	Summary	Detail	
1	12513 12414	 * 	210.90	ACR|3VULN|3DMG|1AART|2ZMB	14aVULN|24LHND|3RCR|4aBPWR|56aDMG|7RPLT|8AART|9aZMB
2	11336 52125	 * 	209.34	ACR|4VULN|3DMG|3CDMG	179aVULN|29aCDMG|3LIT|4RCR|5RMIN|6DUST|89aDMG|9aBPWR
3	11131 43533	 * 	206.00	DCR|5VULN|2DMG|3CDMG	1359aVULN|289CDMG|49DMG|6BELT|7RCR|9BPWR
4	11331 22525	   	204.03	ACR|4VULN|3DMG|1CDMG|1ASPD	179aVULN|2CDMG|39aLIT|4RCR|5LWND|6ASPD|89aDMG|9aBPWR
5	11332 22525	   	204.03	ACR|4VULN|3DMG|1CDMG|1ASPD	179aVULN|2CDMG|39aLIT|4RCR|5BEXP|6ASPD|89aDMG|9aBPWR
6	11333 33666	   	203.73	ACR|4VULN|3DMG|1CDMG|1DUR	169aVULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DUR
7	11131 43231	 * 	202.78	DCR|4VULN|3DMG|2CDMG	1359VULN|29CDMG|489DMG|6aBELT|7RCR|9BPWR
8	11131 43232	   	202.78	DCR|4VULN|3DMG|2CDMG	1359VULN|29CDMG|489DMG|6BELT|7RCR|9BPWR|aBEXP
9	11131 43233	   	202.78	DCR|4VULN|3DMG|2CDMG	1359VULN|29CDMG|489DMG|6BELT|7RCR|9BPWR|aCGEN
10	11131 43236	   	202.78	DCR|4VULN|3DMG|2CDMG	1359VULN|29CDMG|489DMG|6BELT|7RCR|9BPWR|aFEWX
11	11131 43234	   	202.68	DCR|4VULN|3DMG|2CDMG	1359VULN|29CDMG|489DMG|6BELT|7RCR|9BPWR|aERES
12	11333 34525	 * 	201.40	ACR|4VULN|2DMG|3ASPD|1CDMG	169aVULN|2CDMG|39aLIT|4RCR|56DMG|69aBPWR|7BEXP|89aASPD
13	11333 33663	   	200.63	ACR|3VULN|3DMG|1CDMG|1ZMB|1DUR	169VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DUR|aZMB
14	11131 43532	   	200.11	DCR|4VULN|2DMG|3CDMG|1DUR	1359VULN|289CDMG|49DMG|6BELT|7RCR|9BPWR|aDUR
15	11333 33655	   	199.08	ACR|3DMG|2VULN|1AART|1CDMG|1DUR	16VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DUR|9AART|aRCVC
16	11333 33145	   	197.78	ACR|3DMG|2VULN|1AART|1CDMG|1DUR	16VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8LWND|9AART|aDUR
17	11333 33255	   	197.78	ACR|3DMG|2VULN|1AART|1CDMG|1DUR	16VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8FEWX|9AART|aDUR
18	11333 33651	   	197.78	ACR|3DMG|2VULN|1AART|1CDMG|1DUR	16VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DUR|9AART|aCGEN
19	11333 33654	   	197.78	ACR|3DMG|2VULN|1AART|1CDMG|1DUR	16VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DUR|9AART|aLHND
20	11333 33656	   	197.78	ACR|3DMG|2VULN|1AART|1CDMG|1DUR	16VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DUR|9AART|aRMIN
21	11333 33355	   	197.68	ACR|3DMG|2VULN|1AART|1CDMG|1DUR	16VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DUST|9AART|aDUR
22	11333 33653	   	197.68	ACR|3DMG|2VULN|1AART|1CDMG|1DUR	16VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DUR|9AART|aBASHEA
23	11336 62125	   	196.99	ACR|4VULN|3DMG|1CDMG	179aVULN|2CDMG|39aLIT|4RCR|5RMIN|6LEGI|89aDMG|9aBPWR
24	11333 62125	   	196.89	ACR|4VULN|3DMG|1CDMG	179aVULN|2CDMG|39aLIT|4RCR|59aDMG|6LEGI|8NUKE|9aBPWR
25	11333 33266	   	196.79	ACR|4VULN|3DMG|1CDMG	169aVULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8FEWX
26	11333 35351	   	196.79	ACR|4VULN|3DMG|1CDMG	169aVULN|2CDMG|3LIT|4RCR|568DMG|6BPWR|7BELT
27	11333 33366	   	196.69	ACR|4VULN|3DMG|1CDMG	169aVULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DUST
28	11333 33665	   	196.57	ACR|3VULN|3DMG|1CDMG|1ASPD|1DUR	169VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DUR|aASPD
29	11131 43241	   	196.47	DCR|4VULN|3DMG|1CDMG	135aVULN|2CDMG|48aDMG|6BELT|7RCR|9aLIT|aBPWR
30	11333 62525	 * 	195.96	ACR|4VULN|3CDMG|3ASPD|1DMG	179aVULN|29aCDMG|3LIT|4RCR|5DMG|6LEGI|89aASPD|9aBPWR
31	11333 34523	   	194.89	ACR|4VULN|2DMG|2ASPD|1CDMG	169aVULN|2CDMG|39LIT|4RCR|56DMG|69BPWR|7BEXP|89ASPD
32	11131 65163	 * 	194.68	DCR|4VULN|2AART|1DMG|1CDMG	1356VULN|2CDMG|4DMG|7aAART|8BEXP|9RCR
33	11131 43535	   	194.47	DCR|4VULN|2DMG|3CDMG	1359VULN|289CDMG|49DMG|6BELT|7RCR|9BPWR|aRCVC
34	11131 65162	   	194.23	DCR|4VULN|1AART|1DMG|1CDMG|1ZMB	1356VULN|2CDMG|4DMG|7AART|8BEXP|9RCR|aZMB
35	11333 34125	   	193.79	ACR|4VULN|2DMG|3CDMG	169aVULN|29aCDMG|3LIT|4RCR|56DMG|69aBPWR|79aBEXP|8NUKE
36	11333 33263	   	193.69	ACR|3VULN|3DMG|1CDMG|1ZMB	169VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8FEWX|aZMB
37	11333 33363	   	193.59	ACR|3VULN|3DMG|1CDMG|1ZMB	169VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DUST|aZMB
38	11131 43536	   	193.17	DCR|4VULN|2DMG|3CDMG	1359VULN|289CDMG|49DMG|6BELT|7RCR|9BPWR|aBEXP
39	11131 43531	   	193.07	DCR|4VULN|2DMG|3CDMG	1359VULN|289CDMG|49DMG|6BELT|7RCR|9BPWR|aLSRREG
40	11131 43534	   	193.07	DCR|4VULN|2DMG|3CDMG	1359VULN|289CDMG|49DMG|6BELT|7RCR|9BPWR|aERES
41	11333 23413	   	192.89	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	19aVULN|2CDMG|3LIT|4RCR|5DMG|6AART|7ZMB|8DUR
42	11333 25155	   	192.44	ACR|3VULN|2DMG|1AART|1CDMG	189VULN|2CDMG|3LIT|4RCR|5aDMG|6AART|7DLOT
43	12513 12413	   	191.19	ACR|3VULN|2DMG|1AART|1ZMB	14aVULN|24LHND|3RCR|4BPWR|56DMG|7RPLT|8AART|9ZMB
44	11333 33661	   	190.93	ACR|3VULN|3DMG|1CDMG|1DUR	169VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DUR|aRCVC
45	11333 33141	   	190.84	ACR|3DMG|2VULN|1AART|1CDMG	16VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8LWND|9AART|aCGEN
46	11333 33146	   	190.84	ACR|3DMG|2VULN|1AART|1CDMG	16VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8LWND|9AART|aBEXP
47	11333 33251	   	190.84	ACR|3DMG|2VULN|1AART|1CDMG	16VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8FEWX|9AART|aCGEN
48	11333 33254	   	190.84	ACR|3DMG|2VULN|1AART|1CDMG	16VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8FEWX|9AART|aLHND
49	11333 33256	   	190.84	ACR|3DMG|2VULN|1AART|1CDMG	16VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8FEWX|9AART|aBEXP
50	11333 33143	   	190.74	ACR|3DMG|2VULN|1AART|1CDMG	16VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8LWND|9AART|aBASHEA
51	11333 33144	   	190.74	ACR|3DMG|2VULN|1AART|1CDMG	16VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8LWND|9AART|aLEGI
52	11333 33253	   	190.74	ACR|3DMG|2VULN|1AART|1CDMG	16VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8FEWX|9AART|aBASHEA
53	11333 33351	   	190.74	ACR|3DMG|2VULN|1AART|1CDMG	16VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DUST|9AART|aCGEN
54	11333 33354	   	190.74	ACR|3DMG|2VULN|1AART|1CDMG	16VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DUST|9AART|aLHND
55	11333 33356	   	190.74	ACR|3DMG|2VULN|1AART|1CDMG	16VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DUST|9AART|aFEWX
56	11333 34663	   	190.74	ACR|3VULN|2DMG|1AART|1CDMG	16aVULN|2CDMG|3LIT|4RCR|56DMG|6BPWR|7BEXP|8ERES|9AART
57	11333 33353	   	190.64	ACR|3DMG|2VULN|1AART|1CDMG	16VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DUST|9AART|aBASHEA
58	11333 33416	   	189.63	ACR|3VULN|3DMG|1CDMG|1DUR	16aVULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DMSP|9DUR
59	11333 33636	   	189.63	ACR|3VULN|3DMG|1CDMG|1DUR	16aVULN|2CDMG|39LIT|4RCR|567DMG|6BPWR|8DUR
60	11333 33646	   	189.63	ACR|3VULN|3DMG|1CDMG|1DUR	16aVULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DUR|9DMSP
61	11333 33265	   	189.63	ACR|3VULN|3DMG|1CDMG|1ASPD	169VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8FEWX|aASPD
62	11333 35356	   	189.63	ACR|3VULN|3DMG|1CDMG|1DUR	169VULN|2CDMG|3LIT|4RCR|568DMG|6BPWR|7BELT|aDUR
63	11333 33624	   	189.53	ACR|3VULN|3DMG|1CDMG|1DUR	16aVULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DUR|9DUST
64	11333 33664	   	189.53	ACR|3VULN|3DMG|1CDMG|1DUR	169VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DUR|aERES
65	11333 33365	   	189.53	ACR|3VULN|3DMG|1CDMG|1ASPD	169VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DUST|aASPD
66	11333 35354	   	189.00	ACR|3VULN|3DMG|2CDMG	169VULN|2aCDMG|3LIT|4RCR|568DMG|6BPWR|7BELT
67	11331 22523	   	188.17	ACR|4VULN|2DMG|1CDMG|1ASPD	179aVULN|2CDMG|39LIT|4RCR|5LWND|6ASPD|89DMG|9BPWR
68	11332 22523	   	188.17	ACR|4VULN|2DMG|1CDMG|1ASPD	179aVULN|2CDMG|39LIT|4RCR|5BEXP|6ASPD|89DMG|9BPWR
69	11333 34123	   	187.55	ACR|4VULN|2DMG|2CDMG	169aVULN|29CDMG|3LIT|4RCR|56DMG|69BPWR|79BEXP|8NUKE
70	11131 43541	   	187.13	DCR|4VULN|2DMG|2CDMG	135aVULN|28CDMG|4aDMG|6BELT|7RCR|9aLIT|aBPWR
71	11336 12125	   	187.10	ACR|3VULN|2DMG|2CDMG|1FLTHEA	179VULN|29CDMG|3LIT|4RCR|5RMIN|6FEWX|89DMG|9BPWR|aFLTHEA
72	11131 44431	   	186.93	DCR|4VULN|2DMG|2CDMG	1359VULN|29CDMG|49DMG|6BELT|7RCVC|8RCR|9BPWR|aCGEN
73	11131 55163	 * 	186.89	DCR|3VULN|2AART|1DMG|2CDMG	135VULN|26CDMG|4DMG|7aAART|8BEXP|9RCR
74	11131 44432	   	186.83	DCR|4VULN|2DMG|2CDMG	1359VULN|29CDMG|49DMG|6BELT|7RCVC|8RCR|9BPWR|aERES
75	11131 44433	   	186.83	DCR|4VULN|2DMG|2CDMG	1359VULN|29CDMG|49DMG|6BELT|7RCVC|8RCR|9BPWR|aVENICY
76	11131 55162	   	186.45	DCR|3VULN|1AART|1DMG|2CDMG|1ZMB	135VULN|26CDMG|4DMG|7AART|8BEXP|9RCR|aZMB
77	11333 25156	 * 	186.30	ACR|3VULN|2AART|1DMG|1CDMG	189VULN|2CDMG|3LIT|4RCR|5DMG|6aAART|7DLOT
78	11333 22413	   	185.95	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	19aVULN|2CDMG|3LIT|4RCR|5DMG|6AART|7FEWX|8ZMB
79	11333 23113	   	185.95	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	19aVULN|2CDMG|3LIT|4RCR|5DMG|6AART|7ZMB|8BEXP
80	13516 11212	   	185.74	ACR|4VULN|3DMG	149aVULN|247BEXP|3RCR|4aBPWR|5aMLV|68aDMG
81	15221 16224	 * 	185.00	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	14VULN|24TLV|3AART|4BPWR|5CANSTR|6ASPD|7RCR|8CDMG|9aDMG
82	11333 33413	   	184.98	ACR|3DMG|2VULN|1CDMG|1ZMB|1DUR	16VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DMSP|9DUR|aZMB
83	11333 33633	   	184.98	ACR|3DMG|2VULN|1CDMG|1ZMB|1DUR	16VULN|2CDMG|39LIT|4RCR|567DMG|6BPWR|8DUR|aZMB
84	11333 33643	   	184.98	ACR|3DMG|2VULN|1CDMG|1ZMB|1DUR	16VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DUR|9DMSP|aZMB
85	11336 12123	   	184.45	ACR|3VULN|2DMG|2CDMG|1ZMB	179VULN|29CDMG|3LIT|4RCR|5RMIN|6FEWX|89DMG|9BPWR|aZMB
86	11336 52123	   	184.35	ACR|3VULN|2DMG|2CDMG|1ZMB	179VULN|29CDMG|3LIT|4RCR|5RMIN|6DUST|89DMG|9BPWR|aZMB
87	11133 27422	 * 	184.22	DCR|3VULN|2DMG|1AART|1CDMG	138VULN|2CDMG|49DMG|5BEXP|6MBVNT|7AART|aRCR
88	11333 33336	   	184.19	ACR|3VULN|3DMG|1CDMG	16aVULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DUST|9RCVC
89	11333 33261	   	183.99	ACR|3VULN|3DMG|1CDMG	169VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8FEWX|aRCVC
90	11333 33361	   	183.89	ACR|3VULN|3DMG|1CDMG	169VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DUST|aRCVC
91	11333 52525	   	183.61	ACR|4VULN|3ASPD|1DMG|1CDMG	179aVULN|2CDMG|39aLIT|4RCR|5DMG|6DUST|89aASPD|9aBPWR
92	11333 62523	   	183.41	ACR|4VULN|1DMG|2CDMG|2ASPD	179aVULN|29CDMG|3LIT|4RCR|5DMG|6LEGI|89ASPD|9BPWR
93	11131 65161	   	183.23	DCR|4VULN|1AART|1DMG|1CDMG	1356VULN|2CDMG|4DMG|7AART|8BEXP|9RCR|aCGEN
94	11333 33136	   	182.69	ACR|3VULN|3DMG|1CDMG	16aVULN|2CDMG|39LIT|4RCR|567DMG|6BPWR|8LWND
95	11333 33236	   	182.69	ACR|3VULN|3DMG|1CDMG	16aVULN|2CDMG|39LIT|4RCR|567DMG|6BPWR|8FEWX
96	11333 33246	   	182.69	ACR|3VULN|3DMG|1CDMG	16aVULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8FEWX|9DMSP
97	11333 33426	   	182.69	ACR|3VULN|3DMG|1CDMG	16aVULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DMSP|9BEXP
98	11333 35333	   	182.69	ACR|3VULN|3DMG|1CDMG	16aVULN|2CDMG|3LIT|4RCR|568DMG|6BPWR|7BELT|9LHND
99	11333 35352	   	182.69	ACR|3VULN|3DMG|1CDMG	169VULN|2CDMG|3LIT|4RCR|568DMG|6BPWR|7BELT|aFEWX
100	11333 35353	   	182.69	ACR|3VULN|3DMG|1CDMG	169VULN|2CDMG|3aLIT|4RCR|568DMG|6BPWR|7BELT
101	15221 34212	 * 	182.62	DCR|4VULN|1AART|3CDMG	149aVULN|249TLV|3AART|49aBPWR|5CANSTR|6aERES|7RCR|89aCDMG
102	15225 34212	   	182.62	DCR|4VULN|1AART|3CDMG	149aVULN|249TLV|3AART|49aBPWR|5BASHEA|6aERES|7RCR|89aCDMG
103	11333 33124	   	182.59	ACR|3VULN|3DMG|1CDMG	16aVULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8LWND|9DUST
104	11333 33224	   	182.59	ACR|3VULN|3DMG|1CDMG	16aVULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8FEWX|9DUST
105	11333 33264	   	182.59	ACR|3VULN|3DMG|1CDMG	169VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8FEWX|aERES
106	11333 33346	   	182.59	ACR|3VULN|3DMG|1CDMG	16aVULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DUST|9DMSP
107	11333 33466	   	182.59	ACR|3VULN|3DMG|1CDMG	16aVULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DMSP|9DUST
108	11333 35323	   	182.59	ACR|3VULN|3DMG|1CDMG	16aVULN|2CDMG|3LIT|4RCR|568DMG|6BPWR|7BELT|9MBVNT
109	11333 35355	   	182.59	ACR|3VULN|3DMG|1CDMG	169VULN|2CDMG|3LIT|4RCR|568DMG|6BPWR|7BELT|aDUST
110	11333 35363	   	182.59	ACR|3VULN|3DMG|1CDMG	16aVULN|2CDMG|3LIT|4RCR|568DMG|6BPWR|7BELT|9DUST
111	11333 23453	   	182.53	ACR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1aVULN|2CDMG|3LIT|4RCR|5DMG|6AART|7ZMB|89DUR
112	11333 33326	   	182.49	ACR|3VULN|3DMG|1CDMG	16aVULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|89DUST
113	11333 33364	   	182.49	ACR|3VULN|3DMG|1CDMG	169VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DUST|aERES
114	15221 34216	   	182.44	DCR|3VULN|1AART|2CDMG|1DMG	149VULN|249TLV|3AART|49BPWR|5CANSTR|6ERES|7RCR|89CDMG|aDMG
115	13512 11213	   	182.44	ACR|3VULN|3DMG|1ZMB	149VULN|247BEXP|3RCR|4BPWR|5ZMB|68aDMG
116	13512 11245	   	182.44	ACR|3VULN|3DMG|1ZMB	14aVULN|247BEXP|3RCR|4BPWR|5ZMB|689DMG
117	11131 43432	   	182.12	DCR|4VULN|2DMG|1CDMG	1359VULN|2CDMG|49DMG|6BELT|7RCR|89BEXP|9BPWR|aRCVC
118	11333 26413	   	181.89	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	19aVULN|2CDMG|3LIT|4RCR|5DMG|6AART|7MLV|8DUR
119	11333 21413	   	181.79	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	19aVULN|2CDMG|3LIT|4RCR|5DMG|6AART|7TLV|8DUR
120	13511 65221	   	181.59	ACR|2VULN|2DMG|1AART|1CDMG	14VULN|24BEXP|3RCR|4BPWR|5AART|6LIT|7aDMG|8CDMG|9RCVC
121	15351 32221	   	181.50	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	14VULN|2TLV|3LIT|5AART|6CDMG|7aDMG|8RCR|9ASPD
122	11336 62123	   	181.14	ACR|4VULN|2DMG|1CDMG	179aVULN|2CDMG|39LIT|4RCR|5RMIN|6LEGI|89DMG|9BPWR
123	11336 33621	 * 	181.10	ACR|2VULN|2DMG|1AART|2CDMG	18VULN|26CDMG|368LIT|4RCR|5RMIN|68BPWR|78DMG|9CGEN|aAART
124	11336 33661	   	181.10	ACR|2VULN|2DMG|1AART|2CDMG	18VULN|26CDMG|368LIT|4RCR|5RMIN|68BPWR|78DMG|9MLV|aAART
125	11333 62123	   	181.04	ACR|4VULN|2DMG|1CDMG	179aVULN|2CDMG|39LIT|4RCR|59DMG|6LEGI|8NUKE|9BPWR
126	11333 33415	   	180.91	ACR|3DMG|2VULN|1CDMG|1DUR|1ASPD	16VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DMSP|9DUR|aASPD
127	11333 33635	   	180.91	ACR|3DMG|2VULN|1CDMG|1ASPD|1DUR	16VULN|2CDMG|39LIT|4RCR|567DMG|6BPWR|8DUR|aASPD
128	11333 33645	   	180.91	ACR|3DMG|2VULN|1CDMG|1DUR|1ASPD	16VULN|2CDMG|3LIT|4RCR|567DMG|6BPWR|8DUR|9DMSP|aASPD
