0	Index      	 *	Score 	Summary	Detail	
1	21432 51162	 * 	221.15	DCR|5VULN|3DMG|1AART	1LWND|2AART|35679VULN|45aDMG|5BPWR|8RCR
2	21432 54132	   	210.27	DCR|3VULN|3DMG|1AART|1CDMG	1LWND|2AART|356VULN|458DMG|5BPWR|7RCR|9CDMG|aLHND
3	21432 54133	   	210.17	DCR|3VULN|3DMG|1AART|1CDMG	1LWND|2AART|356VULN|458DMG|5BPWR|7RCR|9CDMG|aLEGI
4	21432 34611	   	208.37	DCR|3VULN|2DMG|1AART|1CDMG|2ASPD	1aLWND|2AART|35aVULN|45DMG|5aBPWR|6RCVC|7RCR|8CDMG|9aASPD
5	21432 51135	   	206.22	DCR|4VULN|2DMG|1AART|1CDMG	1LWND|2AART|3567VULN|45DMG|5BPWR|8RCR|9AIRHEA|aCDMG
6	21432 51161	   	205.40	DCR|5VULN|2DMG|1AART	1LWND|2AART|35679VULN|45DMG|5BPWR|8RCR|aDUST
7	21432 51163	   	205.40	DCR|5VULN|2DMG|1AART	1LWND|2AART|35679VULN|45DMG|5BPWR|8RCR|aTLV
8	21432 31165	   	203.67	DCR|4VULN|2DMG|1AART|1ZMB	1LWND|2AART|3579VULN|45DMG|5BPWR|6RCVC|8RCR|aZMB
9	21432 51111	   	203.67	DCR|4VULN|2DMG|1AART|1ZMB	1LWND|2AART|3567VULN|45DMG|5BPWR|8RCR|9BEXP|aZMB
10	21432 54211	 * 	203.42	DCR|3VULN|2AART|2DMG|1ZMB	1LWND|28AART|356VULN|45DMG|5BPWR|7RCR|9BEXP|aZMB
11	21432 56322	   	201.36	DCR|3VULN|3DMG|1AART	19LWND|2AART|356VULN|459DMG|59BPWR|79LHND|8RCR|aDUR
12	21432 56332	   	201.16	DCR|3VULN|3DMG|1AART	1LWND|2AART|356VULN|459DMG|5BPWR|7LHND|8RCR|aDUR
13	21534 52321	   	201.02	DCR|3VULN|2AART|2DMG|1ZMB	19LWND|27AART|3DUST|49DMG|569VULN|8RCR|9BPWR|aZMB
14	21432 31162	   	199.61	DCR|4VULN|2DMG|1AART	1LWND|2AART|3579VULN|45DMG|5BPWR|6RCVC|8RCR|aDUR
15	21432 51153	   	199.61	DCR|4VULN|2DMG|1AART	1LWND|2AART|3567VULN|45DMG|5BPWR|8RCR|9CGEN|aASPD
16	21432 51123	   	199.51	DCR|4VULN|2DMG|1AART	1LWND|2AART|3567VULN|45DMG|5BPWR|8RCR|9ERES|aASPD
17	21432 51131	   	199.51	DCR|4VULN|2DMG|1AART	1LWND|2AART|3567VULN|45DMG|5BPWR|8RCR|9AIRHEA|aDUR
18	21432 51143	   	199.51	DCR|4VULN|2DMG|1AART	1LWND|2AART|3567VULN|45DMG|5BPWR|8RCR|9TLV|aASPD
19	21433 51162	   	199.51	DCR|4VULN|2DMG|1AART	1LWND|2AART|3679VULN|45DMG|8RCR|aDUR
