0	Index      	 *	Score 	Summary	Detail	
1	22111 62154	 * 	305.09	橙橙2等级2伤害1易伤	129掉矿3全技能4双倍秒伤5易伤69伤害79等级8a核9序列升级
2	53261 31111	 * 	293.95	橙橙2等级2易伤	12金币生成36易伤4立即金币56等级6序列升级79核8策反a全技能
3	22261 31111	   	293.75	橙橙2等级2易伤	12掉矿36易伤4双倍矿56等级6序列升级79核8策反a全技能
4	26214 51111	   	293.75	橙橙2等级2易伤	14掉矿25等级35易伤5序列升级6双倍矿79核8策反a全技能
5	26334 51111	   	293.75	橙橙2等级2易伤	13掉矿25等级45易伤5序列升级6双倍矿79核8策反a全技能
6	21341 31113	 * 	292.42	橙橙2等级2矿等1伤害	13掉矿2随机矿46矿等56等级6序列升级79核8策反a伤害
7	21341 31112	 * 	288.71	橙橙3等级2矿等	13a掉矿2随机矿46矿等56a等级6a序列升级79核8a策反
8	64532 31122	 * 	287.74	橙3易伤2雷电1等级1平台1攻速	145易伤2平台34雷电4序列升级6策反7攻速8低血量敌人9核a等级
9	53261 31112	   	285.64	橙橙2等级2易伤	12金币生成36易伤4立即金币56等级6序列升级79核8策反a最后敌人
10	53261 31113	   	285.64	橙橙2等级2易伤	12金币生成36易伤4立即金币56等级6序列升级79核8策反a基地爆炸
11	53261 31116	   	285.64	橙橙2等级2易伤	12金币生成36易伤4立即金币56等级6序列升级79核8策反a技能
12	53261 31114	   	285.54	橙橙2等级2易伤	12金币生成36易伤4立即金币56等级6序列升级79核8策反a狙击对直升
13	53261 31115	   	285.54	橙橙2等级2易伤	12金币生成36易伤4立即金币56等级6序列升级79核8策反a挖尘
14	22261 31112	   	285.44	橙橙2等级2易伤	12掉矿36易伤4双倍矿56等级6序列升级79核8策反a最后敌人
15	22261 31113	   	285.44	橙橙2等级2易伤	12掉矿36易伤4双倍矿56等级6序列升级79核8策反a基地爆炸
16	22261 31116	   	285.44	橙橙2等级2易伤	12掉矿36易伤4双倍矿56等级6序列升级79核8策反a技能
17	26214 51112	   	285.44	橙橙2等级2易伤	14掉矿25等级35易伤5序列升级6双倍矿79核8策反a最后敌人
18	26214 51113	   	285.44	橙橙2等级2易伤	14掉矿25等级35易伤5序列升级6双倍矿79核8策反a基地爆炸
19	26334 51112	   	285.44	橙橙2等级2易伤	13掉矿25等级45易伤5序列升级6双倍矿79核8策反a最后敌人
20	26334 51113	   	285.44	橙橙2等级2易伤	13掉矿25等级45易伤5序列升级6双倍矿79核8策反a基地爆炸
21	22261 31114	   	285.34	橙橙2等级2易伤	12掉矿36易伤4双倍矿56等级6序列升级79核8策反a狙击对直升
22	22261 31115	   	285.34	橙橙2等级2易伤	12掉矿36易伤4双倍矿56等级6序列升级79核8策反a挖尘
23	53261 31343	 * 	284.98	橙橙3等级2易伤	12金币生成36易伤4立即金币568等级6序列升级7a核9掉矿
24	22261 31353	   	284.88	橙橙3等级2易伤	12掉矿36易伤4双倍矿568等级6序列升级7a核9金币生成
25	11613 32614	   	282.38	橙橙1等级1易伤1伤害	13低血量敌人2赏金塔3序列升级4等级5全技能6a核7伤害8易伤9赏金邻近
26	21341 31111	   	280.67	橙橙2等级2矿等	13掉矿2随机矿46矿等56等级6序列升级79核8策反a全技能
27	64421 41124	 * 	278.28	橙2等级2雷电1易伤1矿等1平台	1易伤2平台3加一4矿等59雷电6低血量敌人78等级a核
28	11523 13613	   	275.97	橙橙1等级1易伤1攻速	1低血量敌人2赏金塔3易伤4攻速5等级6平台7时间8a核9最后敌人
29	61623 13613	   	275.97	橙橙1等级1易伤1攻速	1易伤2赏金塔3低血量敌人4攻速5等级6平台7时间8a核9最后敌人
30	66422 22223	 * 	275.89	橙2等级2易伤1矿等1伤害1暴击	16易伤2暴击3伤害4加一56等级6序列升级7平台8双倍矿9矿等a核
31	22261 31662	 * 	275.53	橙2易伤2等级1雷电1矿等	12掉矿36易伤4双倍矿56等级6序列升级7核8赏金邻近9雷电a矿等
