0	Index      	 *	Score 	Summary	Detail	
1	53221 26622	 * 	193.92	DCR|3DMG|2VULN|1AART|1CDMG	1aVULN|2RPLT|3AART|468DMG|5MLV|7RCR|9CDMG
2	56233 31621	 * 	192.02	ACR|2VULN|2DMG|2AART|1ZMB|1DUR	18VULN|2aDMG|3DUR|4RCR|5RPLT|6ZMB|79AART
3	53226 31213	   	191.27	DCR|3DMG|2VULN|1AART|1ZMB	18VULN|2RPLT|3AART|49aDMG|5CGEN|6ZMB|7RCR
4	53226 31215	 * 	191.27	DCR|3VULN|2DMG|1AART|1ZMB	18aVULN|2RPLT|3AART|49DMG|5CGEN|6ZMB|7RCR
5	51233 81474	 * 	190.04	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	17VULN|28LHND|37ZMB|4RCR|5MBVNT|67DMG|7BPWR|9AART|aCDMG
6	53221 26623	 * 	189.98	DCR|3DMG|1AART|1VULN|1CDMG|1FLTHEA	1VULN|2RPLT|3AART|468DMG|5MLV|7RCR|9CDMG|aFLTHEA
7	11135 21333	   	189.70	DCR|3VULN|2DMG|1AART|2DUR	19aDUST|259LWND|35DUR|4AART|59aBPWR|6aDMG|79aVULN|8RCR
8	51642 23231	 * 	187.97	ACR|3VULN|2DMG|1CDMG|2DUR|1ZMB	138VULN|28LHND|4CDMG|5RCR|6ZMB|78DMG|8BPWR|9aDUR
9	56233 41321	   	186.31	ACR|2VULN|2DMG|2AART|2DUR	18VULN|2aDMG|38DUR|4RCR|5RPLT|68TLV|79AART|8BPWR
10	56233 41111	 * 	185.33	ACR|3VULN|2DMG|1AART|1DUR	19aVULN|2aDMG|3DUR|4RCR|5RPLT|6TLV|7AART|8aCGEN|aBPWR
11	11133 21333	   	184.31	DCR|3VULN|2DMG|1AART|1DUR	19aDUST|259LWND|3DUR|4AART|6aDMG|79aVULN|8RCR|9aBPWR
12	56132 22522	 * 	184.00	DCR|2VULN|2DMG|1AART|3DUR|1ASPD	1aVULN|28DMG|3ASPD|456DUR|7RCR|9AART
13	51233 81454	 * 	183.89	ACR|3VULN|3DMG|2ZMB	17aVULN|28LHND|37ZMB|4RCR|5MBVNT|679DMG|7BPWR
14	51232 53252	   	183.75	ACR|3VULN|3DMG|2ZMB|1SELL	18aVULN|2LHND|38ZMB|4RCR|5SELL|678DMG|8BPWR|9FEWX
15	51232 53242	   	183.65	ACR|3VULN|3DMG|2ZMB|1SELL	18aVULN|2LHND|38ZMB|4RCR|5SELL|678DMG|8BPWR|9DUST
16	56233 31363	 * 	183.58	ACR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR|1ASPD	19VULN|2DMG|3DUR|4RCR|5RPLT|6ZMB|7AART|8FLTHEA|aASPD
17	53221 26125	 * 	183.00	DCR|2AART|2VULN|2DMG|1DUR	1aVULN|2RPLT|39AART|46DMG|5MLV|7RCR|8DUR
18	53221 46121	   	183.00	DCR|2AART|2VULN|2DMG|1DUR	16VULN|2RPLT|39AART|4aDMG|5MLV|7RCR|8DUR
19	51642 23211	   	182.68	ACR|3VULN|2DMG|1CDMG|1ZMB|1DUR	138VULN|28LHND|4CDMG|5RCR|6ZMB|78DMG|8BPWR|9FEWX|aDUR
20	51642 23232	   	182.58	ACR|3VULN|2DMG|1CDMG|1ZMB|1DUR	138VULN|28LHND|4CDMG|5RCR|6ZMB|78DMG|8BPWR|9DUR|aDUST
21	51642 23233	   	182.58	ACR|3VULN|2DMG|1CDMG|1ZMB|1DUR	138VULN|28LHND|4CDMG|5RCR|6ZMB|78DMG|8BPWR|9DUR|aERES
22	51233 81352	 * 	182.54	ACR|4VULN|2DMG|2ZMB	179aVULN|29LHND|37ZMB|4RCR|5MBVNT|67DMG|79BPWR|89FEWX
23	56232 13513	   	182.38	ACR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	1aVULN|27DMG|3DUR|4RCR|5SELL|6RMIN|8AART|9CDMG
24	56232 33513	   	182.28	ACR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	1aVULN|27DMG|3DUR|4RCR|5SELL|6ERES|8AART|9CDMG
25	51236 22142	 * 	181.97	ACR|3VULN|2DMG|3ZMB	19aVULN|259LHND|357ZMB|4RCR|59BPWR|6DMSP|89DMG
26	51233 81834	 * 	181.89	ACR|3VULN|2DMG|2ZMB|1CDMG	17aVULN|2LHND|37ZMB|4RCR|5MBVNT|67DMG|7BPWR|8CDMG|9LIT
27	51232 53234	 * 	181.75	ACR|3DMG|2VULN|2ZMB|1CDMG|1SELL	18VULN|2LHND|38ZMB|4RCR|5SELL|678DMG|8BPWR|9LIT|aCDMG
28	51232 53236	 * 	181.63	ACR|3DMG|2VULN|3ZMB|1SELL	18VULN|2LHND|38aZMB|4RCR|5SELL|678DMG|8BPWR|9LIT
29	56233 53222	 * 	181.29	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	19aVULN|2DMG|3DUR|4RCR|5RPLT|6FEWX|7AART|8CDMG
30	56232 13252	   	181.13	ACR|3VULN|3DMG|2DUR|1SELL	18aVULN|278DMG|38DUR|4RCR|5SELL|6RMIN|8BPWR|9FEWX
31	53221 26121	 * 	181.07	DCR|3DMG|2AART|1VULN|1DUR	1VULN|2RPLT|39AART|46aDMG|5MLV|7RCR|8DUR
32	56232 13232	   	181.03	ACR|3VULN|3DMG|2DUR|1SELL	18aVULN|278DMG|38DUR|4RCR|5SELL|6RMIN|8BPWR|9DUST
33	53233 46121	 * 	180.97	DCR|3VULN|2AART|1DMG|1DUR	146VULN|2RPLT|39AART|5DUST|7RCR|8DUR|aDMG
34	56233 31613	   	180.57	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	18VULN|2aDMG|3DUR|4RCR|5RPLT|6ZMB|7AART|9BEXP
35	56233 31633	   	180.57	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	18VULN|2aDMG|3DUR|4RCR|5RPLT|6ZMB|7AART|9FEWX
36	53221 26221	   	180.27	DCR|3DMG|2VULN|1AART	1aVULN|2RPLT|3AART|46aDMG|5MLV|7RCR|8BEXP|9aTLV|aBPWR
37	53221 46221	   	180.27	DCR|3VULN|2DMG|1AART	16aVULN|2RPLT|3AART|4aDMG|5MLV|7RCR|8BEXP|9aTLV|aBPWR
38	53232 46311	   	180.17	DCR|3VULN|2DMG|1AART	146VULN|2RPLT|3AART|5BEXP|7RCR|8ERES|9aDMG
39	51236 31222	 * 	179.87	ACR|2VULN|3ZMB|1AART|1DMG|1DUR	1aVULN|25LHND|357ZMB|4RCR|5BPWR|6DUR|8AART|9DMG
40	51233 81832	 * 	179.77	ACR|2VULN|2DMG|3ZMB|1CDMG	17VULN|2LHND|37aZMB|4RCR|5MBVNT|67DMG|7BPWR|8CDMG|9LIT
41	51233 81822	 * 	179.49	ACR|2VULN|2DMG|2CDMG|2ZMB|1DUR	17VULN|2LHND|37ZMB|4RCR|5MBVNT|67DMG|7BPWR|8aCDMG|9DUR
42	56236 33332	 * 	179.27	ACR|3DMG|2VULN|1CDMG|2DUR	1aVULN|259DMG|35DUR|4RCR|5BPWR|6CDMG|7FEWX|8CGEN
43	53221 26313	   	178.26	DCR|2VULN|2DMG|1AART|1CDMG	1aVULN|2RPLT|3AART|46DMG|5MLV|7RCR|8DMSP|9CDMG
44	53221 26431	   	178.16	DCR|2VULN|2DMG|1AART|1CDMG	1aVULN|2RPLT|3AART|46DMG|5MLV|7RCR|8LEGI|9CDMG
45	11135 21363	   	177.76	DCR|2VULN|2DMG|1AART|3DUR	1aDUST|25LWND|359DUR|4AART|5aBPWR|6aDMG|7aVULN|8RCR
46	11136 21363	   	177.66	DCR|2VULN|2DMG|1AART|3DUR	1aDUST|2LWND|359DUR|4AART|6aDMG|7aVULN|8RCR|aBPWR
47	32623 24361	   	177.37	DCR|3VULN|2AART|1DMG|1DUR	1FEWX|24DUST|34aVULN|4BPWR|59AART|6DMG|7DUR|8RCR
