0	Index      	 *	Score 	Summary	Detail	
1	34453 31333	 * 	204.32	DCR|4VULN|3DMG|1AART	1AART|2RMIN|379FEWX|478DMG|5679VULN|79BPWR|aRCR
2	21413 62326	 * 	203.92	DCR|3DMG|2AART|2VULN|1ZMB	13VULN|2LHND|4ZMB|59AART|6RCR|78aDMG
3	32616 61321	 * 	197.52	DCR|3DMG|2VULN|1AART|2ASPD	1AART|2LEGI|37ASPD|47CGEN|578DMG|6RCR|7BPWR|9aVULN
4	34123 32156	 * 	194.22	DCR|2AART|2VULN|2DMG|2ZMB	13AART|2RMIN|4aVULN|5aZMB|6BELT|7RCR|8RCVC|9aDMG|aBPWR
5	32616 61323	 * 	193.58	DCR|3DMG|1AART|1VULN|2ASPD|1CDMG	1AART|2LEGI|37ASPD|47CGEN|578DMG|6RCR|7BPWR|9VULN|aCDMG
6	34116 52131	 * 	193.33	ACR|3VULN|2AART|2DMG	13AART|2RMIN|4RCR|59LSRREG|69DMG|789VULN|9BPWR|aLHND
7	34116 52133	   	193.33	ACR|3VULN|2AART|2DMG	13AART|2RMIN|4RCR|59LSRREG|69DMG|789VULN|9BPWR|aFEWX
8	34123 32256	   	192.32	DCR|2AART|2VULN|2DMG|2ZMB	13AART|28RMIN|4aVULN|5aZMB|6BELT|7RCR|9aDMG|aBPWR
9	36121 72351	   	190.81	DCR|3VULN|2DMG|1AART|1ASPD	1AART|259VULN|3MBVNT|4TLV|6RCR|79DMG|89LIT|9BPWR|aASPD
10	62122 66313	 * 	190.75	DCR|4VULN|2DMG|3ZMB	1RPLT|247ZMB|3LIT|578aVULN|67DMG|7BPWR|9RCR
11	21613 62326	   	189.73	DCR|3DMG|2AART|1VULN|1ZMB	1VULN|2LHND|3RCVC|4ZMB|59AART|6RCR|78aDMG
12	22411 11365	   	189.55	DCR|3VULN|3DMG|2DUR|1ZMB	137VULN|27DUR|4ZMB|59aDMG|67MLV|7BPWR|8RCR
13	22411 31365	   	189.35	DCR|3VULN|3DMG|2DUR|1ZMB	137VULN|27DUR|4ZMB|59aDMG|67TLV|7BPWR|8RCR
14	21413 62126	   	188.26	DCR|2AART|2VULN|2DMG|1ZMB	13VULN|28LHND|4ZMB|59AART|6RCR|7aDMG
15	21413 62321	   	188.26	DCR|2AART|2VULN|2DMG|1ZMB	13VULN|2LHND|4ZMB|59AART|6RCR|78DMG|aBEXP
16	21413 62324	   	188.26	DCR|2AART|2VULN|2DMG|1ZMB	13VULN|2LHND|4ZMB|59AART|6RCR|78DMG|aMLV
17	21413 62343	   	188.26	DCR|2AART|2VULN|2DMG|1ZMB	13VULN|2LHND|4ZMB|5aAART|6RCR|78DMG|9FEWX
18	21413 62513	   	188.26	DCR|2AART|2VULN|2DMG|1ZMB	13VULN|2LHND|4ZMB|5aAART|6RCR|79DMG|8FEWX
19	21413 62322	   	188.16	DCR|2AART|2VULN|2DMG|1ZMB	13VULN|2LHND|4ZMB|59AART|6RCR|78DMG|aTLV
20	21413 62323	   	188.16	DCR|2AART|2VULN|2DMG|1ZMB	13VULN|2LHND|4ZMB|59AART|6RCR|78DMG|aDUST
21	34133 62316	 * 	187.27	DCR|2AART|2DMG|1VULN|2CDMG|2DUR	13AART|2RMIN|47CDMG|57DUR|67DMG|7BPWR|8LHND|9RCR|aVULN
22	21413 63113	 * 	186.76	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	13VULN|2LHND|4ZMB|5AART|6RCR|7DUR|8ASPD|9DMG|aCDMG
23	36121 72813	   	186.40	DCR|2AART|2VULN|2DMG|1DUR	1aAART|25VULN|3MBVNT|4TLV|6RCR|79DMG|8DUR
