0	Index      	 *	Score 	Summary	Detail	
1	12122 44351	 * 	206.07	ACR|3VULN|2DMG|1AART|2ASPD|2DUR	16aVULN|2aDMG|3RCR|49DUR|5LWND|7aASPD|8AART|aBPWR
2	12115 33523	 * 	205.67	ACR|4VULN|3DMG|2ZMB	1689VULN|28aDMG|3RCR|47RCVC|58ZMB|8BPWR
3	24115 33523	   	205.67	ACR|4VULN|3DMG|2ZMB	18aDMG|2689VULN|3RCR|47RCVC|58ZMB|8BPWR
4	12115 33536	 * 	205.10	ACR|3VULN|3DMG|3ZMB	168VULN|28aDMG|3RCR|47RCVC|589ZMB|8BPWR
5	12112 23523	   	204.37	ACR|4VULN|3DMG|2ASPD	1589VULN|28aDMG|3RCR|47RCVC|68ASPD|8BPWR
6	24112 23523	   	204.37	ACR|4VULN|3DMG|2ASPD	18aDMG|2589VULN|3RCR|47RCVC|68ASPD|8BPWR
7	12115 33533	   	203.10	ACR|3VULN|2DMG|3ZMB|1FLTHEA	168VULN|28DMG|3RCR|47RCVC|589ZMB|8BPWR|aFLTHEA
8	24115 33533	   	203.10	ACR|3VULN|2DMG|3ZMB|1FLTHEA	18DMG|268VULN|3RCR|47RCVC|589ZMB|8BPWR|aFLTHEA
9	12115 33521	 * 	202.85	ACR|5VULN|2DMG|2ZMB	1689aVULN|28DMG|3RCR|47RCVC|58ZMB|8BPWR
10	24115 33521	   	202.85	ACR|5VULN|2DMG|2ZMB	18DMG|2689aVULN|3RCR|47RCVC|58ZMB|8BPWR
11	12114 23433	 * 	202.55	ACR|3DMG|2VULN|1AART|2CDMG	1aVULN|26aDMG|3RCR|4RCVC|568DUST|6aBPWR|7aCDMG|9AART
12	24114 23433	 * 	202.55	ACR|3VULN|2DMG|1AART|2CDMG	1aDMG|26aVULN|3RCR|4RCVC|568DUST|6aBPWR|7aCDMG|9AART
13	12112 12523	   	202.29	ACR|4VULN|3DMG|2ASPD	1589VULN|28aDMG|3RCR|4RCVC|6DMSP|78ASPD|8BPWR
14	24112 12523	   	202.29	ACR|4VULN|3DMG|2ASPD	18aDMG|2589VULN|3RCR|4RCVC|6DMSP|78ASPD|8BPWR
15	52122 25433	   	202.26	ACR|3DMG|2VULN|1CDMG|1FLTHEA|2DUR|1ASPD	14DUR|269DMG|3RCR|56VULN|6BPWR|7ASPD|8CDMG|aFLTHEA
16	26112 26241	 * 	202.18	ACR|3VULN|2DMG|2AART|1DUR	16DMG|2LEGI|3RCR|4RCVC|569VULN|6BPWR|78AART|aDUR
17	12112 23521	   	201.54	ACR|5VULN|2DMG|2ASPD	1589aVULN|28DMG|3RCR|47RCVC|68ASPD|8BPWR
18	24112 23521	   	201.54	ACR|5VULN|2DMG|2ASPD	18DMG|2589aVULN|3RCR|47RCVC|68ASPD|8BPWR
19	52122 23626	   	201.42	ACR|2VULN|2DMG|1AART|1CDMG|2DUR|1ZMB	14DUR|26DMG|3RCR|56VULN|6BPWR|7CDMG|8AART|9LIT|aZMB
20	52122 23651	   	201.42	ACR|2VULN|2DMG|1AART|1CDMG|2DUR|1ZMB	14DUR|26DMG|3RCR|56VULN|6BPWR|7CDMG|8AART|9ZMB|aBEXP
21	52122 23653	   	201.42	ACR|2VULN|2DMG|1AART|1CDMG|2DUR|1ZMB	14DUR|26DMG|3RCR|56VULN|6BPWR|7CDMG|8AART|9ZMB|aCGEN
22	12112 23533	   	201.27	ACR|3VULN|3DMG|2ASPD|1ZMB	158VULN|28aDMG|3RCR|47RCVC|68ASPD|8BPWR|9ZMB
23	24112 23533	   	201.27	ACR|3VULN|3DMG|2ASPD|1ZMB	18aDMG|258VULN|3RCR|47RCVC|68ASPD|8BPWR|9ZMB
24	52122 25531	 * 	201.14	ACR|3VULN|3DMG|3DUR|2ASPD	14aDUR|268DMG|3RCR|56aVULN|6aBPWR|7aASPD|9DLOT
25	12122 44341	   	200.78	ACR|3VULN|2DMG|1AART|2ASPD|1DUR	16aVULN|2aDMG|3RCR|4DUR|5LWND|7aASPD|8AART|9DMSP|aBPWR
26	12136 44331	   	200.78	ACR|3VULN|2DMG|1AART|2ASPD|1DUR	16aVULN|2aDMG|3RCR|49LHND|5DUR|7aASPD|8AART|aBPWR
27	12125 11652	   	200.68	ACR|3DMG|2VULN|1AART|1CDMG|1DUR	1aVULN|279DMG|3RCR|4DUR|5CDMG|6CGEN|8AART
28	52112 25531	   	200.42	ACR|3VULN|3DMG|2ASPD|2DUR	1aDUR|268DMG|3RCR|4RCVC|56aVULN|6aBPWR|7aASPD|9DLOT
29	52112 25433	   	200.07	ACR|3DMG|2VULN|1CDMG|1FLTHEA|1DUR|1ASPD	1DUR|269DMG|3RCR|4RCVC|56VULN|6BPWR|7ASPD|8CDMG|aFLTHEA
30	12112 12521	   	199.47	ACR|5VULN|2DMG|2ASPD	1589aVULN|28DMG|3RCR|4RCVC|6DMSP|78ASPD|8BPWR
31	24112 12521	   	199.47	ACR|5VULN|2DMG|2ASPD	18DMG|2589aVULN|3RCR|4RCVC|6DMSP|78ASPD|8BPWR
32	52112 23626	   	199.23	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1DUR|26DMG|3RCR|4RCVC|56VULN|6BPWR|7CDMG|8AART|9LIT|aZMB
33	52112 23651	   	199.23	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1DUR|26DMG|3RCR|4RCVC|56VULN|6BPWR|7CDMG|8AART|9ZMB|aBEXP
34	52112 23653	   	199.23	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1DUR|26DMG|3RCR|4RCVC|56VULN|6BPWR|7CDMG|8AART|9ZMB|aCGEN
35	12112 12533	   	199.20	ACR|3VULN|3DMG|2ASPD|1ZMB	158VULN|28aDMG|3RCR|4RCVC|6DMSP|78ASPD|8BPWR|9ZMB
36	24112 12533	   	199.20	ACR|3VULN|3DMG|2ASPD|1ZMB	18aDMG|258VULN|3RCR|4RCVC|6DMSP|78ASPD|8BPWR|9ZMB
37	21112 22262	 * 	197.59	ACR|4VULN|2DMG|1AART	19DMG|26LWND|3RCR|4RCVC|569aVULN|69BPWR|79MLV|8AART
38	23126 42531	 * 	197.44	ACR|3VULN|2DMG|1AART|3DUR	1aDMG|2DUST|3RCR|45aDUR|6AART|79aVULN|8RMIN|aBPWR
39	52122 23621	   	197.35	ACR|2VULN|2DMG|1AART|1CDMG|2DUR|1ASPD	14DUR|26DMG|3RCR|56VULN|6BPWR|7CDMG|8AART|9LIT|aASPD
40	26125 21261	   	197.33	ACR|2VULN|2DMG|1AART|2CDMG|2DUR	1aDMG|2LEGI|3RCR|46DUR|5aCDMG|7AART|8RPLT|9aVULN|aBPWR
41	24126 21142	 * 	197.14	ACR|4VULN|2DMG|3DUR|1ZMB	19DMG|2689VULN|3RCR|456DUR|69BPWR|79FEWX|aZMB
42	12115 33524	   	196.96	ACR|4VULN|2DMG|2ZMB|1DUR	1689VULN|28DMG|3RCR|47RCVC|58ZMB|8BPWR|aDUR
43	23112 42531	   	196.72	ACR|3VULN|2DMG|1AART|2DUR	1aDMG|2DUST|3RCR|4RCVC|5aDUR|6AART|79aVULN|8RMIN|aBPWR
44	52123 64313	   	196.69	ACR|2DMG|1AART|3DUR|1CDMG|2ASPD|1FLTHEA|1ZMB	147DUR|27DMG|3RCR|5AART|67ASPD|7BPWR|8ZMB|9CDMG|aFLTHEA
45	12312 61115	 * 	196.62	DCR|3VULN|2DMG|1AART|2ASPD|1ZMB	179VULN|27DMG|3CGEN|4LIT|5AART|67ASPD|7BPWR|8ZMB|aRCR
46	24312 61115	   	196.62	DCR|3VULN|2DMG|1AART|2ASPD|1ZMB	17DMG|279VULN|3CGEN|4LIT|5AART|67ASPD|7BPWR|8ZMB|aRCR
47	52122 23411	   	195.67	ACR|4VULN|2DMG|1CDMG|2DUR	14DUR|26DMG|3RCR|569aVULN|6BPWR|7CDMG|8DUST
48	12112 23524	   	195.65	ACR|4VULN|2DMG|2ASPD|1DUR	1589VULN|28DMG|3RCR|47RCVC|68ASPD|8BPWR|aDUR
49	24112 23524	   	195.65	ACR|4VULN|2DMG|2ASPD|1DUR	18DMG|2589VULN|3RCR|47RCVC|68ASPD|8BPWR|aDUR
50	52122 23334	   	195.53	ACR|2VULN|2DMG|1AART|2CDMG|2DUR	14DUR|26DMG|3RCR|56VULN|6BPWR|78CDMG|9RMIN|aAART
51	21112 26244	   	195.34	ACR|3VULN|2DMG|2AART	1aDMG|26LWND|3RCR|4RCVC|569VULN|6BPWR|78AART
52	26112 26243	   	195.24	ACR|3VULN|2DMG|2AART	16DMG|2LEGI|3RCR|4RCVC|569VULN|6BPWR|78AART|aLWND
