0	Index      	 *	Score 	Summary	Detail	
1	51521 11422	 * 	201.28	DCR|3VULN|2AART|1DMG|1FLTHEA|1ZMB	145VULN|24LWND|37AART|4BPWR|6RCR|8ZMB|9FLTHEA|aDMG
2	31462 23533	 * 	194.60	DCR|3DMG|2VULN|2CDMG|2DUR|1ASPD	149DMG|28DUR|3BELT|59VULN|6RCR|79CDMG|9BPWR|aASPD
3	35352 15312	 * 	193.69	ACR|3VULN|2DMG|2CDMG|1ZMB|1DUR	18DMG|2ERES|3RCR|48aVULN|5DUR|6FEWX|78CDMG|8BPWR|9ZMB
4	35352 35312	   	193.69	ACR|3VULN|2DMG|2CDMG|1ZMB|1DUR	18DMG|2ERES|3RCR|48aVULN|5DUR|6LHND|78CDMG|8BPWR|9ZMB
5	35352 25312	   	193.59	ACR|3VULN|2DMG|2CDMG|1ZMB|1DUR	18DMG|2ERES|3RCR|48aVULN|5DUR|6DUST|78CDMG|8BPWR|9ZMB
6	32223 52145	 * 	191.96	DCR|4VULN|3DMG|1DUR	135DMG|279aVULN|4DMSP|6RCR|8DUR
7	32223 52112	 * 	191.51	DCR|3VULN|3DMG|1CDMG|1DUR	135DMG|27aVULN|4DMSP|6RCR|8DUR|9CDMG
8	32413 23534	 * 	191.48	DCR|3VULN|2DMG|2CDMG|3DUR	19DMG|25aVULN|3BELT|489DUR|6RCR|79CDMG|9BPWR
9	35633 22321	 * 	191.37	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	15DMG|2ERES|3RCVC|4ZMB|6RCR|78VULN|9AART|aCDMG
10	51521 11122	   	190.28	DCR|3VULN|2AART|1DMG|1FLTHEA	145VULN|24LWND|37AART|4BPWR|6RCR|8RMIN|9FLTHEA|aDMG
11	32223 51225	 * 	190.07	DCR|3DMG|2VULN|1AART|1ZMB	135DMG|28VULN|4DMSP|6RCR|7CGEN|9AART|aZMB
12	32223 52425	   	190.07	DCR|3DMG|2VULN|1AART|1ZMB	135DMG|27VULN|4DMSP|6RCR|8RMIN|9AART|aZMB
13	32443 23432	 * 	189.43	DCR|4VULN|2DMG|2CDMG	19DMG|259aVULN|3BELT|4LEGI|6RCR|79CDMG|8DMSP|9BPWR
14	31462 42312	 * 	189.42	DCR|3DMG|2VULN|1AART|3DUR	148DMG|289DUR|3BELT|58VULN|6RCVC|7AART|8BPWR|aRCR
15	51521 25323	 * 	189.12	DCR|3VULN|2DMG|1AART|1CDMG	145VULN|24LWND|3AART|4BPWR|67DMG|8ERES|9RCR|aCDMG
16	31241 13161	   	188.41	DCR|3DMG|2VULN|1AART|1DUR	139DMG|2DUR|4CGEN|5AART|6RCR|7LWND|8aVULN
17	31462 23531	   	187.66	DCR|3DMG|2VULN|2CDMG|2DUR	149DMG|28DUR|3BELT|59VULN|6RCR|79CDMG|9BPWR|aRMIN
18	31462 23532	   	187.56	DCR|3DMG|2VULN|2CDMG|2DUR	149DMG|28DUR|3BELT|59VULN|6RCR|79CDMG|9BPWR|aDUST
19	35351 52321	 * 	186.35	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|27ERES|3RCR|458VULN|6ZMB|9AART|aCDMG
20	35362 51333	 * 	186.29	ACR|3VULN|3DMG|2ZMB	16aDMG|2ERES|3RCR|4aLIT|569VULN|6aBPWR|7DUST|8aZMB
21	32223 52333	 * 	185.97	DCR|3VULN|3DMG|2ZMB	135DMG|27aVULN|4DMSP|6RCR|8aLWND|9aZMB|aBPWR
22	51521 12353	   	185.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	145VULN|24LWND|3AART|4BPWR|6RCR|7CGEN|8DUR|9CDMG|aDMG
23	32223 52245	   	185.02	DCR|4VULN|3DMG	135DMG|279aVULN|4DMSP|6RCR|8FEWX
24	32223 52345	   	185.02	DCR|4VULN|3DMG	135DMG|279aVULN|4DMSP|6RCR|8LWND
25	52231 15216	   	184.92	DCR|3VULN|2DMG|1AART|1CDMG	125VULN|2BPWR|3BEXP|4FEWX|6CDMG|78DMG|9RCR|aAART
26	35633 22323	   	184.66	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	15DMG|2ERES|3RCVC|4ZMB|6RCR|78VULN|9AART|aDUR
27	32223 52212	   	184.57	DCR|3VULN|3DMG|1CDMG	135DMG|27aVULN|4DMSP|6RCR|8FEWX|9CDMG
28	32223 52312	   	184.57	DCR|3VULN|3DMG|1CDMG	135DMG|27aVULN|4DMSP|6RCR|8LWND|9CDMG
29	31241 13164	 * 	184.47	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	139DMG|2DUR|4CGEN|5AART|6RCR|7LWND|8VULN|aCDMG
30	13364 11263	   	183.83	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	15LIT|2ZMB|3DMG|45aVULN|5BPWR|6RPLT|7RCR|8CDMG|9AART
31	51521 11213	   	183.57	DCR|3VULN|2AART|1DMG|1ASPD	145VULN|24LWND|37AART|4BPWR|6RCR|8RPLT|9ASPD|aDMG
32	35362 51123	 * 	183.34	ACR|4VULN|2DMG|1CDMG	16DMG|2ERES|3RCR|4LIT|568aVULN|6BPWR|7DUST|9CDMG
33	31231 61123	 * 	183.01	DCR|3DMG|1AART|1VULN|2ZMB|1ASPD|1DUR	136DMG|2DUR|47ZMB|5AART|8VULN|9ASPD|aRCR
34	32413 23533	   	182.76	DCR|2VULN|2DMG|2CDMG|3DUR|1ASPD	19DMG|25VULN|3BELT|489DUR|6RCR|79CDMG|9BPWR|aASPD
35	32252 26621	 * 	182.53	DCR|3VULN|3DMG|1AART|2ASPD|1MSE	138DMG|28aVULN|4MSE|5LHND|68ASPD|7RCR|8BPWR|9AART
36	51521 25222	   	182.51	DCR|3VULN|2DMG|1AART|1ASPD	145VULN|24LWND|3AART|4BPWR|67DMG|8ASPD|9RCR|aFEWX
37	51521 25221	   	182.41	DCR|3VULN|2DMG|1AART|1ASPD	145VULN|24LWND|3AART|4BPWR|67DMG|8ASPD|9RCR|aLEGI
38	51521 25322	   	182.41	DCR|3VULN|2DMG|1AART|1DUR	145VULN|24LWND|3AART|4BPWR|67DMG|8ERES|9RCR|aDUR
39	32152 26243	 * 	182.27	DCR|3VULN|3DMG|2ASPD	149DMG|28aVULN|3FEWX|5aLHND|6aASPD|7RCR|aBPWR
40	32443 23431	   	182.27	DCR|3VULN|2DMG|2CDMG|1DUR	19DMG|259VULN|3BELT|4LEGI|6RCR|79CDMG|8DMSP|9BPWR|aDUR
41	32223 52115	   	182.17	DCR|3DMG|2VULN|2CDMG|1DUR	135DMG|27VULN|4DMSP|6RCR|8DUR|9aCDMG
42	13361 31263	   	181.75	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2ZMB|3DMG|47aVULN|5RCR|6RPLT|8CDMG|9AART
43	32236 16233	   	181.58	DCR|3VULN|3DMG|2ZMB	137DMG|28aVULN|4aLHND|5RCVC|6aZMB|9RCR|aBPWR
44	31432 61423	   	181.55	DCR|3DMG|2VULN|1CDMG|2DUR	18aDMG|28DUR|3BELT|4aLHND|5CDMG|6RCR|78LIT|8aBPWR|9aVULN
45	31231 45343	   	181.37	DCR|3DMG|1AART|1VULN|2ZMB|2DUR	137DMG|28DUR|48ZMB|5AART|68ERES|8BPWR|9VULN|aRCR
46	35354 21313	 * 	181.37	ACR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	1aDMG|2ERES|3RCR|4VULN|5AART|6CDMG|78DUR|9ASPD
47	35354 21323	   	181.37	ACR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	1DMG|2ERES|3RCR|49VULN|5AART|6CDMG|78DUR|aASPD
48	36412 61123	   	181.35	DCR|3DMG|2VULN|1CDMG|2DUR	18aDMG|2LHND|3BELT|4aDUR|5CDMG|6RCR|7LIT|9aVULN|aBPWR
49	51521 11421	   	181.22	DCR|3VULN|2AART|1FLTHEA|1ZMB	145VULN|24LWND|37AART|4BPWR|6RCR|8ZMB|9FLTHEA|aLHND
50	51521 11423	   	181.22	DCR|3VULN|2AART|1FLTHEA|1ZMB	145VULN|24LWND|37AART|4BPWR|6RCR|8ZMB|9FLTHEA|aMLV
51	32246 23343	   	181.17	DCR|3VULN|2DMG|1AART|1ZMB	13DMG|259VULN|45CGEN|5BPWR|6ZMB|7LIT|8AART|aRCR
52	31231 35462	   	180.70	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	139DMG|2DUR|4ZMB|5AART|6aRCVC|7VULN|8RCR
53	35352 15323	 * 	180.68	ACR|2VULN|2DMG|2CDMG|1FLTHEA|1DUR	18DMG|2ERES|3RCR|48VULN|5DUR|6FEWX|78CDMG|8BPWR|9BEXP|aFLTHEA
54	35352 25323	   	180.58	ACR|2VULN|2DMG|2CDMG|1FLTHEA|1DUR	18DMG|2ERES|3RCR|48VULN|5DUR|6DUST|78CDMG|8BPWR|9FEWX|aFLTHEA
55	35362 53312	 * 	179.99	ACR|3DMG|2VULN|1AART	169DMG|29ERES|3RCR|4LIT|56VULN|69BPWR|79BASHEA|8AART|aRPLT
56	35362 53313	   	179.99	ACR|3DMG|2VULN|1AART	169DMG|29ERES|3RCR|4LIT|56VULN|69BPWR|79BASHEA|8AART|aLHND
57	32246 22215	   	179.76	DCR|3DMG|2VULN|1CDMG|1ZMB|1DUR	13aDMG|25VULN|45CGEN|5BPWR|6ZMB|7DUR|8CDMG|9RCR
58	35351 52323	   	179.64	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMG|27ERES|3RCR|458VULN|6ZMB|9AART|aDUR
59	31231 35463	   	179.53	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	139DMG|2DUR|4ZMB|5AART|6RCVC|7VULN|8RCR|aLHND
60	31231 35461	   	179.43	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	139DMG|2DUR|4ZMB|5AART|6RCVC|7VULN|8RCR|aERES
61	32413 22146	   	179.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMG|258VULN|3BELT|4DUR|6RCR|7LIT|9AART|aZMB
62	31231 64363	   	179.16	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	136DMG|2DUR|4ZMB|5AART|7BEXP|8ASPD|9VULN|aRCR
63	32223 51222	   	179.07	DCR|3DMG|2VULN|1AART	135DMG|28VULN|4aDMSP|6RCR|7CGEN|9AART
64	32223 51223	   	179.07	DCR|3DMG|2VULN|1AART	135DMG|28VULN|4DMSP|6RCR|7aCGEN|9AART
65	32223 51224	   	179.07	DCR|3DMG|2VULN|1AART	135DMG|28VULN|4DMSP|6RCR|7CGEN|9AART|aFEWX
66	32223 52422	   	179.07	DCR|3DMG|2VULN|1AART	135DMG|27VULN|4aDMSP|6RCR|8RMIN|9AART
67	32223 52423	   	179.07	DCR|3DMG|2VULN|1AART	135DMG|27VULN|4DMSP|6RCR|8RMIN|9AART|aCGEN
68	32223 52424	   	179.07	DCR|3DMG|2VULN|1AART	135DMG|27VULN|4DMSP|6RCR|8RMIN|9AART|aFEWX
69	32223 52426	   	179.07	DCR|3DMG|2VULN|1AART	135DMG|27VULN|4DMSP|6RCR|8RMIN|9AART|aMLV
70	31231 62363	   	179.06	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	136DMG|2DUR|4ZMB|5AART|7DUST|8ASPD|9VULN|aRCR
71	32223 51221	   	178.97	DCR|3DMG|2VULN|1AART	135DMG|28VULN|4DMSP|6RCR|7CGEN|9AART|aDUST
72	32223 51226	   	178.97	DCR|3DMG|2VULN|1AART	135DMG|28VULN|4DMSP|6RCR|7CGEN|9AART|aBASICY
73	32223 52421	   	178.97	DCR|3DMG|2VULN|1AART	135DMG|27VULN|4DMSP|6RCR|8RMIN|9AART|aDUST
74	32233 56124	   	178.96	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	13DMG|2aVULN|4LHND|5BEXP|6ZMB|7RCR|8DUR|9AART
75	52333 51513	 * 	178.95	DCR|3VULN|2DMG|3ZMB	12aVULN|2aBPWR|36aZMB|4LHND|5BEXP|7MBVNT|8RCR|9aDMG
76	31231 36643	   	178.78	DCR|3DMG|1AART|1VULN|2ZMB|1DUR	138DMG|2DUR|48ZMB|5AART|6RCVC|78CGEN|8BPWR|9VULN|aRCR
77	32222 16233	   	178.77	DCR|3VULN|3DMG|2ZMB	137DMG|28aVULN|4DMSP|5aLHND|6aZMB|9RCR|aBPWR
78	32232 16233	   	178.77	DCR|3VULN|3DMG|2ZMB	137DMG|28aVULN|45aLHND|6aZMB|9RCR|aBPWR
79	51521 12253	   	178.73	DCR|3VULN|1AART|1DMG|1CDMG	145VULN|24LWND|3AART|4BPWR|6RCR|7CGEN|8DUST|9CDMG|aDMG
80	32112 32453	   	178.67	DCR|3VULN|3DMG|2ZMB	16aDMG|27aVULN|3FEWX|4LEGI|5LWND|8aZMB|9RCR|aBPWR
81	35352 51133	 * 	178.48	ACR|3VULN|2DMG|2ASPD|1DUR	1aDMG|2ERES|3RCR|48aVULN|5DUR|6LIT|7RCVC|9aASPD|aBPWR
82	32223 51242	   	178.22	DCR|3DMG|2VULN|1AART|1SELL	135DMG|28VULN|4DMSP|6RCR|7CGEN|9SELL|aAART
83	32223 52442	   	178.22	DCR|3DMG|2VULN|1AART|1SELL	135DMG|27VULN|4DMSP|6RCR|8RMIN|9SELL|aAART
84	52121 55213	   	178.07	DCR|4VULN|2DMG|1ZMB	125aVULN|2aBPWR|3DUST|4aBEXP|6ZMB|7RCR|8FEWX|9aDMG
