0	Index      	 *	Score 	Summary	Detail	
1	52322 33611	 * 	188.48	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	1CGEN|24CDMG|34DMG|4BPWR|5FEWX|6aVULN|7AART|8ZMB|9RCR
2	41352 33336	 * 	183.45	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CDMG|2LIT|36AART|4RCR|58VULN|7DUST|9DMG|aZMB
3	41352 26331	 * 	183.26	ACR|3VULN|1AART|1DMG|2CDMG	17CDMG|2LIT|3AART|4RCR|578VULN|67BEXP|7BPWR|9DMG|aLHND
4	41352 26332	   	183.26	ACR|3VULN|1AART|1DMG|2CDMG	17CDMG|2aLIT|3AART|4RCR|578VULN|67BEXP|7BPWR|9DMG
5	41352 26333	   	183.26	ACR|3VULN|1AART|1DMG|2CDMG	17CDMG|2LIT|3AART|4RCR|578VULN|67BEXP|7BPWR|9DMG|aLWND
6	46322 33611	   	182.17	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1CDMG|24CGEN|34DMG|4BPWR|5FEWX|6aVULN|7AART|8ZMB|9RCR
7	41352 34331	   	179.48	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	1CDMG|2LIT|36AART|4RCR|57VULN|8DUR|9DMG|aLHND
8	41352 34332	   	179.48	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	1CDMG|2aLIT|36AART|4RCR|57VULN|8DUR|9DMG
9	41352 34333	   	179.48	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	1CDMG|2LIT|36AART|4RCR|57VULN|8DUR|9DMG|aLWND
10	52322 33226	   	177.38	DCR|2VULN|2DMG|1AART|2CDMG	1CGEN|24CDMG|34DMG|4BPWR|5FEWX|6aVULN|7AART|8SNIHEL|9RCR
11	15221 53123	 * 	177.07	DCR|3VULN|2DMG|1AART	1RCVC|238VULN|3BPWR|4LIT|5MGNLIT|6aDMG|7AART|9RCR
12	52322 33222	 * 	175.44	DCR|3DMG|1AART|1VULN|2CDMG	1CGEN|24CDMG|34aDMG|4BPWR|5FEWX|6VULN|7AART|8SNIHEL|9RCR
13	41352 33325	 * 	174.45	ACR|3VULN|2AART|2CDMG	1aCDMG|29LIT|36AART|4RCR|58aVULN|7aDUST|aBPWR
14	41352 22336	   	174.35	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	17CDMG|2LIT|3AART|4RCR|58VULN|6BEXP|9DMG|aDUR
15	41352 31325	 * 	173.75	ACR|2AART|2VULN|2CDMG|2ZMB	1aCDMG|29LIT|36AART|4RCR|5aVULN|7NUKE|8aZMB|aBPWR
16	41352 31336	   	172.80	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2LIT|36AART|4RCR|5VULN|7NUKE|8ZMB|9DMG|aDUR
17	41352 32238	   	172.44	ACR|2AART|2VULN|1DMG|1CDMG	1CDMG|27LIT|36AART|4RCR|5aVULN|8MBVNT|9DMG
18	41352 33331	   	172.44	ACR|2AART|2VULN|1DMG|1CDMG	1CDMG|2LIT|36AART|4RCR|58VULN|7DUST|9DMG|aLHND
19	41352 33332	   	172.44	ACR|2AART|2VULN|1DMG|1CDMG	1CDMG|2aLIT|36AART|4RCR|58VULN|7DUST|9DMG
20	41352 33333	   	172.44	ACR|2AART|2VULN|1DMG|1CDMG	1CDMG|2LIT|36AART|4RCR|58VULN|7DUST|9DMG|aLWND
21	41352 33335	   	172.44	ACR|2AART|2VULN|1DMG|1CDMG	1CDMG|2LIT|36AART|4RCR|58VULN|7DUST|9DMG|aCGEN
22	41352 34231	   	172.44	ACR|2AART|2VULN|1DMG|1CDMG	1CDMG|2LIT|36AART|4RCR|57VULN|8MBVNT|9DMG|aLHND
23	41352 34232	   	172.44	ACR|2AART|2VULN|1DMG|1CDMG	1CDMG|2aLIT|36AART|4RCR|57VULN|8MBVNT|9DMG
24	41352 34233	   	172.44	ACR|2AART|2VULN|1DMG|1CDMG	1CDMG|2LIT|36AART|4RCR|57VULN|8MBVNT|9DMG|aLWND
25	41352 34234	   	172.44	ACR|2AART|2VULN|1DMG|1CDMG	1CDMG|2LIT|36AART|4RCR|57VULN|8MBVNT|9DMG|aCGEN
26	41352 33334	   	172.34	ACR|2AART|2VULN|1DMG|1CDMG	1CDMG|2LIT|36AART|4RCR|58VULN|7aDUST|9DMG
27	15241 11352	 * 	172.31	DCR|4VULN|1AART|1CDMG|1ASPD	1RCVC|2368VULN|3BPWR|4ASPD|5LIT|7CDMG|9RCR|aAART
28	52315 42222	   	171.56	DCR|2VULN|2DMG|1AART|1CDMG	1CGEN|2CDMG|3aDMG|4FEWX|57VULN|6AART|8SNIHEL|9RCR
29	46322 33226	   	171.06	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|24CGEN|34DMG|4BPWR|5FEWX|6aVULN|7AART|8SNIHEL|9RCR
30	52322 33612	   	170.89	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1CGEN|24CDMG|34DMG|4BPWR|5FEWX|6VULN|7AART|8ZMB|9RCR|aDMSP
31	52322 33614	   	170.89	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1CGEN|24CDMG|34DMG|4BPWR|5FEWX|6VULN|7AART|8ZMB|9RCR|aLHND
32	52322 33615	   	170.89	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1CGEN|24CDMG|34DMG|4BPWR|5FEWX|6VULN|7AART|8ZMB|9RCR|aBEXP
33	52322 33616	   	170.89	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1aCGEN|24CDMG|34DMG|4BPWR|5FEWX|6VULN|7AART|8ZMB|9RCR
34	52322 33613	   	170.79	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1CGEN|24CDMG|34DMG|4BPWR|5FEWX|6VULN|7AART|8ZMB|9RCR|aTLV
35	53125 33421	   	170.63	ACR|3VULN|2AART|1ZMB|1ASPD	1CGEN|2RPLT|3ASPD|4RCR|59aVULN|67AART|8ZMB
36	15221 13123	   	170.49	DCR|3VULN|1AART|1DMG|1ZMB	1RCVC|238VULN|3BPWR|4LIT|5MGNLIT|6ZMB|7AART|9RCR|aDMG
37	41352 23513	   	170.42	ACR|2AART|2VULN|1CDMG|1ZMB|1DUR	1CDMG|2LIT|39AART|4RCR|58VULN|6BEXP|7DUR|aZMB
38	41352 26322	   	170.14	ACR|3VULN|1AART|2CDMG|1DUR	17CDMG|29LIT|3AART|4RCR|578VULN|67BEXP|7BPWR|aDUR
39	13316 15231	 * 	170.12	DCR|3VULN|3DMG	1RCVC|239DUST|4aBEXP|5DLOT|69aDMG|79aVULN|8RCR|9aBPWR
40	13636 15231	   	169.92	DCR|3VULN|3DMG	1RCVC|249DUST|3LEGI|5DLOT|69aDMG|79aVULN|8RCR|9aBPWR
41	52321 23341	   	169.62	DCR|2VULN|2DMG|2CDMG|1ZMB|1ASPD	1CGEN|24CDMG|34DMG|4BPWR|5ASPD|67VULN|8ZMB|9RCVC|aRCR
42	41352 22325	 * 	169.24	ACR|3VULN|1AART|3CDMG	17aCDMG|29LIT|3AART|4RCR|58aVULN|6aBEXP|aBPWR
43	46322 33222	   	169.13	DCR|3DMG|1AART|1VULN|1CDMG	1CDMG|24CGEN|34aDMG|4BPWR|5FEWX|6VULN|7AART|8SNIHEL|9RCR
44	33312 51123	 * 	168.48	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1DUST|2FEWX|3BASICY|4AART|59VULN|6DMG|7ZMB|8RCR|aFLTHEA
45	15246 21311	   	168.15	DCR|3VULN|1AART|1CDMG|1DUR|1ASPD	1RCVC|23aVULN|3BPWR|4ASPD|5AART|6CDMG|7DUR|8BEXP|9RCR
46	15246 23111	   	168.15	DCR|3VULN|1AART|1CDMG|1DUR|1ASPD	1RCVC|23aVULN|3BPWR|4ASPD|5AART|6CDMG|7FEWX|8DUR|9RCR
47	41352 32421	   	168.03	ACR|3VULN|2AART|1CDMG	1CDMG|27LIT|36AART|4RCR|59aVULN|8ERES
48	41352 35221	   	168.03	ACR|3VULN|2AART|1CDMG	1CDMG|2LIT|36AART|4RCR|59aVULN|7ERES|8DMSP
49	12242 32335	   	167.77	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1RCVC|2LWND|3MGNLIT|45VULN|6RCR|7ZMB|8DMG|9AART|aASPD
50	12242 32336	   	167.77	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2LWND|3MGNLIT|45VULN|6RCR|7ZMB|8DMG|9AART|aDUR
51	12642 32335	   	167.67	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1RCVC|2LWND|3BASICY|45VULN|6RCR|7ZMB|8DMG|9AART|aASPD
52	12642 32336	   	167.67	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1RCVC|2LWND|3BASICY|45VULN|6RCR|7ZMB|8DMG|9AART|aDUR
53	13525 33421	   	167.59	ACR|3VULN|2AART|1ZMB	1RCVC|2DUST|3RPLT|4RCR|59aVULN|67AART|8ZMB
54	41352 22331	   	167.41	ACR|2VULN|1AART|1DMG|2CDMG	17CDMG|2LIT|3AART|4RCR|58VULN|6BEXP|9DMG|aLHND
55	41352 22332	   	167.41	ACR|2VULN|1AART|1DMG|2CDMG	17CDMG|2aLIT|3AART|4RCR|58VULN|6BEXP|9DMG
56	41352 22333	   	167.41	ACR|2VULN|1AART|1DMG|2CDMG	17CDMG|2LIT|3AART|4RCR|58VULN|6BEXP|9DMG|aLWND
57	41352 22334	   	167.31	ACR|2VULN|1AART|1DMG|2CDMG	17CDMG|2LIT|3AART|4RCR|58VULN|6BEXP|9DMG|aDUST
58	41352 22335	   	167.31	ACR|2VULN|1AART|1DMG|2CDMG	17CDMG|2LIT|3AART|4RCR|58VULN|6BEXP|9DMG|aERES
59	41352 53331	   	167.31	ACR|2VULN|1AART|1DMG|2CDMG	16CDMG|2LIT|3AART|4RCR|58VULN|7DUST|9DMG|aLHND
60	41352 53332	   	167.31	ACR|2VULN|1AART|1DMG|2CDMG	16CDMG|2aLIT|3AART|4RCR|58VULN|7DUST|9DMG
