0	Index      	 *	Score 	Summary	Detail	
1	34613 13252	 * 	227.75	ACR|3VULN|3DMG|1AART|3ASPD|1CDMG	189ASPD|289VULN|3AART|489DMG|5RCR|6MBVNT|7RMIN|89BPWR|aCDMG
2	34613 42131	 * 	219.04	ACR|3VULN|3DMG|2AART|2ASPD	1aASPD|28aVULN|37AART|469DMG|5RCR|aBPWR
3	34613 12833	   	214.39	ACR|3DMG|2AART|2VULN|2ASPD|1ZMB	17ASPD|27VULN|3aAART|478DMG|5RCR|6MBVNT|7BPWR|9ZMB
4	34613 13251	   	214.10	ACR|3VULN|3DMG|1AART|3ASPD	189ASPD|289VULN|3AART|489DMG|5RCR|6MBVNT|7RMIN|89BPWR|aMLV
5	34613 13253	   	214.10	ACR|3VULN|3DMG|1AART|3ASPD	189ASPD|289VULN|3AART|489DMG|5RCR|6MBVNT|7RMIN|89BPWR|aRPLT
6	34613 13254	   	214.10	ACR|3VULN|3DMG|1AART|3ASPD	189ASPD|289VULN|3AART|489DMG|5RCR|6MBVNT|7RMIN|89BPWR|aBEXP
7	34613 12231	   	210.68	ACR|3VULN|2DMG|1AART|3ASPD|2DUR	17aASPD|27aVULN|3AART|47DMG|5RCR|6MBVNT|7aBPWR|8LWND|9aDUR
8	34613 12531	   	210.68	ACR|3VULN|2DMG|1AART|3ASPD|2DUR	17aASPD|27aVULN|3AART|47DMG|5RCR|6MBVNT|7aBPWR|8LHND|9aDUR
9	34613 12131	   	210.58	ACR|3VULN|2DMG|1AART|3ASPD|2DUR	17aASPD|27aVULN|3AART|47DMG|5RCR|6MBVNT|7aBPWR|8DUST|9aDUR
10	34613 12271	 * 	209.90	ACR|3DMG|2AART|2VULN|3ASPD	17aASPD|27VULN|39AART|47aDMG|5RCR|6MBVNT|7aBPWR|8aLWND
11	34613 12834	   	209.88	ACR|3DMG|2VULN|1AART|2ASPD|1ZMB	17ASPD|27VULN|3AART|478DMG|5RCR|6MBVNT|7BPWR|9ZMB|aDUR
12	34613 41131	   	209.80	ACR|3VULN|3DMG|1AART|2ASPD	1aASPD|28aVULN|3AART|469DMG|5RCR|7RCVC|aBPWR
13	34613 12171	   	209.70	ACR|3DMG|2AART|2VULN|3ASPD	17aASPD|27VULN|39AART|47aDMG|5RCR|6MBVNT|7aBPWR|8aDUST
14	34613 12482	   	205.59	ACR|3DMG|2VULN|1AART|2ASPD|1FLTHEA	17ASPD|27VULN|3AART|479DMG|5RCR|6MBVNT|7BPWR|8LIT|aFLTHEA
15	34613 12822	   	205.59	ACR|3DMG|2VULN|1AART|2ASPD|1FLTHEA	17ASPD|27VULN|3AART|478DMG|5RCR|6MBVNT|7BPWR|9LIT|aFLTHEA
16	34613 12734	   	205.39	ACR|3DMG|2VULN|1AART|3ASPD	179ASPD|27VULN|3AART|479DMG|5RCR|6MBVNT|79BPWR|89MLV|aDUR
17	34613 42221	   	203.48	ACR|3DMG|2AART|2VULN|2ASPD	1aASPD|2aVULN|37AART|469DMG|5RCR|8aBEXP|aBPWR
18	34613 13223	   	203.38	ACR|3DMG|2AART|2VULN|2ASPD	18ASPD|28VULN|3aAART|489DMG|5RCR|6MBVNT|7RMIN|8BPWR
19	32613 42121	   	203.28	ACR|3DMG|2AART|2VULN|2ASPD	1aASPD|2LEGI|37AART|469DMG|5RCR|8aVULN|aBPWR
20	34613 12246	   	202.94	ACR|3VULN|2DMG|1AART|2ASPD|1ZMB	17ASPD|27aVULN|3AART|47DMG|5RCR|6MBVNT|7BPWR|8LWND|9ZMB
21	34613 12831	   	202.94	ACR|3DMG|2VULN|1AART|2ASPD|1ZMB	17ASPD|27VULN|3AART|478DMG|5RCR|6MBVNT|7BPWR|9ZMB|aLIT
22	34613 12146	   	202.84	ACR|3VULN|2DMG|1AART|2ASPD|1ZMB	17ASPD|27aVULN|3AART|47DMG|5RCR|6MBVNT|7BPWR|8DUST|9ZMB
23	34613 12832	   	202.84	ACR|3DMG|2VULN|1AART|2ASPD|1ZMB	17ASPD|27VULN|3AART|478DMG|5RCR|6MBVNT|7BPWR|9ZMB|aDUST
24	34613 12242	   	200.94	ACR|2VULN|2DMG|1AART|2ASPD|1FLTHEA|1ZMB	17ASPD|27VULN|3AART|47DMG|5RCR|6MBVNT|7BPWR|8LWND|9ZMB|aFLTHEA
25	34613 12542	   	200.94	ACR|2VULN|2DMG|1AART|2ASPD|1FLTHEA|1ZMB	17ASPD|27VULN|3AART|47DMG|5RCR|6MBVNT|7BPWR|8LHND|9ZMB|aFLTHEA
26	34613 12142	   	200.84	ACR|2VULN|2DMG|1AART|2ASPD|1FLTHEA|1ZMB	17ASPD|27VULN|3AART|47DMG|5RCR|6MBVNT|7BPWR|8DUST|9ZMB|aFLTHEA
27	12621 11334	 * 	200.02	DCR|3VULN|1AART|1DMG|2ZMB|2ASPD	1RPLT|29ZMB|39ASPD|4AART|5DUR|6RCR|7DMG|89aVULN|9BPWR
28	52251 41221	 * 	199.41	ACR|3VULN|2DMG|1AART|2CDMG|1SELL	1SELL|28aVULN|3aBEXP|4RCR|5AART|68CDMG|78DUST|8aBPWR|9aDMG
29	34613 12481	   	198.88	ACR|3DMG|2VULN|1AART|2ASPD	17ASPD|27VULN|3AART|479DMG|5RCR|6MBVNT|7BPWR|8LIT|aDUR
30	34613 12723	   	198.88	ACR|3DMG|2VULN|1AART|2ASPD	17ASPD|27VULN|3AART|479DMG|5RCR|6MBVNT|7BPWR|8MLV|aDUR
31	34613 12821	   	198.88	ACR|3DMG|2VULN|1AART|2ASPD	17ASPD|27VULN|3AART|478DMG|5RCR|6MBVNT|7BPWR|9LIT|aDUR
32	34613 13224	   	198.88	ACR|3DMG|2VULN|1AART|2ASPD	18ASPD|28VULN|3AART|489DMG|5RCR|6MBVNT|7RMIN|8BPWR|aDUR
33	34613 12813	   	198.78	ACR|3DMG|2VULN|1AART|2ASPD	17ASPD|27VULN|3AART|478DMG|5RCR|6MBVNT|7BPWR|9ERES|aDUR
34	34613 12147	   	198.63	ACR|2AART|2VULN|2DMG|2ASPD|1ZMB	17ASPD|27VULN|3aAART|47DMG|5RCR|6MBVNT|7BPWR|8DUST|9ZMB
35	34613 23242	   	198.55	ACR|3DMG|2VULN|1AART|3ASPD	189ASPD|2aVULN|3AART|489DMG|5RCR|689FEWX|7RMIN|89BPWR
36	34613 12212	   	198.45	ACR|3VULN|2DMG|1AART|3ASPD	17aASPD|27aVULN|3AART|47DMG|5RCR|6MBVNT|7aBPWR|8LWND|9aMLV
37	34613 12222	   	198.45	ACR|3VULN|2DMG|1AART|3ASPD	17aASPD|27aVULN|3AART|47DMG|5RCR|6MBVNT|7aBPWR|8LWND|9aCGEN
38	34613 12512	   	198.45	ACR|3VULN|2DMG|1AART|3ASPD	17aASPD|27aVULN|3AART|47DMG|5RCR|6MBVNT|7aBPWR|8LHND|9aMLV
39	34613 12522	   	198.45	ACR|3VULN|2DMG|1AART|3ASPD	17aASPD|27aVULN|3AART|47DMG|5RCR|6MBVNT|7aBPWR|8LHND|9aCGEN
40	34613 12732	   	198.45	ACR|3DMG|2VULN|1AART|3ASPD	179ASPD|27VULN|3AART|479DMG|5RCR|6MBVNT|79BPWR|89MLV|aBEXP
41	34613 12733	   	198.45	ACR|3DMG|2VULN|1AART|3ASPD	179ASPD|27VULN|3AART|479DMG|5RCR|6MBVNT|79BPWR|89MLV|aFEWX
42	34613 12742	   	198.45	ACR|3VULN|2DMG|1AART|3ASPD	17aASPD|27aVULN|3AART|47DMG|5RCR|6MBVNT|7aBPWR|8MLV|9aFEWX
43	34613 12112	   	198.35	ACR|3VULN|2DMG|1AART|3ASPD	17aASPD|27aVULN|3AART|47DMG|5RCR|6MBVNT|7aBPWR|8DUST|9aMLV
44	34613 12122	   	198.35	ACR|3VULN|2DMG|1AART|3ASPD	17aASPD|27aVULN|3AART|47DMG|5RCR|6MBVNT|7aBPWR|8DUST|9aCGEN
45	34613 12731	   	198.35	ACR|3DMG|2VULN|1AART|3ASPD	179ASPD|27VULN|3AART|479DMG|5RCR|6MBVNT|79BPWR|89MLV|aSNIHEL
