0	Index      	 *	Score 	Summary	Detail	
1	26213 53622	 * 	203.72	DCR|3VULN|2DMG|1AART|1CDMG|1ZMB	18aVULN|2CDMG|3RMIN|48DMG|5AART|68CANHEL|7RCR|8BPWR|9ZMB
2	26213 53612	   	199.66	DCR|3VULN|2DMG|1AART|1CDMG|1ASPD	18aVULN|2CDMG|3RMIN|48DMG|5AART|68CANHEL|7RCR|8BPWR|9ASPD
3	25213 61152	 * 	197.01	DCR|3VULN|3DMG|3ZMB	18aVULN|256DMG|3DMSP|459ZMB|5BPWR|7RCR
4	25213 61114	   	197.01	DCR|3VULN|3DMG|3ZMB	189VULN|256DMG|3DMSP|45aZMB|5BPWR|7RCR
5	25144 63732	 * 	196.80	DCR|3VULN|3DMG|2ASPD|2DUR	158VULN|29aDMG|3MBVNT|48ASPD|6RCR|78DUR|8BPWR
6	54513 12112	 * 	195.74	ACR|4VULN|2DMG|1AART|1SELL	1SELL|2CGEN|3RCR|48DMG|5AART|679aVULN
7	25144 63712	 * 	195.25	DCR|4VULN|2DMG|2ASPD|2DUR	1589VULN|2aDMG|3MBVNT|48ASPD|6RCR|78DUR|8BPWR
8	25213 61611	 * 	195.10	DCR|3DMG|2VULN|3ZMB|1CDMG	18VULN|256DMG|3DMSP|458ZMB|58BPWR|7RCR|9CGEN|aCDMG
9	26213 53623	   	195.01	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	18VULN|2CDMG|3RMIN|48DMG|5AART|68CANHEL|7RCR|8BPWR|9ZMB|aDUR
10	33141 86174	 * 	194.94	ACR|3DMG|3VULN|1AART	19aERES|2DUST|3MBVNT|4RCR|5AART|69aDMG|7LEGI|89aVULN|9aBPWR
11	26643 21312	 * 	192.72	DCR|3DMG|2VULN|1AART|1CDMG	18VULN|2CDMG|3LIT|45aDMG|6RCR|7LWND|9AART
12	26643 22312	   	192.72	DCR|3DMG|2VULN|1AART|1CDMG	18VULN|2CDMG|3LIT|45aDMG|6RCR|7FEWX|9AART
13	25136 32312	   	192.62	DCR|3VULN|2DMG|1AART|1CDMG	178VULN|2aDMG|3MBVNT|4LIT|5CDMG|6RCR|9AART
14	25136 32412	   	192.62	DCR|3DMG|2VULN|1AART|1CDMG	17VULN|28aDMG|3MBVNT|4LIT|5CDMG|6RCR|9AART
15	26643 23312	   	192.62	DCR|3DMG|2VULN|1AART|1CDMG	18VULN|2CDMG|3LIT|45aDMG|6RCR|7DUST|9AART
16	25213 61126	 * 	191.02	DCR|3DMG|2VULN|1AART|2ZMB	18VULN|256DMG|3DMSP|45ZMB|5BPWR|7RCR|9BEXP|aAART
17	26213 53613	   	190.94	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1ASPD	18VULN|2CDMG|3RMIN|48DMG|5AART|68CANHEL|7RCR|8BPWR|9ASPD|aDUR
18	23212 13343	 * 	190.52	DCR|4VULN|1AART|1DMG|1ZMB|1DUR	1258VULN|3LIT|4DMG|6ZMB|7RCR|9DUR|aAART
19	23134 12515	 * 	189.33	DCR|4VULN|2DMG|2FLTHEA	129aVULN|3DUST|4aDMG|5ERES|6RCR|7CGEN|8aFLTHEA|aBPWR
20	23322 21516	 * 	188.72	DCR|3VULN|2DMG|1AART|3DUR	128VULN|3MLV|4AART|5RPLT|689DUR|78DMG|8BPWR|aRCR
21	25213 61151	   	188.29	DCR|3DMG|2VULN|3ZMB|1ASPD	18VULN|256DMG|3DMSP|459ZMB|5BPWR|7RCR|aASPD
22	26213 53621	   	188.07	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	18VULN|2CDMG|3RMIN|48DMG|5AART|68CANHEL|7RCR|8BPWR|9ZMB|aDMSP
23	23136 25162	 * 	186.63	DCR|5VULN|2DMG|1DUR	1268aVULN|3DUST|49DMG|5DUR|7RCR
24	25144 63163	   	185.66	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	158VULN|2DMG|3MBVNT|4ASPD|6RCR|7DUR|9ZMB|aAART
25	25144 63733	 * 	184.96	DCR|3VULN|2DMG|3DUR|2ASPD	158VULN|29DMG|3MBVNT|48ASPD|6RCR|78aDUR|8BPWR
26	25144 63132	   	184.70	DCR|3VULN|3DMG|1ASPD|1DUR	158VULN|29aDMG|3MBVNT|4ASPD|6RCR|7DUR
27	26213 53611	   	184.00	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	18VULN|2CDMG|3RMIN|48DMG|5AART|68CANHEL|7RCR|8BPWR|9ASPD|aDMSP
28	26213 53632	   	184.00	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	18VULN|2CDMG|3RMIN|48DMG|5AART|68CANHEL|7RCR|8BPWR|9LWND|aDUR
29	25136 32415	   	183.90	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	17VULN|28DMG|3MBVNT|4LIT|5CDMG|6RCR|9AART|aDUR
30	25213 61111	   	183.47	DCR|3VULN|3DMG|2ZMB	189VULN|256DMG|3DMSP|45ZMB|5BPWR|7RCR|aMLV
31	25213 61113	   	183.47	DCR|3VULN|3DMG|2ZMB	189VULN|256DMG|3DMSP|45ZMB|5BPWR|7RCR|aFEWX
32	25213 61116	   	183.47	DCR|3VULN|3DMG|2ZMB	189VULN|256DMG|3DMSP|45ZMB|5BPWR|7RCR|aBEXP
33	25314 13632	   	183.35	DCR|3VULN|3DMG|2DUR	158VULN|29aDMG|38FEWX|4RMIN|6RCR|78DUR|8BPWR
34	25213 61112	   	183.23	DCR|3VULN|3DMG|2ZMB|1SELL	189VULN|256DMG|3DMSP|45ZMB|5BPWR|7RCR|aSELL
35	25144 63112	   	183.14	DCR|4VULN|2DMG|1ASPD|1DUR	1589VULN|2aDMG|3MBVNT|4ASPD|6RCR|7DUR
36	25144 64712	   	183.02	DCR|4VULN|2DMG|2ASPD	1589VULN|2aDMG|3MBVNT|48ASPD|6RCR|78BEXP|8BPWR
37	25213 53343	   	182.31	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	18VULN|25DMG|3DMSP|45ZMB|5BPWR|6LIT|7RCR|9DUR|aAART
38	25136 32315	   	181.97	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	178VULN|2DMG|3MBVNT|4LIT|5CDMG|6RCR|9AART|aDUR
39	25314 13612	   	181.80	DCR|4VULN|2DMG|2DUR	1589VULN|2aDMG|38FEWX|4RMIN|6RCR|78DUR|8BPWR
40	54513 12111	   	181.64	ACR|3VULN|2DMG|1AART|1SELL	1SELL|2aCGEN|3RCR|48DMG|5AART|679VULN
41	54513 12113	   	181.64	ACR|3VULN|2DMG|1AART|1SELL	1SELL|2CGEN|3RCR|48DMG|5AART|679VULN|aLHND
42	25144 63713	 * 	181.48	DCR|4VULN|1DMG|3DUR|2ASPD	1589VULN|2DMG|3MBVNT|48ASPD|6RCR|78aDUR|8BPWR
43	25213 61613	   	181.45	DCR|3DMG|2VULN|3ZMB	18VULN|256DMG|3DMSP|458ZMB|58BPWR|7RCR|9CGEN|aMLV
44	25213 61621	   	181.45	DCR|3DMG|2VULN|3ZMB	18VULN|256DMG|3DMSP|458ZMB|58BPWR|7RCR|9LIT|aRMIN
45	25213 61622	   	181.45	DCR|3DMG|2VULN|3ZMB	18VULN|256DMG|3DMSP|458ZMB|58BPWR|7RCR|9aLIT
46	25213 61153	   	181.35	DCR|3DMG|2VULN|3ZMB	18VULN|256DMG|3DMSP|459ZMB|5BPWR|7RCR|aRCVC
47	25213 61161	   	181.35	DCR|3DMG|2VULN|3ZMB	18VULN|256DMG|3DMSP|45aZMB|5BPWR|7RCR|9CGEN
48	25213 61623	   	181.35	DCR|3DMG|2VULN|3ZMB	18VULN|256DMG|3DMSP|458ZMB|58BPWR|7RCR|9LIT|aDUST
49	25213 61632	   	181.35	DCR|3DMG|2VULN|3ZMB	18VULN|256DMG|3DMSP|458ZMB|58BPWR|7RCR|9NUKE|aMLV
50	25213 61633	   	181.35	DCR|3DMG|2VULN|3ZMB	18VULN|256DMG|3DMSP|458ZMB|58BPWR|7RCR|9NUKE|aCGEN
51	25213 61631	   	181.25	DCR|3DMG|2VULN|3ZMB	18VULN|256DMG|3DMSP|458ZMB|58BPWR|7RCR|9NUKE|aMBVNT
52	25144 63731	   	181.15	DCR|3VULN|2DMG|2ASPD|2DUR	158VULN|29DMG|3MBVNT|48ASPD|6RCR|78DUR|8BPWR|aMLV
53	25144 63734	   	181.15	DCR|3VULN|2DMG|2ASPD|2DUR	158VULN|29DMG|3MBVNT|48ASPD|6RCR|78DUR|8BPWR|aRPLT
54	25213 61134	   	181.11	DCR|3DMG|2VULN|3ZMB|1SELL	18VULN|256DMG|3DMSP|45aZMB|5BPWR|7RCR|9SELL
55	23212 13342	 * 	180.97	DCR|4VULN|1DMG|1CDMG|1ZMB|1DUR	1258VULN|3LIT|4DMG|6ZMB|7RCR|9DUR|aCDMG
56	23523 36522	 * 	180.76	DCR|3VULN|2AART|2ASPD|1CDMG	128VULN|3TLV|49AART|58FEWX|68ASPD|7RCR|8BPWR|aCDMG
57	25144 61823	   	180.66	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	15VULN|28DMG|3MBVNT|4ASPD|6RCR|7ZMB|9LWND|aAART
58	25144 61833	   	180.66	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	15VULN|28DMG|3MBVNT|4ASPD|6RCR|7ZMB|9LHND|aAART
59	25144 61843	   	180.66	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	15VULN|28DMG|3MBVNT|4ASPD|6RCR|7ZMB|9BEXP|aAART
60	25144 61813	   	180.56	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	15VULN|28DMG|3MBVNT|4ASPD|6RCR|7ZMB|9DUST|aAART
61	25314 11162	   	180.37	DCR|4VULN|2DMG|1ZMB	158aVULN|29DMG|3FEWX|4RMIN|6RCR|7ZMB
62	23134 11162	   	180.17	DCR|4VULN|2DMG|1ZMB	128aVULN|3DUST|49DMG|5ERES|6RCR|7ZMB
63	25144 63135	   	180.04	DCR|3VULN|2DMG|1ZMB|1ASPD|1DUR	158VULN|29DMG|3MBVNT|4ASPD|6RCR|7DUR|aZMB
64	25144 63162	   	180.04	DCR|3VULN|2DMG|1ZMB|1ASPD|1DUR	158VULN|2aDMG|3MBVNT|4ASPD|6RCR|7DUR|9ZMB
65	23136 25214	   	180.02	DCR|4VULN|1AART|1DMG|1DUR	126aVULN|3DUST|4DMG|5DUR|7RCR|8LWND|9AART
66	23212 63343	   	179.42	DCR|4VULN|1AART|1DMG|1DUR	1258VULN|3LIT|4DMG|6TLV|7RCR|9DUR|aAART
67	25144 61215	   	179.32	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	15aVULN|2DMG|3MBVNT|4ASPD|6RCR|7ZMB|8LWND|9AART
68	26322 25311	 * 	179.28	DCR|3DMG|1AART|1VULN|2CDMG|1DUR	1VULN|26CDMG|3DUR|4DUST|567DMG|6BPWR|8AART|9LSRREG|aRCR
69	33141 86114	   	179.19	ACR|3VULN|2DMG|1AART	1aERES|2DUST|3MBVNT|4RCR|5AART|6aDMG|7LEGI|89aVULN|aBPWR
70	33141 62264	   	179.19	ACR|3VULN|2DMG|1AART	1aERES|2DUST|3MBVNT|4RCR|5AART|67aVULN|8LEGI|9aDMG|aBPWR
71	22164 11632	   	179.07	DCR|3VULN|2DMG|1AART	145VULN|2BEXP|3LWND|6RCR|7RPLT|8aDMG|9AART
72	25144 61123	   	178.72	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	158VULN|2DMG|3MBVNT|4ASPD|6RCR|7ZMB|9LWND|aAART
73	25144 61133	   	178.72	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	158VULN|2DMG|3MBVNT|4ASPD|6RCR|7ZMB|9LHND|aAART
74	25144 61143	   	178.72	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	158VULN|2DMG|3MBVNT|4ASPD|6RCR|7ZMB|9BEXP|aAART
75	25144 64163	   	178.72	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	158VULN|2DMG|3MBVNT|4ASPD|6RCR|7BEXP|9ZMB|aAART
76	25414 11123	   	178.72	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	158VULN|2DMG|3DUST|4RMIN|6RCR|7ZMB|9DUR|aAART
77	25614 11123	   	178.72	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	158VULN|2DMG|3CGEN|4DUST|6RCR|7ZMB|9DUR|aAART
78	25624 11113	   	178.72	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	158VULN|2DMG|3CGEN|4DUR|6RCR|7ZMB|9DUST|aAART
79	25144 61113	   	178.62	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	158VULN|2DMG|3MBVNT|4ASPD|6RCR|7ZMB|9DUST|aAART
80	25524 11113	   	178.62	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	158VULN|2DMG|3ERES|4DUR|6RCR|7ZMB|9DUST|aAART
81	23134 11123	   	178.62	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	128VULN|3DUST|4DMG|5ERES|6RCR|7ZMB|9DUR|aAART
82	25514 11123	   	178.62	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	158VULN|2DMG|3ERES|4DUST|6RCR|7ZMB|9DUR|aAART
83	25144 63235	 * 	178.23	DCR|3VULN|1DMG|2CDMG|2ASPD|1DUR	15aVULN|2DMG|3MBVNT|4aASPD|6RCR|7DUR|8CGEN|9aCDMG|aBPWR
84	33144 17264	   	177.99	ACR|3VULN|2DMG|1AART	1aERES|2DUST|3MBVNT|4RCR|56aVULN|7AART|8LEGI|9aDMG|aBPWR
85	26264 13722	   	177.90	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	18VULN|2CDMG|3RMIN|4MBVNT|58CANHEL|68DMG|7AART|8BPWR|9RCR|aDUR
86	25144 36345	 * 	177.88	DCR|4VULN|1DMG|2ZMB|2ASPD	159aVULN|2DMG|3MBVNT|49ASPD|6BELT|7RCR|89ZMB|9BPWR
87	23212 13324	   	177.87	DCR|4VULN|2DMG|1ZMB	1258VULN|3LIT|4aDMG|6ZMB|7RCR|9CANSTR
88	25314 13132	   	177.86	DCR|3VULN|3DMG|1DUR	158VULN|29aDMG|3FEWX|4RMIN|6RCR|7DUR
89	25115 63132	   	177.76	DCR|3VULN|3DMG|1DUR	158VULN|29aDMG|3MBVNT|4RMIN|6RCR|7DUR
90	25414 13132	   	177.76	DCR|3VULN|3DMG|1DUR	158VULN|29aDMG|3DUST|4RMIN|6RCR|7DUR
91	54513 13113	 * 	177.70	ACR|3DMG|1AART|1VULN|1CDMG|1SELL	1SELL|2CGEN|3RCR|478DMG|5AART|6VULN|9BEXP|aCDMG
92	25144 63711	   	177.66	DCR|4VULN|1DMG|2ASPD|2DUR	1589VULN|2DMG|3MBVNT|48ASPD|6RCR|78DUR|8BPWR|aMLV
93	25144 63714	   	177.66	DCR|4VULN|1DMG|2ASPD|2DUR	1589VULN|2DMG|3MBVNT|48ASPD|6RCR|78DUR|8BPWR|aRPLT
94	25144 67311	   	177.66	DCR|3VULN|3DMG|1ASPD	15aVULN|289DMG|3MBVNT|4ASPD|6RCR|7VENICY
95	23212 15243	   	177.58	DCR|4VULN|1AART|1DMG|1ZMB	1257VULN|39LIT|4DMG|6ZMB|8AART|aRCR
96	25144 36346	 * 	177.43	DCR|3VULN|1DMG|2ZMB|2ASPD|1CDMG	159VULN|2DMG|3MBVNT|49ASPD|6BELT|7RCR|89ZMB|9BPWR|aCDMG
97	25131 66224	   	177.37	DCR|3VULN|2DMG|1AART	19aVULN|29DMG|3MBVNT|4LIT|5CGEN|69BEXP|7RCR|8AART|9BPWR
98	46213 13362	   	177.32	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2CDMG|3RMIN|4aDMG|5AART|6ERES|7RCR|8ZMB|9VULN
99	25142 63732	 * 	177.18	DCR|2VULN|1AART|3ASPD|1DMG|2DUR|1SELL	18VULN|2DMG|3MBVNT|458ASPD|6RCR|78DUR|8BPWR|9SELL|aAART
100	23242 42633	   	177.12	DCR|4VULN|1AART|1DMG|1DUR	1245VULN|3LIT|6DUR|7MLV|8RCR|9DMG|aAART
101	26213 53633	   	177.06	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|2CDMG|3RMIN|48DMG|5AART|68CANHEL|7RCR|8BPWR|9LWND|aBEXP
102	26643 21313	   	177.06	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|2CDMG|3LIT|45DMG|6RCR|7LWND|9AART|aBEXP
103	26643 22313	   	177.06	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|2CDMG|3LIT|45DMG|6RCR|7FEWX|9AART|aBEXP
104	25136 32413	   	176.96	DCR|2VULN|2DMG|1AART|1CDMG	17VULN|28DMG|3MBVNT|4LIT|5CDMG|6RCR|9AART|aFEWX
105	25136 32416	   	176.96	DCR|2VULN|2DMG|1AART|1CDMG	17VULN|28DMG|3MBVNT|4LIT|5CDMG|6RCR|9AART|aRCVC
106	25136 32417	   	176.96	DCR|2VULN|2DMG|1AART|1CDMG	17VULN|28DMG|3MBVNT|4LIT|5CDMG|6RCR|9AART|aBEXP
107	25136 32418	   	176.96	DCR|2VULN|2DMG|1AART|1CDMG	17VULN|28DMG|3MBVNT|4LIT|5CDMG|6RCR|9AART|aRPLT
108	25136 32612	   	176.96	DCR|2VULN|2DMG|1AART|1CDMG	17VULN|2aDMG|3MBVNT|4LIT|5CDMG|6RCR|8DMSP|9AART
109	26213 53631	   	176.96	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|2CDMG|3RMIN|48DMG|5AART|68CANHEL|7RCR|8BPWR|9LWND|aDUST
110	26643 21311	   	176.96	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|2CDMG|3LIT|45DMG|6RCR|7LWND|9AART|aERES
111	26643 22311	   	176.96	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|2CDMG|3LIT|45DMG|6RCR|7FEWX|9AART|aERES
112	26643 23313	   	176.96	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|2CDMG|3LIT|45DMG|6RCR|7DUST|9AART|aFEWX
113	23136 25215	   	176.92	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	126VULN|3DUST|4DMG|5DUR|7RCR|8LWND|9AART|aZMB
114	16622 21136	 * 	176.88	ACR|2VULN|2DMG|1AART|1CDMG	16LHND|2CDMG|3RCR|47VULN|56DMG|6BPWR|8DUST|9LWND|aAART
115	25136 32411	   	176.86	DCR|2VULN|2DMG|1AART|1CDMG	17VULN|28DMG|3MBVNT|4LIT|5CDMG|6RCR|9AART|aERES
116	25136 32414	   	176.86	DCR|2VULN|2DMG|1AART|1CDMG	17VULN|28DMG|3MBVNT|4LIT|5CDMG|6RCR|9AART|aDUST
117	26643 23311	   	176.86	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|2CDMG|3LIT|45DMG|6RCR|7DUST|9AART|aERES
118	25142 63163	 * 	176.62	DCR|2VULN|1AART|1DMG|2ASPD|1ZMB|1DUR	18VULN|2DMG|3MBVNT|45ASPD|6RCR|7DUR|9ZMB|aAART
119	25144 63115	   	176.56	DCR|4VULN|1DMG|1ZMB|1ASPD|1DUR	1589VULN|2DMG|3MBVNT|4ASPD|6RCR|7DUR|aZMB
120	23131 24243	 * 	176.43	DCR|3VULN|2DMG|2ZMB|1CDMG|1SELL	127VULN|3DUST|47DMG|5SELL|67ZMB|7BPWR|8BEXP|9RCR|aCDMG
121	23131 24643	 * 	176.43	DCR|3VULN|2DMG|2ZMB|1CDMG|1SELL	127VULN|3DUST|47DMG|5SELL|67ZMB|7BPWR|8LWND|9RCR|aCDMG
122	23211 13343	   	176.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	128VULN|3LIT|4DMG|5RCVC|6ZMB|7RCR|9DUR|aAART
123	23634 13343	   	176.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	128VULN|3RCVC|4DMG|5LIT|6ZMB|7RCR|9DUR|aAART
124	25234 13343	   	176.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	148VULN|2DMG|3DMSP|5LIT|6ZMB|7RCR|9DUR|aAART
125	25136 32426	   	176.36	DCR|2VULN|2DMG|1AART|1CDMG	17VULN|28DMG|3MBVNT|4LIT|5CDMG|6RCR|9BEXP|aAART
126	23212 33313	   	176.32	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	125VULN|3LIT|4DMG|6ERES|7RCR|8ASPD|9ZMB|aAART
127	25314 13112	   	176.30	DCR|4VULN|2DMG|1DUR	1589VULN|2aDMG|3FEWX|4RMIN|6RCR|7DUR
128	25144 64112	   	176.20	DCR|4VULN|2DMG|1ASPD	1589VULN|2aDMG|3MBVNT|4ASPD|6RCR|7BEXP
129	25115 63112	   	176.20	DCR|4VULN|2DMG|1DUR	1589VULN|2aDMG|3MBVNT|4RMIN|6RCR|7DUR
130	25414 13112	   	176.20	DCR|4VULN|2DMG|1DUR	1589VULN|2aDMG|3DUST|4RMIN|6RCR|7DUR
