0	Index      	 *	Score 	Summary	Detail	
1	12322 63415	 * 	195.27	ACR|3VULN|1AART|1DMG|2CDMG|1ZMB	1CGEN|2RCR|36CDMG|4ZMB|578VULN|9AART|aDMG
2	22433 11513	 * 	194.34	ACR|3DMG|2VULN|1AART|3DUR	1LEGI|2aVULN|3ERES|4RCR|56aDUR|7AART|89aDMG|aBPWR
3	22433 41513	   	190.42	ACR|3DMG|2VULN|1AART|2DUR	1LEGI|2aVULN|36ERES|4RCR|5aDUR|7AART|89aDMG|aBPWR
4	66122 61333	 * 	190.23	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD	1ASPD|2aDMG|3LIT|4RCR|5DUST|6AART|7aCDMG|8MLV|9aVULN|aBPWR
5	12321 53415	   	188.95	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	15CGEN|2RCR|3CDMG|4ZMB|678VULN|9AART|aDMG
6	12322 43415	   	188.95	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2RCR|3CDMG|4ZMB|578VULN|6RCVC|9AART|aDMG
7	22263 61513	   	188.22	ACR|3DMG|2VULN|1AART|2DUR	1LEGI|2aVULN|3CGEN|4RCVC|5RCR|6aDUR|7AART|89aDMG|aBPWR
8	22436 15322	   	186.62	ACR|2DMG|2VULN|1AART|1CDMG|2DUR	1LEGI|28VULN|37ERES|4RCR|58DMG|68DUR|8BPWR|9CDMG|aAART
9	13624 26441	 * 	185.54	DCR|3VULN|1AART|1DMG|2CDMG	1CGEN|2AART|37CDMG|48aVULN|5MBVNT|6RCR|9DMG
10	12436 32335	 * 	183.48	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1CGEN|2RCR|3DUR|4MLV|57VULN|6DMG|8AART|9CDMG|aFLTHEA
11	12416 32335	   	183.38	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1DUR	1CGEN|2RCR|3DUR|4ERES|57VULN|6DMG|8AART|9CDMG|aFLTHEA
12	12436 32314	   	182.84	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RCR|3DUR|4MLV|57aVULN|6DMG|8AART|9ZMB
13	12416 32314	   	182.74	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RCR|3DUR|4ERES|57aVULN|6DMG|8AART|9ZMB
14	12322 63411	   	182.14	ACR|3VULN|1AART|2CDMG|1ZMB|1ASPD	1CGEN|2RCR|36CDMG|4ZMB|578VULN|9AART|aASPD
15	12326 61523	   	181.41	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	1CGEN|2RCR|37CDMG|4ZMB|59DMG|6AART|8DMSP|aVULN
16	13624 21445	 * 	181.16	DCR|2VULN|2DMG|1AART|1CDMG	1CGEN|2AART|3CDMG|48VULN|5MBVNT|6RCR|7RCVC|9aDMG
17	13624 23445	   	181.16	DCR|2VULN|2DMG|1AART|1CDMG	17CGEN|2AART|3CDMG|48VULN|5MBVNT|6RCR|9aDMG
