0	Index      	 *	Score 	Summary	Detail	
1	32812 66334	 * 	206.87	ACR|3VULN|3DMG|1AART|2DUR	1MBVNT|289VULN|3RCR|4BEXP|59DUR|679DMG|9BPWR|aAART
2	11126 13235	 * 	204.06	DCR|3VULN|3DMG|1AART|1DUR	1AART|236VULN|4LIT|58aDMG|7RCR|9DUR
3	11131 13235	   	204.06	DCR|3VULN|3DMG|1AART|1DUR	1AART|236VULN|48aDMG|5LIT|7RCR|9DUR
4	11426 13235	   	204.06	DCR|3VULN|3DMG|1AART|1DUR	1AART|236VULN|3BPWR|4LIT|58aDMG|7RCR|9DUR
5	11431 13235	   	204.06	DCR|3VULN|3DMG|1AART|1DUR	1AART|236VULN|3BPWR|48aDMG|5LIT|7RCR|9DUR
6	11126 13365	   	204.06	DCR|3VULN|3DMG|1AART|1DUR	1AART|236VULN|4LIT|59aDMG|7RCR|8DUR
7	11131 13365	   	204.06	DCR|3VULN|3DMG|1AART|1DUR	1AART|236VULN|49aDMG|5LIT|7RCR|8DUR
8	11431 13365	   	204.06	DCR|3VULN|3DMG|1AART|1DUR	1AART|236VULN|3BPWR|49aDMG|5LIT|7RCR|8DUR
9	32263 68233	 * 	202.38	ACR|5VULN|1AART|1DMG|1CDMG	1MBVNT|2689aVULN|3CDMG|4RCR|5AART|7DMG
10	11126 13232	 * 	199.85	DCR|3VULN|2AART|2DMG|1DUR	1aAART|236VULN|4LIT|58DMG|7RCR|9DUR
11	11131 13232	   	199.85	DCR|3VULN|2AART|2DMG|1DUR	1aAART|236VULN|48DMG|5LIT|7RCR|9DUR
12	11426 13232	   	199.85	DCR|3VULN|2AART|2DMG|1DUR	1aAART|236VULN|3BPWR|4LIT|58DMG|7RCR|9DUR
13	11431 13232	   	199.85	DCR|3VULN|2AART|2DMG|1DUR	1aAART|236VULN|3BPWR|48DMG|5LIT|7RCR|9DUR
14	11126 13362	   	199.85	DCR|3VULN|2AART|2DMG|1DUR	1aAART|236VULN|4LIT|59DMG|7RCR|8DUR
15	11131 13362	   	199.85	DCR|3VULN|2AART|2DMG|1DUR	1aAART|236VULN|49DMG|5LIT|7RCR|8DUR
16	11426 13362	   	199.85	DCR|3VULN|2AART|2DMG|1DUR	1aAART|236VULN|3BPWR|4LIT|59DMG|7RCR|8DUR
17	11431 13362	   	199.85	DCR|3VULN|2AART|2DMG|1DUR	1aAART|236VULN|3BPWR|49DMG|5LIT|7RCR|8DUR
18	32263 62453	 * 	199.55	ACR|3VULN|2DMG|1AART|2CDMG	1MBVNT|26aVULN|3aCDMG|4RCR|5AART|7LIT|8MLV|9aDMG|aBPWR
19	15232 63132	 * 	197.77	DCR|3AART|2VULN|2DMG|2DUR|1ZMB	137AART|28DUR|48DMG|5RMIN|68VULN|8BPWR|9ZMB|aRCR
20	32812 66333	   	197.32	ACR|3VULN|3DMG|1CDMG|2DUR	1MBVNT|289VULN|3RCR|4BEXP|59DUR|679DMG|9BPWR|aCDMG
21	11131 13565	   	197.12	DCR|3VULN|3DMG|1AART	1AART|236VULN|49aDMG|5LIT|7RCR|8LHND
22	11126 13256	   	196.72	DCR|3VULN|2DMG|1AART|1CDMG	1AART|236VULN|4LIT|58DMG|7RCR|9RCVC|aCDMG
23	11131 13256	   	196.72	DCR|3VULN|2DMG|1AART|1CDMG	1AART|236VULN|48DMG|5LIT|7RCR|9RCVC|aCDMG
24	11431 13256	   	196.72	DCR|3VULN|2DMG|1AART|1CDMG	1AART|236VULN|3BPWR|48DMG|5LIT|7RCR|9RCVC|aCDMG
25	32263 16724	 * 	196.06	ACR|4VULN|1AART|1DMG|2CDMG	1MBVNT|2789VULN|39CDMG|4RCR|5AART|69LWND|9BPWR|aDMG
26	32263 26414	   	196.06	ACR|4VULN|1AART|1DMG|2CDMG	1MBVNT|2789VULN|38CDMG|4RCR|5AART|68FEWX|8BPWR|aDMG
27	32263 61724	   	196.06	ACR|4VULN|1AART|1DMG|2CDMG	1MBVNT|2689VULN|39CDMG|4RCR|5AART|79LWND|9BPWR|aDMG
28	32263 68333	   	195.86	ACR|4VULN|1AART|1DMG|2CDMG	1MBVNT|269aVULN|38CDMG|4RCR|5AART|7DMG
29	32834 56341	 * 	195.64	ACR|3DMG|2VULN|1AART|2ZMB	1MBVNT|29VULN|3RCR|48LWND|59ZMB|69aDMG|7AART|9BPWR
30	32263 26425	 * 	195.07	ACR|5VULN|1AART|3CDMG	1MBVNT|2789aVULN|389CDMG|4RCR|5AART|689FEWX|89BPWR
31	14213 53341	 * 	194.96	DCR|3VULN|3DMG|1AART|3ZMB|1MSE	1AART|279ZMB|3MSE|479DMG|5MBVNT|679VULN|79BPWR|8LEGI|aRCR
32	32172 41738	 * 	194.07	DCR|3VULN|3ZMB|1AART|2FLTHEA	1MBVNT|28aVULN|3RCVC|4AART|58FLTHEA|68aZMB|7RCR|8aBPWR|9aLHND
33	11126 13216	   	192.91	DCR|3VULN|2AART|2DMG	1aAART|236VULN|4LIT|58DMG|7RCR|9CGEN
34	11131 13216	   	192.91	DCR|3VULN|2AART|2DMG	1aAART|236VULN|48DMG|5LIT|7RCR|9CGEN
35	11426 13216	   	192.91	DCR|3VULN|2AART|2DMG	1aAART|236VULN|3BPWR|4LIT|58DMG|7RCR|9CGEN
36	11431 13216	   	192.91	DCR|3VULN|2AART|2DMG	1aAART|236VULN|3BPWR|48DMG|5LIT|7RCR|9CGEN
37	11126 13214	   	192.47	DCR|3VULN|2DMG|1AART|1ZMB	1AART|236VULN|4LIT|58DMG|7RCR|9CGEN|aZMB
38	11126 13244	   	192.47	DCR|3VULN|2DMG|1AART|1ZMB	1AART|236VULN|4LIT|58DMG|7RCR|9MLV|aZMB
39	11126 13264	   	192.47	DCR|3VULN|2DMG|1AART|1ZMB	1AART|236VULN|4LIT|58DMG|7RCR|9RMIN|aZMB
40	11131 13214	   	192.47	DCR|3VULN|2DMG|1AART|1ZMB	1AART|236VULN|48DMG|5LIT|7RCR|9CGEN|aZMB
41	11131 13244	   	192.47	DCR|3VULN|2DMG|1AART|1ZMB	1AART|236VULN|48DMG|5LIT|7RCR|9MLV|aZMB
42	11131 13264	   	192.47	DCR|3VULN|2DMG|1AART|1ZMB	1AART|236VULN|48DMG|5LIT|7RCR|9RMIN|aZMB
43	11426 13214	   	192.47	DCR|3VULN|2DMG|1AART|1ZMB	1AART|236VULN|3BPWR|4LIT|58DMG|7RCR|9CGEN|aZMB
44	11431 13214	   	192.47	DCR|3VULN|2DMG|1AART|1ZMB	1AART|236VULN|3BPWR|48DMG|5LIT|7RCR|9CGEN|aZMB
45	11431 13244	   	192.47	DCR|3VULN|2DMG|1AART|1ZMB	1AART|236VULN|3BPWR|48DMG|5LIT|7RCR|9MLV|aZMB
46	11431 13264	   	192.47	DCR|3VULN|2DMG|1AART|1ZMB	1AART|236VULN|3BPWR|48DMG|5LIT|7RCR|9RMIN|aZMB
47	11126 13224	   	192.37	DCR|3VULN|2DMG|1AART|1ZMB	1AART|236VULN|4LIT|58DMG|7RCR|9ERES|aZMB
48	11131 13224	   	192.37	DCR|3VULN|2DMG|1AART|1ZMB	1AART|236VULN|48DMG|5LIT|7RCR|9ERES|aZMB
49	11426 13224	   	192.37	DCR|3VULN|2DMG|1AART|1ZMB	1AART|236VULN|3BPWR|4LIT|58DMG|7RCR|9ERES|aZMB
50	11431 13224	   	192.37	DCR|3VULN|2DMG|1AART|1ZMB	1AART|236VULN|3BPWR|48DMG|5LIT|7RCR|9ERES|aZMB
51	32172 41715	 * 	191.69	DCR|2VULN|1AART|1DMG|2FLTHEA|2ZMB|1ASPD	1MBVNT|28VULN|3RCVC|4AART|58FLTHEA|68ZMB|7RCR|8BPWR|9ASPD|aDMG
52	11131 13664	 * 	191.63	DCR|4VULN|1AART|1DMG|1CDMG	1AART|236aVULN|4DMG|5LIT|7RCR|8CDMG|9MLV
53	32814 58431	   	191.22	ACR|3VULN|2DMG|1AART|2DUR	1MBVNT|259VULN|3RCR|46BEXP|79DMG|89DUR|9BPWR|aAART
54	11125 43235	   	191.21	DCR|3DMG|2VULN|1AART|1DUR	1AART|23VULN|4LIT|5RCVC|68aDMG|7RCR|9DUR
55	32812 66332	   	190.61	ACR|3VULN|3DMG|2DUR|1ASPD	1MBVNT|289VULN|3RCR|4BEXP|59DUR|679DMG|9BPWR|aASPD
56	32774 33333	 * 	190.20	DCR|4VULN|3ZMB|1DMG|2DUR	1MBVNT|2689VULN|3LHND|49DUR|569ZMB|69BPWR|7RCR|aDMG
57	11126 13254	   	190.01	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|4LIT|58DMG|7RCR|9RCVC|aDUR
58	11131 13254	   	190.01	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|48DMG|5LIT|7RCR|9RCVC|aDUR
59	11431 13254	   	190.01	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|3BPWR|48DMG|5LIT|7RCR|9RCVC|aDUR
60	32263 72453	 * 	189.94	ACR|2VULN|2DMG|1AART|3CDMG	1MBVNT|2aVULN|37aCDMG|4RCR|5AART|6LIT|8MLV|9aDMG|aBPWR
61	11126 13334	   	189.76	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1AART|236VULN|4LIT|5DMG|7RCR|8aDUR|9CDMG
62	11126 13624	   	189.76	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1AART|236VULN|4LIT|5DMG|7RCR|8CDMG|9aDUR
63	11131 13334	   	189.76	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1AART|236VULN|4DMG|5LIT|7RCR|8aDUR|9CDMG
64	11131 13624	   	189.76	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1AART|236VULN|4DMG|5LIT|7RCR|8CDMG|9aDUR
65	11426 13334	   	189.76	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1AART|236VULN|3BPWR|4LIT|5DMG|7RCR|8aDUR|9CDMG
66	11431 13334	   	189.76	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1AART|236VULN|3BPWR|4DMG|5LIT|7RCR|8aDUR|9CDMG
67	11431 13624	   	189.76	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1AART|236VULN|3BPWR|4DMG|5LIT|7RCR|8CDMG|9aDUR
68	11126 13236	   	189.71	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|4LIT|58DMG|7RCR|9DUR|aRCVC
69	11131 13236	   	189.71	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|48DMG|5LIT|7RCR|9DUR|aRCVC
70	11426 13236	   	189.71	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|3BPWR|4LIT|58DMG|7RCR|9DUR|aRCVC
71	11431 13236	   	189.71	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|3BPWR|48DMG|5LIT|7RCR|9DUR|aRCVC
72	11126 13366	   	189.71	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|4LIT|59DMG|7RCR|8DUR|aRCVC
73	11131 13366	   	189.71	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|49DMG|5LIT|7RCR|8DUR|aRCVC
74	11431 13366	   	189.71	DCR|3VULN|2DMG|1AART|1DUR	1AART|236VULN|3BPWR|49DMG|5LIT|7RCR|8DUR|aRCVC
75	32263 16714	   	189.55	ACR|4VULN|1AART|1DMG|1CDMG	1MBVNT|2789VULN|3CDMG|4RCR|5AART|6LWND|aDMG
76	32263 61714	   	189.55	ACR|4VULN|1AART|1DMG|1CDMG	1MBVNT|2689VULN|3CDMG|4RCR|5AART|7LWND|aDMG
77	32263 68231	   	189.55	ACR|4VULN|1AART|1DMG|1CDMG	1MBVNT|2689VULN|3CDMG|4RCR|5AART|7DMG|aBEXP
78	32263 68234	   	189.55	ACR|4VULN|1AART|1DMG|1CDMG	1MBVNT|2689VULN|3CDMG|4RCR|5AART|7DMG|aLWND
79	32416 63814	   	189.50	DCR|3VULN|2DMG|1AART|2DUR	1MBVNT|29aVULN|39DUR|4BEXP|5DUST|69DMG|7RCR|8AART|9BPWR
80	32436 63814	   	189.50	DCR|3VULN|2DMG|1AART|2DUR	1MBVNT|29aVULN|39DUR|4LWND|5DUST|69DMG|7RCR|8AART|9BPWR
81	32263 68232	   	189.45	ACR|4VULN|1AART|1DMG|1CDMG	1MBVNT|2689VULN|3CDMG|4RCR|5AART|7DMG|aDUST
82	11126 13416	 * 	189.43	DCR|4VULN|2AART|1DMG	1aAART|2369VULN|4LIT|5DMG|7RCR|8CGEN
83	11131 13416	   	189.43	DCR|4VULN|2AART|1DMG	1aAART|2369VULN|4DMG|5LIT|7RCR|8CGEN
84	11431 13416	   	189.43	DCR|4VULN|2AART|1DMG	1aAART|2369VULN|3BPWR|4DMG|5LIT|7RCR|8CGEN
