0	Index      	 *	Score 	Summary	Detail	
1	32243 31563	 * 	200.65	ACR|3VULN|2DMG|1AART|2CDMG	19aVULN|2LEGI|3AART|4RCR|5aDMG|6TLV|7CGEN|8aCDMG|aBPWR
2	31222 32115	 * 	194.02	DCR|4VULN|2DMG|1CDMG|1ZMB	1247VULN|3CDMG|5LIT|6RCR|8aDMG|9ZMB
3	32242 15128	 * 	193.54	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	1aVULN|2LEGI|3AART|4RCR|5MBVNT|6CDMG|7aZMB|8aDMG|9RPLT|aBPWR
4	21621 63433	 * 	193.11	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1DUR|26VULN|3aDMG|4DUST|5ZMB|7RCR|8AART|9CDMG
5	32243 15252	 * 	192.13	ACR|3VULN|2AART|2DMG	179VULN|2LEGI|3aAART|4RCR|59DMG|6MBVNT|89CGEN|9BPWR
6	31631 32345	 * 	191.74	ACR|3VULN|3DMG|1AART	129VULN|39aDMG|4CGEN|5RCR|6LWND|7AART|89LHND|9BPWR
7	32313 42345	   	191.64	ACR|3VULN|3DMG|1AART	139VULN|2LEGI|4CGEN|5RCR|69aDMG|7AART|89LHND|9BPWR
8	31611 32345	   	191.64	ACR|3VULN|3DMG|1AART	129VULN|39aDMG|4ERES|5RCR|6LWND|7AART|89LHND|9BPWR
9	31631 32145	   	191.54	ACR|3VULN|3DMG|1AART	129VULN|39aDMG|4CGEN|5RCR|6LWND|7AART|89DUST|9BPWR
10	32243 15446	   	191.49	ACR|3VULN|2DMG|1AART|1ZMB	179VULN|2LEGI|3AART|4RCR|5aDMG|6MBVNT|8ZMB
11	32313 42145	   	191.44	ACR|3VULN|3DMG|1AART	139VULN|2LEGI|4CGEN|5RCR|69aDMG|7AART|89DUST|9BPWR
12	31611 32145	   	191.44	ACR|3VULN|3DMG|1AART	129VULN|39aDMG|4ERES|5RCR|6LWND|7AART|89DUST|9BPWR
13	32263 11155	 * 	191.17	DCR|3VULN|2DMG|1AART|1ZMB	148VULN|2LEGI|3AART|4BPWR|5aDMG|6BEXP|7RCR|9ZMB
14	32263 21155	   	191.17	DCR|3VULN|2DMG|1AART|1ZMB	148VULN|2LEGI|3AART|4BPWR|5aDMG|6LWND|7RCR|9ZMB
15	31621 51242	 * 	190.71	DCR|3VULN|2AART|2DMG	129VULN|39DMG|4BEXP|5aAART|6LWND|7RCR|89CGEN|9BPWR
16	31641 21242	   	190.71	DCR|3VULN|2AART|2DMG	129VULN|39DMG|4FEWX|5aAART|6LWND|7RCR|89CGEN|9BPWR
17	31631 32344	 * 	190.19	ACR|4VULN|2DMG|1AART	129aVULN|39DMG|4CGEN|5RCR|6LWND|7AART|89LHND|9BPWR
18	32242 31152	 * 	190.13	ACR|2AART|2VULN|2DMG|1CDMG	18VULN|2LEGI|39AART|4RCR|5MBVNT|68LIT|78DMG|8BPWR|aCDMG
19	32313 42344	   	190.09	ACR|4VULN|2DMG|1AART	139aVULN|2LEGI|4CGEN|5RCR|69DMG|7AART|89LHND|9BPWR
20	31611 32344	   	190.09	ACR|4VULN|2DMG|1AART	129aVULN|39DMG|4ERES|5RCR|6LWND|7AART|89LHND|9BPWR
21	31631 32144	   	189.99	ACR|4VULN|2DMG|1AART	129aVULN|39DMG|4CGEN|5RCR|6LWND|7AART|89DUST|9BPWR
22	31222 32165	   	189.95	DCR|4VULN|2DMG|1CDMG|1ASPD	1247VULN|3CDMG|5LIT|6RCR|8aDMG|9ASPD
23	32242 14176	   	189.93	ACR|2AART|2VULN|2DMG|1CDMG	19VULN|2LEGI|3aAART|4RCR|5MBVNT|6CDMG|78DMG
24	32313 42144	   	189.89	ACR|4VULN|2DMG|1AART	139aVULN|2LEGI|4CGEN|5RCR|69DMG|7AART|89DUST|9BPWR
25	31611 32144	   	189.89	ACR|4VULN|2DMG|1AART	129aVULN|39DMG|4ERES|5RCR|6LWND|7AART|89DUST|9BPWR
