0	Index      	 *	Score 	Summary	Detail	
1	12211 65115	 * 	199.75	DCR|3VULN|2AART|2DMG|1DUR	18DMG|2LSRHEA|389VULN|48TLV|57AART|6RCR|8BPWR|aDUR
2	13242 56311	   	197.32	DCR|3VULN|2AART|2DMG|1ZMB	16DMG|26aVULN|3RPLT|48AART|5MBVNT|6BPWR|7ZMB|9RCR
3	13242 53511	 * 	195.91	DCR|4VULN|2DMG|1AART|1ASPD	16DMG|268aVULN|3RPLT|4AART|5MBVNT|6BPWR|7ASPD|9RCR
4	12211 62152	 * 	194.92	DCR|3DMG|2VULN|1AART|1CDMG	19aDMG|2LSRHEA|38VULN|4TLV|5AART|6RCR|7CDMG
5	13242 53311	   	193.25	DCR|3VULN|2AART|2DMG|1ASPD	16DMG|26aVULN|3RPLT|48AART|5MBVNT|6BPWR|7ASPD|9RCR
6	12211 65111	   	192.81	DCR|3VULN|2AART|2DMG	18DMG|2LSRHEA|389VULN|48TLV|57AART|6RCR|8BPWR|aBEXP
7	12211 65113	   	192.81	DCR|3VULN|2AART|2DMG	18DMG|2LSRHEA|389VULN|48TLV|57AART|6RCR|8BPWR|aBELT
8	12211 65114	   	192.81	DCR|3VULN|2AART|2DMG	18DMG|2LSRHEA|389VULN|48TLV|57AART|6RCR|8BPWR|aLIT
9	12211 65112	   	192.71	DCR|3VULN|2AART|2DMG	18DMG|2LSRHEA|389VULN|48TLV|57AART|6RCR|8BPWR|aERES
10	12211 65116	   	192.71	DCR|3VULN|2AART|2DMG	18DMG|2LSRHEA|389VULN|48TLV|57AART|6RCR|8BPWR|aDUST
11	63123 15421	 * 	192.57	DCR|4VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|239aVULN|4CDMG|5LIT|6DMG|7AART|8RCR
12	12211 65153	 * 	192.44	DCR|3AART|2VULN|2DMG|1ZMB	18DMG|2LSRHEA|38VULN|48TLV|579AART|6RCR|8BPWR|aZMB
13	13244 31162	 * 	192.08	DCR|3DMG|1AART|1VULN|2CDMG|2DUR	19aDMG|2VULN|3RPLT|4AART|5BELT|6aCDMG|7aDUR|8RCR|aBPWR
14	12211 65124	 * 	190.81	DCR|2AART|2VULN|2DMG|1CDMG	18DMG|2LSRHEA|38VULN|48TLV|57AART|6RCR|8BPWR|9CGEN|aCDMG
15	12211 62151	   	190.71	DCR|2AART|2VULN|2DMG|1CDMG	19DMG|2LSRHEA|38VULN|4TLV|5aAART|6RCR|7CDMG
16	63122 11153	 * 	190.68	DCR|3VULN|1AART|1DMG|2ASPD|1CDMG|1ZMB	19ASPD|236VULN|4CDMG|5DMG|7ZMB|8AART|aRCR
17	63161 21153	   	190.68	DCR|3VULN|1AART|1DMG|2ASPD|1CDMG|1ZMB	19ASPD|234VULN|5CDMG|6DMG|7ZMB|8AART|aRCR
18	13122 33131	 * 	190.66	DCR|3VULN|2DMG|1AART|1CDMG|1DUR	15DMG|237VULN|4CDMG|6BEXP|8AART|9DUR|aRCR
19	55513 21312	   	190.62	DCR|3DMG|1AART|1VULN|2CDMG|1DUR|1ASPD	1BEXP|24CDMG|347DMG|4BPWR|5AART|6DUR|8ASPD|9RCR|aVULN
20	13242 52411	   	188.97	DCR|4VULN|2DMG|1AART	16DMG|267aVULN|3RPLT|4AART|5MBVNT|6BPWR|8CGEN|9RCR
21	13242 52511	   	188.97	DCR|4VULN|2DMG|1AART	16DMG|267aVULN|3RPLT|4AART|5MBVNT|6BPWR|8MLV|9RCR
22	13242 54511	   	188.87	DCR|4VULN|2DMG|1AART	16DMG|268aVULN|3RPLT|4AART|5MBVNT|6BPWR|7ERES|9RCR
23	13242 53812	   	188.74	DCR|3VULN|2DMG|1AART|1DUR|1ASPD	16DMG|26aVULN|3RPLT|4AART|5MBVNT|6BPWR|7ASPD|8DUR|9RCR
24	12211 65141	   	188.16	DCR|2AART|2VULN|2DMG|1ZMB	18DMG|2LSRHEA|38VULN|48TLV|57AART|6RCR|8BPWR|9ZMB|aLIT
25	12211 65143	   	188.16	DCR|2AART|2VULN|2DMG|1ZMB	18DMG|2LSRHEA|38VULN|48TLV|57AART|6RCR|8BPWR|9ZMB|aCGEN
26	12211 65142	   	188.06	DCR|2AART|2VULN|2DMG|1ZMB	18DMG|2LSRHEA|38VULN|48TLV|57AART|6RCR|8BPWR|9ZMB|aCANHEL
27	13124 21341	   	187.55	DCR|2VULN|2DMG|2AART|1CDMG|1DUR	17DMG|23VULN|4CDMG|5DUST|69AART|8DUR|aRCR
28	13165 31232	 * 	187.45	DCR|5VULN|1AART|1DMG|1DUR	1DMG|23489VULN|5LSRHEA|6AART|7DUR|aRCR
29	13122 13236	   	187.22	DCR|3VULN|2DMG|1AART|1CDMG	15DMG|237VULN|4CDMG|6LWND|8RCR|9CANHEL|aAART
30	13161 22236	   	187.22	DCR|3VULN|2DMG|1AART|1CDMG	16DMG|234VULN|5CDMG|7LWND|8RCR|9CANHEL|aAART
31	13161 26236	   	187.22	DCR|3VULN|2DMG|1AART|1CDMG	16DMG|234VULN|5CDMG|7LHND|8RCR|9CANHEL|aAART
32	13121 53131	   	187.17	DCR|4VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2367VULN|4CDMG|5BEXP|8AART|9DUR|aRCR
33	13161 33131	   	187.17	DCR|4VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2347VULN|5CDMG|6BEXP|8AART|9DUR|aRCR
34	13166 23131	   	187.17	DCR|4VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2347VULN|5FEWX|6CDMG|8AART|9DUR|aRCR
35	13124 53131	   	187.07	DCR|4VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2367VULN|4CDMG|5DUST|8AART|9DUR|aRCR
36	13122 25373	 * 	186.61	DCR|3VULN|3DMG|1CDMG|1DUR	156DMG|239VULN|4CDMG|7MBVNT|8RCR|aDUR
37	13122 25333	   	186.61	DCR|3VULN|3DMG|1CDMG|1ASPD	156DMG|23aVULN|4CDMG|7MBVNT|8RCR|9ASPD
38	13166 23421	   	186.57	DCR|4VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2347VULN|5FEWX|6CDMG|8DUR|9AART|aRCR
39	13124 53421	   	186.47	DCR|4VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2367VULN|4CDMG|5DUST|8DUR|9AART|aRCR
40	13411 63431	 * 	186.33	DCR|3VULN|2DMG|2CDMG|1ZMB	19DMG|25aVULN|39LIT|4ERES|6RCR|7ZMB|89CDMG|9BPWR
41	13242 55311	   	186.31	DCR|3VULN|2AART|2DMG	16DMG|26aVULN|3RPLT|48AART|5MBVNT|6BPWR|7RMIN|9RCR
42	13242 54311	   	186.21	DCR|3VULN|2AART|2DMG	16DMG|26aVULN|3RPLT|48AART|5MBVNT|6BPWR|7ERES|9RCR
43	13242 56412	   	185.77	DCR|3VULN|2DMG|1AART|1ZMB	16DMG|26aVULN|3RPLT|4AART|5MBVNT|6BPWR|7ZMB|8DUST|9RCR
44	63122 11123	   	185.68	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|236VULN|4CDMG|5DMG|7ZMB|8AART|9RCVC|aRCR
45	63161 21123	   	185.68	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|234VULN|5CDMG|6DMG|7ZMB|8AART|9RCVC|aRCR
46	13161 21123	   	185.22	DCR|3VULN|2DMG|1AART|1CDMG	16DMG|234VULN|5CDMG|7MBVNT|8AART|9RCVC|aRCR
47	13161 26223	 * 	185.15	DCR|4VULN|2DMG|1CDMG|1DUR	16DMG|234aVULN|5CDMG|7LHND|8RCR|9DUR
48	13124 21313	 * 	184.82	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17DMG|23VULN|4aCDMG|5DUST|6AART|8DUR|9RCR
49	35511 21351	 * 	184.58	DCR|3DMG|3CDMG|1AART|1VULN	1LHND|249CDMG|347DMG|4BPWR|5BEXP|6AART|8RCR|aVULN
50	13125 53252	 * 	184.46	DCR|5VULN|1DMG|1CDMG|1ZMB	1DMG|23679VULN|4CDMG|5LHND|8RCR|aZMB
51	13242 51374	   	184.21	DCR|3VULN|2DMG|1AART|1DUR	16DMG|26aVULN|3RPLT|4AART|5MBVNT|6BPWR|7BEXP|8RCR|9DUR
52	23425 61222	   	184.16	DCR|2AART|2VULN|2DMG|1ZMB	13LIT|23DMG|3BPWR|45AART|6ZMB|7RPLT|8RCR|9aVULN
53	12211 65125	   	184.10	DCR|2AART|2VULN|2DMG|1DUR	18DMG|2LSRHEA|38VULN|48TLV|57AART|6RCR|8BPWR|9CGEN|aDUR
54	12211 65132	   	184.10	DCR|2AART|2VULN|2DMG|1DUR	18DMG|2LSRHEA|38VULN|48TLV|57AART|6RCR|8BPWR|9RPLT|aDUR
55	13125 53236	   	183.73	DCR|4VULN|1AART|1DMG|1CDMG	1DMG|2367VULN|4CDMG|5LHND|8RCR|9CANHEL|aAART
56	13161 13236	   	183.73	DCR|4VULN|1AART|1DMG|1CDMG	1DMG|2347VULN|5CDMG|6LWND|8RCR|9CANHEL|aAART
57	13122 33111	   	183.72	DCR|3VULN|2DMG|1AART|1CDMG	15DMG|237VULN|4CDMG|6BEXP|8AART|9FEWX|aRCR
58	55513 21212	   	183.58	DCR|3DMG|1AART|1VULN|2CDMG|1DUR	1BEXP|24CDMG|347DMG|4BPWR|5AART|6DUR|8ERES|9RCR|aVULN
59	12215 42311	   	183.18	DCR|2VULN|2DMG|1AART|2CDMG	1aDMG|2LSRHEA|3aVULN|4TLV|5MBVNT|6RCR|7CANHEL|8aCDMG|9AART|aBPWR
60	12251 36216	 * 	182.59	ACR|3VULN|3DMG|1CDMG	17aDMG|2LSRHEA|38aVULN|4RCR|5CDMG|6DUST|9aMLV|aBPWR
61	13124 21321	   	182.42	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	17DMG|23VULN|49CDMG|5DUST|6AART|8DUR|aRCR
62	23554 31322	 * 	182.37	DCR|2VULN|2DMG|1AART|2ASPD	1aLIT|28DMG|3BELT|4AART|5aVULN|6RCR|7RCVC|9aASPD|aBPWR
