0	Index      	 *	Score 	Summary	Detail	
1	13233 13464	 * 	207.52	ACR|3DMG|3ZMB|3CDMG|1VULN|2DUR	179CDMG|2RCR|3RMIN|467DMG|579ZMB|79BPWR|89DUR|aVULN
2	25621 33212	 * 	203.35	ACR|3DMG|2VULN|1AART|2CDMG	18VULN|28CDMG|3RCR|4LHND|5AART|6LIT|789DMG|8BPWR|aRCVC
3	25621 33214	   	202.05	ACR|3DMG|2VULN|1AART|2CDMG	18VULN|28CDMG|3RCR|4aLHND|5AART|6LIT|789DMG|8BPWR
4	25621 33215	   	202.05	ACR|3DMG|2VULN|1AART|2CDMG	18VULN|28CDMG|3RCR|4LHND|5AART|6LIT|789DMG|8BPWR|aFEWX
5	25621 33211	   	201.95	ACR|3DMG|2VULN|1AART|2CDMG	18VULN|28CDMG|3RCR|4LHND|5AART|6LIT|789DMG|8BPWR|aERES
6	35353 33123	 * 	201.62	ACR|4VULN|2DMG|1AART|2DUR	17DMG|246aVULN|39DUR|5RCR|8AART
7	22353 33533	 * 	201.25	ACR|5VULN|2DMG|2DUR|1ZMB	14689VULN|2MLV|39DUR|5RCR|79DMG|9BPWR|aZMB
8	23453 33532	 * 	201.12	ACR|5VULN|2DMG|1AART	14689VULN|2DUST|39CGEN|5RCR|79DMG|9BPWR|aAART
9	25621 33234	 * 	197.84	ACR|2AART|2DMG|2VULN|2CDMG	18VULN|28CDMG|3RCR|4LHND|5aAART|6LIT|78DMG|8BPWR|9CGEN
10	25641 33212	   	196.94	ACR|3DMG|2VULN|1AART|1CDMG	18VULN|2CDMG|3RCR|4LEGI|5AART|68LIT|789DMG|8BPWR|aRCVC
11	35353 33114	   	196.33	ACR|4VULN|2DMG|1AART|1DUR	17DMG|246aVULN|3DUR|5RCR|8AART|9RMIN
12	35353 33134	   	196.33	ACR|4VULN|2DMG|1AART|1DUR	17DMG|246aVULN|3DUR|5RCR|8AART|9MLV
13	25641 33211	   	195.54	ACR|3DMG|2VULN|1AART|1CDMG	18VULN|2CDMG|3RCR|4LEGI|5AART|68LIT|789DMG|8BPWR|aERES
14	13233 13364	   	195.09	ACR|3DMG|3ZMB|3CDMG|1VULN	179CDMG|2RCR|3RMIN|467DMG|579ZMB|79BPWR|89DUST|aVULN
15	15332 25313	 * 	193.81	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1CDMG|2RPLT|3AART|47VULN|5ZMB|69DMG|8RCR|aDUR
16	25233 11451	 * 	192.58	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	1aVULN|29CDMG|3RMIN|46DMG|5ZMB|7RCR|8AART
17	13233 13411	 * 	192.53	ACR|3DMG|1AART|2CDMG|2ZMB|1ASPD|1DUR	17CDMG|2RCR|3RMIN|467DMG|57ZMB|7BPWR|8DUR|9ASPD|aAART
18	22353 63533	 * 	192.34	ACR|4VULN|2DMG|3DUR|1ZMB	1489VULN|26MLV|369DUR|5RCR|69BPWR|79DMG|aZMB
19	11143 11246	   	191.69	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR|1ASPD	17CDMG|27ERES|3RCR|4ASPD|5ZMB|67DMG|7BPWR|8AART|9DUR|aVULN
20	22323 33536	   	191.53	ACR|4VULN|2DMG|2DUR|1ZMB	1689VULN|2MLV|39DUR|4RCVC|5RCR|79DMG|9BPWR|aZMB
21	35353 33122	 * 	191.34	ACR|3VULN|2DMG|1AART|3DUR	17DMG|246VULN|39aDUR|5RCR|8AART
22	13523 11246	 * 	191.10	ACR|2DMG|1AART|1VULN|2CDMG|2ZMB|1DUR	17CDMG|2RCR|3ERES|4RMIN|57ZMB|67DMG|7BPWR|8AART|9DUR|aVULN
23	35323 33123	   	190.62	ACR|3VULN|2DMG|1AART|2DUR	17DMG|26aVULN|39DUR|4RCVC|5RCR|8AART
24	22353 33534	   	190.25	ACR|5VULN|2DMG|2DUR	14689VULN|2MLV|39DUR|5RCR|79DMG|9BPWR|aRMIN
25	22353 33535	   	190.25	ACR|5VULN|2DMG|2DUR	14689VULN|2MLV|39DUR|5RCR|79DMG|9BPWR|aLIT
26	22353 33531	   	190.15	ACR|5VULN|2DMG|2DUR	14689VULN|2MLV|39DUR|5RCR|79DMG|9BPWR|aDUST
27	22353 33532	   	190.15	ACR|5VULN|2DMG|2DUR	14689VULN|2MLV|39DUR|5RCR|79DMG|9BPWR|aMBVNT
28	22353 33536	   	190.15	ACR|5VULN|2DMG|2DUR	14689VULN|2MLV|39DUR|5RCR|79DMG|9BPWR|aCANHEL
29	15612 32315	 * 	190.13	DCR|3DMG|2VULN|1AART|2CDMG	17CDMG|2RPLT|379DMG|4DUST|5CGEN|67VULN|7BPWR|8AART|aRCR
30	25661 21332	 * 	189.75	ACR|4VULN|2DMG|2CDMG	147aVULN|24CDMG|3RCR|4BPWR|5FEWX|69DMG|8LEGI
