0	Index      	 *	Score 	Summary	Detail	
1	35346 11133	 * 	192.12	DCR|3VULN|2DMG|1AART|1CDMG	1LHND|2CDMG|39DMG|45aVULN|6AART|7RCR|8LWND
2	33346 11133	   	178.22	DCR|3VULN|2DMG|1AART|1SELL	1LHND|2SELL|39DMG|45aVULN|6AART|7RCR|8LWND
3	25363 31633	 * 	177.26	DCR|2VULN|2AART|1DMG|1CDMG|1ASPD	1BEXP|2CDMG|3DMG|4ASPD|5FEWX|6aAART|7RCR|89VULN
4	33266 15233	 * 	177.00	DCR|3VULN|1AART|2FLTHEA|1DMG|1SELL	1LHND|2SELL|36FLTHEA|4AART|568VULN|6BPWR|7ERES|9RCR|aDMG
5	35341 11133	   	176.46	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|2CDMG|39DMG|4aVULN|5RCVC|6AART|7RCR|8LWND
6	35343 11133	   	176.46	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|2CDMG|39DMG|4aVULN|5DMSP|6AART|7RCR|8LWND
7	35346 11132	   	176.46	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|2CDMG|39DMG|45VULN|6AART|7RCR|8LWND|aFEWX
8	66342 12123	   	176.42	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	1DUR|2LIT|3ZMB|4aVULN|5DMG|6RCR|78AART|9RCVC
9	35346 11131	   	176.36	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|2CDMG|39DMG|45VULN|6AART|7RCR|8LWND|aCANHEL
10	62162 23633	 * 	175.77	DCR|3DMG|2AART|1VULN|1DUR	1DUR|25FEWX|357DMG|4aAART|5BPWR|6VULN|8CGEN|9RCR
11	63333 22263	   	175.35	DCR|3VULN|2DMG|1CDMG|1ASPD|1DUR|1SELL	1DUR|2SELL|36DMG|46aVULN|5LEGI|6BPWR|7CDMG|8ASPD|9RCR
12	35346 11311	   	174.53	DCR|3VULN|1AART|1DMG|1CDMG	1LHND|2CDMG|3DMG|45aVULN|6AART|7RCR|8LIT|9RMIN
13	11124 46332	 * 	172.92	ACR|2AART|1VULN|1DMG|2CDMG|2ASPD	19DUST|29ASPD|3TLV|4RCR|5VULN|68AART|79CDMG|9BPWR|aDMG
14	25313 25336	 * 	172.67	DCR|3DMG|2VULN|2CDMG|1DUR	17BEXP|26CDMG|389DMG|4DUR|56VULN|6BPWR|aRCR
15	41232 41531	 * 	172.20	ACR|3DMG|1AART|1VULN|1ZMB	1RMIN|2BELT|389DMG|4RCR|5DUST|6AART|7ZMB|aVULN
16	32122 46513	   	172.02	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1LHND|2FEWX|38DMG|4VULN|5ZMB|6AART|7CDMG|9RCR|aDUR
17	62163 12234	   	171.55	DCR|2VULN|2DMG|1AART|2DUR	1aDUR|2FEWX|3aDMG|4AART|5CGEN|6TLV|7aVULN|8RMIN|9RCR|aBPWR
18	63323 22615	   	171.40	DCR|3VULN|2DMG|1CDMG|2DUR|1SELL	16DUR|2SELL|38DMG|4FEWX|569VULN|6BPWR|7CDMG|aRCR
19	62162 23631	   	171.26	DCR|3DMG|1AART|1VULN|1ASPD|1DUR	1DUR|25FEWX|357DMG|4AART|5BPWR|6VULN|8CGEN|9RCR|aASPD
20	63311 41262	 * 	171.07	DCR|3DMG|2VULN|3DUR|1SELL	145DUR|2SELL|35aDMG|5aBPWR|6RCR|7TLV|8aERES|9aVULN
21	33266 15231	 * 	171.04	DCR|4VULN|1AART|2FLTHEA|1SELL	1LHND|2SELL|36FLTHEA|4AART|568aVULN|6BPWR|7ERES|9RCR
22	12162 23635	 * 	170.93	DCR|3DMG|1AART|1VULN|1CDMG	1DUST|25FEWX|357DMG|4AART|5BPWR|6VULN|8CGEN|9RCR|aCDMG
23	21124 42335	 * 	170.64	ACR|2VULN|2AART|2CDMG|2ASPD	19BEXP|29ASPD|3TLV|4RCR|57VULN|6aAART|89CDMG|9BPWR
24	25336 26313	 * 	170.64	DCR|2VULN|2AART|1DMG|2CDMG	1BEXP|26CDMG|3DMG|4DUST|56VULN|6BPWR|7CGEN|8aAART|9RCR
25	26321 11443	   	170.58	DCR|3VULN|1AART|1DMG|1ZMB	1BEXP|2LIT|3ZMB|4AART|5ERES|6DMG|79aVULN|8RCR
26	16321 11443	   	170.48	DCR|3VULN|1AART|1DMG|1ZMB	1DUST|2LIT|3ZMB|4AART|5ERES|6DMG|79aVULN|8RCR
27	35233 15135	 * 	170.33	DCR|3VULN|1AART|2FLTHEA|1CDMG	1aLHND|2CDMG|3aFLTHEA|4LWND|5AART|6LSRHEA|78aVULN|9RCR|aBPWR
28	65222 33314	 * 	169.52	DCR|3VULN|1DMG|1CDMG|1FLTHEA|1DUR	1DUR|2CDMG|3FLTHEA|4RPLT|5RMIN|689VULN|7RCR|aDMG
29	25312 15135	   	169.40	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB	1BEXP|2CDMG|3aDMG|4aDUR|5MLV|6aVULN|7DUST|8ZMB|9RCR|aBPWR
30	62162 62232	   	169.35	DCR|2VULN|2DMG|1AART|2DUR	19DUR|259FEWX|35DMG|4AART|59BPWR|6LWND|79VULN|8RMIN|aRCR
31	35316 22122	 * 	169.17	DCR|2VULN|3CDMG|1AART|1DMG|1DUR	1LHND|267CDMG|3DMG|4DUR|56VULN|6BPWR|8TLV|9AART|aRCR
32	35316 22422	   	169.17	DCR|2VULN|3CDMG|1AART|1DMG|1DUR	1LHND|267CDMG|3DMG|4DUR|56VULN|6BPWR|8ERES|9AART|aRCR
33	12162 23633	   	168.73	DCR|3DMG|2AART|1VULN	1DUST|25FEWX|357DMG|4aAART|5BPWR|6VULN|8CGEN|9RCR
34	25251 32151	 * 	168.65	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1BEXP|2CDMG|3FLTHEA|4RCVC|5RCR|6SNIHEL|7aVULN|8DMG|9AART
35	16321 11426	   	168.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2LIT|3ZMB|4AART|5ERES|6DMG|7aVULN|8RCR|9CDMG
36	65323 53312	   	167.95	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|2CDMG|3DMG|4FEWX|57VULN|6AART|8LIT|9RCR|aASPD
37	31334 42313	   	167.85	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1LHND|2ASPD|3DUST|47DMG|5VULN|6AART|8CDMG|9RCR|aDUR
38	33346 11341	   	167.57	DCR|3VULN|1AART|1DMG|1ASPD|1SELL	1LHND|2SELL|3DMG|45aVULN|6AART|7RCR|8LIT|9ASPD
39	63311 43622	 * 	167.23	DCR|3DMG|1VULN|3DUR|1CDMG|1SELL	145DUR|2SELL|358DMG|5BPWR|6RCR|7LWND|9CDMG|aVULN
40	61126 62223	 * 	166.91	ACR|2DMG|1AART|1CDMG|2DUR|1ZMB|1ASPD	17DUR|2ASPD|3TLV|4RCR|58DMG|6ZMB|9CDMG|aAART
41	25336 22312	   	166.73	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	1BEXP|26CDMG|3DMG|4DUST|56VULN|6BPWR|7AART|8LIT|9RCR|aASPD
42	14162 26313	 * 	166.62	DCR|2AART|2DMG|1VULN|1CDMG	1DUST|25BEXP|35DMG|4aAART|5BPWR|6VULN|7ERES|8CDMG|9RCR
43	22162 23632	   	166.33	DCR|3DMG|2AART|1VULN	1BEXP|25FEWX|357DMG|49AART|5BPWR|6VULN|8MBVNT|aRCR
44	22162 26133	   	166.25	DCR|2VULN|2DMG|1AART|1DUR	1BEXP|25FEWX|35DMG|4AART|5BPWR|6aVULN|7CGEN|8DUR|9RCR
45	22162 32133	   	166.25	DCR|2VULN|2DMG|1AART|1DUR	1BEXP|25FEWX|35DMG|4AART|5BPWR|6DUR|7aVULN|8MLV|9RCR
46	22162 32426	   	166.25	DCR|2VULN|2DMG|1AART|1DUR	1BEXP|25FEWX|35DMG|4AART|5BPWR|6DUR|7aVULN|8LHND|9RCR
47	32162 32133	   	166.25	DCR|2VULN|2DMG|1AART|1DUR	1LHND|25FEWX|35DMG|4AART|5BPWR|6DUR|7aVULN|8MLV|9RCR
48	32162 32233	   	166.25	DCR|2VULN|2DMG|1AART|1DUR	1LHND|25FEWX|35DMG|4AART|5BPWR|6DUR|7aVULN|8RMIN|9RCR
49	62162 25133	   	166.25	DCR|2VULN|2DMG|1AART|1DUR	1DUR|25FEWX|35DMG|4AART|5BPWR|6aVULN|7BEXP|8MLV|9RCR
50	14162 23632	   	166.23	DCR|3DMG|2AART|1VULN	1DUST|25BEXP|357DMG|49AART|5BPWR|6VULN|8MBVNT|aRCR
51	63362 23523	 * 	166.17	DCR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1ASPD|1DUR|1SELL	1DUR|2SELL|3DMG|4ASPD|5CGEN|6AART|7CDMG|8RCR|9VULN|aFLTHEA
52	12162 26133	   	166.15	DCR|2VULN|2DMG|1AART|1DUR	1DUST|25FEWX|35DMG|4AART|5BPWR|6aVULN|7CGEN|8DUR|9RCR
53	12162 32133	   	166.15	DCR|2VULN|2DMG|1AART|1DUR	1DUST|25FEWX|35DMG|4AART|5BPWR|6DUR|7aVULN|8MLV|9RCR
54	12162 32426	   	166.15	DCR|2VULN|2DMG|1AART|1DUR	1DUST|25FEWX|35DMG|4AART|5BPWR|6DUR|7aVULN|8LHND|9RCR
55	14162 32133	   	166.15	DCR|2VULN|2DMG|1AART|1DUR	1DUST|25BEXP|35DMG|4AART|5BPWR|6DUR|7aVULN|8MLV|9RCR
56	22162 22133	   	166.15	DCR|2VULN|2DMG|1AART|1DUR	1BEXP|25FEWX|35DMG|4AART|5BPWR|6aVULN|7TLV|8DUR|9RCR
57	32162 22133	   	166.15	DCR|2VULN|2DMG|1AART|1DUR	1LHND|25FEWX|35DMG|4AART|5BPWR|6aVULN|7TLV|8DUR|9RCR
58	32162 26133	   	166.15	DCR|2VULN|2DMG|1AART|1DUR	1LHND|25FEWX|35DMG|4AART|5BPWR|6aVULN|7ERES|8DUR|9RCR
59	32162 32533	   	166.15	DCR|2VULN|2DMG|1AART|1DUR	1LHND|25FEWX|35DMG|4AART|5BPWR|6DUR|7aVULN|8ERES|9RCR
60	62162 22533	   	166.15	DCR|2VULN|2DMG|1AART|1DUR	1DUR|25FEWX|35DMG|4AART|5BPWR|6aVULN|7TLV|8LHND|9RCR
61	31124 42263	   	166.13	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1LHND|2ASPD|3TLV|4RCR|59VULN|6AART|7DMG|8RMIN|aFLTHEA
62	23313 22615	   	166.11	DCR|3VULN|2DMG|1CDMG|1DUR|1SELL	16BEXP|2SELL|38DMG|4DUR|569VULN|6BPWR|7CDMG|aRCR
63	63363 23523	 * 	166.07	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1DUR|1ASPD|1SELL	1DUR|2SELL|3DMG|4ASPD|5ERES|6AART|7CDMG|8RCR|9VULN|aFLTHEA
64	12162 22133	   	166.05	DCR|2VULN|2DMG|1AART|1DUR	1DUST|25FEWX|35DMG|4AART|5BPWR|6aVULN|7TLV|8DUR|9RCR
65	14162 22133	   	166.05	DCR|2VULN|2DMG|1AART|1DUR	1DUST|25BEXP|35DMG|4AART|5BPWR|6aVULN|7TLV|8DUR|9RCR
66	14162 26133	   	166.05	DCR|2VULN|2DMG|1AART|1DUR	1DUST|25BEXP|35DMG|4AART|5BPWR|6aVULN|7ERES|8DUR|9RCR
67	11124 42263	   	166.03	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1DUST|2ASPD|3TLV|4RCR|59VULN|6AART|7DMG|8RMIN|aFLTHEA
68	11124 42351	 * 	166.03	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2ASPD|3TLV|4RCR|5VULN|6AART|78DMG|9CDMG|aMGNLIT
69	11124 42352	   	166.03	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2ASPD|3TLV|4RCR|5VULN|6AART|78DMG|9CDMG|aBELT
70	11124 42353	   	166.03	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2ASPD|3TLV|4RCR|5VULN|6AART|78DMG|9CDMG|aLHND
71	11124 42631	   	166.03	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2ASPD|3TLV|4RCR|5VULN|6AART|79DMG|8CDMG|aMGNLIT
72	11124 42632	   	166.03	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2ASPD|3TLV|4RCR|5VULN|6AART|79DMG|8CDMG|aBELT
73	11124 42633	   	166.03	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1DUST|2ASPD|3TLV|4RCR|5VULN|6AART|79DMG|8CDMG|aLHND
74	25363 31613	   	165.99	DCR|2AART|1VULN|1DMG|2CDMG|1ASPD	1BEXP|29CDMG|3DMG|4ASPD|5FEWX|6aAART|7RCR|8VULN
75	25363 31631	   	165.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|2CDMG|3DMG|4ASPD|5FEWX|6AART|7RCR|89VULN|aLWND
76	35346 11332	   	165.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LHND|2CDMG|3DMG|45VULN|6AART|7RCR|8LIT|9FEWX|aASPD
77	35341 11341	   	165.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LHND|2CDMG|3DMG|4aVULN|5RCVC|6AART|7RCR|8LIT|9ASPD
78	35343 11341	   	165.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LHND|2CDMG|3DMG|4aVULN|5DMSP|6AART|7RCR|8LIT|9ASPD
