0	Index      	 *	Score 	Summary	Detail	
1	54623 22222	 * 	221.40	紫4易伤3伤害1全技能1暴击	136伤害2346易伤36序列升级5核7全技能8立即金币9随机矿a暴击
2	54623 22123	 * 	218.67	紫5易伤3伤害1全技能	136伤害2346a易伤36序列升级5核7全技能8基地爆炸9敌人爆炸
3	54623 22323	   	218.57	紫5易伤3伤害1全技能	136伤害2346a易伤36序列升级5核7全技能8挖尘9敌人爆炸
4	54623 22333	   	218.57	紫5易伤3伤害1全技能	136伤害2346a易伤36序列升级5核7全技能8挖尘9基地爆炸
5	54623 23223	   	218.55	紫5易伤3伤害1策反	136伤害2346a易伤36序列升级5核7策反8攻速9时间
6	54211 15232	 * 	218.29	紫4易伤2伤害1全技能2喷火对愈	17伤害278a易伤3敌人爆炸4核5时间67喷火对愈7序列升级9全技能
7	54311 15232	   	218.19	紫4易伤2伤害1全技能2喷火对愈	17伤害278a易伤3挖尘4核5时间67喷火对愈7序列升级9全技能
8	54211 15132	   	209.48	紫3易伤2伤害1全技能2喷火对愈2时间	17伤害27a易伤3敌人爆炸4核58时间67喷火对愈7序列升级9全技能
9	54311 15132	   	209.38	紫3易伤2伤害1全技能2喷火对愈2时间	17伤害27a易伤3挖尘4核58时间67喷火对愈7序列升级9全技能
10	54523 21133	   	209.26	紫5易伤2伤害1全技能	16伤害2346a易伤5核6序列升级7攻速8全技能9敌人爆炸
11	54623 22213	   	208.92	紫4易伤3伤害1全技能	136伤害2346易伤36序列升级5核7全技能8a立即金币9敌人爆炸
12	54623 22233	   	208.92	紫4易伤3伤害1全技能	136伤害2346易伤36序列升级5核7全技能8a立即金币9低血量敌人
13	54623 23331	 * 	208.72	紫5易伤3伤害2策反	136伤害2346a易伤36a序列升级5核7a策反8额外掉落9a敌人爆炸
14	54623 23112	   	208.42	紫5易伤3伤害2策反	136伤害2346a易伤36a序列升级5核7a策反8a掉矿9双倍物品
15	54623 22212	   	207.75	紫4易伤3伤害1全技能	136伤害2346易伤36序列升级5核7全技能8立即金币9敌人爆炸a激光对冰
16	54623 22232	   	207.75	紫4易伤3伤害1全技能	136伤害2346易伤36序列升级5核7全技能8立即金币9低血量敌人a激光对冰
17	54623 22211	   	207.65	紫4易伤3伤害1全技能	136伤害2346易伤36序列升级5核7全技能8立即金币9敌人爆炸a挖尘
18	54623 22221	   	207.65	紫4易伤3伤害1全技能	136伤害2346易伤36序列升级5核7全技能8立即金币9随机矿a挖尘
19	54623 22223	   	207.65	紫4易伤3伤害1全技能	136伤害2346易伤36序列升级5核7全技能8立即金币9随机矿a激光对绿
20	54623 22231	   	207.65	紫4易伤3伤害1全技能	136伤害2346易伤36序列升级5核7全技能8立即金币9低血量敌人a挖尘
21	54623 22133	   	207.15	紫4易伤3伤害1全技能	136伤害2346易伤36序列升级5核7全技能89基地爆炸a立即金币
22	54623 22132	   	205.84	紫4易伤3伤害1全技能	136伤害2346易伤36序列升级5核7全技能89基地爆炸a激光对冰
23	54623 22121	   	205.74	紫4易伤3伤害1全技能	136伤害2346易伤36序列升级5核7全技能8基地爆炸9敌人爆炸a等级
24	54623 22122	   	205.74	紫4易伤3伤害1全技能	136伤害2346易伤36序列升级5核7全技能8基地爆炸9敌人爆炸a挖尘
25	54623 22131	   	205.74	紫4易伤3伤害1全技能	136伤害2346易伤36序列升级5核7全技能89基地爆炸a挖尘
26	54623 23221	   	205.72	紫4易伤3伤害1策反	136伤害2346易伤36序列升级5核7策反8攻速9时间a低血量敌人
27	54623 22321	   	205.64	紫4易伤3伤害1全技能	136伤害2346易伤36序列升级5核7全技能8挖尘9敌人爆炸a等级
28	54623 22331	   	205.64	紫4易伤3伤害1全技能	136伤害2346易伤36序列升级5核7全技能8挖尘9基地爆炸a等级
29	54623 23222	   	205.62	紫4易伤3伤害1策反	136伤害2346易伤36序列升级5核7策反8攻速9时间a挖尘
30	54211 15233	   	204.19	紫3易伤2伤害1全技能2喷火对愈	17伤害278易伤3a敌人爆炸4核5时间67喷火对愈7序列升级9全技能
31	54211 15231	   	204.09	紫3易伤2伤害1全技能2喷火对愈	17伤害278易伤3敌人爆炸4核5时间67喷火对愈7序列升级9全技能a加一
32	54311 15233	   	204.09	紫3易伤2伤害1全技能2喷火对愈	17伤害278易伤3挖尘4核5时间67喷火对愈7序列升级9全技能a敌人爆炸
33	54311 15231	   	203.99	紫3易伤2伤害1全技能2喷火对愈	17伤害278易伤3挖尘4核5时间67喷火对愈7序列升级9全技能a加一
34	54523 23133	   	202.32	紫5易伤2伤害1全技能	16伤害2346a易伤5核6序列升级7随机矿8全技能9敌人爆炸
35	55211 52223	   	202.28	紫3易伤3伤害1全技能	17a伤害2时间3a敌人爆炸4核5全技能69a易伤8额外掉落a序列升级
36	55311 52223	   	202.08	紫3易伤3伤害1全技能	17a伤害2时间3a挖尘4核5全技能69a易伤8额外掉落a序列升级
37	54211 22333	   	201.48	紫3易伤3伤害1全技能	17a伤害28a易伤3敌人爆炸4核5时间6全技能9a掉矿a序列升级
38	54623 23232	   	200.09	紫4易伤3伤害1策反	136伤害2346易伤36序列升级5核7策反8攻速9矿等a立即金币
39	54623 23213	   	199.99	紫4易伤3伤害1策反	136伤害2346易伤36序列升级5核7策反8攻速9双倍物品a立即金币
