0	Index      	 *	Score 	Summary	Detail	
1	22142 31574	 * 	317.83	橙橙1易伤1等级1矿等1伤害1攻速	1雷电减费2攻速3等级4伤害5矿等6随机技能7易伤8加一9a核
2	11362 31574	   	301.58	橙橙1易伤1等级1矿等1伤害	1核弹2伤害3低血量敌人4等级5矿等6随机技能7易伤8加一9a核
3	21522 23574	 * 	295.92	橙橙2易伤1伤害1攻速	1雷电减费2伤害3时间4加一56易伤7攻速8随机技能9a核
4	22522 21574	   	295.92	橙橙2易伤1伤害1攻速	1雷电减费2攻速3时间4加一56易伤7伤害8随机技能9a核
5	33642 31433	 * 	294.74	橙橙1易伤2技能1矿等1伤害	1金币生成29技能3敌人爆炸4伤害5矿等6平台7a核8易伤
6	33342 31433	   	294.64	橙橙1易伤2技能1矿等1伤害	1金币生成29技能3挖青4伤害5矿等6平台7a核8易伤
7	33442 31433	   	294.64	橙橙1易伤2技能1矿等1伤害	1金币生成29技能3基地爆炸4伤害5矿等6平台7a核8易伤
8	34132 32462	 * 	290.31	橙橙2易伤1等级1暴击	12金币生成2序列升级3雷电4等级56易伤7暴击8敌人爆炸9a核
9	34132 32662	   	290.31	橙橙2易伤1等级1暴击	12金币生成2序列升级3雷电4等级56易伤7暴击8低血量敌人9a核
10	31132 32462	   	290.21	橙橙2易伤1等级1暴击	1金币生成2火球减费3雷电4等级56易伤7暴击8敌人爆炸9a核
11	31132 32662	   	290.21	橙橙2易伤1等级1暴击	1金币生成2火球减费3雷电4等级56易伤7暴击8低血量敌人9a核
12	31161 51162	   	290.11	橙橙2易伤1等级1暴击	1金币生成26火球减费3雷电4毒气减费56易伤6序列升级7暴击8等级9a核
