0	Index      	 *	Score 	Summary	Detail	
1	45132 32312	 * 	329.45	橙橙2易伤2伤害1等级	13伤害24易伤5双倍秒伤6随机技能79核8全技能a等级
2	42232 21314	 * 	325.03	橙橙2易伤2伤害1矿等	16伤害2雷电3全技能4时间5a易伤7矿等89核
3	62232 21314	   	325.03	橙橙2易伤2伤害1矿等	1雷电26伤害3全技能4时间5a易伤7矿等89核
4	42226 21314	   	316.62	橙橙2易伤2伤害1矿等	16伤害2雷电3全技能4a易伤5基地爆炸7矿等89核
5	42242 21314	   	316.62	橙橙2易伤2伤害1矿等	16伤害2雷电3全技能4挖尘5a易伤7矿等89核
6	62226 21314	   	316.62	橙橙2易伤2伤害1矿等	1雷电26伤害3全技能4a易伤5基地爆炸7矿等89核
7	62242 21314	   	316.62	橙橙2易伤2伤害1矿等	1雷电26伤害3全技能4挖尘5a易伤7矿等89核
8	45532 32312	   	311.76	橙橙2易伤1等级1伤害	1伤害24易伤3毒气减费5双倍秒伤6随机技能79核8全技能a等级
9	66223 11314	 * 	309.91	橙橙2易伤2攻速1矿等	1雷电25攻速3全技能4a易伤6最后敌人7矿等89核
10	61231 61314	 * 	307.54	橙橙1易伤1等级1矿等1攻速	1雷电2掉矿3全技能4时间5等级6攻速7矿等89核a易伤
11	42232 31314	   	307.44	橙橙2易伤1矿等1伤害	1伤害26雷电3全技能4时间5a易伤7矿等89核
12	42232 41314	   	307.44	橙橙2易伤1矿等1伤害	1伤害2雷电3全技能4时间5a易伤6立即金币7矿等89核
13	62232 31314	   	307.44	橙橙2易伤1矿等1伤害	16雷电2伤害3全技能4时间5a易伤7矿等89核
14	62232 41314	   	307.44	橙橙2易伤1矿等1伤害	1雷电2伤害3全技能4时间5a易伤6立即金币7矿等89核
15	42222 41314	   	307.34	橙橙2易伤1矿等1伤害	1伤害2雷电3全技能4a易伤5火球减费6时间7矿等89核
16	62222 41314	   	307.34	橙橙2易伤1矿等1伤害	1雷电2伤害3全技能4a易伤5火球减费6时间7矿等89核
17	45132 32311	   	305.67	橙橙2易伤2伤害	13伤害24易伤5双倍秒伤6随机技能79核8全技能a时间
18	42232 21312	   	303.50	橙橙2伤害1易伤1矿等2时间	16伤害2雷电3全技能4a时间5易伤7矿等89核
19	62232 21312	   	303.50	橙橙2伤害1易伤1矿等2时间	1雷电26伤害3全技能4a时间5易伤7矿等89核
20	44221 42312	   	301.37	橙橙2伤害1易伤1等级	16伤害2随机技能3易伤4低血量敌人5挖尘79核8全技能a等级
21	44243 12312	   	301.37	橙橙2伤害1易伤1等级	14伤害2随机技能3易伤5最后敌人6基地爆炸79核8全技能a等级
