0	Index      	 *	Score 	Summary	Detail	
1	12236 11146	 * 	300.03	橙橙2等级1易伤1技能1暴击	1技能2基地爆炸3暴击45等级6a核7双倍秒伤8易伤9随机技能
2	43222 62253	 * 	299.49	橙3矿等2等级1易伤1攻速2随机技能1暴击	1时间289矿等3暴击4易伤58随机技能6攻速78等级8序列升级a核
3	62532 41122	 * 	294.14	紫橙3易伤2等级1技能	19策反26核3挖尘4技能59等级79a易伤8挖青9序列升级
4	62632 41122	   	294.14	紫橙3易伤2等级1技能	19策反26核3基地爆炸4技能59等级79a易伤8挖青9序列升级
5	62332 41122	 * 	294.01	紫橙3易伤1等级2攻速	19策反26核39攻速4敌人爆炸5等级79a易伤8挖青9序列升级
6	62352 41122	   	293.91	紫橙3易伤1等级2攻速	19策反26核39攻速4挖尘5等级79a易伤8挖青9序列升级
7	23222 62253	   	291.09	橙3矿等2等级1易伤1攻速2随机技能1暴击	1挖尘289矿等3暴击4易伤58随机技能6攻速78等级8序列升级a核
8	14213 25422	 * 	285.43	橙橙1易伤1等级1伤害1技能	1技能2伤害3掉矿4雷电5等级6平台7a核8易伤9最后敌人
9	14213 25432	   	285.43	橙橙1易伤1等级1伤害1技能	1技能2伤害3掉矿4雷电5等级6平台7a核8易伤9敌人爆炸
10	13215 32622	 * 	282.89	橙橙1易伤2技能1矿等	16技能2赏金邻近3时间4双倍秒伤5敌人爆炸78核9易伤a矿等
11	62332 41422	   	279.23	紫橙3易伤1等级1攻速	1策反26核3攻速4敌人爆炸5等级78a易伤9挖青
12	62332 41125	   	278.86	紫橙2易伤1等级2攻速	19策反26核39攻速4敌人爆炸5等级79易伤8挖青9序列升级a时间
13	43222 62263	   	276.96	橙2矿等2等级1易伤1攻速2随机技能1暴击	1时间28矿等3暴击4易伤58随机技能6攻速78等级8序列升级9核弹a核
14	13215 32623	 * 	276.75	橙橙1易伤2技能1伤害	16技能2赏金邻近3时间4双倍秒伤5敌人爆炸78核9易伤a伤害
15	41363 21141	   	275.04	橙橙1等级1伤害1技能1攻速	1时间2狙击对黄3雷电4技能5等级6攻速7a核8伤害9平台
16	13312 31521	   	273.43	橙橙1易伤1等级1技能1卖塔	1技能2赏金邻近3烈焰减费4易伤5全技能6最后敌人7等级8卖塔9a核
17	13312 51521	   	273.43	橙橙1易伤1等级1技能1卖塔	1技能2赏金邻近3烈焰减费4易伤5全技能6低血量敌人7等级8卖塔9a核
18	13312 61521	   	273.33	橙橙1易伤1等级1技能1卖塔	1技能2赏金邻近3烈焰减费4易伤5全技能6雷电减费7等级8卖塔9a核
19	34121 25335	 * 	273.24	橙橙1等级1矿等1技能	1导弹对黄2技能3时间4全技能5矿等6a核7寒冰对冰8等级9最后敌人
20	13215 32626	   	272.93	橙橙1易伤2技能1攻速	16技能2赏金邻近3时间4双倍秒伤5敌人爆炸78核9易伤a攻速
21	33532 26214	 * 	272.83	橙橙2易伤1伤害	1导弹对黄2赏金邻近3敌人爆炸4全技能5伤害69核7a易伤8最后敌人
22	62332 41412	   	272.76	紫橙2易伤1等级1技能1攻速	1策反26核3攻速4敌人爆炸5等级78易伤9随机矿a技能
23	33532 26114	   	272.73	橙橙2易伤1伤害	1导弹对黄2赏金邻近3敌人爆炸4全技能5伤害69核7a易伤8雷电减费
24	33632 26214	   	272.73	橙橙2易伤1伤害	1导弹对黄2赏金邻近3挖尘4全技能5伤害69核7a易伤8最后敌人
25	62332 41432	   	272.66	紫橙2易伤1等级1技能1攻速	1策反26核3攻速4敌人爆炸5等级78易伤9掉矿a技能
26	14313 25423	 * 	272.64	橙2易伤2等级2伤害2技能	1a技能29伤害3随机矿4雷电59等级6平台7核89易伤9序列升级
27	33632 26114	   	272.63	橙橙2易伤1伤害	1导弹对黄2赏金邻近3挖尘4全技能5伤害69核7a易伤8雷电减费
28	12121 83725	   	272.21	橙橙1易伤1等级1技能	1技能2基地爆炸3加一4赏金邻近5等级6易伤7a核8金币生成9随机技能
29	16433 32362	   	272.21	橙橙1易伤1等级1技能	1技能2随机技能3风暴减费4赏金塔5随机矿69核7多重对甲8等级a易伤
30	12121 83625	   	272.11	橙橙1易伤1等级1技能	1技能2基地爆炸3加一4赏金邻近5等级6易伤7a核8掉矿9随机技能
31	14315 31162	 * 	271.03	橙橙2伤害1易伤1技能	1技能25伤害3随机矿4雷电6平台7易伤8a核9敌人爆炸
32	14363 21162	   	271.03	橙橙2伤害1易伤1技能	1技能24伤害3随机矿5平台6雷电7易伤8a核9敌人爆炸
33	14215 31142	   	270.83	橙橙2伤害1易伤1技能	1技能25伤害39掉矿4雷电6平台7易伤8a核
34	62532 41121	   	270.68	紫橙2易伤2等级1技能	19策反26核3挖尘4技能59等级79易伤8挖青9序列升级a双倍矿
35	62632 41121	   	270.68	紫橙2易伤2等级1技能	19策反26核3基地爆炸4技能59等级79易伤8挖青9序列升级a双倍矿
36	62532 41123	   	270.58	紫橙2易伤2等级1技能	19策反26核3挖尘4技能59等级79易伤8挖青9序列升级a基地爆炸
37	62632 41123	   	270.58	紫橙2易伤2等级1技能	19策反26核3a基地爆炸4技能59等级79易伤8挖青9序列升级
38	62332 41121	   	270.55	紫橙2易伤1等级2攻速	19策反26核39攻速4敌人爆炸5等级79易伤8挖青9序列升级a双倍矿
39	62332 41124	   	270.55	紫橙2易伤1等级2攻速	19策反26核39攻速4敌人爆炸5等级79易伤8挖青9序列升级a最后敌人
40	62352 41121	   	270.45	紫橙2易伤1等级2攻速	19策反26核39攻速4挖尘5等级79易伤8挖青9序列升级a双倍矿
41	62332 41123	   	270.45	紫橙2易伤1等级2攻速	19策反26核39攻速4敌人爆炸5等级79易伤8挖青9序列升级a基地爆炸
42	62332 41413	   	270.45	紫橙2易伤1等级2攻速	1策反26核3a攻速4敌人爆炸5等级78易伤9随机矿
43	62352 41123	   	270.35	紫橙2易伤1等级2攻速	19策反26核39攻速4挖尘5等级79易伤8挖青9序列升级a基地爆炸
44	62332 41433	   	270.35	紫橙2易伤1等级2攻速	1策反26核3a攻速4敌人爆炸5等级78易伤9掉矿
45	23222 62553	   	270.10	橙3矿等1易伤1等级1攻速1暴击	1挖尘289矿等3暴击4易伤5随机技能6攻速7等级a核
