0	Index      	 *	Score 	Summary	Detail	
1	26123 15513	 * 	300.58	DCR|DCR|2VULN|1DMG|1ASPD|1CDMG|1ZMB	1NUKE|24VULN|3AART|5CDMG|6ZMB|7ASPD|8aRCR|9DMG
2	33215 22135	 * 	291.05	DCR|DCR|1VULN|2ASPD|1DMG|1MLV	1FEWX|28ASPD|3DMG|4RPLT|5BBNT|69RCR|7VULN|aMLV
3	21215 22535	 * 	290.74	DCR|DCR|2DMG|1VULN|1MLV	1NUKE|2DUR|38DMG|4RPLT|5BBNT|69RCR|7VULN|aMLV
4	26123 12513	 * 	286.93	DCR|DCR|2VULN|1DMG|1CDMG|1ZMB	1NUKE|24VULN|3AART|5CDMG|6ZMB|7AAC|8aRCR|9DMG
5	26265 22131	 * 	283.18	DCR|DCR|2VULN|1DMG	1NUKE|27VULN|3RPLT|4DMG|5TBNT|69RCR|8BEXP|aAART
6	26415 22131	   	283.18	DCR|DCR|2VULN|1DMG	1NUKE|27VULN|3DMG|4RPLT|5TBNT|69RCR|8BEXP|aAART
7	33215 22131	   	283.18	DCR|DCR|1VULN|2ASPD|1DMG	1FEWX|28ASPD|3DMG|4RPLT|5BBNT|69RCR|7VULN|aAART
8	21215 22531	   	282.87	DCR|DCR|2DMG|1VULN	1NUKE|2DUR|38DMG|4RPLT|5BBNT|69RCR|7VULN|aAART
9	26265 22132	   	281.83	DCR|DCR|2VULN|1DMG	1NUKE|27VULN|3RPLT|4DMG|5TBNT|69RCR|8BEXP|aDUR
10	26415 22132	   	281.83	DCR|DCR|2VULN|1DMG	1NUKE|27VULN|3DMG|4RPLT|5TBNT|69RCR|8BEXP|aDUR
11	33215 22132	   	281.83	DCR|DCR|1VULN|2ASPD|1DMG	1FEWX|28ASPD|3DMG|4RPLT|5BBNT|69RCR|7VULN|aDUR
12	21215 22532	   	279.76	DCR|DCR|2DMG|1VULN|2DUR	1NUKE|2aDUR|38DMG|4RPLT|5BBNT|69RCR|7VULN
13	21215 22435	   	279.71	DCR|DCR|1VULN|1DMG|1MLV|2DUR	1NUKE|28DUR|3DMG|4RPLT|5BBNT|69RCR|7VULN|aMLV
14	33536 43122	   	277.51	DCR|DCR|2VULN|1DMG|1ASPD	1FEWX|2ASPD|3BBNT|48VULN|5MDPS|69RCR|7CGEN|aDMG
15	26265 22133	   	273.52	DCR|DCR|2VULN|1DMG	1NUKE|27VULN|3RPLT|4DMG|5TBNT|69RCR|8BEXP|aFEWX
16	26415 22133	   	273.52	DCR|DCR|2VULN|1DMG	1NUKE|27VULN|3DMG|4RPLT|5TBNT|69RCR|8BEXP|aFEWX
17	33215 22133	   	273.52	DCR|DCR|1VULN|2ASPD|1DMG	1FEWX|28ASPD|3DMG|4RPLT|5BBNT|69RCR|7VULN|aBEXP
18	33215 22134	   	273.52	DCR|DCR|1VULN|2ASPD|1DMG	1FEWX|28ASPD|3DMG|4RPLT|5BBNT|69RCR|7VULN|aLIT
19	21215 22534	   	273.21	DCR|DCR|2DMG|1VULN	1NUKE|2DUR|38DMG|4RPLT|5BBNT|69RCR|7VULN|aLIT
20	21215 22536	   	273.21	DCR|DCR|2DMG|1VULN	1NUKE|2DUR|38DMG|4RPLT|5BBNT|69RCR|7VULN|aBEXP
21	21215 22533	   	273.11	DCR|DCR|2DMG|1VULN	1NUKE|2DUR|38DMG|4RPLT|5BBNT|69RCR|7VULN|aDUST
22	21536 43122	   	272.07	DCR|DCR|2VULN|1DMG	1NUKE|2DUR|3BBNT|48VULN|5MDPS|69RCR|7CGEN|aDMG
23	21215 22431	   	271.83	DCR|DCR|1VULN|1DMG|2DUR	1NUKE|28DUR|3DMG|4RPLT|5BBNT|69RCR|7VULN|aAART
