0	Index      	 *	Score 	Summary	Detail	
1	32512 41633	 * 	296.53	DCR|DCR|2MLV|2ASPD|1DMG|1CDMG	16ASPD|2DUR|3AART|4aMLV|5CDMG|79RCR|8DMG
2	61235 13143	 * 	285.10	DCR|DCR|2DMG|2MLV|2DUR|1CDMG	1CDMG|2aDUR|3LWND|4FEWX|5aDMG|69RCR|7LHND|8aMLV|aBPWR
3	32512 31633	   	284.07	DCR|DCR|2MLV|1DMG|1ASPD|1CDMG	1ASPD|2DUR|3AART|4aMLV|5CDMG|6DMSP|79RCR|8DMG
4	62212 33144	 * 	282.34	DCR|DCR|2VULN|1DMG|1CDMG	1CDMG|2DMSP|3CGEN|4AAC|56VULN|7BBNT|89RCR|aDMG
5	13133 22614	   	282.24	DCR|DCR|2VULN|1DMG|1CDMG	1LWND|2MBVNT|3BBNT|48VULN|5CDMG|6aRCR|7TBNT|9DMG
6	13133 27814	   	282.24	DCR|DCR|2VULN|1DMG|1CDMG	1LWND|2MBVNT|3BBNT|47VULN|5CDMG|6aRCR|8TBNT|9DMG
7	23131 74446	 * 	282.05	DCR|DCR|3VULN	19aLHND|2MBVNT|3BBNT|49aVULN|59aLWND|6AART|78RCR|9aBPWR
8	23131 74426	   	281.85	DCR|DCR|3VULN	1aLHND|2MBVNT|3BBNT|49aVULN|5aLWND|6AART|78RCR|aBPWR
9	32512 41632	   	280.92	DCR|DCR|2ASPD|1DMG|1MLV|1CDMG	16ASPD|2DUR|3AART|4MLV|5CDMG|79RCR|8DMG|aFEWX
10	32512 41631	   	280.82	DCR|DCR|2ASPD|1DMG|1MLV|1CDMG	16ASPD|2DUR|3AART|4MLV|5CDMG|79RCR|8DMG|aERES
11	23131 74445	   	278.45	DCR|DCR|2VULN|1DMG	19LHND|2MBVNT|3BBNT|49VULN|59LWND|6AART|78RCR|9BPWR|aDMG
12	23131 74425	   	278.25	DCR|DCR|2VULN|1DMG	1LHND|2MBVNT|3BBNT|49VULN|5LWND|6AART|78RCR|aDMG
13	62222 33144	 * 	278.16	DCR|DCR|2DMG|1VULN|2CDMG	16CDMG|2DMSP|3CGEN|4aDMG|5VULN|7BBNT|89RCR
14	62222 21632	   	277.57	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2DMSP|3CGEN|4DMG|5VULN|6AART|79RCR|8ASPD|aFEWX
15	62222 21635	   	277.57	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2DMSP|3CGEN|4DMG|5VULN|6AART|79RCR|8ASPD|aLIT
16	62222 21636	   	277.57	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2DMSP|3CGEN|4DMG|5VULN|6AART|79RCR|8ASPD|aTBNT
17	62433 21632	   	277.57	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2DMSP|3VULN|4DMG|5TLV|6AART|79RCR|8ASPD|aFEWX
18	66222 21632	   	277.57	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1CDMG|2RCVC|3CGEN|4DMG|5VULN|6AART|79RCR|8ASPD|aFEWX
