0	Index      	 *	Score 	Summary	Detail	
1	36121 42522	 * 	296.87	DCR|DCR|3VULN|1MLV|1ASPD|1SELL	1SELL|2MLV|3DUST|4ASPD|568VULN|7TBNT|9aRCR
2	32151 42522	 * 	285.75	DCR|DCR|3VULN|1DMG|1SELL	1SELL|2DUST|3CGEN|4DMG|568VULN|7TBNT|9aRCR
3	32431 42522	 * 	285.65	DCR|DCR|3VULN|1DMG|1SELL	1SELL|2DUST|3DMG|4ERES|568VULN|7TBNT|9aRCR
4	32431 62522	 * 	285.65	DCR|DCR|3VULN|1DMG|1SELL	1SELL|26DUST|3DMG|4ERES|568VULN|6BPWR|7TBNT|9aRCR
5	11742 47345	 * 	284.64	DCR|DCR|2VULN|1MLV|1ASPD	1BBNT|2MBVNT|36VULN|4ASPD|5MLV|7RPLT|8LIT|9aRCR
6	26121 42522	 * 	279.34	DCR|DCR|3VULN|1ASPD|1SELL	1CGEN|2SELL|3DUST|4ASPD|568VULN|7TBNT|9aRCR
7	32121 42522	 * 	279.34	DCR|DCR|3VULN|1ASPD|1SELL	1SELL|2DUST|3CGEN|4ASPD|568VULN|7TBNT|9aRCR
8	34121 42522	 * 	279.34	DCR|DCR|3VULN|1ASPD|1SELL	1SELL|2TLV|3DUST|4ASPD|568VULN|7TBNT|9aRCR
9	32521 42522	 * 	279.24	DCR|DCR|3VULN|1ASPD|1SELL	1SELL|2DUST|3ERES|4ASPD|568VULN|7TBNT|9aRCR
10	32521 62522	 * 	279.24	DCR|DCR|3VULN|1ASPD|1SELL	1SELL|26DUST|3ERES|4ASPD|568VULN|6BPWR|7TBNT|9aRCR
11	11382 47345	   	270.99	DCR|DCR|2VULN|1MLV	1BBNT|2MBVNT|3AAC|46VULN|5MLV|7RPLT|8LIT|9aRCR
12	52213 42222	   	270.73	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1LHND|2VULN|3ASPD|4LWND|5MLV|6DUST|7CDMG|8DUR|9aRCR
13	32464 32222	 * 	269.70	DCR|DCR|1VULN|1DMG|1MLV|2DUR|1SELL	1SELL|26DUST|3DMG|4VULN|56DUR|6BPWR|7MLV|8MDPS|9aRCR
