0	Index      	 *	Score 	Summary	Detail	
1	64123 22215	 * 	256.99	DCR|3VULN|3DMG|2ASPD	1TSLARM|258VULN|345DMG|5BPWR|67ASPD|9MDPS|aRCR
2	35326 35443	 * 	256.76	DCR|DCR|2ASPD|1MLV|1AART|1RPLT	1RPLT|2MBVNT|3DUR|45ASPD|6AAC|7MLV|8aRCR|9AART
3	55343 32212	 * 	256.29	DCR|4VULN|2MLV|2ASPD	17MLV|2RMIN|3579VULN|4BELT|67ASPD|7BPWR|8FEWX|aRCR
4	55343 32312	   	256.29	DCR|4VULN|2MLV|2ASPD	17MLV|2RMIN|3579VULN|4BELT|67ASPD|7BPWR|8LWND|aRCR
5	61346 22371	 * 	254.99	DCR|DCR|1VULN|1DMG|1MLV	1TSLARM|2AME|3MBVNT|4TBNT|5CGEN|6MLV|79RCR|8DMG|aVULN
6	61331 22371	   	254.89	DCR|DCR|1VULN|1DMG|1MLV	1TSLARM|2AME|3MBVNT|4ERES|5TBNT|6MLV|79RCR|8DMG|aVULN
7	61343 22371	   	254.89	DCR|DCR|1VULN|1DMG|1MLV	1TSLARM|2AME|3MBVNT|4TBNT|5ERES|6MLV|79RCR|8DMG|aVULN
8	26622 12423	   	254.45	DCR|DCR|1VULN|1ASPD|1CDMG|1AART	1RCVC|2LEGI|3AART|4DUST|5LIT|6aRCR|7VULN|8CDMG|9ASPD
9	63131 53422	 * 	250.19	ACR|DCR|2VULN|1MLV|1AART	1TSLARM|2aRCR|3MDPS|4CANSTR|56VULN|7MLV|8DUR|9AART
10	63433 21162	   	250.19	ACR|DCR|2VULN|1MLV|1RPLT	1TSLARM|29RCR|3aVULN|4MLV|5RPLT|6MDPS|7DUR|8NUKE
11	35314 26433	 * 	248.89	DCR|2VULN|2DMG|1MLV|2DUR|1CDMG|1RPLT	1RPLT|2MBVNT|37DUR|4CDMG|57VULN|67DMG|7BPWR|8MLV|9AME|aRCR
12	65321 42471	   	248.68	DCR|DCR|1VULN|1MLV|1ASPD	1TSLARM|2TLV|3MBVNT|4MLV|5TBNT|6CGEN|79RCR|8ASPD|aVULN
13	65342 42471	   	248.68	DCR|DCR|1VULN|1MLV|1ASPD	1TSLARM|2TLV|3MBVNT|4TBNT|5MLV|6CGEN|79RCR|8ASPD|aVULN
14	65321 22471	   	248.58	DCR|DCR|1VULN|1MLV|1ASPD	1TSLARM|2TLV|3MBVNT|4MLV|5TBNT|6ERES|79RCR|8ASPD|aVULN
15	65342 22471	   	248.58	DCR|DCR|1VULN|1MLV|1ASPD	1TSLARM|2TLV|3MBVNT|4TBNT|5MLV|6ERES|79RCR|8ASPD|aVULN
16	35314 56433	 * 	246.80	DCR|3VULN|1DMG|1MLV|1CDMG|1RPLT	1RPLT|2MBVNT|3DUR|4CDMG|567VULN|8MLV|9RCR|aDMG
17	35148 21171	 * 	246.36	DCR|DCR|2DMG|1ASPD|1RPLT	1RPLT|2MBVNT|3BELT|47DMG|5ASPD|6DUST|8TBNT|9aRCR
18	64123 21215	   	244.54	DCR|3VULN|3DMG|1ASPD	1TSLARM|258VULN|345DMG|5BPWR|6ASPD|7RCVC|9MDPS|aRCR
19	35325 35443	   	244.21	DCR|DCR|1MLV|1ASPD|1AART|1RPLT	1RPLT|2MBVNT|3DUR|4ASPD|5AELOIC|6AAC|7MLV|8aRCR|9AART
20	63433 33312	 * 	244.15	ACR|DCR|1VULN|1DMG|1MLV|1RPLT	1TSLARM|28RCR|3VULN|4MLV|5RPLT|6DUST|7LIT|9DUR|aDMG
21	22265 23512	 * 	243.30	ACR|DCR|1VULN|2ASPD|2DUR|1CDMG	1RCVC|27DUST|37ASPD|47DUR|58RCR|6MDPS|7BPWR|9CDMG|aVULN
22	22215 52512	   	242.19	ACR|DCR|2VULN|1ASPD|1CDMG	1RCVC|2DUST|3ASPD|4LHND|58RCR|6aVULN|7LWND|9CDMG
23	41335 32512	   	242.19	ACR|DCR|2VULN|1ASPD|1CDMG	1RMIN|2ASPD|3ERES|4BEXP|58RCR|6aVULN|7LWND|9CDMG
24	41315 32512	   	242.09	ACR|DCR|2VULN|1ASPD|1CDMG	1RMIN|2ASPD|3ERES|4LEGI|58RCR|6aVULN|7LWND|9CDMG
25	64123 33632	 * 	241.99	DCR|2VULN|3DMG|2MLV	1TSLARM|25VULN|345DMG|5BPWR|6BBNT|7LHND|8aMLV|9RCR
26	63131 53622	   	241.89	ACR|DCR|2VULN|1MLV|1AART	1TSLARM|2aRCR|3MDPS|4CANSTR|56VULN|7MLV|8FEWX|9AART
27	35143 31171	   	241.12	DCR|DCR|2DMG|1RPLT	1RPLT|2MBVNT|3BELT|47DMG|5DUR|6AAC|8TBNT|9aRCR
28	35674 41434	   	241.12	DCR|DCR|2DMG|1RPLT	1RPLT|2MBVNT|3LWND|4BEXP|5TBNT|69DMG|7aRCR|8DUR
29	35347 41274	   	241.06	DCR|DCR|1DMG|1MLV|1RPLT	1RPLT|2MBVNT|3DUR|4DMG|5BBNT|6FEWX|7aRCR|8MLV|9RMIN
30	35368 11234	   	241.06	DCR|DCR|1DMG|1MLV|1RPLT	1RPLT|2MBVNT|3DUR|4CGEN|5LWND|6TBNT|7aRCR|8MLV|9DMG
31	35368 41234	   	241.06	DCR|DCR|1DMG|1MLV|1RPLT	1RPLT|2MBVNT|3DUR|4CGEN|5LWND|6BBNT|7aRCR|8MLV|9DMG
32	35684 41434	   	241.02	DCR|DCR|2DMG|1RPLT	1RPLT|2MBVNT|3LWND|4DUST|5TBNT|69DMG|7aRCR|8DUR
