0	Index      	 *	Score 	Summary	Detail	
1	32221 21114	 * 	287.70	DCR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|3BELT|4VULN|5ERES|6RPLT|7aRCR|8CDMG|9ASPD
2	32521 21356	 * 	287.42	ACR|DCR|2VULN|2MLV|1DMG|1AART|1RPLT	12MLV|37RCR|4aVULN|5DMG|6RPLT|8AELOIC|9AART
3	32521 21514	   	287.42	ACR|DCR|2VULN|2MLV|1DMG|1AART|1RPLT	12MLV|37RCR|4aVULN|5DMG|6RPLT|8AART|9MSLREG
4	32521 21524	   	287.42	ACR|DCR|2VULN|2MLV|1DMG|1AART|1RPLT	12MLV|37RCR|4aVULN|5DMG|6RPLT|8AART|9SPLREG
5	32522 21164	   	285.00	ACR|DCR|2VULN|2MLV|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4aVULN|5ASPD|6RPLT|8ERES|9CDMG
6	32521 21156	 * 	282.79	ACR|DCR|2DMG|2MLV|1VULN|1ASPD|1RPLT	12MLV|37RCR|4VULN|59DMG|6RPLT|8ERES|aASPD
7	32522 21356	   	281.01	ACR|DCR|2VULN|2MLV|1ASPD|1AART|1RPLT	12MLV|37RCR|4aVULN|5ASPD|6RPLT|8AELOIC|9AART
8	32522 21514	   	281.01	ACR|DCR|2VULN|2MLV|1ASPD|1AART|1RPLT	12MLV|37RCR|4aVULN|5ASPD|6RPLT|8AART|9MSLREG
9	32522 21524	   	281.01	ACR|DCR|2VULN|2MLV|1ASPD|1AART|1RPLT	12MLV|37RCR|4aVULN|5ASPD|6RPLT|8AART|9SPLREG
10	32521 21423	   	280.55	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUR|9CDMG|aNUKE
11	32521 21325	   	277.76	ACR|DCR|2VULN|2MLV|1DMG|1RPLT	12MLV|37RCR|4aVULN|5DMG|6RPLT|8AELOIC|9RCVC
12	22163 22312	 * 	276.19	DCR|3VULN|3MLV|2DMG|1ASPD	17DMG|257MLV|3AELOIC|4ASPD|67aVULN|7BPWR|8MBVNT|9RCR
13	32521 21551	 * 	275.38	ACR|DCR|3MLV|1VULN|1DMG|1AART|1RPLT	12aMLV|37RCR|4VULN|5DMG|6RPLT|8AART|9BBNT
14	32521 21561	   	274.97	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1AART|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8AART|9RCVC|aCDMG
15	32521 21351	   	274.87	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1AART|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8AELOIC|9AART|aCDMG
16	32521 21535	   	274.82	ACR|DCR|2MLV|1VULN|1DMG|2RPLT|1AART	12MLV|37RCR|4VULN|5DMG|6aRPLT|8AART|9DUR
17	32522 21423	   	274.14	ACR|DCR|2MLV|1VULN|1ASPD|1CDMG|1RPLT	12MLV|37RCR|4VULN|5ASPD|6RPLT|8DUR|9CDMG|aNUKE
18	32521 21422	   	273.61	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUR|9CDMG|aBBNT
19	32521 21424	   	273.61	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUR|9CDMG|aTLV
20	32521 21443	   	273.61	ACR|DCR|2MLV|1VULN|1DMG|1ASPD|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUR|9BELT|aASPD
21	32521 21421	   	273.51	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT|1MSE	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUR|9CDMG|aMSE
22	32521 21425	   	273.51	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUR|9CDMG|aAIRHEA
23	32521 21426	   	273.51	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUR|9CDMG|aERES
24	32521 21435	   	273.51	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUR|9DUST|aCDMG
25	34332 21356	 * 	272.78	DCR|DCR|2DMG|1VULN|1MLV	1MLV|2VULN|3FEWX|4RMIN|57DMG|6LSRHEA|8aRCR|9LIT
26	32551 21323	   	272.24	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT	12MLV|37RCR|4LWND|5DMG|6RPLT|8VULN|9CDMG|aNUKE
27	32521 21223	   	272.14	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8LEGI|9CDMG|aNUKE
28	32521 21623	   	272.14	ACR|DCR|2MLV|1VULN|1DMG|1CDMG|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8DUST|9CDMG|aNUKE
29	32522 21325	   	271.35	ACR|DCR|2VULN|2MLV|1ASPD|1RPLT	12MLV|37RCR|4aVULN|5ASPD|6RPLT|8AELOIC|9RCVC
30	22233 36615	 * 	270.80	DCR|DCR|2MLV|1VULN|1DMG	1DMG|23MLV|4BELT|5TLV|6TBNT|79RCR|8ERES|aVULN
31	23221 24354	   	270.53	DCR|DCR|1VULN|1DMG|1ASPD|1AART|1RPLT	1DMG|2RPLT|3AAC|4SPLARM|5ERES|6ASPD|7AART|89RCR|aVULN
32	32521 21126	   	270.40	ACR|DCR|2MLV|1VULN|1DMG|2RPLT|1ASPD	12MLV|37RCR|4VULN|5DMG|69RPLT|8ERES|aASPD
33	32522 21156	   	270.40	ACR|DCR|2MLV|1VULN|1DMG|2RPLT|1ASPD	12MLV|37RCR|4VULN|5ASPD|6aRPLT|8ERES|9DMG
34	22163 22311	 * 	269.71	DCR|2VULN|3DMG|3MLV|1ASPD	17aDMG|257MLV|3AELOIC|4ASPD|67VULN|7BPWR|8MBVNT|9RCR
35	32521 21531	   	269.62	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8AART|9DUR|aLIT
36	32521 21534	   	269.62	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8AART|9DUR|aBBNT
37	32521 21532	   	269.52	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8AART|9DUR|aTSLARM
38	32521 21533	   	269.52	ACR|DCR|2MLV|1VULN|1DMG|1AART|1RPLT	12MLV|37RCR|4VULN|5DMG|6RPLT|8AART|9DUR|aDUST
