0	Index      	 *	Score 	Summary	Detail	
1	32212 54828	 * 	278.82	DCR|DCR|2VULN|1DMG|2DUR	14LWND|24DUR|3MBVNT|4BPWR|56VULN|7aRCR|8DMG|9BELT
2	36182 24328	   	263.76	DCR|DCR|2VULN|1DMG	1LWND|2MBVNT|35VULN|4AME|6RMIN|7aRCR|8DMG|9BELT
3	34323 26443	   	263.39	DCR|DCR|1VULN|1DMG|1MLV	1LWND|2TLV|3DMG|4DUST|5DUR|6MLV|79RCR|8MBVNT|aVULN
4	26361 13236	 * 	260.01	DCR|3VULN|3ASPD|1DMG|2DUR|1RPLT	159ASPD|29DUR|3DMG|4LWND|69aVULN|7RPLT|8RCR|9BPWR
5	32354 31351	   	258.65	DCR|DCR|2VULN|2DUR	1LWND|2aDUR|3LIT|47VULN|5FEWX|69RCR|8AELOIC
6	63336 31351	   	258.45	DCR|DCR|2VULN|2DUR	1LEGI|2DUST|3LIT|4aDUR|57VULN|69RCR|8AELOIC
7	63351 31351	   	258.45	DCR|DCR|2VULN|2DUR	1LEGI|2DUST|3LIT|47VULN|5aDUR|69RCR|8AELOIC
8	23263 53133	 * 	258.17	ACR|DCR|2VULN|1DMG|1ASPD|1RPLT	1ASPD|2BEXP|39RCR|4MDPS|5aVULN|6TSLARM|7DMG|8RPLT
9	36142 24847	   	257.35	DCR|DCR|2VULN|1CDMG	1LWND|2MBVNT|35VULN|4AAC|6DUST|79RCR|8LHND|aCDMG
10	36142 24848	   	257.35	DCR|DCR|2VULN|1ASPD	1LWND|2MBVNT|35VULN|4AAC|6DUST|79RCR|8LHND|aASPD
11	32271 24243	   	256.98	DCR|DCR|1VULN|1MLV|1ASPD	1LWND|2DUR|3MBVNT|4RMIN|5ASPD|6MLV|79RCR|8DUST|aVULN
12	32531 26443	   	256.98	DCR|DCR|1VULN|1MLV|1ASPD	1LWND|2DUR|3DUST|4RMIN|5ASPD|6MLV|79RCR|8MBVNT|aVULN
13	32281 24243	   	256.88	DCR|DCR|1VULN|1MLV|1ASPD	1LWND|2DUR|3MBVNT|4AME|5ASPD|6MLV|79RCR|8DUST|aVULN
14	62371 24243	   	256.88	DCR|DCR|1VULN|1MLV|1ASPD	1LEGI|2MBVNT|3DUR|4RMIN|5ASPD|6MLV|79RCR|8DUST|aVULN
15	26113 26443	   	256.78	DCR|DCR|1VULN|1MLV|1ASPD	1ASPD|2DUR|3MDPS|45AME|6MLV|79RCR|8MBVNT|aVULN
16	62381 24243	   	256.78	DCR|DCR|1VULN|1MLV|1ASPD	1LEGI|2MBVNT|3DUR|4AME|5ASPD|6MLV|79RCR|8DUST|aVULN
17	26361 13232	 * 	255.46	DCR|2VULN|3ASPD|2DMG|2DUR|1RPLT	159ASPD|29DUR|3aDMG|4LWND|69VULN|7RPLT|8RCR|9BPWR
18	34322 26442	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	1LWND|2TLV|3DMG|4DUST|5VULN|6MLV|79RCR|8MBVNT|aTBNT
19	34322 26444	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	1LWND|2TLV|3DMG|4DUST|5VULN|6MLV|79RCR|8MBVNT|aFEWX
20	34322 26441	   	254.99	DCR|DCR|1VULN|1DMG|1MLV|1SELL	1LWND|2TLV|3DMG|4DUST|5VULN|6MLV|79RCR|8MBVNT|aSELL
21	34322 26443	   	254.99	DCR|DCR|1VULN|1DMG|1MLV	1LWND|2TLV|3DMG|4DUST|5VULN|6MLV|79RCR|8MBVNT|aAELOIC
22	11324 26443	   	254.89	DCR|DCR|1VULN|1DMG|1MLV	1ERES|2LEGI|3DMG|4DUST|5BEXP|6MLV|79RCR|8MBVNT|aVULN
23	11326 26442	   	254.89	DCR|DCR|1VULN|1DMG|1MLV	1ERES|2LEGI|3DMG|4DUST|5VULN|6MLV|79RCR|8MBVNT|aTBNT
24	11326 26444	   	254.89	DCR|DCR|1VULN|1DMG|1MLV	1ERES|2LEGI|3DMG|4DUST|5VULN|6MLV|79RCR|8MBVNT|aFEWX
25	11326 26441	   	254.79	DCR|DCR|1VULN|1DMG|1MLV|1SELL	1ERES|2LEGI|3DMG|4DUST|5VULN|6MLV|79RCR|8MBVNT|aSELL
26	11326 26443	   	254.79	DCR|DCR|1VULN|1DMG|1MLV	1ERES|2LEGI|3DMG|4DUST|5VULN|6MLV|79RCR|8MBVNT|aAELOIC
27	23358 13714	 * 	252.58	DCR|2VULN|3DMG|2ASPD|1MLV	18ASPD|2BEXP|38aDMG|4MBVNT|58VULN|6BBNT|7RCR|8BPWR|9MLV
28	36313 14828	   	252.51	DCR|DCR|1VULN|1DMG|2DUR	1LWND|2MBVNT|3RCVC|45DUR|6VULN|7aRCR|8DMG|9BELT
29	63336 31135	   	252.00	DCR|DCR|2VULN	1LEGI|2DUST|3LIT|4DUR|57VULN|6aRCR|8CGEN|9LWND
30	63351 31135	   	252.00	DCR|DCR|2VULN	1LEGI|2DUST|3LIT|47VULN|5DUR|6aRCR|8CGEN|9LWND
31	32354 31352	   	252.00	DCR|DCR|2VULN	1LWND|2DUR|3LIT|47VULN|5FEWX|69RCR|8AELOIC|aERES
