0	Index      	 *	Score 	Summary	Detail	
1	36162 52133	 * 	291.21	DCR|DCR|2VULN|2DMG|1RPLT	16DMG|2AAC|3RPLT|4TBNT|57VULN|8aRCR|9BBNT
2	32316 35114	   	281.65	DCR|DCR|2VULN|2DMG	1aDMG|2DMSP|3ERES|4aLIT|5TBNT|6aVULN|79RCR|8AAC|aBPWR
3	11438 23582	   	279.30	DCR|DCR|2VULN|1MLV|1RPLT	1MBVNT|2RMIN|3AAC|4MLV|5DUR|68RCR|7RPLT|9aVULN
4	11742 63534	 * 	276.05	ACR|DCR|2VULN|2DMG|1CDMG|1RPLT	1MBVNT|2RMIN|38RCR|49VULN|59CGEN|69DMG|7RPLT|9BPWR|aCDMG
5	17384 16421	 * 	275.60	DCR|DCR|3VULN|1RPLT	1MBVNT|26LIT|346VULN|5MDPS|6BPWR|79RCR|8RPLT|aBELT
6	17384 16424	   	275.60	DCR|DCR|3VULN|1RPLT	1MBVNT|26LIT|346VULN|5MDPS|6BPWR|79RCR|8RPLT|aCGEN
7	17384 16422	   	275.50	DCR|DCR|3VULN|1RPLT|1MSE	1MBVNT|26LIT|346VULN|5MDPS|6BPWR|79RCR|8RPLT|aMSE
8	17384 16423	   	275.50	DCR|DCR|3VULN|1RPLT	1MBVNT|26LIT|346VULN|5MDPS|6BPWR|79RCR|8RPLT|aCANSTR
9	17384 16312	   	274.24	DCR|DCR|3VULN	1MBVNT|26LIT|346VULN|5MDPS|6BPWR|7aRCR|8TBNT|9DUR
10	36112 11133	   	273.62	DCR|DCR|2VULN|1DMG|1RPLT	1DMG|2AAC|3RPLT|46LHND|56VULN|6BPWR|7MDPS|8aRCR|9BBNT
11	36142 11133	   	273.62	DCR|DCR|2VULN|1DMG|1RPLT	1DMG|2AAC|3RPLT|46FEWX|56VULN|6BPWR|7MDPS|8aRCR|9BBNT
12	31241 23582	   	273.52	DCR|DCR|2VULN|1DMG|1RPLT	1DMG|2BEXP|3DMSP|4MBVNT|5LHND|68RCR|7RPLT|9aVULN
13	36112 31133	   	273.52	DCR|DCR|2VULN|1DMG|1RPLT	1DMG|2AAC|3RPLT|4LHND|56VULN|7MDPS|8aRCR|9BBNT
14	11742 23537	 * 	273.00	ACR|DCR|3VULN|2ASPD|1RPLT	1MBVNT|2RMIN|38RCR|49aVULN|59CGEN|69ASPD|7RPLT|9BPWR
15	11431 23582	   	270.99	DCR|DCR|2VULN|1MLV|1RPLT	1MBVNT|2RMIN|3AAC|4MLV|5LHND|68RCR|7RPLT|9aVULN
16	11432 23582	   	270.99	DCR|DCR|2VULN|1MLV|1RPLT	1MBVNT|2RMIN|3AAC|4MLV|5LWND|68RCR|7RPLT|9aVULN
17	17344 16427	   	270.99	DCR|DCR|2VULN|1MLV|1RPLT	1MBVNT|26LIT|36VULN|4DMSP|5MDPS|6BPWR|79RCR|8RPLT|aMLV
18	17344 16426	   	267.11	DCR|DCR|2VULN|1CDMG|1RPLT	1MBVNT|26LIT|36VULN|4DMSP|5MDPS|6BPWR|79RCR|8RPLT|aCDMG
19	17384 16242	   	265.94	DCR|DCR|3VULN	1MBVNT|26LIT|346VULN|5MDPS|6BPWR|7aRCR|8FEWX|9TBNT
20	17384 16342	   	265.94	DCR|DCR|3VULN	1MBVNT|26LIT|346VULN|5MDPS|6BPWR|7aRCR|8TBNT|9FEWX
21	11431 23586	   	264.85	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1MBVNT|2RMIN|3AAC|4MLV|5LHND|68RCR|7RPLT|9VULN|aDMG
22	11432 23586	   	264.85	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1MBVNT|2RMIN|3AAC|4MLV|5LWND|68RCR|7RPLT|9VULN|aDMG
23	12132 64245	 * 	264.80	DCR|DCR|3ASPD|1VULN|1AART	1MBVNT|2AAC|345ASPD|6AART|7aRCR|8CGEN|9VULN
24	11742 23534	   	264.51	ACR|DCR|2VULN|2ASPD|1CDMG|1RPLT	1MBVNT|2RMIN|38RCR|49VULN|59CGEN|69ASPD|7RPLT|9BPWR|aCDMG
25	15142 45283	   	263.15	DCR|DCR|1VULN|1DMG|1MLV|1SELL	1MBVNT|2MLV|3DUR|4SELL|5VULN|6ERES|79RCR|8LHND|aDMG
26	11742 63531	   	262.40	ACR|DCR|2VULN|2DMG|1RPLT	1MBVNT|2RMIN|38RCR|49VULN|59CGEN|69DMG|7RPLT|9BPWR|aTLV
27	11742 63532	   	262.40	ACR|DCR|2VULN|2DMG|1RPLT	1MBVNT|2RMIN|38RCR|49VULN|59CGEN|69DMG|7RPLT|9BPWR|aLIT
28	11742 63533	   	262.40	ACR|DCR|2VULN|2DMG|1RPLT	1MBVNT|2RMIN|38RCR|49VULN|59CGEN|69DMG|7RPLT|9BPWR|aLWND
29	11764 33312	 * 	262.10	ACR|DCR|2VULN|3ASPD|1AART	1MBVNT|2RMIN|3aRCR|4AART|569ASPD|79CANARM|89VULN|9BPWR
30	16248 12133	   	261.76	DCR|DCR|2VULN|1RPLT	1MBVNT|2LHND|3FEWX|46VULN|5RPLT|7DUR|8aRCR|9BBNT
31	16248 18133	   	261.76	DCR|DCR|2VULN|1RPLT	1MBVNT|2LHND|3FEWX|46VULN|5RPLT|7aRCR|8DUR|9BBNT
32	11428 23582	   	261.66	DCR|DCR|2VULN|1RPLT	1MBVNT|2RMIN|3AAC|4ERES|5DUR|68RCR|7RPLT|9aVULN
33	14648 12133	   	261.66	DCR|DCR|2VULN|1RPLT	1MBVNT|2DUST|3LHND|46VULN|5RPLT|7DUR|8aRCR|9BBNT
34	14648 18133	   	261.66	DCR|DCR|2VULN|1RPLT	1MBVNT|2DUST|3LHND|46VULN|5RPLT|7aRCR|8DUR|9BBNT
35	14848 12133	   	261.66	DCR|DCR|2VULN|1RPLT	1MBVNT|2DUST|3LWND|46VULN|5RPLT|7DUR|8aRCR|9BBNT
36	14848 18133	   	261.66	DCR|DCR|2VULN|1RPLT	1MBVNT|2DUST|3LWND|46VULN|5RPLT|7aRCR|8DUR|9BBNT
37	16548 12133	   	261.66	DCR|DCR|2VULN|1RPLT	1MBVNT|2LHND|3DUST|46VULN|5RPLT|7DUR|8aRCR|9BBNT
38	16625 12133	   	261.66	DCR|DCR|2VULN|1RPLT	1MBVNT|2LHND|3RPLT|4DUST|56VULN|7DUR|8aRCR|9BBNT
39	18625 12133	   	261.66	DCR|DCR|2VULN|1RPLT	1MBVNT|2BEXP|3RPLT|4DUST|56VULN|7DUR|8aRCR|9BBNT
40	14514 23564	   	261.32	DCR|DCR|2VULN|1RPLT|1ZMB	1MBVNT|23DUST|4aVULN|5ZMB|68RCR|7RPLT|9DUR
