0	Index      	 *	Score 	Summary	Detail	
1	45311 12343	 * 	261.83	DCR|DCR|2VULN|1ASPD|1SELL	17VULN|2ASPD|3SELL|4DUST|5LIT|6aRCR|8BELT|9ERES
2	43121 14133	 * 	255.85	DCR|DCR|1VULN|1MLV|1RPLT	1VULN|2RPLT|3MDPS|4MLV|5DUR|6BEXP|7aRCR|8RMIN|9DUST
3	43121 14433	   	255.85	DCR|DCR|1VULN|1MLV|1RPLT	1VULN|2RPLT|3MDPS|4MLV|5DUR|6BEXP|7aRCR|8CGEN|9DUST
4	43124 13363	   	255.85	DCR|DCR|1VULN|1MLV|1RPLT	1VULN|2RPLT|3MDPS|4MLV|5DUST|6BEXP|7TLV|8aRCR|9DUR
5	43121 14333	   	255.75	DCR|DCR|1VULN|1MLV|1RPLT	1VULN|2RPLT|3MDPS|4MLV|5DUR|6BEXP|7aRCR|8AME|9DUST
6	44112 41227	 * 	248.43	DCR|DCR|2VULN	13VULN|25BEXP|4MBVNT|6AME|7LIT|8aRCR|9BELT
7	43221 14523	   	248.08	DCR|DCR|1VULN|1AART|1RPLT	1VULN|2RPLT|3CGEN|4FEWX|5LWND|6MDPS|7aRCR|8DUR|9AART
8	43231 14523	   	248.08	DCR|DCR|1VULN|1AART|1RPLT	1VULN|2RPLT|3CGEN|4BEXP|5LWND|6MDPS|7aRCR|8DUR|9AART
9	33153 24623	   	247.98	DCR|DCR|1VULN|1AART|1RPLT	1ERES|2LWND|3MDPS|4RPLT|5BEXP|6VULN|7aRCR|8DUR|9AART
10	11253 16161	 * 	247.43	DCR|3VULN|2DMG|1MLV	127LIT|3DUR|4RCVC|578VULN|67DMG|7BPWR|9RCR|aMLV
11	11423 16161	   	247.43	DCR|3VULN|2DMG|1MLV	127LIT|3DMSP|4DUR|578VULN|67DMG|7BPWR|9RCR|aMLV
12	43312 62362	   	243.04	DCR|2VULN|1DMG|1MLV|1ASPD|1CDMG|1RPLT	19VULN|2RPLT|3ASPD|4AME|5CDMG|6DUR|7MLV|8RCR|aDMG
13	44122 13312	 * 	241.54	DCR|4VULN|2DMG	1389VULN|257BEXP|49DUST|69DMG|9BPWR|aRCR
14	44333 26232	 * 	241.38	DCR|4VULN|1DMG|1MLV	149aVULN|2BEXP|3BLAICY|5DMG|6LWND|7MLV|8RCR
15	43231 14623	   	239.77	DCR|DCR|1VULN|1AART|1RPLT	1VULN|2RPLT|3CGEN|4BEXP|5LWND|6MDPS|7aRCR|8FEWX|9AART
