0	Index      	 *	Score 	Summary	Detail	
1	21351 14341	 * 	296.10	DCR|DCR|2DMG|2MLV|2ASPD|1CDMG|1SELL	19MLV|2LIT|3SELL|49ASPD|5AAC|67RCR|89DMG|9BPWR|aCDMG
2	21351 14324	 * 	284.30	DCR|DCR|2MLV|1VULN|1DMG|1ASPD|1SELL	19MLV|2LIT|3SELL|4ASPD|5AAC|67RCR|8DMG|aVULN
3	21351 14342	 * 	282.45	DCR|DCR|2DMG|2MLV|2ASPD|1SELL	19MLV|2LIT|3SELL|49ASPD|5AAC|67RCR|89DMG|9BPWR|aLSRICY
4	21351 14343	 * 	282.35	DCR|DCR|2DMG|2MLV|2ASPD|1ZMB|1SELL	19MLV|2LIT|3SELL|49ASPD|5AAC|67RCR|89DMG|9BPWR|aZMB
5	21242 23345	 * 	279.30	DCR|DCR|2VULN|1MLV	1MLV|2LIT|3BBNT|4DUR|5aVULN|69RCR|7MDPS|8RPLT
6	23522 23345	   	279.30	DCR|DCR|2VULN|1MLV	1MLV|2DUR|3TBNT|4LIT|5aVULN|69RCR|7MDPS|8RPLT
7	21142 36231	 * 	277.04	DCR|DCR|2VULN|2MLV	16MLV|24LIT|3CANTOX|56VULN|6BPWR|7aRCR|8LHND|9BELT
8	21122 36231	   	276.94	DCR|DCR|2VULN|2MLV	16MLV|2LIT|34CANTOX|56VULN|6BPWR|7aRCR|8LHND|9BELT
9	22426 36231	   	276.94	DCR|DCR|2VULN|2MLV	16MLV|23VULN|4LIT|56TSLFST|6BPWR|7aRCR|8LHND|9BELT
10	21242 22761	   	276.18	DCR|DCR|2VULN|1MLV|2DUR	1MLV|2LIT|3BBNT|49DUR|58VULN|6aRCR|7MBVNT
11	23522 22761	   	276.18	DCR|DCR|2VULN|1MLV|2DUR	1MLV|29DUR|3TBNT|4LIT|58VULN|6aRCR|7MBVNT
12	13314 61333	 * 	275.49	DCR|5VULN|2MLV|2DUR|3ZMB	13aZMB|25DUR|4569aVULN|5aBPWR|7aMLV|8RCR
13	61416 11233	   	274.83	DCR|DCR|2VULN|1MLV|1ASPD|1ZMB	1BEXP|2ZMB|39VULN|4BELT|5MLV|68RCR|7TBNT|aASPD
14	21242 23341	 * 	273.16	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2LIT|3BBNT|4DUR|5VULN|69RCR|7MDPS|8RPLT|aDMG
15	21642 23341	   	273.16	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2LIT|3TBNT|4DUR|5VULN|69RCR|7MDPS|8RPLT|aDMG
16	22626 23341	   	273.16	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2VULN|3TBNT|4DUR|5LIT|69RCR|7MDPS|8RPLT|aDMG
17	23522 23341	   	273.16	DCR|DCR|1VULN|1DMG|1MLV	1MLV|2DUR|3TBNT|4LIT|5VULN|69RCR|7MDPS|8RPLT|aDMG
18	52242 23341	   	273.16	DCR|DCR|1VULN|1DMG|1MLV	1LIT|2MLV|3BBNT|4DUR|5VULN|69RCR|7MDPS|8RPLT|aDMG
19	21253 23345	   	270.99	DCR|DCR|2VULN|1MLV	1MLV|2LIT|3BBNT|4aVULN|5LWND|69RCR|7MDPS|8RPLT
20	21332 14324	 * 	270.41	DCR|DCR|2MLV|1VULN|1DMG|2SELL	19MLV|24LIT|35SELL|67RCR|8DMG|aVULN
21	52332 14324	 * 	270.41	DCR|DCR|2MLV|1VULN|1DMG|2SELL	14LIT|29MLV|35SELL|67RCR|8DMG|aVULN
22	21332 14341	 * 	269.75	DCR|DCR|2DMG|2MLV|1CDMG|2SELL	19MLV|249LIT|35SELL|67RCR|89DMG|9BPWR|aCDMG
23	21332 14343	 * 	269.75	DCR|DCR|2DMG|2MLV|1ASPD|2SELL	19MLV|249LIT|35SELL|67RCR|89DMG|9BPWR|aASPD
24	52332 14341	 * 	269.75	DCR|DCR|2DMG|2MLV|1CDMG|2SELL	149LIT|29MLV|35SELL|67RCR|89DMG|9BPWR|aCDMG
25	52332 14343	 * 	269.75	DCR|DCR|2DMG|2MLV|1ASPD|2SELL	149LIT|29MLV|35SELL|67RCR|89DMG|9BPWR|aASPD
26	21242 23344	   	268.70	DCR|DCR|2MLV|1VULN	1aMLV|2LIT|3BBNT|4DUR|5VULN|69RCR|7MDPS|8RPLT
27	23522 23344	   	268.70	DCR|DCR|2MLV|1VULN	1aMLV|2DUR|3TBNT|4LIT|5VULN|69RCR|7MDPS|8RPLT
28	21351 14332	   	268.69	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1SELL	1MLV|2LIT|3SELL|4ASPD|5AAC|67RCR|8DMG|9LHND|aVULN
29	52351 14332	   	268.69	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1SELL	1LIT|2MLV|3SELL|4ASPD|5AAC|67RCR|8DMG|9LHND|aVULN
30	21351 14312	   	268.59	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1SELL	1MLV|2LIT|3SELL|4ASPD|5AAC|67RCR|8DMG|9LEGI|aVULN
31	52351 14312	   	268.59	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1SELL	1LIT|2MLV|3SELL|4ASPD|5AAC|67RCR|8DMG|9LEGI|aVULN
32	24342 22221	 * 	266.52	DCR|DCR|3MLV|1DMG|1ASPD	139MLV|2RCVC|3BPWR|4DMG|5ASPD|6LIT|7TBNT|8aRCR
