0	Index      	 *	Score 	Summary	Detail	
1	21651 32333	 * 	308.84	DCR|DCR|2VULN|2DMG|1MLV	16CGEN|2RPLT|38DMG|4MLV|56VULN|6BPWR|7aRCR|9FEWX
2	21651 32413	 * 	306.86	DCR|DCR|2VULN|2MLV|1DMG	16CGEN|2RPLT|3DMG|49MLV|56VULN|6BPWR|7aRCR|8FEWX
3	21651 32613	   	306.86	DCR|DCR|2VULN|2MLV|1DMG	16CGEN|2RPLT|3DMG|49MLV|56VULN|6BPWR|7aRCR|8LWND
4	36161 24354	 * 	297.05	DCR|DCR|2VULN|2ASPD|1MLV|1SELL	1MBVNT|2SELL|3aFEWX|4MLV|5aVULN|68RCR|7aASPD|9AART|aBPWR
5	16613 22163	 * 	295.76	DCR|DCR|3VULN|1DMG	1FEWX|268VULN|3RPLT|4TBNT|5RCVC|7aRCR|9DMG
6	53313 22163	   	295.66	DCR|DCR|3VULN|1DMG	1RPLT|268VULN|3DUST|4TBNT|5RCVC|7aRCR|9DMG
7	53313 62163	   	295.66	DCR|DCR|3VULN|1DMG	1RPLT|268VULN|36DUST|4TBNT|5RCVC|6BPWR|7aRCR|9DMG
8	35432 74623	   	293.14	DCR|DCR|3VULN|1ASPD|1CDMG	1MBVNT|24DUST|345VULN|4BPWR|6aRCR|7LWND|8CDMG|9ASPD
9	36661 24343	   	292.51	DCR|DCR|2MLV|1VULN|1DMG|1ASPD|1SELL	1MBVNT|2SELL|3DUR|4aMLV|5VULN|68RCR|7ASPD|9DMG
10	21651 32131	   	291.15	DCR|DCR|2VULN|1DMG|1MLV	16CGEN|2RPLT|3DMG|4MLV|56VULN|6BPWR|79RCR|8ERES|aAAC
11	21651 32133	   	291.15	DCR|DCR|2VULN|1DMG|1MLV	16CGEN|2RPLT|3DMG|4MLV|56VULN|6BPWR|79RCR|8ERES|aBEXP
12	21651 32135	   	291.15	DCR|DCR|2VULN|1DMG|1MLV	16CGEN|2RPLT|3DMG|4MLV|56VULN|6BPWR|79RCR|8ERES|aBBNT
13	21651 32132	   	291.05	DCR|DCR|2VULN|1DMG|1MLV	16CGEN|2RPLT|3DMG|4MLV|56VULN|6BPWR|79RCR|8ERES|aMSLTOX
14	21651 32134	   	291.05	DCR|DCR|2VULN|1DMG|1MLV	16CGEN|2RPLT|3DMG|4MLV|56VULN|6BPWR|79RCR|8aERES
15	21651 32136	   	291.05	DCR|DCR|2VULN|1DMG|1MLV	16CGEN|2RPLT|3DMG|4MLV|56VULN|6BPWR|79RCR|8ERES|aMDPS
16	15163 32163	   	290.95	DCR|DCR|2VULN|1DMG|1MLV	1FEWX|2MDPS|3RPLT|4MLV|58VULN|6ERES|7aRCR|9DMG
17	41651 32131	   	290.95	DCR|DCR|2VULN|1DMG|1MLV	16AME|2RPLT|3DMG|4MLV|56VULN|6BPWR|79RCR|8ERES|aAAC
18	41651 32133	   	290.95	DCR|DCR|2VULN|1DMG|1MLV	16AME|2RPLT|3DMG|4MLV|56VULN|6BPWR|79RCR|8ERES|aBEXP
19	41651 32132	   	290.85	DCR|DCR|2VULN|1DMG|1MLV	16AME|2RPLT|3DMG|4MLV|56VULN|6BPWR|79RCR|8ERES|aMSLTOX
20	53213 62123	   	290.65	DCR|DCR|3VULN|2DUR	1RPLT|268VULN|36DUR|4TBNT|5RCVC|6BPWR|7aRCR|9AAC
21	32328 34528	   	289.75	DCR|DCR|2VULN|2DMG	1MBVNT|2BBNT|39DMG|4DUR|5LIT|68RCR|7aVULN
22	36161 24381	   	288.38	DCR|DCR|2VULN|1MLV|1ASPD|1CDMG|1SELL	1MBVNT|2SELL|3FEWX|4MLV|5aVULN|68RCR|7ASPD|9CDMG
23	53613 22413	   	286.70	DCR|DCR|2VULN|2MLV	1RPLT|24VULN|3AAC|5CGEN|69MLV|7aRCR|8FEWX
24	53613 22613	   	286.70	DCR|DCR|2VULN|2MLV	1RPLT|24VULN|3AAC|5CGEN|69MLV|7aRCR|8LWND
25	34223 82333	   	286.43	DCR|DCR|2DMG|1VULN|1MLV|1CDMG	1MBVNT|2MLV|3VULN|4CGEN|58DMG|6CDMG|7aRCR|9FEWX
26	34738 82333	   	286.43	DCR|DCR|2DMG|1VULN|1MLV|1CDMG	1MBVNT|2MLV|38DMG|4CGEN|5VULN|6CDMG|7aRCR|9FEWX
