0	Index      	 *	Score 	Summary	Detail	
1	13231 32465	 * 	309.99	橙橙1易伤1等级1伤害1技能1攻速	1时间2等级3技能4易伤5风暴减费6攻速7雷电8a核9伤害
2	28833 42631	 * 	308.48	橙橙3易伤1伤害1暴击	1加一2随机技能389易伤4伤害5暴雪减费6暴击7a核
3	28834 42631	   	308.48	橙橙3易伤1伤害1暴击	1加一2随机技能389易伤4伤害5火球减费6暴击7a核
4	23123 11538	 * 	308.30	橙橙1易伤1等级1矿等1伤害1暴击	1加一2暴击3雷电减费4雷电5矿等6易伤7等级8a核9伤害
5	23726 32631	   	304.76	橙橙3易伤1攻速1暴击	1加一2暴击3随机技能4立即金币589易伤6攻速7a核
6	23751 32631	   	304.76	橙橙3易伤1攻速1暴击	1加一2暴击3随机技能489易伤5立即金币6攻速7a核
7	23851 32631	   	304.66	橙橙3易伤1攻速1暴击	1加一2暴击389易伤4烈焰减费5随机技能6攻速7a核
8	23861 32631	   	304.66	橙橙3易伤1攻速1暴击	1加一2暴击389易伤4毒气减费5随机技能6攻速7a核
9	28833 42231	 * 	302.60	橙橙2易伤2伤害1暴击	1加一2随机技能39易伤48伤害5暴雪减费6暴击7a核
10	28834 42231	   	302.60	橙橙2易伤2伤害1暴击	1加一2随机技能39易伤48伤害5火球减费6暴击7a核
11	21523 34771	 * 	294.85	橙橙2易伤2矿等	1加一2毒液对冰36易伤46矿等5平台6序列升级7双倍秒伤8敌人爆炸9a核
12	28833 42611	   	291.63	橙橙2易伤1伤害2随机技能1暴击	1加一29随机技能38易伤4伤害5暴雪减费6暴击7a核
13	28834 42611	   	291.63	橙橙2易伤1伤害2随机技能1暴击	1加一29随机技能38易伤4伤害5火球减费6暴击7a核
14	28833 62231	   	288.71	橙橙2易伤2伤害1卖塔	1加一2随机技能39易伤48伤害5暴雪减费6卖塔7a核
15	28834 62231	   	288.71	橙橙2易伤2伤害1卖塔	1加一2随机技能39易伤48伤害5火球减费6卖塔7a核
16	23123 11578	   	288.23	橙橙1易伤1等级1矿等1暴击	1加一2暴击3雷电减费4雷电5矿等6易伤7等级8a核9策反
17	23726 32611	   	287.91	橙橙2易伤1攻速2随机技能1暴击	1加一2暴击39随机技能4立即金币58易伤6攻速7a核
18	23751 32611	   	287.91	橙橙2易伤1攻速2随机技能1暴击	1加一2暴击39随机技能48易伤5立即金币6攻速7a核
19	23851 32611	   	287.81	橙橙2易伤1攻速2随机技能1暴击	1加一2暴击38易伤4烈焰减费59随机技能6攻速7a核
20	23861 32611	   	287.81	橙橙2易伤1攻速2随机技能1暴击	1加一2暴击38易伤4毒气减费59随机技能6攻速7a核
21	13451 32134	 * 	285.73	橙3易伤2矿等1等级2时间	1a时间2等级38a易伤4基地爆炸5全技能6低血量敌人7核9a矿等a序列升级
22	13445 31223	 * 	285.32	橙3易伤2等级1矿等1攻速	1时间24等级349易伤4序列升级5掉矿6攻速7全技能8矿等a核
23	28833 42621	   	284.92	橙橙2易伤1伤害1暴击	1加一2随机技能38易伤4伤害5暴雪减费6暴击7a核9风暴减费
24	28833 42641	   	284.92	橙橙2易伤1伤害1暴击	1加一2随机技能38易伤4伤害5暴雪减费6暴击7a核9烈焰减费
25	28834 42621	   	284.92	橙橙2易伤1伤害1暴击	1加一2随机技能38易伤4伤害5火球减费6暴击7a核9风暴减费
26	28834 42641	   	284.92	橙橙2易伤1伤害1暴击	1加一2随机技能38易伤4伤害5火球减费6暴击7a核9烈焰减费
27	23128 11538	   	281.99	橙橙1易伤1等级1伤害1暴击	1加一2暴击3雷电减费4雷电5掉矿6易伤7等级8a核9伤害
28	23726 32621	   	281.20	橙橙2易伤1攻速1暴击	1加一2暴击3随机技能4立即金币58易伤6攻速7a核9风暴减费
29	23726 32641	   	281.20	橙橙2易伤1攻速1暴击	1加一2暴击3随机技能4立即金币58易伤6攻速7a核9烈焰减费
30	23751 32621	   	281.20	橙橙2易伤1攻速1暴击	1加一2暴击3随机技能48易伤5立即金币6攻速7a核9风暴减费
31	23751 32641	   	281.20	橙橙2易伤1攻速1暴击	1加一2暴击3随机技能48易伤5立即金币6攻速7a核9烈焰减费
32	28833 42211	   	281.14	橙橙2伤害1易伤2随机技能1暴击	1加一29随机技能3易伤48伤害5暴雪减费6暴击7a核
33	28834 42211	   	281.14	橙橙2伤害1易伤2随机技能1暴击	1加一29随机技能3易伤48伤害5火球减费6暴击7a核
34	23851 32621	   	281.10	橙橙2易伤1攻速1暴击	1加一2暴击38易伤4烈焰减费5随机技能6攻速7a核9风暴减费
35	23851 32641	   	281.10	橙橙2易伤1攻速1暴击	1加一2暴击38易伤49烈焰减费5随机技能6攻速7a核
36	23861 32621	   	281.10	橙橙2易伤1攻速1暴击	1加一2暴击38易伤4毒气减费5随机技能6攻速7a核9风暴减费
37	23861 32641	   	281.10	橙橙2易伤1攻速1暴击	1加一2暴击38易伤4毒气减费5随机技能6攻速7a核9烈焰减费
