0	Index      	 *	Score 	Summary	Detail	
1	53622 33224	 * 	312.97	橙5易伤2矿等2伤害	1367a易伤2平台47伤害57矿等7序列升级8随机技能9核
2	53622 33412	   	304.53	橙4易伤2矿等2伤害1攻速	1367易伤2平台47伤害57矿等7序列升级8掉矿9核a攻速
3	53622 33222	   	303.62	橙4易伤2矿等2伤害	1367易伤2平台47伤害57矿等7序列升级8随机技能9核a时间
4	22533 46611	 * 	296.81	橙3易伤2矿等2等级1伤害	1加一2a等级3金币生成46a易伤5伤害7技能点8a矿等9核a序列升级
5	53622 33221	   	295.32	橙4易伤2矿等2伤害	1367易伤2平台47伤害57矿等7序列升级8随机技能9核a赏金塔
6	53622 33223	   	295.32	橙4易伤2矿等2伤害	1367易伤2平台47伤害57矿等7序列升级8随机技能9核a低血量敌人
7	53622 33225	   	295.32	橙4易伤2矿等2伤害	1367易伤2平台47伤害57矿等7序列升级8随机技能9核a最后敌人
8	53622 33226	   	295.22	橙4易伤2矿等2伤害	1367易伤2平台47伤害57矿等7序列升级8随机技能9核a掉矿
9	22251 11161	 * 	292.89	紫橙2矿等2等级1易伤1技能	1加一28等级39核4金币生成58掉矿6技能78矿等8序列升级a易伤
10	22243 86164	 * 	291.44	紫橙2易伤2等级2伤害	1加一27等级39核4立即金币5赏金邻近67伤害7序列升级8a易伤
11	54433 23232	 * 	291.26	橙橙2易伤1矿等1暴击	12易伤3毒气减费4随机技能5赏金塔6a核7技能点8暴击9矿等
12	22532 54364	 * 	290.63	橙橙2易伤2等级	1加一28等级3金币生成47易伤5火球减费6a核9雷电
13	22347 54364	   	290.53	橙橙2易伤2等级	1加一28等级3火球减费47易伤5掉矿6a核9雷电
14	53622 33411	   	288.28	橙4易伤2矿等2伤害	1367易伤2a平台47伤害57矿等7序列升级8掉矿9核
15	53622 33413	   	288.28	橙4易伤2矿等2伤害	1367易伤2平台47伤害57矿等7序列升级8掉矿9核a赏金邻近
16	22127 55434	   	284.69	橙橙1易伤1等级1伤害1攻速	1加一2等级3攻速4伤害5易伤6平台7a核8雷电9掉矿
17	22427 55434	   	284.69	橙橙1易伤1等级1伤害1攻速	1加一2等级3伤害4攻速5易伤6平台7a核8雷电9掉矿
