0	Index      	 *	Score 	Summary	Detail	
1	23661 52133	 * 	249.93	橙橙1易伤1矿等1暴击1雷电	1雷电减费2雷电3暴击4易伤5矿等6时间7双倍秒伤8敌人爆炸9a核
2	23212 62123	 * 	247.66	橙橙1易伤3雷电1矿等1卖塔	1雷电减费234雷电3序列升级5易伤6a核7卖塔8赏金塔9矿等
3	23512 62123	 * 	247.66	橙橙1易伤3雷电1矿等1卖塔	1雷电减费234雷电5易伤6a核7卖塔8赏金塔9矿等
4	53212 62133	 * 	247.66	橙橙1易伤3雷电1矿等1卖塔	1挖青234雷电3序列升级5易伤6a核7卖塔8赏金塔9矿等
5	53512 62133	 * 	247.66	橙橙1易伤3雷电1矿等1卖塔	1挖青234雷电5易伤6a核7卖塔8赏金塔9矿等
6	23421 26263	 * 	237.60	橙橙1易伤2雷电1暴击	1雷电减费29雷电3易伤4立即金币5暴击6挖尘7金币生成8a核
7	23421 53263	   	237.60	橙橙1易伤2雷电1暴击	1雷电减费29雷电3易伤4立即金币5暴击6随机矿7挖尘8a核
8	11421 26263	   	237.50	橙橙1易伤2雷电1暴击	1毒气减费2易伤3雷电减费49雷电5暴击6挖尘7金币生成8a核
9	11421 53263	   	237.50	橙橙1易伤2雷电1暴击	1毒气减费2易伤3雷电减费49雷电5暴击6随机矿7挖尘8a核
10	11326 24143	 * 	236.86	橙3易伤1等级1伤害1暴击1雷电	1毒气减费246易伤3暴击5掉矿7伤害8核9雷电a等级
11	11325 62522	 * 	235.14	橙3易伤1喷火对甲1矿等1暴击1攻速	1毒气减费247易伤3暴击5低血量敌人6喷火对甲8攻速9核a矿等
12	11322 43433	 * 	234.42	橙4易伤1伤害1矿等1暴击	17毒气减费2456易伤3暴击8伤害9矿等a核
13	23613 52133	   	234.33	橙橙1易伤1暴击1雷电	1雷电减费2雷电3暴击4金币生成5易伤6时间7双倍秒伤8敌人爆炸9a核
14	23613 52533	   	234.33	橙橙1易伤1暴击1雷电	1雷电减费2雷电3暴击4金币生成5易伤6时间7双倍秒伤8基地爆炸9a核
15	23613 52613	   	234.33	橙橙1易伤1暴击1雷电	1雷电减费2雷电3暴击4金币生成5易伤6时间7双倍秒伤8a核9敌人爆炸
