0	Index      	 *	Score 	Summary	Detail	
1	11313 43166	 * 	282.45	橙橙3伤害1易伤1等级	124伤害37平台4序列升级5等级6雷电89核a易伤
2	11313 36113	 * 	276.39	橙2易伤3伤害2等级2时间1导弹对毒	124伤害3平台49序列升级59等级6核79易伤89时间a导弹对毒
3	11313 36114	 * 	271.59	橙2易伤3伤害3时间2等级	124伤害3平台49序列升级59等级6核79易伤89a时间
4	11313 43165	   	264.00	橙橙3伤害1等级1时间	124伤害37平台4序列升级5等级6雷电89核a时间
5	11313 46161	 * 	260.79	橙橙3伤害2等级	124伤害3平台47序列升级57等级67雷电89核a基地爆炸
6	11313 46162	   	260.79	橙橙3伤害2等级	124伤害3平台47序列升级57等级67雷电89核a策反
7	11313 46163	   	260.69	橙橙3伤害2等级	124伤害3平台47序列升级57等级67雷电89核a技能点
8	11313 36112	   	260.14	橙2易伤3伤害2等级2时间	124伤害3平台49序列升级59等级6核79易伤89时间a随机矿
9	11313 36115	   	260.14	橙2易伤3伤害2等级2时间	124伤害3平台49序列升级59等级6核79易伤89时间a策反
10	11313 36111	   	260.04	橙2易伤3伤害2等级2时间	124伤害3平台49序列升级59等级6核79易伤89时间a赏金塔
11	11313 36116	   	260.04	橙2易伤3伤害2等级2时间1挖怪	124伤害3平台49序列升级59等级6核79易伤89时间a挖怪
12	11313 35513	   	257.19	橙橙3伤害1等级	124伤害3平台4序列升级5等级69核7攻速8掉矿a低血量敌人
13	11313 35516	   	257.19	橙橙3伤害1等级	124伤害3平台4序列升级5等级69核7攻速8掉矿a随机矿
14	11313 35511	   	257.09	橙橙3伤害1等级	124伤害3平台4序列升级5等级69核7攻速8掉矿a挖青
15	11313 35512	   	257.09	橙橙3伤害1等级	124伤害3平台4序列升级5等级69核7攻速8掉矿a散射对绿
16	11313 35514	   	257.09	橙橙3伤害1等级	124伤害3平台4序列升级5等级69核7攻速8掉矿a火球减费
17	11313 35515	   	257.09	橙橙3伤害1等级	124伤害3平台4序列升级5等级69核7攻速8掉矿a雷电减费
18	62122 64123	   	254.04	橙橙2伤害1易伤1时间	1双倍秒伤2雷电3时间4a伤害5赏金塔6易伤78核9基地爆炸
