0	Index      	 *	Score 	Summary	Detail	
1	31121 33633	 * 	275.21	橙橙2易伤1等级1伤害	14易伤2毒气减费3随机技能5伤害6赏金塔79核8头目a等级
2	32121 33633	   	275.21	橙橙2易伤1等级1伤害	14易伤2烈焰减费3随机技能5伤害6赏金塔79核8头目a等级
3	31121 33631	   	262.65	橙橙2易伤1伤害1全技能	14易伤2毒气减费3随机技能5伤害6赏金塔79核8头目a全技能
4	32121 33631	   	262.65	橙橙2易伤1伤害1全技能	14易伤2烈焰减费3随机技能5伤害6赏金塔79核8头目a全技能
5	31623 43511	   	258.39	橙橙2易伤1矿等1全技能	17易伤2毒气减费37低血量敌人4矿等5挖尘67敌人爆炸7序列升级8a核9全技能
6	31633 43511	   	258.39	橙橙2易伤1矿等1全技能	17易伤2毒气减费37低血量敌人4挖尘5矿等67敌人爆炸7序列升级8a核9全技能
7	32623 43511	   	258.39	橙橙2易伤1矿等1全技能	17易伤2烈焰减费37低血量敌人4矿等5挖尘67敌人爆炸7序列升级8a核9全技能
8	32633 43511	   	258.39	橙橙2易伤1矿等1全技能	17易伤2烈焰减费37低血量敌人4挖尘5矿等67敌人爆炸7序列升级8a核9全技能
9	31626 13511	   	258.29	橙橙2易伤1矿等1全技能	17易伤2毒气减费37低血量敌人4矿等5基地爆炸67挖尘7序列升级8a核9全技能
10	32626 13511	   	258.29	橙橙2易伤1矿等1全技能	17易伤2烈焰减费37低血量敌人4矿等5基地爆炸67挖尘7序列升级8a核9全技能
11	31123 33633	   	255.14	橙橙2易伤1等级1技能	14易伤2毒气减费3随机技能5技能6赏金塔79核8头目a等级
12	32123 33633	   	255.14	橙橙2易伤1等级1技能	14易伤2烈焰减费3随机技能5技能6赏金塔79核8头目a等级
13	34523 12151	 * 	253.89	橙橙2伤害1易伤2时间1卖塔	1易伤2基地爆炸38时间4随机技能5卖塔6a核79伤害
14	16662 11112	   	253.59	橙橙2易伤1暴击1雷电	1双倍秒伤23易伤4暴击57随机技能6a核8掉矿9雷电
15	16662 12212	   	253.59	橙橙2易伤1暴击1雷电	18双倍秒伤23易伤4暴击5随机技能6a核7随机矿9雷电
16	16662 13112	   	253.49	橙橙2易伤1暴击1雷电	1双倍秒伤23易伤4暴击5随机技能6a核7毒气减费8掉矿9雷电
17	11513 33232	   	251.28	橙橙1易伤1等级1矿等	1双倍秒伤2赏金邻近3易伤4矿等5寒冰对黄69核7时间8挖尘a等级
18	31221 14225	 * 	250.53	橙5易伤2喷火对甲2技能	15678易伤27毒气减费39技能47喷火对甲7序列升级a核
19	32221 14225	   	250.53	橙5易伤2喷火对甲2技能	15678易伤27烈焰减费39技能47喷火对甲7序列升级a核
20	34462 12333	   	250.30	橙橙1易伤1伤害1暴击1攻速	1易伤2基地爆炸3最后敌人4暴击5随机技能69核7伤害8额外掉落a攻速
21	25621 13511	   	249.43	橙橙2易伤1全技能	1最后敌人2掉矿35易伤46挖尘7时间8a核9全技能
22	25621 33511	   	249.43	橙橙2易伤1全技能	1最后敌人26掉矿35易伤4挖尘7时间8a核9全技能
23	31412 43423	 * 	249.40	橙2易伤2伤害2矿等1等级1全技能	1a易伤2毒气减费3a矿等4赏金塔5最后敌人6全技能7等级8a伤害9核a序列升级
24	31413 13423	   	249.40	橙2易伤2伤害2矿等1等级1全技能	1a易伤2毒气减费3a矿等4赏金塔5全技能6低血量敌人7等级8a伤害9核a序列升级
25	31453 13423	   	249.40	橙2易伤2伤害2矿等1等级1全技能	1a易伤2毒气减费3a矿等4全技能5赏金塔6低血量敌人7等级8a伤害9核a序列升级
