0	Index      	 *	Score 	Summary	Detail	
1	33314 43243	 * 	281.41	橙橙2伤害1易伤1暴击1平台	1金币生成2易伤3挖尘4敌人爆炸59伤害6a核7平台8暴击
2	43522 26313	 * 	280.24	橙橙2易伤1暴击1平台	17易伤2暴击3时间4随机矿5最后敌人6a核8平台9技能
3	13223 26313	   	271.94	橙橙2易伤1暴击1平台	1最后敌人2暴击3等级4低血量敌人57易伤6a核8平台9技能
4	13243 26313	   	271.94	橙橙2易伤1暴击1平台	1最后敌人2暴击3等级4敌人爆炸57易伤6a核8平台9技能
5	13341 26313	   	271.94	橙橙2易伤1暴击1平台	1最后敌人2暴击3金币生成4敌人爆炸57易伤6a核8平台9技能
6	23262 26313	   	271.94	橙橙2易伤1暴击1平台	1敌人爆炸2暴击3等级47易伤5最后敌人6a核8平台9技能
7	25622 26313	   	271.94	橙橙2易伤1暴击1平台	1敌人爆炸27易伤3暴击4随机矿5最后敌人6a核8平台9技能
8	41622 26313	   	271.94	橙橙2易伤1暴击1平台	17易伤2敌人爆炸3暴击4随机矿5最后敌人6a核8平台9技能
9	43222 26313	   	271.94	橙橙2易伤1暴击1平台	17易伤2暴击3等级4低血量敌人5最后敌人6a核8平台9技能
10	43242 26313	   	271.94	橙橙2易伤1暴击1平台	17易伤2暴击3等级4敌人爆炸5最后敌人6a核8平台9技能
11	13121 26313	   	271.84	橙橙2易伤1暴击1平台	1最后敌人2暴击3掉矿4低血量敌人57易伤6a核8平台9技能
12	13141 26313	   	271.84	橙橙2易伤1暴击1平台	1最后敌人2暴击3掉矿4敌人爆炸57易伤6a核8平台9技能
13	13321 26313	   	271.84	橙橙2易伤1暴击1平台	1最后敌人2暴击3金币生成4挖尘57易伤6a核8平台9技能
14	33314 45413	 * 	268.49	橙橙2易伤1伤害	1金币生成28易伤3挖尘4敌人爆炸5伤害6a核7加一9技能
15	55224 24334	   	268.49	橙橙2易伤1伤害	1赏金邻近2伤害38易伤4雷电5双倍秒伤6加一7a核9赏金塔
16	55213 22233	 * 	266.52	橙2易伤3伤害2暴击1矿等	1赏金邻近248伤害38易伤5矿等6时间78暴击8序列升级9核a核弹
17	33133 45453	   	266.31	橙橙2伤害1易伤	1金币生成2易伤3挖青49伤害5时间6a核7加一8技能
18	23263 23366	   	259.84	橙橙1易伤1矿等1暴击	1敌人爆炸2暴击3等级4易伤5时间6a核7矿等8掉矿9狙击对黄
19	55213 22232	   	259.58	橙2易伤3伤害2暴击1矿等	1赏金邻近248伤害38易伤5矿等6时间78暴击8序列升级9核a最后敌人
20	55213 22235	   	259.58	橙2易伤3伤害2暴击1矿等	1赏金邻近248伤害38易伤5矿等6时间78暴击8序列升级9核a额外掉落
21	55213 22236	   	259.58	橙2易伤3伤害2暴击1矿等	1赏金邻近248伤害38易伤5矿等6时间78暴击8序列升级9核a基地爆炸
22	55213 22231	   	259.48	橙2易伤3伤害2暴击1矿等	1赏金邻近248伤害38易伤5矿等6时间78暴击8序列升级9核a技能点
23	55213 22234	   	259.48	橙2易伤3伤害2暴击1矿等	1赏金邻近248伤害38易伤5矿等6时间78暴击8序列升级9核a掉矿
24	43533 36323	   	258.37	橙橙1易伤2时间1暴击1平台1策反	1易伤2暴击35时间4策反6掉矿7a核8平台9敌人爆炸
25	43533 36313	   	258.27	橙橙1易伤2时间1暴击1平台1策反	1易伤2暴击35时间4策反6掉矿7a核8平台9挖青
26	33535 52131	   	258.19	橙橙2易伤1全技能	1金币生成25易伤3随机矿4掉矿6全技能7寒冰对甲8a核9赏金邻近
27	33163 52131	   	258.09	橙橙2易伤1全技能	1金币生成24易伤3挖青5立即金币6全技能7加农对壮8a核9赏金邻近
28	31335 52131	   	257.99	橙橙2易伤1全技能	1金币生成2技能点35易伤4掉矿6全技能7毒液对黄8a核9赏金邻近
29	33235 52131	   	257.99	橙橙2易伤1全技能	1金币生成25易伤3技能点4掉矿6全技能7毒液对黄8a核9赏金邻近
30	33133 45413	   	255.27	橙橙1易伤1伤害2时间	1金币生成2易伤3挖青4伤害59时间6a核7加一8技能
31	33133 45513	   	255.27	橙橙1易伤1伤害2时间	1金币生成2易伤3挖青4伤害58时间6a核7加一9技能
32	33334 45413	   	255.27	橙橙1易伤1伤害2时间	1金币生成2易伤3挖尘4伤害59时间6a核7加一8技能
33	33133 45813	   	255.02	橙橙1易伤1伤害2时间1策反	1金币生成2易伤3挖青4伤害59时间6a核7加一8策反
34	31522 36332	   	253.42	橙橙1易伤1暴击1全技能1平台	1金币生成2技能点3平台4随机矿5最后敌人6全技能79核8易伤a暴击
