0	Index      	 *	Score 	Summary	Detail	
1	23631 11243	 * 	291.03	橙橙3易伤1等级1暴击	1金币生成2等级346易伤5暴击7双倍秒伤8随机技能9a核
2	23441 11243	 * 	279.23	橙橙2易伤2等级1暴击	1金币生成23等级46易伤5暴击7双倍秒伤8随机技能9a核
3	23632 41243	   	277.14	橙橙3易伤1等级1卖塔	1金币生成2等级345易伤6卖塔7双倍秒伤8随机技能9a核
4	23635 11243	   	277.14	橙橙3易伤1等级1卖塔	1金币生成2等级346易伤5卖塔7双倍秒伤8随机技能9a核
5	33226 42531	 * 	276.40	橙橙1易伤1等级1伤害1暴击1攻速	1攻速2等级3易伤4双倍矿5基地爆炸69核7伤害8暴击a激光对绿
6	33226 42532	   	276.40	橙橙1易伤1等级1伤害1暴击1攻速	1攻速2等级3易伤4双倍矿5基地爆炸69核7伤害8暴击a雷电减费
7	33226 42533	   	276.40	橙橙1易伤1等级1伤害1暴击1攻速	1攻速2等级3易伤4双倍矿5基地爆炸69核7伤害8暴击a掉矿
8	14123 41531	   	273.51	橙橙1易伤1等级1伤害1全技能1雷电1卖塔	1雷电2等级3立即金币4卖塔5寒冰对黄6易伤78核9全技能a伤害
9	33321 46333	   	271.95	橙橙1易伤1等级1矿等1暴击1攻速	1攻速2等级3挖尘4双倍矿5暴击6矿等7平台8易伤9a核
10	23241 11243	   	268.89	橙橙2易伤1等级1暴击	1金币生成2等级3双倍矿46易伤5暴击7双倍秒伤8随机技能9a核
11	23611 11243	   	268.89	橙橙2易伤1等级1暴击	14金币生成2等级36易伤5暴击7双倍秒伤8随机技能9a核
12	34222 22433	   	263.38	橙橙2易伤1暴击1攻速	1攻速2策反35易伤4双倍矿6a核7暴击8时间9敌人爆炸
13	34222 22543	   	263.28	橙橙2易伤1暴击1攻速	1攻速2策反35易伤4双倍矿6a核7暴击8挖青9时间
14	31214 43623	   	262.55	橙橙1易伤1等级1伤害1攻速	1攻速2技能点3易伤4金币生成5伤害6a核7掉矿8加一9等级
15	22136 25312	   	262.18	橙橙2易伤1等级	1金币生成2掉矿3时间48易伤5随机技能6等级79核a最后敌人
16	23134 65312	   	262.18	橙橙2易伤1等级	1金币生成2等级3时间48易伤5技能点6随机技能79核a最后敌人
17	23136 55312	   	262.18	橙橙2易伤1等级	1金币生成2等级3时间48易伤5随机技能6掉矿79核a最后敌人
18	22136 25311	   	262.08	橙橙2易伤1等级	1金币生成2掉矿3时间48易伤5随机技能6等级79核a赏金塔
19	22136 25313	   	262.08	橙橙2易伤1等级	1金币生成2掉矿3时间48易伤5随机技能6等级79核a赏金邻近
20	22136 25314	   	262.08	橙橙2易伤1等级	1金币生成2掉矿3时间48易伤5随机技能6等级79核a雷电减费
21	22136 25315	   	262.08	橙橙2易伤1等级	1金币生成2掉矿3时间48易伤5随机技能6等级79核a烈焰减费
22	22136 25316	   	262.08	橙橙2易伤1等级1挖怪	1金币生成2掉矿3时间48易伤5随机技能6等级79核a挖怪
23	23134 65311	   	262.08	橙橙2易伤1等级	1金币生成2等级3时间48易伤5技能点6随机技能79核a赏金塔
24	23134 65313	   	262.08	橙橙2易伤1等级	1金币生成2等级3时间48易伤5技能点6随机技能79核a赏金邻近
25	23136 55311	   	262.08	橙橙2易伤1等级	1金币生成2等级3时间48易伤5随机技能6掉矿79核a赏金塔
26	23136 55313	   	262.08	橙橙2易伤1等级	1金币生成2等级3时间48易伤5随机技能6掉矿79核a赏金邻近
