0	Index      	 *	Score 	Summary	Detail	
1	51123 12355	 * 	281.09	橙橙2易伤1全技能1暴击1攻速1雷电	1全技能2平台3攻速4双倍矿5暴击69易伤7雷电8a核
2	13153 21216	 * 	277.69	橙橙2易伤1等级1矿等	1a易伤2赏金塔3加农对毒4等级5时间67核8策反9矿等
3	13153 21316	   	277.69	橙橙2易伤1等级1矿等	1a易伤2赏金塔3加农对毒4等级5时间67核8金币生成9矿等
4	13553 21216	   	277.69	橙橙2易伤1等级1矿等	1a易伤2赏金塔3狙击对黄4等级5时间67核8策反9矿等
5	13553 21316	   	277.69	橙橙2易伤1等级1矿等	1a易伤2赏金塔3狙击对黄4等级5时间67核8金币生成9矿等
6	13153 21212	 * 	271.55	橙橙1易伤1等级1伤害1矿等	1易伤2赏金塔3加农对毒4等级5时间67核8策反9矿等a伤害
7	13153 21312	   	271.55	橙橙1易伤1等级1伤害1矿等	1易伤2赏金塔3加农对毒4等级5时间67核8金币生成9矿等a伤害
8	13153 21412	   	271.55	橙橙1易伤1等级1伤害1矿等	1易伤2赏金塔3加农对毒4等级5时间67核8随机矿9矿等a伤害
9	13553 21212	   	271.55	橙橙1易伤1等级1伤害1矿等	1易伤2赏金塔3狙击对黄4等级5时间67核8策反9矿等a伤害
10	13553 21312	   	271.55	橙橙1易伤1等级1伤害1矿等	1易伤2赏金塔3狙击对黄4等级5时间67核8金币生成9矿等a伤害
11	13553 21412	   	271.55	橙橙1易伤1等级1伤害1矿等	1易伤2赏金塔3狙击对黄4等级5时间67核8随机矿9矿等a伤害
12	13116 21216	   	270.75	橙橙2易伤1等级1矿等	1a易伤2赏金塔3加农对毒4基地爆炸5等级67核8策反9矿等
13	13116 21316	   	270.75	橙橙2易伤1等级1矿等	1a易伤2赏金塔3加农对毒4基地爆炸5等级67核8金币生成9矿等
14	13516 21216	   	270.75	橙橙2易伤1等级1矿等	1a易伤2赏金塔3狙击对黄4基地爆炸5等级67核8策反9矿等
15	13516 21316	   	270.75	橙橙2易伤1等级1矿等	1a易伤2赏金塔3狙击对黄4基地爆炸5等级67核8金币生成9矿等
16	14441 32122	 * 	268.95	橙3易伤2矿等1等级2雷电1全技能1攻速	169易伤29矿等3低血量敌人4全技能5等级79雷电8核9序列升级a攻速
17	16226 25331	 * 	265.98	橙3易伤2喷火对甲2伤害1暴击	128易伤3随机矿4暴击58喷火对甲68伤害7头目8序列升级9立即金币a核
18	13153 21214	   	265.13	橙橙1易伤1等级1矿等1技能	1易伤2赏金塔3加农对毒4等级5时间67核8策反9矿等a技能
19	13153 21314	   	265.13	橙橙1易伤1等级1矿等1技能	1易伤2赏金塔3加农对毒4等级5时间67核8金币生成9矿等a技能
20	13153 21414	   	265.13	橙橙1易伤1等级1矿等1技能	1易伤2赏金塔3加农对毒4等级5时间67核8随机矿9矿等a技能
21	13553 21214	   	265.13	橙橙1易伤1等级1矿等1技能	1易伤2赏金塔3狙击对黄4等级5时间67核8策反9矿等a技能
22	13553 21314	   	265.13	橙橙1易伤1等级1矿等1技能	1易伤2赏金塔3狙击对黄4等级5时间67核8金币生成9矿等a技能
23	13116 21212	   	264.61	橙橙1易伤1等级1伤害1矿等	1易伤2赏金塔3加农对毒4基地爆炸5等级67核8策反9矿等a伤害
24	13116 21312	   	264.61	橙橙1易伤1等级1伤害1矿等	1易伤2赏金塔3加农对毒4基地爆炸5等级67核8金币生成9矿等a伤害
25	13116 21412	   	264.61	橙橙1易伤1等级1伤害1矿等	1易伤2赏金塔3加农对毒4基地爆炸5等级67核8随机矿9矿等a伤害
26	13516 21212	   	264.61	橙橙1易伤1等级1伤害1矿等	1易伤2赏金塔3狙击对黄4基地爆炸5等级67核8策反9矿等a伤害
27	13516 21312	   	264.61	橙橙1易伤1等级1伤害1矿等	1易伤2赏金塔3狙击对黄4基地爆炸5等级67核8金币生成9矿等a伤害
28	13516 21412	   	264.61	橙橙1易伤1等级1伤害1矿等	1易伤2赏金塔3狙击对黄4基地爆炸5等级67核8随机矿9矿等a伤害
29	12144 24132	 * 	263.90	橙橙1易伤1等级2雷电1攻速	1易伤2基地爆炸36雷电4赏金邻近5攻速7头目89核a等级
30	15126 24132	   	263.90	橙橙1易伤1等级2雷电1攻速	1易伤2敌人爆炸35雷电4攻速6赏金邻近7头目89核a等级
31	13116 21132	   	262.65	橙橙1易伤1等级1伤害1暴击	1易伤2赏金塔3加农对毒4基地爆炸5等级67核8双倍矿9暴击a伤害
32	13516 21132	   	262.65	橙橙1易伤1等级1伤害1暴击	1易伤2赏金塔3狙击对黄4基地爆炸5等级67核8双倍矿9暴击a伤害
33	13116 21632	   	262.55	橙橙1易伤1等级1伤害1暴击	1易伤2赏金塔3加农对毒4基地爆炸5等级67核8暴雪减费9暴击a伤害
34	13516 21632	   	262.55	橙橙1易伤1等级1伤害1暴击	1易伤2赏金塔3狙击对黄4基地爆炸5等级67核8暴雪减费9暴击a伤害
35	13313 25241	 * 	262.18	橙橙2易伤1喷火对甲	1a易伤2赏金塔3策反4基地爆炸5喷火对甲68核7随机矿9时间
36	13343 25241	   	262.18	橙橙2易伤1喷火对甲	1a易伤2赏金塔3策反4最后敌人5喷火对甲68核7随机矿9时间
37	13116 21241	   	262.08	橙橙2易伤1等级	1a易伤2赏金塔3加农对毒4基地爆炸5等级67核8策反9时间
38	13116 21441	   	262.08	橙橙2易伤1等级	1a易伤2赏金塔3加农对毒4基地爆炸5等级67核8随机矿9时间
39	13116 21543	   	262.08	橙橙2易伤1等级	1a易伤2赏金塔3加农对毒4基地爆炸5等级67核8随机技能9时间
40	13516 21241	   	262.08	橙橙2易伤1等级	1a易伤2赏金塔3狙击对黄4基地爆炸5等级67核8策反9时间
41	13153 21126	   	262.08	橙橙2易伤1等级	1a易伤2赏金塔3加农对毒4等级5时间67核8双倍矿9基地爆炸
42	13153 21166	   	262.08	橙橙2易伤1等级	1a易伤2赏金塔3加农对毒4等级5时间67核8双倍矿9低血量敌人
43	13153 21221	   	262.08	橙橙2易伤1等级	1a易伤2赏金塔3加农对毒4等级5时间67核8策反9最后敌人
44	13153 21231	   	262.08	橙橙2易伤1等级	1a易伤2赏金塔3加农对毒4等级5时间67核8策反9敌人爆炸
45	13153 21421	   	262.08	橙橙2易伤1等级	1a易伤2赏金塔3加农对毒4等级5时间67核8随机矿9最后敌人
46	13153 21431	   	262.08	橙橙2易伤1等级	1a易伤2赏金塔3加农对毒4等级5时间67核8随机矿9敌人爆炸
47	13153 21513	   	262.08	橙橙2易伤1等级	1a易伤2赏金塔3加农对毒4等级5时间67核8随机技能9敌人爆炸
48	13553 21126	   	262.08	橙橙2易伤1等级	1a易伤2赏金塔3狙击对黄4等级5时间67核8双倍矿9基地爆炸
49	13553 21221	   	262.08	橙橙2易伤1等级	1a易伤2赏金塔3狙击对黄4等级5时间67核8策反9最后敌人
50	13553 21231	   	262.08	橙橙2易伤1等级	1a易伤2赏金塔3狙击对黄4等级5时间67核8策反9敌人爆炸
51	13553 21421	   	262.08	橙橙2易伤1等级	1a易伤2赏金塔3狙击对黄4等级5时间67核8随机矿9最后敌人
52	13553 21431	   	262.08	橙橙2易伤1等级	1a易伤2赏金塔3狙击对黄4等级5时间67核8随机矿9敌人爆炸
53	13553 21513	   	262.08	橙橙2易伤1等级	1a易伤2赏金塔3狙击对黄4等级5时间67核8随机技能9敌人爆炸
54	13153 21524	   	261.98	橙橙2易伤1等级	1a易伤2赏金塔3加农对毒4等级5时间67核8随机技能9赏金邻近
55	13153 21553	   	261.98	橙橙2易伤1等级	1a易伤2赏金塔3加农对毒4等级5时间67核8随机技能9挖尘
56	13153 21626	   	261.98	橙橙2易伤1等级	1a易伤2赏金塔3加农对毒4等级5时间67核8暴雪减费9基地爆炸
57	66323 12422	 * 	261.01	橙3易伤2伤害2等级1暴击	1a等级25a易伤3时间4暴击6头目7赏金塔8核9a伤害a序列升级
58	16333 23144	 * 	258.77	橙4易伤1等级1伤害2时间1攻速	1278易伤37风暴减费4等级5攻速67时间7序列升级9伤害a核
59	13116 21214	   	258.19	橙橙1易伤1等级1矿等1技能	1易伤2赏金塔3加农对毒4基地爆炸5等级67核8策反9矿等a技能
60	13116 21314	   	258.19	橙橙1易伤1等级1矿等1技能	1易伤2赏金塔3加农对毒4基地爆炸5等级67核8金币生成9矿等a技能
61	13116 21414	   	258.19	橙橙1易伤1等级1矿等1技能	1易伤2赏金塔3加农对毒4基地爆炸5等级67核8随机矿9矿等a技能
62	13516 21214	   	258.19	橙橙1易伤1等级1矿等1技能	1易伤2赏金塔3狙击对黄4基地爆炸5等级67核8策反9矿等a技能
63	13516 21314	   	258.19	橙橙1易伤1等级1矿等1技能	1易伤2赏金塔3狙击对黄4基地爆炸5等级67核8金币生成9矿等a技能
64	13423 21154	   	258.10	橙橙2易伤1矿等1全技能	19易伤2赏金塔3挖青4金币生成5激光对绿67核8全技能a矿等
