0	Index      	 *	Score 	Summary	Detail	
1	11333 13644	 * 	274.05	DCR|DCR|2MLV|1VULN|1CDMG|1AART	1RMIN|2CDMG|3CANSTR|4LIT|57MLV|6aRCR|8VULN|9AART
2	36224 21252	 * 	272.27	DCR|DCR|2VULN|1DMG	1FEWX|2LIT|38VULN|4DMG|5CGEN|6LWND|7DUR|9aRCR
3	22126 43148	   	270.99	DCR|DCR|2VULN|1MLV|1AART	1MLV|2MBVNT|34TLV|5AART|6FEWX|7aRCR|89VULN
4	22157 38124	 * 	270.53	DCR|3VULN|2DMG|2MLV|1ASPD	18MLV|2MBVNT|3TLV|48DMG|568VULN|7RCR|8BPWR|9DUR|aASPD
5	23357 38124	   	270.53	DCR|3VULN|2DMG|2MLV|1ASPD	18MLV|2CGEN|3MBVNT|48DMG|568VULN|7RCR|8BPWR|9DUR|aASPD
6	22157 38141	 * 	267.74	DCR|4VULN|2DMG|2MLV	18MLV|2MBVNT|3TLV|48DMG|568aVULN|7RCR|8BPWR|9RMIN
7	23357 38141	   	267.74	DCR|4VULN|2DMG|2MLV	18MLV|2CGEN|3MBVNT|48DMG|568aVULN|7RCR|8BPWR|9RMIN
8	22157 38131	   	267.64	DCR|4VULN|2DMG|2MLV	18MLV|2MBVNT|3TLV|48DMG|568aVULN|7RCR|8BPWR|9NUKE
9	23357 38131	   	267.64	DCR|4VULN|2DMG|2MLV	18MLV|2CGEN|3MBVNT|48DMG|568aVULN|7RCR|8BPWR|9NUKE
10	11433 22216	 * 	267.38	DCR|DCR|1VULN|1DMG|2CDMG|1AART	1RMIN|24CDMG|3AART|5LIT|6FEWX|7DMG|89RCR|aVULN
11	11433 42216	   	267.38	DCR|DCR|1VULN|1DMG|2CDMG|1AART	1RMIN|24CDMG|3AART|5LIT|6LHND|7DMG|89RCR|aVULN
12	36214 21252	   	265.85	DCR|DCR|2VULN|1ASPD	1FEWX|2LIT|38VULN|4ASPD|5CGEN|6LWND|7DUR|9aRCR
13	11333 12644	   	264.75	DCR|DCR|1VULN|2CDMG|1MLV|1AART	1RMIN|27CDMG|3CANSTR|4LIT|5MLV|6aRCR|8VULN|9AART
14	36324 22252	   	263.96	DCR|DCR|2VULN|1DMG	1FEWX|2LIT|3LHND|4DMG|5CGEN|6LWND|78VULN|9aRCR
15	22543 14156	   	262.33	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1MLV|2MBVNT|3BBNT|4ASPD|5VULN|6CDMG|7aRCR|8LSRHEA|9LWND
16	36112 42216	   	261.07	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1FEWX|2LIT|3AART|4DMSP|5CDMG|6RMIN|7DMG|89RCR|aVULN
17	11433 53216	   	260.97	DCR|DCR|1VULN|2CDMG|1ASPD|1AART	1RMIN|24CDMG|3AART|5LIT|6ASPD|7FEWX|89RCR|aVULN
18	11433 56211	   	260.97	DCR|DCR|1VULN|2CDMG|1ASPD|1AART	1RMIN|24CDMG|3AART|5LIT|6ASPD|7VULN|89RCR|aFEWX
19	11433 56213	   	260.97	DCR|DCR|1VULN|2CDMG|1ASPD|1AART	1RMIN|24CDMG|3AART|5LIT|6ASPD|7VULN|89RCR|aLHND
20	11433 56212	   	260.87	DCR|DCR|1VULN|2CDMG|1ASPD|1AART|1MSE	1RMIN|24CDMG|3AART|5LIT|6ASPD|7VULN|89RCR|aMSE
21	22126 43128	   	260.40	DCR|DCR|2MLV|1VULN|1AART	19MLV|2MBVNT|34TLV|5AART|6FEWX|7aRCR|8VULN
22	32336 32432	   	259.61	DCR|DCR|1VULN|1DMG|1ASPD	1FEWX|2FRZFST|3LIT|4ASPD|5DMG|6DUR|7LSRICY|8aRCR|9VULN
23	32336 32512	   	259.61	DCR|DCR|1VULN|1DMG|1ASPD	1FEWX|2FRZFST|3LIT|4ASPD|5DMG|6DUR|7LSRICY|8VULN|9aRCR
24	32336 35112	   	259.51	DCR|DCR|1VULN|1DMG|1ASPD	1FEWX|2FRZFST|3LIT|4ASPD|5DMG|6DUR|7VULN|8BLASTR|9aRCR
25	23214 12625	   	258.44	DCR|DCR|1VULN|1MLV|1ASPD|1RPLT	1MLV|2CGEN|3RMIN|4ASPD|5RPLT|6FEWX|7MSLFST|8aRCR|9VULN
26	11333 16355	   	258.19	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT|1ZMB	1RMIN|2CDMG|3CANSTR|4LIT|5MLV|6aRCR|7VULN|8ZMB|9RPLT
27	11333 61355	   	258.19	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT|1ZMB	1RMIN|2CDMG|3CANSTR|4LIT|5MLV|6VULN|7aRCR|8ZMB|9RPLT
28	54322 63131	   	257.69	DCR|3VULN|2DMG|2DUR|1ASPD|1CDMG	17DMG|27DUR|3LHND|4ASPD|567VULN|7BPWR|8CDMG|9FEWX|aRCR
29	36314 22252	   	257.55	DCR|DCR|2VULN|1ASPD	1FEWX|2LIT|3LHND|4ASPD|5CGEN|6LWND|78VULN|9aRCR
30	24431 32326	   	257.08	DCR|DCR|1VULN|1MLV|1CDMG	1MLV|2DUR|3BBNT|4RCVC|5VULN|6DUST|7aRCR|8TBNT|9CDMG
31	22121 28125	   	256.88	DCR|3VULN|2DMG|2MLV	18MLV|2MBVNT|34TLV|58DMG|68aVULN|7RCR|8BPWR|9DUR
32	22151 28125	   	256.88	DCR|3VULN|2DMG|2MLV	18MLV|2MBVNT|35TLV|48DMG|68aVULN|7RCR|8BPWR|9DUR
33	22157 38121	   	256.88	DCR|3VULN|2DMG|2MLV	18MLV|2MBVNT|3TLV|48DMG|568VULN|7RCR|8BPWR|9DUR|aBEXP
34	22157 38122	   	256.88	DCR|3VULN|2DMG|2MLV	18MLV|2MBVNT|3TLV|48DMG|568VULN|7RCR|8BPWR|9DUR|aFEWX
35	22157 38123	   	256.88	DCR|3VULN|2DMG|2MLV	18MLV|2MBVNT|3TLV|48DMG|568VULN|7RCR|8BPWR|9DUR|aRMIN
36	23331 28125	   	256.88	DCR|3VULN|2DMG|2MLV	18MLV|24CGEN|3MBVNT|58DMG|68aVULN|7RCR|8BPWR|9DUR
37	23357 38121	   	256.88	DCR|3VULN|2DMG|2MLV	18MLV|2CGEN|3MBVNT|48DMG|568VULN|7RCR|8BPWR|9DUR|aBEXP
38	23357 38122	   	256.88	DCR|3VULN|2DMG|2MLV	18MLV|2CGEN|3MBVNT|48DMG|568VULN|7RCR|8BPWR|9DUR|aFEWX
39	23357 38123	   	256.88	DCR|3VULN|2DMG|2MLV	18MLV|2CGEN|3MBVNT|48DMG|568VULN|7RCR|8BPWR|9DUR|aRMIN
40	22157 38132	   	255.42	DCR|3VULN|2DMG|2MLV	18MLV|2MBVNT|3TLV|48DMG|568VULN|7RCR|8BPWR|9NUKE|aLHND
41	22157 38133	   	255.42	DCR|3VULN|2DMG|2MLV	18MLV|2MBVNT|3TLV|48DMG|568VULN|7RCR|8BPWR|9NUKE|aAME
42	22157 38134	   	255.42	DCR|3VULN|2DMG|2MLV	18MLV|2MBVNT|3TLV|48DMG|568VULN|7RCR|8BPWR|9NUKE|aVENICY
43	23357 38132	   	255.42	DCR|3VULN|2DMG|2MLV	18MLV|2CGEN|3MBVNT|48DMG|568VULN|7RCR|8BPWR|9NUKE|aLHND
44	23357 38133	   	255.42	DCR|3VULN|2DMG|2MLV	18MLV|2CGEN|3MBVNT|48DMG|568VULN|7RCR|8BPWR|9NUKE|aAME
45	23357 38134	   	255.42	DCR|3VULN|2DMG|2MLV	18MLV|2CGEN|3MBVNT|48DMG|568VULN|7RCR|8BPWR|9NUKE|aVENICY
