0	Index      	 *	Score 	Summary	Detail	
1	11661 31322	 * 	280.14	DCR|DCR|2VULN|1CDMG|1AART	14VULN|2CDMG|3LWND|5DUR|6AART|7BELT|8MDPS|9aRCR
2	14431 53111	 * 	273.49	DCR|DCR|1VULN|1DMG|1CDMG|1AART|1RPLT	1VULN|2TLV|3DMG|4CDMG|5AART|6MSLREG|78RCR|9LHND|aRPLT
3	26333 12233	 * 	272.99	DCR|4VULN|2MLV|2ASPD|1RPLT	1AAC|2RPLT|3789VULN|49ASPD|59MLV|6DMSP|9BPWR|aRCR
4	14611 61322	   	269.60	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1VULN|2TLV|3MLV|4AART|5CDMG|6DUR|7BELT|8MDPS|9aRCR
5	14631 31322	   	269.60	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1VULN|2TLV|3MLV|4CDMG|5DUR|6AART|7BELT|8MDPS|9aRCR
6	15611 61322	   	269.60	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1VULN|2CGEN|3MLV|4AART|5CDMG|6DUR|7BELT|8MDPS|9aRCR
7	15631 31322	   	269.60	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1VULN|2CGEN|3MLV|4CDMG|5DUR|6AART|7BELT|8MDPS|9aRCR
8	11341 45744	   	269.50	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1VULN|2CDMG|3TSLARM|4MBVNT|5DUR|69RCR|7CGEN|8MLV|aRPLT
9	11341 48744	   	269.40	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1VULN|2CDMG|3TSLARM|4MBVNT|5DUR|69RCR|7ERES|8MLV|aRPLT
10	11341 45741	   	266.39	DCR|DCR|1VULN|1MLV|2DUR|1CDMG	1VULN|2CDMG|3TSLARM|4MBVNT|5aDUR|69RCR|7CGEN|8MLV
11	11341 48741	   	266.29	DCR|DCR|1VULN|1MLV|2DUR|1CDMG	1VULN|2CDMG|3TSLARM|4MBVNT|5aDUR|69RCR|7ERES|8MLV
12	11251 65332	   	264.81	DCR|3VULN|2MLV|2DUR|1CDMG|1AART|1RPLT	17aVULN|2CDMG|3RPLT|47DUR|57MLV|6AART|7BPWR|8ERES|9RCR
13	21333 12241	 * 	264.71	DCR|DCR|2MLV|2ASPD|1DMG	1AAC|2DMG|3AIRARM|49MLV|57ASPD|6CANTOX|8aRCR
14	25363 12241	   	264.71	DCR|DCR|2MLV|2ASPD|1DMG	1AAC|29MLV|3TSLARM|4DMG|57ASPD|6CANTOX|8aRCR
15	14431 53112	   	263.82	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1VULN|2TLV|3DMG|4CDMG|5AART|6MSLREG|78RCR|9aLHND
16	14431 53121	   	263.82	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1VULN|2TLV|3DMG|4CDMG|5AART|6MSLREG|78RCR|9BBNT|aBEXP
17	14431 53122	   	263.82	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1VULN|2TLV|3DMG|4CDMG|5AART|6MSLREG|78RCR|9BBNT|aLWND
18	11233 56163	   	263.72	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1VULN|2CDMG|3RPLT|4MDPS|5DMG|6AAC|7FRZICY|8aRCR|9AELOIC
19	14431 53113	   	263.72	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1VULN|2TLV|3DMG|4CDMG|5AART|6MSLREG|78RCR|9LHND|aERES
20	14431 53123	   	263.72	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1VULN|2TLV|3DMG|4CDMG|5AART|6MSLREG|78RCR|9BBNT|aDUST
21	14431 53131	   	263.72	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1VULN|2TLV|3DMG|4CDMG|5AART|6MSLREG|78RCR|9MDPS|aAAC
22	14431 53132	   	263.62	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1VULN|2TLV|3DMG|4CDMG|5AART|6MSLREG|78RCR|9MDPS|aDUST
23	14431 53133	   	263.62	DCR|DCR|1VULN|1DMG|1CDMG|1AART|1MSE	1VULN|2TLV|3DMG|4CDMG|5AART|6MSLREG|78RCR|9MDPS|aMSE
24	11341 45742	   	259.84	DCR|DCR|1VULN|1MLV|1CDMG	1VULN|2CDMG|3TSLARM|4MBVNT|5DUR|69RCR|7CGEN|8MLV|aLWND
25	11341 45743	   	259.74	DCR|DCR|1VULN|1MLV|1CDMG|1MSE	1VULN|2CDMG|3TSLARM|4MBVNT|5DUR|69RCR|7CGEN|8MLV|aMSE
26	11341 48742	   	259.74	DCR|DCR|1VULN|1MLV|1CDMG	1VULN|2CDMG|3TSLARM|4MBVNT|5DUR|69RCR|7ERES|8MLV|aLWND
27	11341 48743	   	259.64	DCR|DCR|1VULN|1MLV|1CDMG|1MSE	1VULN|2CDMG|3TSLARM|4MBVNT|5DUR|69RCR|7ERES|8MLV|aMSE
28	12541 24132	 * 	257.25	DCR|3VULN|2DMG|2ASPD|1RPLT	14aVULN|2LIT|3aDMG|5DMSP|6MDPS|7aASPD|8RCR|9RPLT|aBPWR
29	11314 56243	 * 	257.22	ACR|DCR|2VULN|2CDMG|1MLV	1aVULN|2aCDMG|3TSLARM|4RCVC|59RCR|6MBVNT|7MLV|8aCGEN|aBPWR
30	33421 61211	   	256.83	DCR|DCR|2VULN	1FEWX|2LHND|3DUR|48VULN|5CGEN|6aRCR|7MSLREG|9LIT
31	33421 66211	   	256.83	DCR|DCR|2VULN	1FEWX|2LHND|3DUR|47VULN|5CGEN|6aRCR|8BASHEA|9LIT
