0	Index      	 *	Score 	Summary	Detail	
1	42124 11631	 * 	282.59	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	1CDMG|2ASPD|3VULN|4MLV|5DMG|6CGEN|7FEWX|8aRCR|9LWND
2	44122 11631	   	268.84	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1CDMG|2DMG|3VULN|4MLV|5NUKE|6CGEN|7FEWX|8aRCR|9LWND
3	44123 31631	   	268.69	DCR|DCR|1VULN|1DMG|1MLV|1CDMG|1ZMB	1CDMG|2DMG|3VULN|4MLV|5CGEN|6BEXP|7ZMB|8aRCR|9LWND
4	42125 11631	   	262.53	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2ASPD|3VULN|4MLV|5AAC|6CGEN|7FEWX|8aRCR|9LWND
5	42122 11631	   	262.43	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2ASPD|3VULN|4MLV|5NUKE|6CGEN|7FEWX|8aRCR|9LWND
6	42122 11661	   	262.43	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2ASPD|3VULN|4MLV|5NUKE|6CGEN|7FEWX|8aRCR|9LHND
7	42222 13661	   	262.43	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2ASPD|3LWND|4MLV|5NUKE|6CGEN|7VULN|8aRCR|9LHND
8	42622 12631	   	262.43	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2ASPD|3FEWX|4MLV|5NUKE|6CGEN|7VULN|8aRCR|9LWND
9	42122 11651	   	262.33	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2ASPD|3VULN|4MLV|5NUKE|6CGEN|7FEWX|8aRCR|9DUST
10	42122 16631	   	262.33	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2ASPD|3VULN|4MLV|5NUKE|6CGEN|7DUST|8aRCR|9LWND
11	42222 13651	   	262.33	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2ASPD|3LWND|4MLV|5NUKE|6CGEN|7VULN|8aRCR|9DUST
12	42422 13631	   	262.33	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2ASPD|3DUST|4MLV|5NUKE|6CGEN|7VULN|8aRCR|9LWND
13	42123 31631	   	262.28	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1ZMB	1CDMG|2ASPD|3VULN|4MLV|5CGEN|6BEXP|7ZMB|8aRCR|9LWND
14	42123 31661	   	262.28	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1ZMB	1CDMG|2ASPD|3VULN|4MLV|5CGEN|6BEXP|7ZMB|8aRCR|9LHND
15	42123 31651	   	262.18	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1ZMB	1CDMG|2ASPD|3VULN|4MLV|5CGEN|6BEXP|7ZMB|8aRCR|9DUST
16	11251 11636	 * 	260.98	DCR|DCR|2VULN|1MLV|1SELL	1SNIFST|2FLTHEA|3BBNT|4SELL|5MDPS|67VULN|8aRCR|9MLV
17	63433 41133	 * 	259.96	ACR|DCR|3DMG|1VULN|1AART	1DUST|28aDMG|3VULN|46RCR|5BBNT|7DUR|9AART
18	44132 13252	 * 	256.91	ACR|DCR|2VULN|1DMG|1CDMG	1CDMG|2DMG|37VULN|4LIT|59RCR|6DUR|8CANARM|aRMIN
19	44132 13253	   	256.91	ACR|DCR|2VULN|1DMG|1CDMG	1CDMG|2DMG|37VULN|4LIT|59RCR|6DUR|8CANARM|aBBNT
20	44132 13251	   	256.81	ACR|DCR|2VULN|1DMG|1CDMG|1MSE	1CDMG|2DMG|37VULN|4LIT|59RCR|6DUR|8CANARM|aMSE
21	41132 41214	 * 	256.12	DCR|DCR|2DMG|1CDMG|1AART|1RPLT	1CDMG|2BBNT|3AART|49DMG|5RPLT|6aRCR|7NUKE|8LWND
