0	Index      	 *	Score 	Summary	Detail	
1	13214 23441	 * 	283.82	DCR|DCR|2VULN|1DMG|2CDMG	1FEWX|26VULN|3DMG|4LHND|56CDMG|6BPWR|7ERES|8aRCR|9AME
2	13441 16111	 * 	279.15	ACR|DCR|3VULN|1DMG|1CDMG	1FEWX|269VULN|3CDMG|4aRCR|5DMG|7DUR|8BEXP
3	13441 16211	   	279.15	ACR|DCR|3VULN|1DMG|1CDMG	1FEWX|269VULN|3CDMG|4aRCR|5DMG|7DUR|8LWND
4	21422 23441	   	277.51	DCR|DCR|2VULN|1DMG|1CDMG	1LHND|26FEWX|3CDMG|4DMG|56VULN|6BPWR|7ERES|8aRCR|9AME
5	13422 23441	   	277.41	DCR|DCR|2VULN|1DMG|1CDMG	1FEWX|25VULN|3CDMG|4DMG|6LWND|7ERES|8aRCR|9AME
6	13433 23421	   	277.41	DCR|DCR|2VULN|2CDMG|1ASPD	1FEWX|26VULN|36CDMG|4RMIN|5LEGI|6BPWR|7ERES|8aRCR|9ASPD
7	21431 42421	   	271.20	DCR|DCR|2VULN|1ASPD|1CDMG	1LHND|2FEWX|3CDMG|4RMIN|5CGEN|67VULN|8aRCR|9ASPD
8	21432 23421	   	271.20	DCR|DCR|2VULN|1ASPD|1CDMG	16LHND|2FEWX|3CDMG|4RMIN|56VULN|6BPWR|7ERES|8aRCR|9ASPD
9	11234 41421	   	271.10	DCR|DCR|2VULN|1ASPD|1CDMG	12FEWX|3LHND|4CDMG|56VULN|7DUST|8aRCR|9ASPD
10	13431 41421	   	271.10	DCR|DCR|2VULN|1ASPD|1CDMG	1FEWX|26VULN|3CDMG|4RMIN|5CGEN|7DUST|8aRCR|9ASPD
11	13432 23421	   	271.10	DCR|DCR|2VULN|1ASPD|1CDMG	1FEWX|25VULN|3CDMG|4RMIN|6LWND|7ERES|8aRCR|9ASPD
