0	Index      	 *	Score 	Summary	Detail	
1	12322 34163	 * 	289.80	DCR|5VULN|2MLV|1DMG|2DUR	15689VULN|2BELT|3DMG|49DUR|79MLV|9BPWR|aRCR
2	32225 22322	 * 	286.12	DCR|DCR|2VULN|1DMG|1MLV	1CGEN|2MLV|3BLAICY|4DMG|58VULN|6aRCR|7FRZICY|9BEXP
3	32225 22342	   	286.12	DCR|DCR|2VULN|1DMG|1MLV	1CGEN|2MLV|3BLAICY|4DMG|58VULN|6aRCR|7FRZICY|9LWND
4	32225 22362	   	286.02	DCR|DCR|2VULN|1DMG|1MLV	1CGEN|2MLV|3BLAICY|4DMG|58VULN|6aRCR|7FRZICY|9DUST
5	12322 44163	 * 	277.16	DCR|4VULN|2MLV|3DUR|1DMG	1589VULN|2BELT|3DMG|469DUR|79MLV|9BPWR|aRCR
6	13264 22522	 * 	274.83	DCR|DCR|2VULN|2ASPD	18VULN|2CGEN|38ASPD|4TLV|5LSRHEA|6aRCR|78FRZICY|8BPWR|9BEXP
7	13261 22522	   	274.63	DCR|DCR|2VULN|2ASPD	18VULN|2CGEN|38ASPD|4TLV|5SNIFST|6aRCR|78FRZFST|8BPWR|9BEXP
8	13261 22542	   	274.63	DCR|DCR|2VULN|2ASPD	18VULN|2CGEN|38ASPD|4TLV|5SNIFST|6aRCR|78FRZFST|8BPWR|9LWND
9	13261 22562	   	274.53	DCR|DCR|2VULN|2ASPD	18VULN|2CGEN|38ASPD|4TLV|5SNIFST|6aRCR|78FRZFST|8BPWR|9DUST
10	11211 22322	 * 	271.50	DCR|DCR|3VULN|2ZMB	158VULN|2LSRREG|3LHND|45ZMB|5BPWR|6aRCR|7SNIFST|9BEXP
11	11211 22362	 * 	271.50	DCR|DCR|3VULN|2ZMB	158VULN|2LSRREG|3LHND|45ZMB|5BPWR|6aRCR|7SNIFST|9LWND
12	34152 23126	   	268.79	DCR|DCR|2VULN|1DMG	13CGEN|23LWND|3BPWR|4BBNT|57VULN|6aRCR|8BELT|9DMG
13	63225 22322	   	268.49	DCR|DCR|2VULN|1DMG	1RCVC|2LHND|3VENFST|4DMG|58VULN|6aRCR|7SNIFST|9BEXP
14	63225 22362	   	268.49	DCR|DCR|2VULN|1DMG	1RCVC|2LHND|3VENFST|4DMG|58VULN|6aRCR|7SNIFST|9LWND
15	12322 34111	   	267.44	DCR|5VULN|1DMG|1MLV	1568aVULN|2BELT|3DMG|4DUR|7MLV|9RCR
16	12345 21152	 * 	267.13	ACR|DCR|2VULN|2DMG|1AART	15VULN|269BELT|35DMG|4aRCR|5BPWR|7RMIN|8AART
17	13264 22322	   	262.18	DCR|DCR|2VULN|1ASPD	18VULN|2CGEN|3ASPD|4TLV|5LSRHEA|6aRCR|7FRZICY|9BEXP
18	13264 22342	   	262.18	DCR|DCR|2VULN|1ASPD	18VULN|2CGEN|3ASPD|4TLV|5LSRHEA|6aRCR|7FRZICY|9LWND
19	35264 22322	   	262.18	DCR|DCR|2VULN|1ASPD	1CGEN|28VULN|3ASPD|4TLV|5LSRHEA|6aRCR|7FRZICY|9BEXP
20	13261 22322	   	262.08	DCR|DCR|2VULN|1ASPD	18VULN|2CGEN|3ASPD|4TLV|5SNIFST|6aRCR|7FRZFST|9BEXP
21	13261 22342	   	262.08	DCR|DCR|2VULN|1ASPD	18VULN|2CGEN|3ASPD|4TLV|5SNIFST|6aRCR|7FRZFST|9LWND
22	13264 22362	   	262.08	DCR|DCR|2VULN|1ASPD	18VULN|2CGEN|3ASPD|4TLV|5LSRHEA|6aRCR|7FRZICY|9DUST
23	35261 22322	   	262.08	DCR|DCR|2VULN|1ASPD	1CGEN|28VULN|3ASPD|4TLV|5SNIFST|6aRCR|7FRZFST|9BEXP
24	35261 22342	   	262.08	DCR|DCR|2VULN|1ASPD	1CGEN|28VULN|3ASPD|4TLV|5SNIFST|6aRCR|7FRZFST|9LWND
25	13261 22362	   	261.98	DCR|DCR|2VULN|1ASPD	18VULN|2CGEN|3ASPD|4TLV|5SNIFST|6aRCR|7FRZFST|9DUST
26	13451 22432	   	261.98	DCR|DCR|2VULN|1ASPD	14VULN|2CGEN|3BASARM|5FEWX|6aRCR|7CANTOX|8ASPD|9AME
27	13452 22432	   	261.98	DCR|DCR|2VULN|1ASPD	14VULN|2CGEN|3BASARM|5BEXP|6aRCR|7CANTOX|8ASPD|9AME
28	35261 22362	   	261.98	DCR|DCR|2VULN|1ASPD	1CGEN|28VULN|3ASPD|4TLV|5SNIFST|6aRCR|7FRZFST|9DUST
29	12651 24111	   	261.03	DCR|5VULN|1MLV|1ASPD	1378aVULN|2BELT|4MLV|5ASPD|6DUR|9RCR
