0	Index      	 *	Score 	Summary	Detail	
1	62212 31625	 * 	282.14	DCR|DCR|2VULN|1DMG|1CDMG	15TLV|27VULN|3CDMG|4DMG|6MDPS|8FRZFST|9aRCR
2	33423 16513	 * 	280.20	DCR|DCR|3VULN	1LSRREG|2BEXP|3DLOT|4LHND|5DUR|68aVULN|79RCR
3	33412 35162	   	276.02	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1LSRREG|2BEXP|3DLOT|4CDMG|5ASPD|6DUR|7DMG|8VULN|9aRCR
4	34513 63123	 * 	272.81	ACR|DCR|3VULN|1DMG|1AART	1LSRREG|268VULN|3LHND|4DMG|5aRCR|7AART|9LWND
5	62214 11125	 * 	271.65	DCR|DCR|2DMG|1VULN|1CDMG	1TLV|2VULN|3CDMG|48DMG|5BEXP|6SPLREG|7LEGI|9aRCR
6	62214 13125	   	271.65	DCR|DCR|2DMG|1VULN|1CDMG	1TLV|2VULN|3CDMG|48DMG|5BEXP|6SPLREG|7DUST|9aRCR
7	34146 31113	   	271.64	DCR|DCR|3VULN|1ZMB	1LSRREG|249VULN|3CGEN|5MDPS|6BBNT|7ZMB|8aRCR
8	26515 32233	   	271.55	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1ZMB	1ZMB|2MLV|3VULN|4LWND|5AAC|6aRCR|7ASPD|8CGEN|9DMG
9	26625 32233	   	271.55	DCR|DCR|1VULN|1DMG|1MLV|1ASPD|1ZMB	1ZMB|2MLV|3LWND|4VULN|5AAC|6aRCR|7ASPD|8CGEN|9DMG
10	62232 51133	 * 	270.04	DCR|DCR|1VULN|2CDMG|1DMG|1RPLT	1TLV|2VULN|39CDMG|4DUST|5ERES|6DMG|7aRCR|8RPLT
11	34412 11432	   	267.61	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1LSRREG|2VULN|3DLOT|4CDMG|5ASPD|6ERES|7aRCR|8TBNT|9DMG
12	34513 13123	 * 	266.93	ACR|DCR|2VULN|2DMG|1AART	1LSRREG|28VULN|3LHND|46DMG|5aRCR|7AART|9LWND
13	34523 63123	   	266.40	ACR|DCR|3VULN|1ASPD|1AART	1LSRREG|268VULN|3LHND|4ASPD|5aRCR|7AART|9LWND
14	22312 36213	   	265.81	DCR|DCR|2VULN|1MLV|1ZMB	1ZMB|23VULN|4LWND|5BEXP|6MLV|7BASARM|8BBNT|9aRCR
15	22342 36213	   	265.81	DCR|DCR|2VULN|1MLV|1ZMB	1ZMB|23VULN|4LHND|5BEXP|6MLV|7BASARM|8BBNT|9aRCR
16	26113 21113	   	265.81	DCR|DCR|2VULN|1MLV|1ZMB	1ZMB|2MLV|3TSLFST|4FEWX|5BBNT|69VULN|7LHND|8aRCR
17	26113 21513	   	265.81	DCR|DCR|2VULN|1MLV|1ZMB	1ZMB|2MLV|3TSLFST|4FEWX|5BBNT|68VULN|7LHND|9aRCR
