0	Index      	 *	Score 	Summary	Detail	
1	12262 15121	 * 	291.96	ACR|3LIT|3VULN|2DMG|3CDMG	1DMSP|27aVULN|3RCR|4CGEN|57aLIT|678CDMG|7aBPWR|9aDMG
2	25531 12132	 * 	289.81	DCR|2LIT|2FLTARM|2VULN|1DMG	1AART|2aVULN|3BELT|4aFLTARM|5MBVNT|6RCR|7DMG|8CGEN|9aLIT|aBPWR
3	33412 46331	 * 	289.44	DCR|2LIT|2MLV|2VULN|1DMG	1ZMB|2aBEXP|3LWND|47LIT|5aMLV|6DMG|8aVULN|9RCR|aBPWR
4	33113 23153	 * 	288.91	DCR|2LIT|3VULN|1MLV|1DMG	1ZMB|2BEXP|36aVULN|45LIT|7DMG|8MLV|9RCR
5	33152 23153	 * 	285.20	DCR|4VULN|1LIT|1MLV|1DMG	1ZMB|2BEXP|346aVULN|5LIT|7DMG|8MLV|9RCR
6	15133 35331	 * 	284.35	DCR|2LIT|2VULN|2DMG|1MLV	1DMSP|2LEGI|3aLIT|4MLV|5aDMG|6DUST|7ZMB|8aVULN|9RCR|aBPWR
7	33111 46253	   	284.35	DCR|2LIT|2VULN|2DMG|1MLV	1ZMB|2BEXP|3aVULN|47LIT|5MLV|68DMG|9RCR
8	31113 15323	   	284.02	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ZMB|2MLV|36LIT|4RMIN|5DMG|7RCR|8aVULN|9ASPD
9	35113 15323	   	284.02	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ZMB|26LIT|3MLV|4RMIN|5DMG|7RCR|8aVULN|9ASPD
10	33113 23155	   	283.02	DCR|2LIT|2VULN|1MLV|1DMG|1AART	1ZMB|2BEXP|36VULN|45LIT|7DMG|8MLV|9RCR|aAART
11	32113 24153	   	282.49	DCR|2LIT|3VULN|1MLV|1ASPD	1ZMB|2LHND|36aVULN|45LIT|7ASPD|8MLV|9RCR
12	33113 24153	   	282.49	DCR|2LIT|3VULN|1MLV|1ASPD	1ZMB|2BEXP|36aVULN|45LIT|7ASPD|8MLV|9RCR
13	33152 23155	   	282.28	DCR|3VULN|1LIT|1MLV|1DMG|1AART	1ZMB|2BEXP|346VULN|5LIT|7DMG|8MLV|9RCR|aAART
14	33111 53231	 * 	281.36	DCR|2MLV|1LIT|2VULN|2DMG|1DUR	1ZMB|2aBEXP|38VULN|4LIT|5aMLV|6DUR|7aDMG|9RCR|aBPWR
15	33113 23156	   	280.42	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1ZMB|2BEXP|36VULN|45LIT|7DMG|8MLV|9RCR|aASPD
16	12262 15111	 * 	280.41	ACR|3LIT|3VULN|2ASPD|3CDMG	1DMSP|27aVULN|3RCR|4CGEN|57aLIT|678CDMG|7aBPWR|9aASPD
17	33152 23156	   	279.68	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	1ZMB|2BEXP|346VULN|5LIT|7DMG|8MLV|9RCR|aASPD
18	31113 15311	 * 	279.05	DCR|3LIT|2DMG|1VULN|1MLV	1ZMB|2MLV|36aLIT|4RMIN|59DMG|7RCR|8VULN
19	35113 15311	   	279.05	DCR|3LIT|2DMG|1VULN|1MLV	1ZMB|26aLIT|3MLV|4RMIN|59DMG|7RCR|8VULN
20	32152 24153	   	278.79	DCR|4VULN|1LIT|1MLV|1ASPD	1ZMB|2LHND|346aVULN|5LIT|7ASPD|8MLV|9RCR
21	33152 24153	   	278.79	DCR|4VULN|1LIT|1MLV|1ASPD	1ZMB|2BEXP|346aVULN|5LIT|7ASPD|8MLV|9RCR
22	31123 23224	 * 	278.50	DCR|3LIT|3MLV|1VULN|1DMG	1ZMB|256MLV|346LIT|6BPWR|7CGEN|8VULN|9DMG|aRCR
23	35123 23224	   	278.50	DCR|3LIT|3MLV|1VULN|1DMG	1ZMB|246LIT|356MLV|6BPWR|7CGEN|8VULN|9DMG|aRCR
24	31151 15142	 * 	277.70	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1ZMB|2MLV|3LIT|4FLTARM|5BEXP|6TLV|78VULN|9RCR|aDMG
25	31152 15142	   	277.70	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG	1ZMB|2MLV|3LIT|4FLTARM|5LWND|6TLV|78VULN|9RCR|aDMG
26	31113 15312	 * 	277.41	DCR|2LIT|3DMG|1VULN|1MLV	1ZMB|2MLV|36LIT|4RMIN|59aDMG|7RCR|8VULN
27	35113 15312	   	277.41	DCR|2LIT|3DMG|1VULN|1MLV	1ZMB|26LIT|3MLV|4RMIN|59aDMG|7RCR|8VULN
28	53133 15323	   	276.98	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1NUKE|2TLV|36LIT|4MLV|5DMG|7RCR|8aVULN|9ASPD
29	56113 15323	   	276.98	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1NUKE|2MLV|36LIT|4RMIN|5DMG|7RCR|8aVULN|9ASPD
30	33113 24155	   	276.60	DCR|2LIT|2VULN|1MLV|1AART|1ASPD	1ZMB|2BEXP|36VULN|45LIT|7ASPD|8MLV|9RCR|aAART
31	12241 35341	 * 	276.04	ACR|2LIT|4VULN|2ASPD|2CDMG	1DMSP|278aVULN|3RCR|4aCDMG|57ERES|67LIT|7aBPWR|9aASPD
32	31113 15316	   	275.40	DCR|2LIT|2DMG|1VULN|1MLV|1ASPD	1ZMB|2MLV|36LIT|4RMIN|59DMG|7RCR|8VULN|aASPD
33	35113 15316	   	275.40	DCR|2LIT|2DMG|1VULN|1MLV|1ASPD	1ZMB|26LIT|3MLV|4RMIN|59DMG|7RCR|8VULN|aASPD
34	35333 16361	   	275.04	DCR|2LIT|2MLV|2VULN|1ASPD|2ZMB|1DUR	18ZMB|28LIT|3RPLT|45VULN|6DUR|78MLV|8BPWR|9ASPD|aRCR
35	53133 15332	 * 	274.88	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG	1NUKE|2TLV|36LIT|4MLV|5DMG|7RCR|8VULN|9BEXP|aFLTARM
36	53133 15342	   	274.88	DCR|2LIT|1FLTARM|1VULN|1MLV|1DMG	1NUKE|2TLV|36LIT|4MLV|5DMG|7RCR|8VULN|9FEWX|aFLTARM
37	31113 15325	   	274.06	DCR|2LIT|1VULN|1MLV|1DMG|1AART|1ASPD	1ZMB|2MLV|36LIT|4RMIN|5DMG|7RCR|8VULN|9ASPD|aAART
38	35113 15325	   	274.06	DCR|2LIT|1VULN|1MLV|1DMG|1AART|1ASPD	1ZMB|26LIT|3MLV|4RMIN|5DMG|7RCR|8VULN|9ASPD|aAART
