0	Index      	 *	Score 	Summary	Detail	
1	12264 23151	 * 	317.50	ACR|3LIT|3MLV|3VULN|1DMG	18aVULN|2RCR|3ERES|48aLIT|5DMG|6LHND|78aMLV|8aBPWR|9RMIN
2	34231 35214	 * 	302.24	DCR|2LIT|2MLV|2DMG|1VULN|1CDMG	1FEWX|2CDMG|3aDMG|4aMLV|5VULN|6aLIT|7RCR|8DUST|9ZMB|aBPWR
3	24231 35214	   	302.09	DCR|2LIT|2MLV|2DMG|1VULN|1CDMG	1DUR|2CDMG|3aDMG|4aMLV|5VULN|6aLIT|7RCR|8DUST|9ZMB|aBPWR
4	12235 14151	   	301.01	ACR|3LIT|3MLV|3VULN|1ASPD	18aVULN|2RCR|3ERES|48aMLV|5ASPD|6LHND|78aLIT|8aBPWR|9RMIN
5	52433 35231	 * 	300.22	DCR|2LIT|4VULN|1MLV|1CDMG	12RMIN|3458VULN|58BPWR|6RCR|78LIT|9MLV|aCDMG
6	53433 35231	   	300.22	DCR|2LIT|4VULN|1MLV|1CDMG	1RMIN|2RCVC|3458VULN|58BPWR|6RCR|78LIT|9MLV|aCDMG
7	34232 31514	   	299.69	DCR|2LIT|2MLV|2DMG|1VULN|1CDMG	1FEWX|2CDMG|3aDMG|4aMLV|5BEXP|6aLIT|7VULN|8RCR|9ZMB|aBPWR
8	24232 31514	   	299.54	DCR|2LIT|2MLV|2DMG|1VULN|1CDMG	1DUR|2CDMG|3aDMG|4aMLV|5BEXP|6aLIT|7VULN|8RCR|9ZMB|aBPWR
9	34231 33514	   	299.54	DCR|2LIT|2MLV|2DMG|1VULN|1CDMG	1FEWX|2CDMG|3aDMG|4aMLV|5VULN|6aLIT|7DUST|8RCR|9ZMB|aBPWR
10	24231 33514	   	299.39	DCR|2LIT|2MLV|2DMG|1VULN|1CDMG	1DUR|2CDMG|3aDMG|4aMLV|5VULN|6aLIT|7DUST|8RCR|9ZMB|aBPWR
11	12433 14151	   	297.82	ACR|3LIT|3MLV|3VULN	18aVULN|2RCR|3ZMB|48aMLV|5ERES|6LHND|78aLIT|8aBPWR|9RMIN
12	12432 62631	   	291.50	ACR|2LIT|2MLV|3VULN|1CDMG|1SELL	157VULN|2RCR|37ZMB|47MLV|6SELL|7BPWR|8aLIT|9CDMG
