0	Index      	 *	Score 	Summary	Detail	
1	26211 51512	 * 	313.76	DCR|3MLV|4VULN|1LIT|1DMG	149aVULN|257MLV|3DMG|6LIT|8RCR
2	14143 33242	 * 	310.10	DCR|2LIT|3VULN|2FLTARM|1CDMG	1aLIT|26aVULN|3CDMG|4DUR|567BEXP|6aBPWR|8aFLTARM|9RCR
3	12222 35232	 * 	309.10	DCR|3LIT|3VULN|1MLV|2ASPD	158LIT|2LHND|368VULN|48ASPD|7RCR|8BPWR|9RCVC|aMLV
4	13222 35232	   	309.00	DCR|3LIT|3VULN|1MLV|2ASPD	158LIT|2DUST|368VULN|48ASPD|7RCR|8BPWR|9RCVC|aMLV
5	46222 35232	   	309.00	DCR|3LIT|3VULN|1MLV|2ASPD	1LEGI|258LIT|368VULN|48ASPD|7RCR|8BPWR|9RCVC|aMLV
6	13222 35252	   	308.90	DCR|3LIT|3VULN|1MLV|2ASPD	158LIT|29DUST|368VULN|48ASPD|7RCR|8BPWR|aMLV
7	21313 35236	   	307.73	DCR|2MLV|3VULN|1LIT|1DMG|2CDMG	137VULN|27CDMG|4ERES|5LWND|67MLV|7BPWR|8DMG|9RCR|aLIT
8	21311 35256	   	307.58	DCR|2MLV|3VULN|1LIT|1DMG|2CDMG	137VULN|27CDMG|4ERES|5DUST|67MLV|7BPWR|8DMG|9RCR|aLIT
9	14151 43313	   	305.97	DCR|2MLV|3VULN|1LIT|1DMG|1CDMG	1LIT|269VULN|3CDMG|4BEXP|56MLV|6BPWR|7ZMB|8DMG|aRCR
10	14121 43313	   	305.82	DCR|2MLV|3VULN|1LIT|1DMG|1CDMG	1LIT|269VULN|3CDMG|4DUST|56MLV|6BPWR|7ZMB|8DMG|aRCR
11	11235 26332	 * 	305.05	DCR|2LIT|3VULN|1FLTARM|1MLV	1aLIT|2BEXP|378VULN|4MLV|5FEWX|6RCR|9FLTARM
12	11232 22333	   	302.98	DCR|2LIT|2VULN|1FLTARM|1MLV|1DMG	15LIT|2BEXP|38VULN|4MLV|6RCR|7FEWX|9FLTARM|aDMG
13	13232 23333	   	302.88	DCR|2LIT|2VULN|1FLTARM|1MLV|1DMG	15LIT|2DUST|38VULN|4MLV|6RCR|7BEXP|9FLTARM|aDMG
14	14432 23333	   	302.88	DCR|2LIT|2VULN|1FLTARM|1MLV|1DMG	15LIT|28VULN|3DUST|4MLV|6RCR|7BEXP|9FLTARM|aDMG
15	11232 21333	   	302.88	DCR|2LIT|2VULN|1FLTARM|1MLV|1DMG	15LIT|2BEXP|38VULN|4MLV|6RCR|7DUST|9FLTARM|aDMG
16	14123 32242	   	300.34	DCR|2LIT|3VULN|2FLTARM|1CDMG	1aLIT|26aVULN|3CDMG|4DUST|567FEWX|6aBPWR|8aFLTARM|9RCR
17	11232 22332	 * 	300.21	DCR|3LIT|2VULN|1FLTARM|1MLV	15aLIT|2BEXP|38VULN|4MLV|6RCR|7FEWX|9FLTARM
18	11232 21332	   	300.11	DCR|3LIT|2VULN|1FLTARM|1MLV	15aLIT|2BEXP|38VULN|4MLV|6RCR|7DUST|9FLTARM
19	13232 23332	   	300.11	DCR|3LIT|2VULN|1FLTARM|1MLV	15aLIT|2DUST|38VULN|4MLV|6RCR|7BEXP|9FLTARM
20	14432 23332	   	300.11	DCR|3LIT|2VULN|1FLTARM|1MLV	15aLIT|28VULN|3DUST|4MLV|6RCR|7BEXP|9FLTARM
21	22212 15131	 * 	298.74	DCR|2LIT|4VULN|2ASPD|1DMG	149aVULN|2aASPD|3DMG|58LIT|6aERES|7RCR|aBPWR
22	11222 45222	 * 	298.41	DCR|3LIT|2VULN|3ASPD|1MLV	158LIT|2BEXP|38VULN|468ASPD|7RCR|8BPWR|9CGEN|aMLV
23	11222 45261	   	298.41	DCR|3LIT|2VULN|3ASPD|1MLV	158LIT|29BEXP|38VULN|468ASPD|7RCR|8BPWR|aMLV
24	12222 45222	   	298.41	DCR|3LIT|2VULN|3ASPD|1MLV	158LIT|2LHND|38VULN|468ASPD|7RCR|8BPWR|9CGEN|aMLV
25	13222 45222	   	298.31	DCR|3LIT|2VULN|3ASPD|1MLV	158LIT|2DUST|38VULN|468ASPD|7RCR|8BPWR|9CGEN|aMLV
26	11235 26333	   	298.30	DCR|3VULN|1LIT|1FLTARM|1MLV|1DMG	1LIT|2BEXP|378VULN|4MLV|5FEWX|6RCR|9FLTARM|aDMG
27	13222 35265	   	296.97	DCR|3LIT|3VULN|2ASPD|1DMG	158LIT|2DUST|368VULN|48ASPD|7RCR|8BPWR|9TLV|aDMG
28	14212 23532	   	296.57	DCR|2LIT|2VULN|1FLTARM|1MLV|1ASPD	1aLIT|23VULN|4FEWX|5ASPD|6RCR|7MLV|8RMIN|9FLTARM
29	11232 22335	   	296.57	DCR|2LIT|2VULN|1FLTARM|1MLV|1CDMG	15LIT|2BEXP|38VULN|4MLV|6RCR|7FEWX|9FLTARM|aCDMG
