0	Index      	 *	Score 	Summary	Detail	
1	51333 82351	 * 	305.32	ACR|3LIT|2VULN|2DMG|1MLV|2ASPD	1RCR|289LIT|37ASPD|4MBVNT|58VULN|68DMG|8BPWR|aMLV
2	51112 31561	   	299.90	ACR|3LIT|2VULN|2DMG|1MLV|1CDMG	1RCR|29aLIT|3MLV|49DMG|5CDMG|6ZMB|79VULN|8RMIN|9BPWR
3	51216 42331	 * 	299.67	ACR|2LIT|2VULN|2DMG|1FLTARM|1MLV	1RCR|29LIT|3ERES|49DMG|5FLTARM|6BELT|7TLV|89VULN|9BPWR|aMLV
4	51333 22376	 * 	297.71	ACR|2LIT|3VULN|2DMG|1MLV|1ASPD	1RCR|28LIT|3ASPD|4MBVNT|58aVULN|6RCVC|78DMG|8BPWR|9MLV
5	51112 31563	   	296.26	ACR|2LIT|2VULN|2DMG|1MLV|1ASPD|1CDMG	1RCR|29LIT|3MLV|49DMG|5CDMG|6ZMB|79VULN|8RMIN|9BPWR|aASPD
6	51333 82328	   	294.96	ACR|2LIT|2VULN|2DMG|1MLV|2ASPD	1RCR|28LIT|37ASPD|4MBVNT|58VULN|68DMG|8BPWR|9ZMB|aMLV
7	51333 82342	 * 	293.72	ACR|2LIT|3VULN|3DMG|2ASPD	1RCR|28LIT|37ASPD|4MBVNT|589VULN|68aDMG|8BPWR
8	51216 21316	 * 	293.03	ACR|2LIT|2MLV|2VULN|1FLTARM|1DMG	1RCR|2aLIT|39ERES|4DMG|5FLTARM|69MLV|7VENTOX|89VULN|9BPWR
9	51333 22351	   	292.86	ACR|3LIT|2VULN|2DMG|1MLV|1ASPD	1RCR|289LIT|3ASPD|4MBVNT|58VULN|6RCVC|78DMG|8BPWR|aMLV
10	51333 52311	   	292.86	ACR|3LIT|2VULN|2DMG|1MLV|1ASPD	1RCR|268LIT|3ASPD|4MBVNT|58VULN|78DMG|8BPWR|9DMSP|aMLV
11	51333 82371	   	288.02	ACR|2LIT|2VULN|2DMG|1MLV|2ASPD	1RCR|28LIT|37ASPD|4MBVNT|58VULN|68DMG|8BPWR|9MLV|aLHND
12	51333 82373	   	288.02	ACR|2LIT|2VULN|2DMG|1MLV|2ASPD	1RCR|28LIT|37ASPD|4MBVNT|58VULN|68DMG|8BPWR|9MLV|aBEXP
13	51333 82313	   	287.92	ACR|2LIT|2VULN|2DMG|1MLV|2ASPD	1RCR|28LIT|37ASPD|4MBVNT|58VULN|68DMG|8BPWR|9LEGI|aMLV
14	51333 82333	   	287.92	ACR|2LIT|2VULN|2DMG|1MLV|2ASPD	1RCR|28LIT|37ASPD|4MBVNT|58VULN|68DMG|8BPWR|9DUST|aMLV
15	51333 82372	   	287.92	ACR|2LIT|2VULN|2DMG|1MLV|2ASPD	1RCR|28LIT|37ASPD|4MBVNT|58VULN|68DMG|8BPWR|9MLV|aERES
16	51123 14143	 * 	286.46	ACR|2LIT|2MLV|3DMG|1VULN|1CDMG	1RCR|29LIT|39MLV|4DUR|5VULN|6AART|789DMG|9BPWR|aCDMG
17	51333 82326	   	285.00	ACR|2LIT|3VULN|2DMG|2ASPD	1RCR|28LIT|37ASPD|4MBVNT|58aVULN|68DMG|8BPWR|9ZMB
18	51216 42333	 * 	284.87	ACR|3LIT|2VULN|2DMG|1FLTARM	1RCR|29aLIT|3ERES|49DMG|5FLTARM|6BELT|7TLV|89VULN|9BPWR
19	51333 15453	 * 	284.78	ACR|2LIT|4VULN|2DMG|1ASPD	1RCR|29LIT|3ASPD|4MBVNT|589aVULN|6AART|79DMG|9BPWR
20	51333 22355	 * 	282.91	ACR|3LIT|3VULN|2DMG|1ASPD	1RCR|289LIT|3ASPD|4MBVNT|58aVULN|6RCVC|78DMG|8BPWR
21	51333 52315	   	282.91	ACR|3LIT|3VULN|2DMG|1ASPD	1RCR|268LIT|3ASPD|4MBVNT|58aVULN|78DMG|8BPWR|9DMSP
22	51333 52353	   	282.91	ACR|3LIT|3VULN|2DMG|1ASPD	1RCR|268LIT|3ASPD|4MBVNT|58aVULN|78DMG|8BPWR|9CGEN
23	51333 52363	   	282.91	ACR|3LIT|3VULN|2DMG|1ASPD	1RCR|268LIT|3ASPD|4MBVNT|58aVULN|78DMG|8BPWR|9TLV
24	51333 52327	   	282.81	ACR|3LIT|3VULN|2DMG|1ASPD	1RCR|268LIT|3ASPD|4MBVNT|58aVULN|78DMG|8BPWR|9DUR
25	51333 52343	   	282.81	ACR|3LIT|3VULN|2DMG|1ASPD	1RCR|268LIT|3ASPD|4MBVNT|58aVULN|78DMG|8BPWR|9ERES
26	51112 31562	   	282.60	ACR|2LIT|2VULN|2DMG|1MLV|1CDMG	1RCR|29LIT|3MLV|49DMG|5CDMG|6ZMB|79VULN|8RMIN|9BPWR|aCGEN
27	51333 22328	   	282.50	ACR|2LIT|2VULN|2DMG|1MLV|1ASPD	1RCR|28LIT|3ASPD|4MBVNT|58VULN|6RCVC|78DMG|8BPWR|9ZMB|aMLV
28	51333 22377	   	282.50	ACR|2LIT|2VULN|2DMG|1MLV|1ASPD	1RCR|28LIT|3ASPD|4MBVNT|58VULN|6RCVC|78DMG|8BPWR|9MLV|aZMB
29	12211 54335	 * 	282.05	ACR|2LIT|3VULN|1FLTARM|1MLV|3DUR	178DUR|2RCR|358VULN|4LEGI|68LIT|8BPWR|9MLV|aFLTARM
30	51115 42331	 * 	281.86	ACR|2LIT|2MLV|2VULN|2DMG	1RCR|29LIT|3aMLV|49DMG|5CANSTR|6BELT|7TLV|89VULN|9BPWR
31	51123 12532	   	281.81	ACR|2LIT|2MLV|2VULN|2DMG	1RCR|29LIT|39MLV|4DUR|5aVULN|6AART|7BELT|89DMG|9BPWR
32	51132 23263	   	281.69	ACR|3LIT|2VULN|1MLV|2CDMG|1DMG	1RCR|25aLIT|3MLV|4aCDMG|6AART|7DMG|8BEXP|9aVULN|aBPWR
33	51333 22342	   	281.27	ACR|2LIT|3VULN|3DMG|1ASPD	1RCR|28LIT|3ASPD|4MBVNT|589VULN|6RCVC|78aDMG|8BPWR
34	51333 88342	   	281.27	ACR|2LIT|3VULN|3DMG|1ASPD	1RCR|28LIT|3ASPD|4MBVNT|589VULN|68aDMG|7DMSP|8BPWR
35	12211 55341	 * 	280.86	ACR|3LIT|4VULN|1MLV|2DUR	18DUR|2RCR|3578VULN|4LEGI|689LIT|8BPWR|aMLV
36	33122 63326	 * 	278.94	DCR|2LIT|2VULN|1FLTARM|1DMG|1ASPD	1DMG|2ASPD|3SNITOX|4FLTARM|5ERES|68VULN|7aLIT|9RCR
37	51333 82341	   	278.07	ACR|2LIT|3VULN|2DMG|2ASPD	1RCR|28LIT|37ASPD|4MBVNT|589VULN|68DMG|8BPWR|aFEWX
38	51333 82343	   	278.07	ACR|2LIT|3VULN|2DMG|2ASPD	1RCR|28LIT|37ASPD|4MBVNT|589VULN|68DMG|8BPWR|aTLV
39	51333 82346	   	278.07	ACR|2LIT|3VULN|2DMG|2ASPD	1RCR|28LIT|37ASPD|4MBVNT|589VULN|68DMG|8BPWR|aLHND
40	51333 82348	   	278.07	ACR|2LIT|3VULN|2DMG|2ASPD	1RCR|28LIT|37ASPD|4MBVNT|589VULN|68DMG|8BPWR|aFRZICY
41	51333 82311	   	277.97	ACR|2LIT|3VULN|2DMG|2ASPD	1RCR|28LIT|37ASPD|4MBVNT|58aVULN|68DMG|8BPWR|9LEGI
42	51333 82331	   	277.97	ACR|2LIT|3VULN|2DMG|2ASPD	1RCR|28LIT|37ASPD|4MBVNT|58aVULN|68DMG|8BPWR|9DUST
43	51333 82344	   	277.97	ACR|2LIT|3VULN|2DMG|2ASPD	1RCR|28LIT|37ASPD|4MBVNT|589VULN|68DMG|8BPWR|aMULHEA
44	51333 82347	   	277.97	ACR|2LIT|3VULN|2DMG|2ASPD	1RCR|28LIT|37ASPD|4MBVNT|589VULN|68DMG|8BPWR|aDUST
45	51333 27384	 * 	277.87	ACR|3LIT|3VULN|2ASPD|2CDMG	1RCR|28aLIT|38ASPD|4MBVNT|58aVULN|6RCVC|7RMIN|8aBPWR|9aCDMG
46	51312 41633	   	277.84	ACR|2LIT|2VULN|1MLV|2CDMG|1DMG|1ASPD	1RCR|2aLIT|3ASPD|4DMG|59CDMG|6MLV|78VULN
47	51214 32432	 * 	277.37	ACR|2LIT|3DMG|1VULN|1MLV|2ASPD	1RCR|28LIT|356ERES|468DMG|68BPWR|78ASPD|9VULN|aMLV
48	51333 52322	   	276.92	ACR|3LIT|2VULN|2DMG|1AART|1ASPD	1RCR|268LIT|3ASPD|4MBVNT|58VULN|78DMG|8BPWR|9DUR|aAART
49	51112 41225	   	275.81	ACR|2LIT|2MLV|2VULN|1DMG|1CDMG	1RCR|29LIT|36MLV|4DMG|5CDMG|7RPLT|8aVULN
