0	Index      	 *	Score 	Summary	Detail	
1	53144 31235	 * 	282.16	DCR|3LIT|1FLTARM|1MLV|1VULN|1ASPD	167LIT|2LHND|3MLV|4MBVNT|5ASPD|8VULN|9RCR|aFLTARM
2	12213 13646	 * 	273.75	DCR|2LIT|3VULN|1MLV|1ASPD	1BEXP|2ASPD|345VULN|67LIT|8RPLT|9MLV|aRCR
3	51671 21411	   	273.65	DCR|2LIT|3VULN|1MLV|1ASPD	19LIT|2ASPD|3MBVNT|467VULN|5FEWX|8MLV|aRCR
4	54811 21411	   	273.65	DCR|2LIT|3VULN|1MLV|1ASPD	19LIT|2MBVNT|367VULN|4ASPD|5FEWX|8MLV|aRCR
5	53132 61211	 * 	271.68	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	19LIT|2LHND|3MLV|4CGEN|57VULN|6DMG|8ASPD|aRCR
6	53134 11211	   	271.68	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	19LIT|2LHND|3MLV|4CGEN|5DMG|67VULN|8ASPD|aRCR
7	53162 61211	   	271.68	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	19LIT|2LHND|3MLV|4RMIN|57VULN|6DMG|8ASPD|aRCR
8	53164 11211	   	271.68	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	19LIT|2LHND|3MLV|4RMIN|5DMG|67VULN|8ASPD|aRCR
9	54284 31234	   	271.58	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	18LIT|2MBVNT|3LWND|4DMG|5ASPD|6MLV|79VULN|aRCR
10	53144 71234	   	271.58	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	18LIT|2LHND|3MLV|4MBVNT|5ASPD|6DMG|79VULN|aRCR
11	51671 21431	 * 	269.95	DCR|4VULN|1LIT|1MLV|1ASPD	1LIT|2ASPD|3MBVNT|4679VULN|5FEWX|8MLV|aRCR
12	54811 21431	   	269.95	DCR|4VULN|1LIT|1MLV|1ASPD	1LIT|2MBVNT|3679VULN|4ASPD|5FEWX|8MLV|aRCR
13	53162 31114	   	268.61	DCR|3LIT|1FLTARM|1VULN|1MLV	167LIT|2LHND|3MLV|4RMIN|5VULN|8FEWX|9RCR|aFLTARM
14	54171 21211	   	266.94	DCR|2LIT|3VULN|1MLV	19LIT|2MBVNT|3MLV|467VULN|5FEWX|8ZMB|aRCR
15	15224 61211	   	264.97	DCR|2LIT|2VULN|1MLV|1DMG	1BEXP|27VULN|3MLV|49LIT|5RMIN|6DMG|8ZMB|aRCR
16	15222 61211	   	264.87	DCR|2LIT|2VULN|1MLV|1DMG	1BEXP|27VULN|3MLV|49LIT|5ERES|6DMG|8ZMB|aRCR
17	54283 31234	   	264.87	DCR|2LIT|2VULN|1MLV|1DMG	18LIT|2MBVNT|3LWND|4DMG|5ZMB|6MLV|79VULN|aRCR
18	53144 31237	 * 	264.47	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD	167LIT|2LHND|3MLV|4MBVNT|5ASPD|8VULN|9RCR|aDMG
19	51621 34127	 * 	264.17	DCR|2LIT|2VULN|1MLV|2ASPD	18LIT|28ASPD|3MBVNT|4BEXP|5BELT|6MLV|78VULN|8BPWR|9RMIN|aRCR
20	51674 12411	   	263.97	DCR|2LIT|2VULN|1MLV|2ASPD	19LIT|25ASPD|3MBVNT|46VULN|7FEWX|8MLV|aRCR
21	54814 12411	   	263.97	DCR|2LIT|2VULN|1MLV|2ASPD	19LIT|2MBVNT|36VULN|45ASPD|7FEWX|8MLV|aRCR
22	54214 11411	   	263.97	DCR|2LIT|2VULN|1MLV|2ASPD	19LIT|2MBVNT|3LWND|45ASPD|67VULN|8MLV|aRCR
23	51614 11411	   	263.87	DCR|2LIT|2VULN|1MLV|2ASPD|1DUR	19LIT|25ASPD|3MBVNT|4DUR|67VULN|8MLV|aRCR
24	12213 11646	 * 	263.34	DCR|3VULN|1LIT|1MLV|2ASPD	1BEXP|27ASPD|345VULN|6LIT|8RPLT|9MLV|aRCR
25	12213 42346	   	263.34	DCR|3VULN|1LIT|1MLV|2ASPD	1BEXP|27ASPD|345VULN|6RPLT|8LIT|9MLV|aRCR
26	15231 32244	 * 	263.25	DCR|4VULN|1MLV|1DMG|1CDMG	1BEXP|2589VULN|3MLV|4ZMB|6CDMG|7DMG|aRCR
27	54171 21231	   	263.24	DCR|4VULN|1LIT|1MLV	1LIT|2MBVNT|3MLV|4679VULN|5FEWX|8ZMB|aRCR
28	51674 12431	   	263.24	DCR|3VULN|1LIT|1MLV|2ASPD	1LIT|25ASPD|3MBVNT|469VULN|7FEWX|8MLV|aRCR
29	54814 12431	   	263.24	DCR|3VULN|1LIT|1MLV|2ASPD	1LIT|2MBVNT|369VULN|45ASPD|7FEWX|8MLV|aRCR
30	51212 66311	 * 	263.06	DCR|2LIT|2DMG|1VULN|1MLV|1ASPD	19LIT|2ASPD|3CGEN|4FEWX|5VULN|68DMG|7MLV|aRCR
31	12222 66311	   	262.96	DCR|2LIT|2DMG|1VULN|1MLV|1ASPD	1BEXP|2ASPD|3VULN|49LIT|5ERES|68DMG|7MLV|aRCR
32	12533 36533	   	262.72	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1BEXP|2ASPD|3DMG|4MLV|5VULN|6RPLT|79LIT|8RCR|aCDMG
33	12213 16211	 * 	261.72	DCR|2LIT|3VULN|1DMG|1ASPD	1BEXP|2ASPD|345VULN|69LIT|7LHND|8DMG|aRCR
34	15213 42232	   	261.70	DCR|4VULN|1LIT|1MLV	1BEXP|2458VULN|3MLV|6RPLT|7RCR|9SPLARM|aLIT
35	12213 13221	   	261.62	DCR|2LIT|3VULN|1DMG|1ASPD|1DUR	1BEXP|2ASPD|345VULN|67LIT|8DMG|9DUR|aRCR
36	25333 62361	   	261.32	DCR|3VULN|1LIT|1MLV|1CDMG	15VENICY|2ZMB|3CDMG|456VULN|5BPWR|7LIT|8RCR|9MLV|aRMIN
37	25333 62363	   	261.32	DCR|3VULN|1LIT|1MLV|1CDMG	15VENICY|2ZMB|3CDMG|456VULN|5BPWR|7LIT|8RCR|9MLV|aFEWX
38	35333 62361	   	261.32	DCR|3VULN|1LIT|1MLV|1CDMG	15CANTOX|2ZMB|3CDMG|456VULN|5BPWR|7LIT|8RCR|9MLV|aRMIN
39	35333 62363	   	261.32	DCR|3VULN|1LIT|1MLV|1CDMG	15CANTOX|2ZMB|3CDMG|456VULN|5BPWR|7LIT|8RCR|9MLV|aFEWX
