0	Index      	 *	Score 	Summary	Detail	
1	42254 23232	 * 	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1SPLJET|2LHND|35VULN|4DUR|6TBNT|7AEBURN|8RCR|9CDMG|aMDPS
2	34633 24332	 * 	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	18FEWX|2DUR|38VULN|4ERES|5TLV|68LHND|7RCR|8BPWR|9VENICY|aMDPS
3	32433 64332	   	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	1FEWX|2LWND|3DUR|4ZMB|5TLV|68VULN|7RCR|9FRZARM|aMDPS
4	41324 14131	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1SPLJET|28VULN|3TLV|4DUR|5MBVNT|6CGEN|7RCR|9BELT|aMDPS
5	22355 52111	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1AEBURN|2CGEN|36VULN|4DUR|5ZMB|7RCR|8TLV|9MDPS|aAEWIND
6	22355 52112	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1AEBURN|2CGEN|36VULN|4DUR|5ZMB|7RCR|8TLV|9MDPS|aFLTHEA
7	22355 52113	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1AEBURN|2CGEN|36VULN|4DUR|5ZMB|7RCR|8TLV|9MDPS|aMLV
8	41632 26132	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1SPLJET|25VULN|3ZMB|4FRZICY|6RCR|7TBNT|8DUR|9TLV|aMDPS
9	46132 21532	 * 	357.20	ACR|2VULN|1MDPS|1CDMG|2DUR|1TLV	18SPLJET|2RCR|38VULN|4TLV|5CDMG|68DUR|7BBNT|8BPWR|9MLV|aMDPS
10	41324 14125	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1SPLJET|28VULN|3TLV|4DUR|5MBVNT|6CGEN|7RCR|9AME|aMDPS
11	41324 14162	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1SPLJET|28VULN|3TLV|4DUR|5MBVNT|6CGEN|7RCR|9LEGI|aMDPS
12	51462 24243	 * 	348.39	DCR|2MDPS|1CDMG|1TLV|1DUR	1TLV|2MBVNT|3BBNT|4DUR|5CDMG|6LHND|7RCR|8TBNT|9aMDPS
13	56322 21153	 * 	344.73	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1AART	1TLV|2BBNT|3VULN|4LHND|5CDMG|6AART|7RPLT|8DUR|9RCR|aMDPS
14	34424 13133	   	344.73	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1AART	1FEWX|2DUR|3AART|4ERES|5CDMG|6TLV|7RCVC|8RCR|9VULN|aMDPS
15	34462 13133	   	344.73	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1AART	1FEWX|2DUR|3AART|4CDMG|5ERES|6TLV|7RCVC|8RCR|9VULN|aMDPS
16	56222 11253	   	344.73	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1AART	1TLV|2BBNT|3DUR|4LWND|5CDMG|6AART|7RPLT|8VULN|9RCR|aMDPS
17	11535 21322	 * 	342.53	DCR|1MDPS|1VULN|2DMG|1CDMG|1DUR	1LIT|2MBVNT|3RPLT|4DUR|58DMG|6VULN|7CDMG|9RCR|aMDPS
18	41231 63612	 * 	340.15	4VULN|1MDPS|1TLV|1DUR	1SPLJET|2389VULN|4AEFBLL|5DUR|6FLTARM|7TLV|aMDPS
19	41333 36252	   	340.15	4VULN|1MDPS|1TLV|1DUR	1SPLJET|2789VULN|3TLV|4VENFST|5BOSS|6DUR|aMDPS
20	52362 16322	 * 	338.08	DCR|DCR|2VULN|1TLV|1DUR	1TLV|2ERES|3RPLT|4BOSS|5aVULN|6DUR|79RCR|8LWND
21	16151 23336	 * 	338.08	2MDPS|2VULN|1TLV|1DUR	1LIT|2TLV|3ERES|4BEXP|5DUR|68VULN|7FEWX|9aMDPS
22	52221 23336	   	338.08	2MDPS|2VULN|1TLV|1DUR	1TLV|2ERES|3LWND|4LIT|5DUR|68VULN|7FEWX|9aMDPS
23	16111 23336	   	337.98	2MDPS|2VULN|1TLV|1DUR	1LIT|2TLV|3ERES|4DUST|5DUR|68VULN|7FEWX|9aMDPS
24	54111 23336	   	337.98	2MDPS|2VULN|1TLV|1DUR	1TLV|2LIT|3ERES|4DUST|5DUR|68VULN|7FEWX|9aMDPS
25	11535 21622	 * 	337.39	DCR|1MDPS|1VULN|2CDMG|1DMG|1DUR	1LIT|2MBVNT|3RPLT|4DUR|5DMG|6VULN|78CDMG|9RCR|aMDPS
26	32463 43223	 * 	334.21	DCR|4VULN|1DMG|1DUR	1FEWX|2LWND|3DUR|4678VULN|5RAT|9RCR|aDMG
27	34623 43223	   	334.21	DCR|4VULN|1DMG|1DUR	1FEWX|2DUR|3678VULN|4LWND|5RAT|9RCR|aDMG
28	41431 21612	   	333.91	4VULN|1MDPS|1DMG|1DUR	1SPLJET|2689VULN|3SNIFST|4DUR|5DMG|7AEBURN|aMDPS
29	41125 22253	 * 	331.74	DCR|DCR|2VULN|1MDPS|1DMG|1DUR	1SPLJET|25VULN|3MDPS|4DUR|6DUST|7FEWX|8aRCR|9DMG
30	41623 11531	   	331.14	DCR|2VULN|1MDPS|1DUR	1SPLJET|28VULN|3ZMB|4DUR|5BELT|6RMIN|7LWND|9RCR|aMDPS
31	41623 16231	   	331.14	DCR|2VULN|1MDPS|1DUR	1SPLJET|27VULN|3ZMB|4DUR|5BELT|6RMIN|8LWND|9RCR|aMDPS
32	41623 21531	   	331.14	DCR|2VULN|1MDPS|1DUR	1SPLJET|28VULN|3ZMB|4DUR|5BELT|6CGEN|7LWND|9RCR|aMDPS
33	41623 26231	   	331.14	DCR|2VULN|1MDPS|1DUR	1SPLJET|27VULN|3ZMB|4DUR|5BELT|6CGEN|8LWND|9RCR|aMDPS
