0	Index      	 *	Score 	Summary	Detail	
1	23232 43414	 * 	377.31	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1BBNT|2TLV|3DMG|4DUR|59VULN|6AAC|7RCR|8AETHUN|aMDPS
2	25611 21232	 * 	364.25	DCR|4VULN|2DMG|2DUR	1BBNT|25DMG|3458VULN|5BPWR|6LHND|79DUR|aRCR
3	25611 21235	 * 	364.25	4VULN|1MDPS|2DMG|2DUR	1BBNT|25DMG|3458VULN|5BPWR|6LHND|79DUR|aMDPS
4	23232 24134	 * 	358.05	2MDPS|2VULN|1TLV|1DMG|1DUR	1BBNT|2TLV|3DMG|4DUR|58VULN|6TSLFST|7RCVC|9aMDPS
5	23232 54134	   	358.05	2MDPS|2VULN|1TLV|1DMG|1DUR	1BBNT|2TLV|3DMG|4DUR|58VULN|6AEBURN|7FRZARM|9aMDPS
6	23236 24134	   	358.05	2MDPS|2VULN|1TLV|1DMG|1DUR	1BBNT|2TLV|3DMG|4DUR|5AIRBOS|68VULN|7RCVC|9aMDPS
7	23232 22134	   	357.95	2MDPS|2VULN|1TLV|1DMG|1DUR	1BBNT|2TLV|3DMG|4DUR|58VULN|6TSLFST|7AEBURN|9aMDPS
8	23236 22134	   	357.95	2MDPS|2VULN|1TLV|1DMG|1DUR	1BBNT|2TLV|3DMG|4DUR|5AIRBOS|68VULN|7AEBURN|9aMDPS
9	22223 36254	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1BBNT|2LHND|3TLV|4FEWX|5DUR|6BLASTR|78VULN|9RCR|aMDPS
10	23123 36254	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1BBNT|2TLV|3LWND|4FEWX|5DUR|6BLASTR|78VULN|9RCR|aMDPS
11	22213 63254	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1BBNT|2LHND|3TLV|48VULN|5DUR|6DUST|7AIRBOS|9RCR|aMDPS
12	23113 63254	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1BBNT|2TLV|3LWND|48VULN|5DUR|6DUST|7AIRBOS|9RCR|aMDPS
13	26351 21136	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1BBNT|235ASPD|45VULN|5BPWR|6DUR|7TLV|8BELT|9RCR|aMDPS
14	25611 21142	   	351.80	DCR|4VULN|2DMG|1DUR	1BBNT|25DMG|3459VULN|5BPWR|68LHND|7DUR|aRCR
15	25611 31252	   	351.70	DCR|4VULN|2DMG|1DUR	1BBNT|25DMG|3458VULN|5BPWR|6AME|7DUR|9CGEN|aRCR
16	25232 11414	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1BBNT|2DMG|3NUKE|4DUR|59VULN|6LHND|7AAC|8RCR|aMDPS
17	25332 11414	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1BBNT|2DMG|3ASPD|4DUR|59VULN|6LHND|7AAC|8RCR|aMDPS
18	25113 12254	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1BBNT|2DMG|3LWND|48VULN|5DUR|6FEWX|7TSLARM|9RCR|aMDPS
19	21233 33414	   	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	1BBNT|2CGEN|3DMG|4DUR|5ASPD|69VULN|7RCR|8AETHUN|aMDPS
20	25111 22254	   	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	1BBNT|2DMG|3LWND|48VULN|5DUST|6DUR|7TSLARM|9RCR|aMDPS
21	23221 35534	 * 	347.50	DCR|1MDPS|2TLV|2CDMG|2DMG|2DUR	1BBNT|29TLV|34DMG|59CDMG|69DUR|7AETHUN|8RCR|9BPWR|aMDPS
