0	Index      	 *	Score 	Summary	Detail	
1	21311 22633	 * 	384.65	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1DUR|2BBNT|37VULN|4FRZARM|5CDMG|6RCR|8TLV|9ASPD|aMDPS
2	26313 42438	 * 	384.32	DCR|2MDPS|1VULN|1TLV|1DUR	1DUR|2CGEN|3MBVNT|4VULN|5TLV|6RCR|7RAT|8BEXP|9aMDPS
3	26313 42538	   	384.32	DCR|2MDPS|1VULN|1TLV|1DUR	1DUR|2CGEN|3MBVNT|4VULN|5TLV|6RCR|7RAT|8LWND|9aMDPS
4	26313 45143	 * 	384.22	DCR|2MDPS|1VULN|1CDMG|1TLV|1DUR	1DUR|2CGEN|3MBVNT|4VULN|5TLV|6RCR|7BEXP|8aMDPS|9CDMG
5	62313 45143	   	384.22	DCR|2MDPS|1VULN|1CDMG|1TLV|1DUR	1MLV|2DUR|3MBVNT|4VULN|5TLV|6RCR|7BEXP|8aMDPS|9CDMG
6	21333 26245	 * 	361.13	5VULN|1MDPS|1DUR|1AART	1DUR|2BBNT|36789VULN|4TBNT|5AART|aMDPS
7	12662 51313	 * 	359.03	ACR|3VULN|1MDPS|3DUR	178FEWX|278DUR|3RCR|49DUST|5ERES|678VULN|78BPWR|aMDPS
8	12663 51313	   	359.03	ACR|3VULN|1MDPS|3DUR	178FEWX|278DUR|3RCR|49DUST|5AME|678VULN|78BPWR|aMDPS
9	12663 51323	   	359.03	ACR|3VULN|1MDPS|3DUR	178FEWX|278DUR|3RCR|4DUST|59AME|678VULN|78BPWR|aMDPS
10	21311 22123	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BBNT|37VULN|4FRZARM|5CDMG|6RCR|8ZMB|9RMIN|aMDPS
11	21311 22163	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BBNT|37VULN|4FRZARM|5CDMG|6RCR|8ZMB|9CGEN|aMDPS
12	21314 26523	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BBNT|38VULN|4FRZARM|5AAC|6CDMG|7RCR|9RMIN|aMDPS
13	21311 22133	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BBNT|37VULN|4FRZARM|5CDMG|6RCR|8ZMB|9ASPD|aMDPS
14	21311 22143	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BBNT|37VULN|4FRZARM|5CDMG|6RCR|8ZMB|9ERES|aMDPS
15	21311 22233	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BBNT|37VULN|4FRZARM|5CDMG|6RCR|8CGEN|9ASPD|aMDPS
16	21311 22511	 * 	358.44	DCR|2VULN|1MDPS|2CDMG|1DUR	1DUR|2BBNT|37VULN|4FRZARM|5aCDMG|6RCR|8BELT|9MDPS
17	21311 22512	 * 	358.44	DCR|2VULN|1MDPS|2CDMG|2DUR	1aDUR|2BBNT|37VULN|4aFRZARM|5aCDMG|6RCR|8BELT|9MDPS|aBPWR
18	21311 22513	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BBNT|37VULN|4FRZARM|5CDMG|6RCR|8BELT|9MDPS|aAEWIND
19	21311 22514	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BBNT|37VULN|4FRZARM|5CDMG|6RCR|8BELT|9MDPS|aDUST
20	21311 22515	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BBNT|37VULN|4FRZARM|5CDMG|6RCR|8BELT|9MDPS|aBEXP
21	21311 22516	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR|1MSE	1DUR|2BBNT|37VULN|4FRZARM|5CDMG|6RCR|8BELT|9MDPS|aMSE
22	21311 36523	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BBNT|38VULN|4FRZARM|5CDMG|6ASPD|7RCR|9RMIN|aMDPS
23	21311 36563	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BBNT|38VULN|4FRZARM|5CDMG|6ASPD|7RCR|9CGEN|aMDPS
24	21314 26533	   	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BBNT|38VULN|4FRZARM|5AAC|6CDMG|7RCR|9ASPD|aMDPS
25	21323 65235	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BBNT|39VULN|4ERES|5LEGI|6CDMG|7RCR|8FEWX|aMDPS
26	21323 65353	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BBNT|38VULN|4ERES|5LEGI|6CDMG|7RCR|9LIT|aMDPS
27	21311 22451	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BBNT|37VULN|4FRZARM|5CDMG|6RCR|8DUST|9MDPS|aDMSP
28	21311 22452	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BBNT|37VULN|4aFRZARM|5CDMG|6RCR|8DUST|9MDPS
29	21311 22453	   	358.34	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2BBNT|37VULN|4FRZARM|5CDMG|6RCR|8DUST|9MDPS|aLHND
