0	Index      	 *	Score 	Summary	Detail	
1	35324 13348	 * 	400.89	DCR|3VULN|1MDPS|2DUR|1AART|1SELL	19DUR|2AAC|3MBVNT|459VULN|6AART|7RCR|8SELL|9BPWR|aMDPS
2	31324 84236	 * 	398.83	DCR|3VULN|1MDPS|3DUR	178DUR|27ERES|3MBVNT|457VULN|6RCR|7BPWR|9RCVC|aMDPS
3	31324 84286	   	398.83	DCR|3VULN|1MDPS|3DUR	178DUR|27ERES|3MBVNT|457VULN|6RCR|7BPWR|9DMSP|aMDPS
4	31324 84861	   	398.83	DCR|3VULN|1MDPS|3DUR	179DUR|27ERES|3MBVNT|457VULN|6RCR|7BPWR|8LIT|aMDPS
5	31324 84226	   	398.73	DCR|3VULN|1MDPS|3DUR	178DUR|27ERES|3MBVNT|457VULN|6RCR|7BPWR|9AEFBLL|aMDPS
6	35324 13455	   	388.48	DCR|3VULN|1MDPS|1DUR|1AART	1DUR|2AAC|3MBVNT|458VULN|6AART|7RCR|9VENICY|aMDPS
7	35324 13481	   	388.48	DCR|3VULN|1MDPS|1DUR|1AART	1DUR|2AAC|3MBVNT|458VULN|6AART|7RCR|9MDPS|aZMB
8	35324 13482	   	388.48	DCR|3VULN|1MDPS|1TLV|1DUR|1AART	1DUR|2AAC|3MBVNT|458VULN|6AART|7RCR|9MDPS|aTLV
9	35324 13483	   	388.48	DCR|3VULN|1MDPS|1DUR|1AART	1DUR|2AAC|3MBVNT|458VULN|6AART|7RCR|9MDPS|aAME
10	35324 13484	   	388.48	DCR|3VULN|1MDPS|1DUR|1AART	1DUR|2AAC|3MBVNT|458VULN|6AART|7RCR|9MDPS|aLWND
11	35324 13485	   	388.48	DCR|3VULN|1MDPS|2DUR|1AART	1aDUR|2AAC|3MBVNT|458VULN|6AART|7RCR|9MDPS
12	35324 13486	   	388.48	DCR|3VULN|1MDPS|1DUR|1AART	1DUR|2AAC|3MBVNT|458VULN|6AART|7RCR|9MDPS|aBEXP
13	35324 13487	   	388.48	DCR|3VULN|1MDPS|1DUR|1AART	1DUR|2AAC|3MBVNT|458VULN|6AART|7RCR|9MDPS|aASPD
14	35324 13488	   	388.48	DCR|3VULN|1MDPS|1DUR|1AART	1DUR|2AAC|3MBVNT|458VULN|6AART|7RCR|9MDPS|aDUST
15	35324 13358	   	388.34	DCR|3VULN|1MDPS|1DUR|1AART|1SELL	1DUR|2AAC|3MBVNT|459VULN|6AART|7RCR|8SELL|aMDPS
16	31324 81346	   	387.38	DCR|3VULN|1MDPS|2DUR	19DUR|2ERES|3MBVNT|459VULN|6RCR|79LWND|8BBNT|9BPWR|aMDPS
17	31324 84836	   	387.38	DCR|3VULN|1MDPS|2DUR	17DUR|27ERES|3MBVNT|457VULN|6RCR|7BPWR|89LIT|aMDPS
18	31324 84561	   	387.28	DCR|3VULN|1MDPS|2DUR	17DUR|27ERES|3MBVNT|457VULN|6RCR|7BPWR|8RMIN|9MDPS|aLHND
19	31324 84562	   	387.28	DCR|3VULN|1MDPS|2DUR	17DUR|27ERES|3MBVNT|457VULN|6RCR|7BPWR|8RMIN|9MDPS|aBELT
20	31324 84563	   	387.28	DCR|3VULN|1MDPS|2DUR	17DUR|27ERES|3MBVNT|457VULN|6RCR|7BPWR|8RMIN|9MDPS|aLWND
21	31324 84564	 * 	387.28	DCR|4VULN|1MDPS|2DUR	17DUR|27ERES|3MBVNT|457aVULN|6RCR|7BPWR|8RMIN|9MDPS
22	21345 61384	 * 	385.51	DCR|2MDPS|1VULN|1CDMG|1DUR	1CGEN|2VULN|3MBVNT|4RAT|5LIT|6CDMG|7DUR|8RCR|9aMDPS
23	31322 18628	   	385.41	DCR|2MDPS|1VULN|1CDMG|1DUR	1DUR|2ERES|3MBVNT|4VULN|5RPLT|6RCR|7CDMG|8AAC|9aMDPS
24	31324 61483	 * 	384.55	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1DUR|2ERES|3MBVNT|45VULN|6CDMG|7VENICY|8RCR|9TLV|aMDPS
25	31324 61416	 * 	382.87	DCR|DCR|3VULN|1CDMG|1DUR	1DUR|2ERES|3MBVNT|45aVULN|6CDMG|7VENICY|89RCR
26	31131 64621	 * 	378.18	DCR|DCR|1MDPS|1VULN|1DMG|1DUR	1DUR|2ERES|3DMG|4LIT|5RMIN|6VULN|78RCR|9AAC|aMDPS
27	31131 64611	   	378.08	DCR|DCR|1MDPS|1VULN|1DMG|1DUR	1DUR|2ERES|3DMG|4LIT|5RMIN|6VULN|78RCR|9ASPD|aMDPS
28	21382 82436	   	374.93	DCR|3VULN|1MDPS|1DUR	1CGEN|247VULN|3MBVNT|58ZMB|6RCR|9DUR|aMDPS
