0	Index      	 *	Score 	Summary	Detail	
1	63636 23332	 * 	227.32	ACR|1BASARM|2ASPD|1DMG|1AART|1BEXP|1AAC|1SELL	16TLV|2SELL|3AAC|4RCR|56ASPD|6BPWR|7AART|8BEXP|9BASARM|aDMG
2	21436 23532	 * 	217.78	ACR|2BASARM|3DMG|1AAC	1RPLT|2AAC|368LWND|4RCR|568DMG|68BPWR|78BASARM|9RCVC|aVULN
3	21436 23511	   	217.68	ACR|2BASARM|3DMG|1AAC	1RPLT|2AAC|368LWND|4RCR|568DMG|68BPWR|78BASARM|9VULN|aAEMAG
4	21436 23513	   	217.68	ACR|2BASARM|3DMG|1AAC	1RPLT|2AAC|368LWND|4RCR|568DMG|68BPWR|78BASARM|9VULN|aDUST
5	21436 23512	   	217.53	ACR|2BASARM|3DMG|1AAC|1SELL	1RPLT|2AAC|368LWND|4RCR|568DMG|68BPWR|78BASARM|9VULN|aSELL
6	21436 23531	   	210.84	ACR|2BASARM|3DMG|1AAC	1RPLT|2AAC|368LWND|4RCR|568DMG|68BPWR|78BASARM|9RCVC|aDUR
7	21436 23221	 * 	210.84	ACR|3DMG|1BASARM|2AAC	1RPLT|29AAC|36LWND|4RCR|56aDMG|6BPWR|7BASARM|8VULN
8	21436 23522	   	210.74	ACR|2BASARM|3DMG|1AAC	1RPLT|2AAC|368LWND|4RCR|568DMG|68BPWR|78BASARM|9TLV|aRCVC
9	21436 23523	   	210.74	ACR|2BASARM|3DMG|1AAC	1RPLT|2AAC|368LWND|4RCR|568DMG|68BPWR|78BASARM|9TLV|aDUR
10	21436 23533	   	210.74	ACR|2BASARM|3DMG|1AAC	1RPLT|2AAC|368LWND|4RCR|568DMG|68BPWR|78BASARM|9RCVC|aDLOT
11	21436 23521	   	210.64	ACR|2BASARM|3DMG|1AAC	1RPLT|2AAC|368LWND|4RCR|568DMG|68BPWR|78BASARM|9TLV|aDUST
12	21436 23225	   	208.83	ACR|1BASARM|2DMG|2AAC|1AART	1RPLT|29AAC|36LWND|4RCR|56DMG|6BPWR|7BASARM|8VULN|aAART
13	21436 23433	   	207.70	ACR|1BASARM|2DMG|1BEXP|1CDMG|1AAC	1RPLT|2AAC|36LWND|4RCR|56DMG|6BPWR|7BASARM|8CDMG|9BEXP|aRCVC
14	21436 23431	   	207.60	ACR|1BASARM|2DMG|1BEXP|1CDMG|1AAC	1RPLT|2AAC|36LWND|4RCR|56DMG|6BPWR|7BASARM|8CDMG|9BEXP|aDUST
15	21436 23432	   	207.60	ACR|1BASARM|2DMG|1BEXP|1CDMG|1AAC	1RPLT|2AAC|36LWND|4RCR|56DMG|6BPWR|7BASARM|8CDMG|9BEXP|aSPLARM
16	63636 23331	 * 	207.26	ACR|1BASARM|2ASPD|1BEXP|1AART|1AAC|1SELL	16TLV|2SELL|3AAC|4RCR|56ASPD|6BPWR|7AART|8BEXP|9BASARM|aCGEN
17	21436 23321	   	203.90	ACR|3DMG|1BASARM|2AAC	1RPLT|29AAC|36LWND|4RCR|56aDMG|6BPWR|7BASARM|8LHND
18	21436 23131	   	202.99	ACR|3DMG|1BASARM|1AAC	1RPLT|2AAC|36LWND|4RCR|56aDMG|6BPWR|7BASARM|8RCVC|9VULN
19	32663 52214	 * 	201.44	ACR|1BASARM|2BEXP|1DMG|1AART	12MLV|2BPWR|3RCR|46BEXP|5FEWX|7BASARM|8AART|9MBVNT|aDMG
20	21436 23135	   	200.99	ACR|1BASARM|2DMG|1AART|1AAC	1RPLT|2AAC|36LWND|4RCR|56DMG|6BPWR|7BASARM|8RCVC|9VULN|aAART
21	21436 23243	   	200.99	ACR|1BASARM|2DMG|1CDMG|1AAC	1RPLT|2AAC|36LWND|4RCR|56DMG|6BPWR|7BASARM|8VULN|9CDMG|aRCVC
22	21436 23262	   	200.99	ACR|1BASARM|2DMG|1AART|1AAC	1RPLT|2AAC|36LWND|4RCR|56DMG|6BPWR|7BASARM|8VULN|9CGEN|aAART
23	21436 23241	   	200.89	ACR|1BASARM|2DMG|1CDMG|1AAC	1RPLT|2AAC|36LWND|4RCR|56DMG|6BPWR|7BASARM|8VULN|9CDMG|aDUST
24	21436 23242	   	200.89	ACR|1BASARM|2DMG|1CDMG|1AAC	1RPLT|2AAC|36LWND|4RCR|56DMG|6BPWR|7BASARM|8VULN|9CDMG|aFLTARM
