0	Index      	 *	Score 	Summary	Detail	
1	23235 31222	 * 	251.36	ACR|3DMG|1BASARM|2BEXP|1ASPD|2CDMG	18BEXP|248DMG|3LWND|5RCR|6ZMB|78CDMG|8BPWR|9BASARM|aASPD
2	23235 31226	   	245.95	ACR|3DMG|1BASARM|2BEXP|2CDMG|1AART	18BEXP|248DMG|3LWND|5RCR|6ZMB|78CDMG|8BPWR|9BASARM|aAART
3	13135 31222	   	236.53	ACR|3DMG|1BASARM|1ASPD|2CDMG|1BEXP	18LWND|248DMG|3BEXP|5RCR|6ZMB|78CDMG|8BPWR|9BASARM|aASPD
4	23235 31221	   	231.30	ACR|3DMG|1BASARM|2BEXP|2CDMG	18BEXP|248DMG|3LWND|5RCR|6ZMB|78CDMG|8BPWR|9BASARM|aCGEN
5	23235 31223	   	231.30	ACR|3DMG|1BASARM|2BEXP|2CDMG	18BEXP|248DMG|3LWND|5RCR|6ZMB|78CDMG|8BPWR|9BASARM|aRMIN
6	23235 31225	   	231.20	ACR|3DMG|1BASARM|2BEXP|2CDMG	18BEXP|248DMG|3LWND|5RCR|6ZMB|78CDMG|8BPWR|9BASARM|aERES
7	13135 31226	   	231.11	ACR|3DMG|1BASARM|2CDMG|1AART|1BEXP	18LWND|248DMG|3BEXP|5RCR|6ZMB|78CDMG|8BPWR|9BASARM|aAART
8	12121 21121	 * 	230.96	ACR|1BASARM|2BEXP|1VULN|1DMG|1AART|1CDMG	1LWND|2CGEN|3aBEXP|4RCR|5CDMG|6BASARM|7VULN|8DMG|9AART
9	22221 21121	   	230.96	ACR|1BASARM|2BEXP|1VULN|1DMG|1AART|1CDMG	1aBEXP|2CGEN|3LWND|4RCR|5CDMG|6BASARM|7VULN|8DMG|9AART
10	11121 21121	   	230.86	ACR|1BASARM|2BEXP|1VULN|1DMG|1AART|1CDMG	1LWND|2ERES|3aBEXP|4RCR|5CDMG|6BASARM|7VULN|8DMG|9AART
11	21221 21121	   	230.86	ACR|1BASARM|2BEXP|1VULN|1DMG|1AART|1CDMG	1aBEXP|2ERES|3LWND|4RCR|5CDMG|6BASARM|7VULN|8DMG|9AART
12	13123 63133	 * 	225.34	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1BEXP	1LWND|2DMG|3BEXP|4RCR|5AME|6AART|7TLV|8VULN|9BASARM|aASPD
13	13123 66133	   	225.34	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1BEXP	1LWND|2DMG|3BEXP|4RCR|5AME|6AART|7ERES|8VULN|9BASARM|aASPD
14	23223 63133	   	225.34	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1BEXP	1BEXP|2DMG|3LWND|4RCR|5AME|6AART|7TLV|8VULN|9BASARM|aASPD
15	23223 66133	   	225.34	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1BEXP	1BEXP|2DMG|3LWND|4RCR|5AME|6AART|7ERES|8VULN|9BASARM|aASPD
16	13335 31222	   	222.87	ACR|3DMG|1BASARM|1ASPD|2CDMG	18LWND|248DMG|3FEWX|5RCR|6ZMB|78CDMG|8BPWR|9BASARM|aASPD
17	13635 31222	   	222.77	ACR|3DMG|1BASARM|1ASPD|2CDMG	18LWND|248DMG|3DUST|5RCR|6ZMB|78CDMG|8BPWR|9BASARM|aASPD
18	23135 21262	 * 	222.09	ACR|3DMG|3BEXP|2CDMG|1VULN|1AAC	138BEXP|289DMG|4LEGI|5RCR|6AAC|78CDMG|8BPWR|aVULN
