0	Index      	 *	Score 	Summary	Detail	
1	11565 22133	 * 	225.77	ACR|1BASARM|2DMG|1ASPD|1BASICY|1BEXP	1FEWX|27LWND|3BEXP|4RCR|5BASARM|6ASPD|8aDMG|9BASICY
2	21565 22132	   	222.73	ACR|1BASARM|1ASPD|1DMG|1BASICY|1AART|1BEXP	1DUST|27LWND|3BEXP|4RCR|5BASARM|6ASPD|8DMG|9BASICY|aAART
3	11565 22123	 * 	218.61	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AART	1FEWX|27LWND|3aBEXP|4RCR|5BASARM|6ASPD|8DMG|9AART
4	21565 22123	   	218.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AART	1DUST|27LWND|3aBEXP|4RCR|5BASARM|6ASPD|8DMG|9AART
5	21565 11222	 * 	216.32	ACR|1BASARM|2VULN|1ASPD|1DMG|1BEXP	1DUST|2LWND|3BEXP|4RCR|5BASARM|6TLV|7DMG|8aVULN|9ASPD
6	11565 22131	   	208.18	ACR|1BASARM|1ASPD|1DMG|1BASICY|1BEXP	1aFEWX|27LWND|3BEXP|4RCR|5BASARM|6ASPD|8DMG|9BASICY
7	11565 21133	   	208.08	ACR|1BASARM|1ASPD|1DMG|1BASICY|1BEXP	18FEWX|2LWND|3BEXP|4RCR|5BASARM|6ASPD|7NUKE|9BASICY|aDMG
8	21565 22131	   	208.08	ACR|1BASARM|1ASPD|1DMG|1BASICY|1BEXP	1DUST|27LWND|3BEXP|4RCR|5BASARM|6ASPD|8DMG|9BASICY|aFEWX
9	21565 22133	   	207.98	ACR|1BASARM|1ASPD|1DMG|1BASICY|1BEXP	1DUST|27LWND|3BEXP|4RCR|5BASARM|6ASPD|8DMG|9BASICY|aAME
10	11565 22111	 * 	205.71	ACR|1BASARM|2ASPD|1DMG|1BEXP	1FEWX|27LWND|3BEXP|4RCR|5BASARM|6aASPD|8DMG|9ZMB
11	21565 22111	   	205.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	1DUST|27LWND|3BEXP|4RCR|5BASARM|6aASPD|8DMG|9ZMB
12	21565 11122	   	204.69	ACR|1BASARM|1ASPD|1DMG|1VULN|1BEXP	1DUST|2LWND|3BEXP|4RCR|5BASARM|6TLV|7DMG|8FEWX|9ASPD|aVULN
13	21565 11221	   	204.69	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1DUST|2LWND|3BEXP|4RCR|5BASARM|6TLV|7DMG|8VULN|9ASPD|aDUR
14	21565 11223	   	204.69	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	1DUST|2aLWND|3BEXP|4RCR|5BASARM|6TLV|7DMG|8VULN|9ASPD
15	21565 23121	   	204.69	ACR|1BASARM|1ASPD|1DMG|1VULN|1BEXP	18DUST|2LWND|3BEXP|4RCR|5BASARM|6ASPD|7LHND|9DMG|aVULN
16	21565 23321	   	204.69	ACR|1BASARM|1ASPD|1DMG|1VULN|1BEXP	1DUST|2LWND|3BEXP|4RCR|5BASARM|6ASPD|7LHND|8AEMAG|9DMG|aVULN
17	11565 22122	   	203.67	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1FEWX|27LWND|3BEXP|4RCR|5BASARM|6ASPD|8DMG|9AART|aERES
18	21565 22122	   	203.57	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1DUST|27LWND|3BEXP|4RCR|5BASARM|6ASPD|8DMG|9AART|aERES
19	21565 11123	   	202.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	1DUST|2LWND|3aBEXP|4RCR|5BASARM|6TLV|7DMG|8FEWX|9ASPD
20	11565 23231	 * 	202.31	ACR|1BASARM|2ASPD|1VULN|1BEXP	1FEWX|2LWND|3BEXP|4RCR|5BASARM|68ASPD|7LHND|9TLV|aVULN
21	21565 21121	   	202.21	ACR|1BASARM|2ASPD|1VULN|1BEXP	1DUST|2LWND|3BEXP|4RCR|5BASARM|69ASPD|7NUKE|8FEWX|aVULN
22	21565 21222	   	202.21	ACR|1BASARM|2ASPD|1VULN|1BEXP	1DUST|2LWND|3BEXP|4RCR|5BASARM|69ASPD|7NUKE|8VULN|aLHND
23	21565 21223	   	202.21	ACR|1BASARM|2ASPD|1VULN|1BEXP	1DUST|2LWND|3BEXP|4RCR|5BASARM|69ASPD|7NUKE|8VULN|aZMB
24	21565 21221	   	202.11	ACR|1BASARM|2ASPD|1VULN|1BEXP	1DUST|2LWND|3BEXP|4RCR|5BASARM|69ASPD|7NUKE|8VULN|aAEFBLL
25	11565 23211	 * 	201.30	ACR|3ASPD|1BASARM|1BEXP	19FEWX|2LWND|3BEXP|4RCR|5BASARM|68aASPD|7LHND
26	11565 22323	 * 	200.68	ACR|1BASARM|2ASPD|2BEXP	19FEWX|279LWND|3aBEXP|4RCR|5BASARM|69ASPD|8RPLT|9BPWR
27	21565 22323	   	200.48	ACR|1BASARM|2ASPD|2BEXP	19DUST|279LWND|3aBEXP|4RCR|5BASARM|69ASPD|8RPLT|9BPWR
28	11561 13263	 * 	198.56	ACR|1BASARM|2BEXP|1VULN|1ASPD	1FEWX|2LWND|39BEXP|4RCR|5LIT|6VULN|7BASARM|8DUST|aASPD
