0	Index      	 *	Score 	Summary	Detail	
1	61121 36214	 * 	244.84	ACR|2BASARM|3BEXP|2ASPD|1AAC	1AAC|2RCR|3aFEWX|46aBEXP|5LIT|79ASPD|8aBASARM|aBPWR
2	61121 36224	   	235.09	ACR|2BASARM|3BEXP|1ASPD|2AAC	19AAC|2RCR|3aFEWX|46aBEXP|5LIT|7ASPD|8aBASARM|aBPWR
3	61121 26214	   	233.57	ACR|2BASARM|2ASPD|2BEXP|1AAC	1AAC|2RCR|3aFEWX|4aBEXP|56LIT|79ASPD|8aBASARM|aBPWR
4	61121 26224	   	223.83	ACR|2BASARM|2BEXP|1ASPD|2AAC	19AAC|2RCR|3aFEWX|4aBEXP|56LIT|7ASPD|8aBASARM|aBPWR
5	61121 43116	 * 	221.79	ACR|1BASARM|2BEXP|1DMG|1CDMG|1AAC	1AAC|2RCR|3FEWX|49BEXP|5LIT|6BASARM|7DMG|8CDMG|aVULN
6	61121 43161	   	221.79	ACR|1BASARM|2BEXP|1DMG|1CDMG|1AAC	1AAC|2RCR|3FEWX|4aBEXP|5LIT|6BASARM|7DMG|8CDMG|9VULN
7	61315 12342	 * 	219.98	ACR|1BASARM|2VULN|1DMG|1AART|1CDMG|1AAC	1AAC|2RCR|34LIT|5DMG|68VULN|7AART|9CDMG|aBASARM
8	61121 43134	 * 	219.98	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1AAC|2RCR|3FEWX|4BEXP|5LIT|6BASARM|7DMG|8CDMG|9MDPS|aASPD
9	61121 43234	 * 	218.99	ACR|1BASARM|2DMG|2BEXP|1AAC	1AAC|2RCR|3aFEWX|4aBEXP|59LIT|6BASARM|7aDMG|8DMSP|aBPWR
10	61121 42232	   	218.89	ACR|1BASARM|2ASPD|2BEXP|1AAC	1AAC|2RCR|3aFEWX|4aBEXP|57LIT|6BASARM|8MDPS|9aASPD|aBPWR
11	61121 43222	   	218.89	ACR|1BASARM|2DMG|2BEXP|1AAC	1AAC|2RCR|3aFEWX|4aBEXP|5LIT|6BASARM|7aDMG|8DMSP|9MDPS|aBPWR
12	61121 36212	   	218.79	ACR|1BASARM|2ASPD|2BEXP|1AAC	1AAC|2RCR|3aFEWX|46BEXP|5LIT|79ASPD|8BASARM
13	61121 36213	   	218.79	ACR|1BASARM|2ASPD|2BEXP|1AAC	1AAC|2RCR|3FEWX|46BEXP|5LIT|79ASPD|8BASARM|aRPLT
14	61121 36215	   	218.79	ACR|1BASARM|2ASPD|2BEXP|1AAC	1AAC|2RCR|3FEWX|46BEXP|5LIT|79ASPD|8BASARM|aLHND
15	61121 36211	   	218.69	ACR|1BASARM|2ASPD|2BEXP|1AAC	1AAC|2RCR|3FEWX|46BEXP|5LIT|79ASPD|8BASARM|aDUST
16	61121 36216	   	218.69	ACR|1BASARM|2ASPD|2BEXP|1AAC	1AAC|2RCR|3FEWX|46BEXP|5LIT|79ASPD|8BASARM|aERES
17	61111 43111	   	214.85	ACR|1BASARM|2BEXP|1DMG|1CDMG|1AAC	1AAC|2RCR|3FEWX|4DUR|5LIT|6BASARM|7DMG|8CDMG|9aBEXP
18	61121 43113	   	214.85	ACR|1BASARM|2BEXP|1DMG|1CDMG|1AAC	1AAC|2RCR|3FEWX|49BEXP|5LIT|6BASARM|7DMG|8CDMG|aLHND
19	61121 43114	   	214.85	ACR|1BASARM|2BEXP|1DMG|1CDMG|1AAC	1AAC|2RCR|3FEWX|49BEXP|5LIT|6BASARM|7DMG|8CDMG|aCGEN
20	61121 43115	   	214.85	ACR|1BASARM|2BEXP|1DMG|1CDMG|1AAC	1AAC|2RCR|3FEWX|49BEXP|5LIT|6BASARM|7DMG|8CDMG|aRCVC
21	61141 43111	   	214.85	ACR|1BASARM|2BEXP|1DMG|1CDMG|1AAC	1AAC|2RCR|3FEWX|4LHND|5LIT|6BASARM|7DMG|8CDMG|9aBEXP
