0	Index      	 *	Score 	Summary	Detail	
1	62212 12542	 * 	202.40	ACR|3DMG|1BASARM|1VULN	1ERES|28CGEN|357DMG|4RCR|6VENFST|9BASARM|aVULN
2	62212 15163	 * 	202.13	ACR|2BASARM|3DMG	1aERES|27CGEN|35aDMG|4RCR|6VENFST|8LWND|9aBASARM|aBPWR
3	62211 12163	   	202.03	ACR|2BASARM|3DMG	15aERES|2CGEN|37aDMG|4RCR|6VENFST|8LWND|9aBASARM|aBPWR
4	65211 12163	   	202.03	ACR|2BASARM|3DMG	15aERES|2MLV|37aDMG|4RCR|6VENFST|8LWND|9aBASARM|aBPWR
5	62212 33241	 * 	200.28	ACR|1BASARM|2DMG|2BEXP	1ERES|2CGEN|35DMG|4RCR|6aBEXP|7LWND|8AIRHEL|9BASARM
6	65212 33241	   	200.28	ACR|1BASARM|2DMG|2BEXP	1ERES|2MLV|35DMG|4RCR|6aBEXP|7LWND|8MULARM|9BASARM
7	62212 31241	   	200.18	ACR|1BASARM|2DMG|2BEXP	1ERES|2CGEN|35DMG|4RCR|6aBEXP|7LEGI|8AIRHEL|9BASARM
8	65212 31241	   	200.18	ACR|1BASARM|2DMG|2BEXP	1ERES|2MLV|35DMG|4RCR|6aBEXP|7LEGI|8MULARM|9BASARM
9	62212 33242	 * 	199.09	ACR|1BASARM|2DMG|1BEXP|1CDMG	1ERES|2CGEN|35DMG|4RCR|6BEXP|7LWND|8AIRHEL|9BASARM|aCDMG
10	62212 33243	 * 	199.09	ACR|1BASARM|2DMG|1AART|1BEXP	1ERES|2CGEN|35DMG|4RCR|6BEXP|7LWND|8AIRHEL|9BASARM|aAART
11	65212 33242	   	199.09	ACR|1BASARM|2DMG|1BEXP|1CDMG	1ERES|2MLV|35DMG|4RCR|6BEXP|7LWND|8MULARM|9BASARM|aCDMG
12	65212 33243	   	199.09	ACR|1BASARM|2DMG|1AART|1BEXP	1ERES|2MLV|35DMG|4RCR|6BEXP|7LWND|8MULARM|9BASARM|aAART
13	62212 13242	 * 	198.99	ACR|1BASARM|2DMG|1VULN|1BEXP	1ERES|2CGEN|35DMG|4RCR|6VENFST|7BEXP|8DUST|9BASARM|aVULN
14	62212 31242	   	198.99	ACR|1BASARM|2DMG|1BEXP|1CDMG	1ERES|2CGEN|35DMG|4RCR|6BEXP|7LEGI|8AIRHEL|9BASARM|aCDMG
15	62212 31243	   	198.99	ACR|1BASARM|2DMG|1AART|1BEXP	1ERES|2CGEN|35DMG|4RCR|6BEXP|7LEGI|8AIRHEL|9BASARM|aAART
16	62212 32242	   	198.99	ACR|1BASARM|2DMG|1VULN|1BEXP	1ERES|2CGEN|35DMG|4RCR|6BEXP|7MSLFST|8DUST|9BASARM|aVULN
17	62212 34242	   	198.99	ACR|1BASARM|2DMG|1VULN|1BEXP	1ERES|2CGEN|35DMG|4RCR|6BEXP|7DUST|8AIRHEL|9BASARM|aVULN
18	65212 13242	   	198.99	ACR|1BASARM|2DMG|1VULN|1BEXP	1ERES|2MLV|35DMG|4RCR|6VENFST|7BEXP|8DUST|9BASARM|aVULN
19	65212 31242	   	198.99	ACR|1BASARM|2DMG|1BEXP|1CDMG	1ERES|2MLV|35DMG|4RCR|6BEXP|7LEGI|8MULARM|9BASARM|aCDMG
20	65212 31243	   	198.99	ACR|1BASARM|2DMG|1AART|1BEXP	1ERES|2MLV|35DMG|4RCR|6BEXP|7LEGI|8MULARM|9BASARM|aAART
21	65212 32242	   	198.99	ACR|1BASARM|2DMG|1VULN|1BEXP	1ERES|2MLV|35DMG|4RCR|6BEXP|7MSLFST|8DUST|9BASARM|aVULN
22	62216 14111	 * 	193.66	ACR|2ASPD|2DMG|1VULN|1AART	19ERES|2CGEN|39DMG|4RCR|5VULN|6LWND|79ASPD|8AART|9BPWR|aFEWX
23	62216 14112	   	193.66	ACR|2ASPD|2DMG|1VULN|1AART	19ERES|2CGEN|39DMG|4RCR|5VULN|6LWND|79ASPD|8AART|9BPWR|aRPLT
24	62216 34111	   	193.66	ACR|2ASPD|2DMG|1VULN|1AART	19ERES|2CGEN|39DMG|4RCR|5VULN|6aFEWX|79ASPD|8AART|9BPWR
25	62215 24111	   	193.66	ACR|2ASPD|2DMG|1VULN|1AART	19ERES|2CGEN|39DMG|4RCR|5LWND|6VULN|79ASPD|8AART|9BPWR|aFEWX
26	62215 24112	   	193.66	ACR|2ASPD|2DMG|1VULN|1AART	19ERES|2CGEN|39DMG|4RCR|5LWND|6VULN|79ASPD|8AART|9BPWR|aRPLT
27	11141 34224	 * 	193.58	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1CDMG|29BEXP|3DUR|4RPLT|5RCR|6RCVC|7ASPD|8LHND|aBASARM
28	11141 35124	 * 	193.58	ACR|1BASARM|2BEXP|1DMG|1CDMG	1CDMG|29BEXP|3DUR|4RPLT|5RCR|6RCVC|7LHND|8DMG|aBASARM
29	62216 14113	   	193.56	ACR|2ASPD|2DMG|1VULN|1AART	19ERES|2CGEN|39DMG|4RCR|5VULN|6LWND|79ASPD|8AART|9BPWR|aLEGI
30	62216 34112	   	193.56	ACR|2ASPD|2DMG|1VULN|1AART	19ERES|2CGEN|39DMG|4RCR|5VULN|6FEWX|79ASPD|8AART|9BPWR|aAEFBLL
31	62216 34113	   	193.56	ACR|2ASPD|2DMG|1VULN|1AART	19ERES|2CGEN|39DMG|4RCR|5VULN|6FEWX|79ASPD|8AART|9BPWR|aNUKE
32	62212 26151	   	193.56	ACR|2ASPD|2DMG|1VULN|1AART	1ERES|2CGEN|35DMG|4RCR|6ZMB|7AART|8aASPD|9VULN
33	62215 24113	   	193.56	ACR|2ASPD|2DMG|1VULN|1AART	19ERES|2CGEN|39DMG|4RCR|5LWND|6VULN|79ASPD|8AART|9BPWR|aLEGI
34	63212 26151	   	193.46	ACR|2ASPD|2DMG|1VULN|1AART	1ERES|2AAC|35DMG|4RCR|6ZMB|7AART|8aASPD|9VULN
35	63212 14152	 * 	191.56	ACR|1BASARM|2DMG|1ASPD	19ERES|2AAC|35DMG|4RCR|6SNITOX|7ASPD|8MSLFST|aBASARM
36	63212 14162	   	191.56	ACR|1BASARM|2DMG|1ASPD	1ERES|2AAC|35DMG|4RCR|6SNITOX|7ASPD|8MSLFST|9AEFBLL|aBASARM
37	11141 43131	   	191.44	ACR|1BASARM|2BEXP|1DMG|1CDMG	1CDMG|27BEXP|3DUR|4RPLT|5RCR|6FEWX|8DMG|9TLV|aBASARM
38	63214 14223	 * 	191.00	ACR|2ASPD|2DMG|1VULN|1BEXP	18ERES|2AAC|38DMG|4RCR|5LHND|6LWND|78ASPD|8BPWR|9BEXP|aVULN
39	63214 14221	 * 	189.59	ACR|2ASPD|2DMG|2BEXP	18ERES|2AAC|38DMG|4RCR|5LHND|6LWND|78ASPD|8BPWR|9aBEXP
40	62212 12541	   	187.45	ACR|3DMG|1BASARM	1ERES|28CGEN|357DMG|4RCR|6VENFST|9BASARM|aFEWX
41	62212 12543	   	187.35	ACR|3DMG|1BASARM	1ERES|28CGEN|357DMG|4RCR|6VENFST|9BASARM|aDUST
42	62212 25152	 * 	187.07	ACR|2DMG|1ASPD|1VULN|1BEXP|1CDMG	1ERES|2CGEN|35DMG|4RCR|6ZMB|7CDMG|8BEXP|9ASPD|aVULN
43	65216 13121	 * 	186.96	ACR|2DMG|2BEXP|1VULN|1ASPD	1ERES|2MLV|38DMG|4RCR|5VULN|6LWND|7aBEXP|9ASPD
44	65216 33121	   	186.96	ACR|2DMG|1VULN|2BEXP|1ASPD	1ERES|2MLV|38DMG|4RCR|5VULN|6FEWX|7aBEXP|9ASPD
45	65215 23121	   	186.96	ACR|2DMG|2BEXP|1VULN|1ASPD	1ERES|2MLV|38DMG|4RCR|5LWND|6VULN|7aBEXP|9ASPD
46	63216 34321	 * 	186.86	ACR|2ASPD|1VULN|2BEXP|1DMG	1ERES|2AAC|3DMG|4RCR|5VULN|6FEWX|78ASPD|9aBEXP
47	62211 15163	   	186.38	ACR|2BASARM|2DMG	15aERES|27CGEN|3aDMG|4RCR|6VENFST|8LWND|9aBASARM|aBPWR
48	11641 34313	 * 	185.98	ACR|2ASPD|1VULN|2BEXP|1CDMG|1AAC	1CDMG|2aBEXP|3VULN|4RPLT|5RCR|6RCVC|78ASPD|9AAC
49	65216 13123	 * 	185.65	ACR|2VULN|2DMG|1ASPD|1BEXP	1ERES|2MLV|38DMG|4RCR|5aVULN|6LWND|7BEXP|9ASPD
