0	Index      	 *	Score 	Summary	Detail	
1	24752 44713	 * 	264.70	ACR|2BASARM|3BEXP|2ASPD|2CDMG	1MBVNT|2RCR|3aASPD|4AAC|5aCDMG|6aBASARM|789BEXP|aBPWR
2	24715 48332	 * 	261.88	ACR|1BASARM|2ASPD|2DMG|2BEXP|1AART	1MBVNT|2RCR|38ASPD|4RPLT|5MLV|68DMG|78BEXP|8BPWR|9BASARM|aAART
3	24164 84352	   	260.09	ACR|2BASARM|2ASPD|2CDMG|2AAC|1BEXP|1AART	1MBVNT|2RCR|3aAAC|49CDMG|5AART|6BEXP|79BASARM|89ASPD|9BPWR
4	24164 84354	   	259.19	ACR|2BASARM|2ASPD|2CDMG|1AART|1BEXP	1MBVNT|2RCR|3AAC|49CDMG|5AART|6BEXP|79BASARM|89ASPD|9BPWR|aVULN
5	24164 84351	   	252.25	ACR|2BASARM|2ASPD|2CDMG|1AART|1BEXP	1MBVNT|2RCR|3AAC|49CDMG|5AART|6BEXP|79BASARM|89ASPD|9BPWR|aMLV
6	24164 84353	   	252.25	ACR|2BASARM|2ASPD|2CDMG|1BEXP|1AART	1MBVNT|2RCR|3AAC|49CDMG|5AART|6BEXP|79BASARM|89ASPD|9BPWR|aRPLT
7	24736 61124	 * 	249.60	ACR|3ASPD|1BASARM|3VULN|2CDMG	1MBVNT|2RCR|348ASPD|568VULN|78CDMG|8BPWR|9CGEN|aBASARM
8	24715 48331	   	248.23	ACR|1BASARM|2ASPD|2DMG|2BEXP	1MBVNT|2RCR|38ASPD|4RPLT|5MLV|68DMG|78BEXP|8BPWR|9BASARM|aDMSP
9	24715 48333	   	248.23	ACR|1BASARM|2ASPD|2DMG|2BEXP	1MBVNT|2RCR|38ASPD|4RPLT|5MLV|68DMG|78BEXP|8BPWR|9BASARM|aCGEN
10	24715 48334	   	248.23	ACR|1BASARM|2ASPD|2DMG|2BEXP	1MBVNT|2RCR|38ASPD|4RPLT|5MLV|68DMG|78BEXP|8BPWR|9BASARM|aBELT
11	24752 44612	 * 	247.99	ACR|3ASPD|1BASARM|2BEXP|1CDMG	1MBVNT|2RCR|38aASPD|4AAC|5CDMG|6BASARM|79BEXP
12	24752 42462	 * 	247.94	ACR|2BASARM|3ASPD|1AART|1CDMG	1MBVNT|2RCR|39aASPD|4AAC|5CDMG|6aBASARM|7AART|8aCGEN|aBPWR
13	24752 42262	   	247.74	ACR|2BASARM|3ASPD|1AART|1CDMG	1MBVNT|2RCR|39aASPD|4AAC|5CDMG|6aBASARM|7AART|8aTLV|aBPWR
14	24164 14352	   	246.44	ACR|2BASARM|2ASPD|2CDMG|2AAC|1AART	1MBVNT|2RCR|3aAAC|49CDMG|5AART|6DUR|79BASARM|89ASPD|9BPWR
15	24164 54352	   	246.44	ACR|2BASARM|2ASPD|2CDMG|2AAC|1AART	1MBVNT|2RCR|3aAAC|49CDMG|5AART|6LWND|79BASARM|89ASPD|9BPWR
16	24164 74352	   	246.44	ACR|2BASARM|2ASPD|2CDMG|2AAC|1AART	1MBVNT|2RCR|3aAAC|49CDMG|5AART|6FEWX|79BASARM|89ASPD|9BPWR
17	24433 16283	 * 	246.10	ACR|3ASPD|1BASARM|2BEXP|2VULN	1MBVNT|2RCR|38VULN|4SNITOX|58BEXP|678ASPD|8BPWR|9LIT|aBASARM
18	24164 14354	   	245.54	ACR|2BASARM|2ASPD|2CDMG|1AART	1MBVNT|2RCR|3AAC|49CDMG|5AART|6DUR|79BASARM|89ASPD|9BPWR|aVULN
19	24164 54354	   	245.54	ACR|2BASARM|2ASPD|2CDMG|1AART	1MBVNT|2RCR|3AAC|49CDMG|5AART|6LWND|79BASARM|89ASPD|9BPWR|aVULN
20	24164 74354	   	245.54	ACR|2BASARM|2ASPD|2CDMG|1AART	1MBVNT|2RCR|3AAC|49CDMG|5AART|6FEWX|79BASARM|89ASPD|9BPWR|aVULN
21	24723 23364	 * 	245.03	ACR|2BASARM|2ASPD|2BEXP|2VULN	1MBVNT|2RCR|3aASPD|49VULN|5aBEXP|6ERES|7LIT|8aBASARM|aBPWR
22	24752 42432	 * 	244.74	ACR|2BASARM|2ASPD|2AART|1CDMG	1MBVNT|2RCR|3aASPD|4AAC|5CDMG|6aBASARM|79AART|8aCGEN|aBPWR
23	24752 42232	   	244.54	ACR|2BASARM|2ASPD|2AART|1CDMG	1MBVNT|2RCR|3aASPD|4AAC|5CDMG|6aBASARM|79AART|8aTLV|aBPWR
24	24723 23344	   	243.27	ACR|2BASARM|3BEXP|2ASPD	1MBVNT|2RCR|3aASPD|4VULN|59aBEXP|6ERES|7LIT|8aBASARM|aBPWR
25	24723 33324	 * 	242.47	ACR|1BASARM|2ASPD|3VULN|2BEXP	1MBVNT|2RCR|38ASPD|478VULN|58BEXP|6RPLT|8BPWR|9CGEN|aBASARM
26	24723 33364	   	242.47	ACR|1BASARM|2ASPD|3VULN|2BEXP	1MBVNT|2RCR|38ASPD|478VULN|58BEXP|6RPLT|8BPWR|9MLV|aBASARM
27	24413 18514	 * 	242.47	ACR|1BASARM|2DMG|3VULN|2BEXP	1MBVNT|2RCR|37aVULN|4CGEN|5aBEXP|6BASARM|8MLV|9aDMG|aBPWR
28	24413 18414	   	242.37	ACR|1BASARM|2DMG|3VULN|2BEXP	1MBVNT|2RCR|37aVULN|4CGEN|5aBEXP|6BASARM|8TLV|9aDMG|aBPWR
29	24714 42324	 * 	239.71	ACR|1BASARM|2ASPD|2DMG|2VULN	1MBVNT|2RCR|38ASPD|4RPLT|5RMIN|68DMG|78VULN|8BPWR|9CGEN|aBASARM
